Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.3,2.25,2.25,20400,0.88
04-Jan-1978,0,2.22,2.21,2.21,14400,0.86
05-Jan-1978,0,2.25,2.21,2.25,223398,0.88
06-Jan-1978,0,2.25,2.22,2.22,12600,0.87
09-Jan-1978,0,2.22,2.19,2.19,11400,0.86
10-Jan-1978,0,2.23,2.19,2.23,16800,0.87
11-Jan-1978,0,2.22,2.22,2.22,4200,0.87
12-Jan-1978,0,2.25,2.22,2.22,2400,0.87
13-Jan-1978,0,2.26,2.22,2.23,16200,0.87
16-Jan-1978,0,2.23,2.21,2.21,13200,0.86
17-Jan-1978,0,2.22,2.22,2.22,9000,0.87
18-Jan-1978,0,2.22,2.19,2.21,6000,0.86
19-Jan-1978,0,2.19,2.19,2.19,600,0.86
20-Jan-1978,0,2.17,2.16,2.16,6000,0.84
23-Jan-1978,0,2.16,2.16,2.16,3600,0.84
24-Jan-1978,0,2.15,2.13,2.13,11400,0.83
25-Jan-1978,0,2.15,2.15,2.15,600,0.84
26-Jan-1978,0,2.16,2.13,2.13,5400,0.83
27-Jan-1978,0,2.11,2.09,2.11,5400,0.82
30-Jan-1978,0,2.11,2.08,2.11,2400,0.82
31-Jan-1978,0,2.09,2.09,2.09,2400,0.82
01-Feb-1978,0,2.08,2.05,2.05,7800,0.8
02-Feb-1978,NaN,NaN,NaN,2.05,0,0.8
03-Feb-1978,0,2.09,2.08,2.09,3600,0.82
06-Feb-1978,0,2.05,2.02,2.04,12600,0.8
07-Feb-1978,0,2.02,2.02,2.02,3600,0.79
08-Feb-1978,0,2.02,2.01,2.01,24000,0.79
09-Feb-1978,0,2.01,2,2.01,5400,0.79
10-Feb-1978,0,2.05,2.02,2.05,6000,0.8
13-Feb-1978,0,2.07,2,2,24000,0.78
14-Feb-1978,0,2,1.96,1.96,9000,0.77
15-Feb-1978,0,2,1.98,2,4200,0.78
16-Feb-1978,0,1.97,1.97,1.97,2400,0.77
17-Feb-1978,0,1.97,1.96,1.96,6000,0.77
21-Feb-1978,0,1.98,1.96,1.96,6000,0.77
22-Feb-1978,NaN,NaN,NaN,1.96,0,0.77
23-Feb-1978,0,1.96,1.96,1.96,6000,0.77
24-Feb-1978,0,2.02,1.96,2.02,13200,0.79
27-Feb-1978,0,2.04,2,2,6000,0.78
28-Feb-1978,0,2,2,2,7200,0.78
01-Mar-1978,0,1.98,1.94,1.96,9000,0.77
02-Mar-1978,0,1.94,1.93,1.93,4200,0.75
03-Mar-1978,0,1.96,1.94,1.96,6000,0.77
06-Mar-1978,0,1.94,1.86,1.86,9600,0.73
07-Mar-1978,0,1.88,1.83,1.87,18000,0.73
08-Mar-1978,0,1.88,1.86,1.86,6000,0.73
09-Mar-1978,0,1.88,1.87,1.88,1800,0.73
10-Mar-1978,0,1.93,1.88,1.93,16200,0.75
13-Mar-1978,0,1.97,1.94,1.97,18000,0.77
14-Mar-1978,0,2,1.98,2,3600,0.78
15-Mar-1978,0,2,1.97,1.98,9600,0.77
16-Mar-1978,0,2,1.98,1.98,3600,0.77
17-Mar-1978,0,2.01,1.96,1.96,6000,0.77
20-Mar-1978,0,2.02,1.98,2.02,9600,0.79
21-Mar-1978,0,2.05,2.01,2.02,196398,0.79
22-Mar-1978,0,2.07,2.04,2.07,5400,0.81
23-Mar-1978,0,2.09,2.09,2.09,600,0.82
27-Mar-1978,0,2.11,2.11,2.11,1800,0.82
28-Mar-1978,0,2.15,2.11,2.15,12600,0.84
29-Mar-1978,0,2.17,2.13,2.16,18600,0.84
30-Mar-1978,0,2.19,2.16,2.16,10800,0.84
31-Mar-1978,0,2.22,2.16,2.22,28800,0.87
03-Apr-1978,0,2.19,2.19,2.19,4200,0.86
