Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2003,NaN,8.98,8.48,8.85,210454,8.49
03-Jan-2003,NaN,8.98,8.48,8.85,275039,8.49
06-Jan-2003,NaN,9.49,8.91,9.44,203183,9.06
07-Jan-2003,NaN,9.74,9.33,9.56,316006,9.17
08-Jan-2003,NaN,10,9.45,9.95,144517,9.55
09-Jan-2003,NaN,9.95,9.44,9.47,177415,9.09
10-Jan-2003,NaN,9.9,9.43,9.88,262764,9.48
13-Jan-2003,NaN,10.46,9.58,10.1,243400,9.69
14-Jan-2003,NaN,10.45,10.05,10.11,173910,9.7
15-Jan-2003,NaN,10.45,10.1,10.4,156462,9.98
16-Jan-2003,NaN,10.43,10.25,10.26,162043,9.84
17-Jan-2003,NaN,10.39,10.25,10.32,264910,9.9
21-Jan-2003,NaN,10.41,9.9,9.91,316530,9.51
22-Jan-2003,NaN,9.91,9.5,9.6,205001,9.21
23-Jan-2003,NaN,9.74,9.25,9.49,164228,9.1
24-Jan-2003,NaN,9.84,9.61,9.68,171550,9.29
27-Jan-2003,NaN,9.89,9.6,9.63,267634,9.24
28-Jan-2003,NaN,9.73,9.5,9.5,287069,9.11
29-Jan-2003,NaN,9.96,9.5,9.82,577878,9.42
30-Jan-2003,NaN,10.42,9.65,10.42,1006915,10
31-Jan-2003,NaN,11.2,10.65,10.9,316748,10.46
03-Feb-2003,NaN,11.03,10.7,11,419931,10.55
04-Feb-2003,NaN,11.4,10.81,11.19,300626,10.74
05-Feb-2003,NaN,11.12,10.54,10.87,329800,10.43
06-Feb-2003,NaN,11.06,10.6,10.79,193155,10.35
07-Feb-2003,NaN,10.95,10.51,10.7,198124,10.27
10-Feb-2003,NaN,10.88,10.61,10.71,309673,10.28
11-Feb-2003,NaN,10.85,10.28,10.84,226364,10.4
12-Feb-2003,NaN,11,10.63,10.86,144280,10.42
13-Feb-2003,NaN,10.99,10.67,10.94,206250,10.5
14-Feb-2003,NaN,11,10.69,10.8,181547,10.36
18-Feb-2003,NaN,10.94,10.75,10.9,414347,10.46
19-Feb-2003,NaN,11.16,10.88,11.04,398544,10.59
20-Feb-2003,NaN,11.86,10.96,11.84,842993,11.36
21-Feb-2003,NaN,12.32,11.28,11.44,361956,10.98
24-Feb-2003,NaN,11.8,11.15,11.79,518529,11.31
25-Feb-2003,NaN,12.3,11.69,12.22,346131,11.72
26-Feb-2003,NaN,12.22,11.8,11.92,277853,11.44
27-Feb-2003,NaN,12.25,11.89,11.96,301638,11.47
28-Feb-2003,NaN,12.19,11.55,11.78,256653,11.3
03-Mar-2003,NaN,11.8,11.5,11.6,271730,11.13
04-Mar-2003,NaN,12,11.55,11.72,211372,11.24
05-Mar-2003,NaN,11.92,11.62,11.74,147080,11.26
06-Mar-2003,NaN,11.85,11.59,11.7,199987,11.22
07-Mar-2003,NaN,11.7,11.45,11.61,220915,11.14
10-Mar-2003,NaN,11.67,11.25,11.34,181151,10.88
11-Mar-2003,NaN,11.47,11.09,11.09,1386361,10.64
12-Mar-2003,NaN,10.71,9.06,9.22,723952,8.85
13-Mar-2003,NaN,9.21,8.57,9.06,304093,8.69
14-Mar-2003,NaN,9.64,8.96,9.42,237086,9.04
17-Mar-2003,NaN,9.61,9.12,9.36,294994,8.98
