Date,Open,High,Low,Close,Volume,AdjClose
10-Aug-2000,0,20.25,19,19.75,5506200,19.75
11-Aug-2000,0,19.62,19.31,19.38,890100,19.38
14-Aug-2000,0,19.69,19,19.69,323300,19.69
15-Aug-2000,0,21.5,19.44,21,380700,21
16-Aug-2000,0,24,21.12,23.25,267300,23.25
17-Aug-2000,0,23.31,22.62,22.75,244200,22.75
18-Aug-2000,0,23.5,22.38,23.38,99300,23.38
21-Aug-2000,0,24.81,23.5,24,569100,24
22-Aug-2000,0,24.38,23.94,24.38,76600,24.38
23-Aug-2000,0,24.69,24.06,24.62,408900,24.62
24-Aug-2000,0,24.75,24.38,24.62,156500,24.62
25-Aug-2000,0,24.75,23.88,24.12,220300,24.12
28-Aug-2000,0,24.38,24,24.12,46900,24.12
29-Aug-2000,0,24.19,23.62,23.88,171900,23.88
30-Aug-2000,0,24.5,23.19,24.38,188000,24.38
31-Aug-2000,0,25.75,24.12,25.75,230900,25.75
01-Sep-2000,0,26.25,25.31,26,313500,26
05-Sep-2000,0,25.94,23.69,23.75,247900,23.75
06-Sep-2000,0,24,21.38,21.88,251000,21.88
07-Sep-2000,0,22.81,21.88,22.69,143300,22.69
08-Sep-2000,0,23.12,22.81,23.06,27400,23.06
11-Sep-2000,0,23.38,22.56,22.94,32700,22.94
12-Sep-2000,0,22.88,22,22.25,183900,22.25
13-Sep-2000,0,22.62,21.94,22.5,80900,22.5
14-Sep-2000,0,22.75,22.44,22.62,76400,22.62
15-Sep-2000,0,22.75,22.44,22.56,51600,22.56
18-Sep-2000,0,22.62,22,22,341400,22
19-Sep-2000,0,22.06,21.81,21.94,101800,21.94
20-Sep-2000,0,21.94,21.44,21.5,13500,21.5
21-Sep-2000,0,21.75,21.5,21.56,96200,21.56
22-Sep-2000,0,21.31,21.06,21.12,121800,21.12
25-Sep-2000,0,21.81,21.12,21.5,597400,21.5
26-Sep-2000,0,21.69,21.12,21.19,165200,21.19
27-Sep-2000,0,21.12,20.38,20.44,161900,20.44
28-Sep-2000,0,20.31,19.88,20,168000,20
29-Sep-2000,0,20,19.19,19.25,107800,19.25
02-Oct-2000,0,19.38,19,19.31,140100,19.31
03-Oct-2000,0,19.62,19,19.12,332600,19.12
04-Oct-2000,0,19.44,19,19.19,37600,19.19
05-Oct-2000,0,19.12,18.5,18.62,10500,18.62
06-Oct-2000,0,18.62,16.62,16.75,97900,16.75
09-Oct-2000,0,17.75,16.62,17.75,120100,17.75
10-Oct-2000,0,18.38,17.44,18.31,107400,18.31
11-Oct-2000,0,18.81,18.06,18.06,118200,18.06
12-Oct-2000,0,18.12,17.19,17.25,48700,17.25
13-Oct-2000,0,17.19,16.88,17.19,344900,17.19
16-Oct-2000,0,17.19,17.06,17.12,63800,17.12
17-Oct-2000,0,17.25,17.06,17.12,246100,17.12
18-Oct-2000,0,17.12,16.94,17.06,41000,17.06
19-Oct-2000,0,17.25,17,17.25,12000,17.25
20-Oct-2000,0,17.88,17.31,17.88,8400,17.88
23-Oct-2000,0,18,17.75,17.88,3400,17.88
24-Oct-2000,0,18.5,18.12,18.5,21200,18.5
25-Oct-2000,0,18.5,18.44,18.5,122200,18.5
26-Oct-2000,0,18.44,18.38,18.44,4900,18.44
27-Oct-2000,0,18.56,18.38,18.56,31000,18.56
30-Oct-2000,0,18.56,18.44,18.44,28300,18.44
31-Oct-2000,0,18.44,18.06,18.06,4800,18.06
01-Nov-2000,18,18.12,18,18,8500,18
02-Nov-2000,18.19,18.94,18.06,18.94,97600,18.94
03-Nov-2000,19.44,20.94,19.44,20.69,96500,20.69
06-Nov-2000,20.94,22.25,20.94,21.88,179400,21.88
07-Nov-2000,21.94,21.94,20.81,20.81,15400,20.81
08-Nov-2000,20.88,21,20.62,20.69,25400,20.69
09-Nov-2000,20.5,20.5,19.44,19.56,32700,19.56
10-Nov-2000,19.56,19.56,19.19,19.31,117600,19.31
13-Nov-2000,19.31,19.31,18.25,18.25,85700,18.25
14-Nov-2000,18.19,19.38,18.19,19.31,130400,19.31
15-Nov-2000,19.25,19.31,18.94,19.06,42900,19.06
16-Nov-2000,19.06,19.12,18.81,18.94,54800,18.94
17-Nov-2000,19.06,19.88,19.06,19.88,22200,19.88
20-Nov-2000,19.75,19.75,18.94,19,15200,19
21-Nov-2000,18.75,18.81,18.62,18.81,27400,18.81
22-Nov-2000,18.62,18.75,18.5,18.56,84300,18.56
24-Nov-2000,18.56,18.81,18.5,18.81,4500,18.81
27-Nov-2000,18.81,19.12,18.81,19.06,17000,19.06
28-Nov-2000,19.06,19.06,18.81,18.81,2700,18.81
29-Nov-2000,18.81,18.81,18.62,18.81,38800,18.81
30-Nov-2000,18.94,18.94,18.88,18.94,147700,18.94
01-Dec-2000,18.94,18.94,18.56,18.75,22700,18.75
04-Dec-2000,18.56,18.56,18.44,18.5,35000,18.5
05-Dec-2000,18.44,18.44,18.38,18.38,6800,18.38
06-Dec-2000,18.19,18.38,18.19,18.25,60600,18.25
07-Dec-2000,18.31,18.56,18.31,18.56,22100,18.56
08-Dec-2000,18.5,18.5,18.25,18.31,4900,18.31
11-Dec-2000,18.69,18.69,18.5,18.56,28800,18.56
12-Dec-2000,18.44,18.56,18.44,18.56,14900,18.56
13-Dec-2000,18.69,18.94,18.69,18.94,23600,18.94
14-Dec-2000,18.94,19,18.94,19,24000,19
15-Dec-2000,19,20.5,19,20.5,106900,20.5
18-Dec-2000,20.5,21.06,20.5,20.88,93700,20.88
19-Dec-2000,20.94,21.62,20.94,21.5,39900,21.5
20-Dec-2000,21.5,21.75,20.31,20.44,31500,20.44
21-Dec-2000,20.62,20.62,20.44,20.5,46200,20.5
22-Dec-2000,20.62,20.62,20.25,20.25,3800,20.25
26-Dec-2000,20.06,20.38,20.06,20.31,6100,20.31
27-Dec-2000,20.38,20.5,20.25,20.31,14900,20.31
28-Dec-2000,20.5,21.25,20.5,21.25,64700,21.25
29-Dec-2000,21.62,21.62,21.5,21.56,55900,21.56
02-Jan-2001,21.56,21.56,21.31,21.38,2000,21.38
03-Jan-2001,21.38,21.38,20.94,21,13500,21
04-Jan-2001,21,23.06,20.88,21.88,59100,21.88
05-Jan-2001,22,22.19,22,22,209400,22
08-Jan-2001,22,22,21.44,21.56,21900,21.56
09-Jan-2001,21.56,21.56,21.06,21.06,14000,21.06
10-Jan-2001,20.94,20.94,20.12,20.25,15300,20.25
11-Jan-2001,20.25,20.31,19.81,19.88,32700,19.88
12-Jan-2001,19.88,19.88,19.44,19.62,13000,19.62
16-Jan-2001,19.62,19.81,19.5,19.81,34700,19.81
17-Jan-2001,19.81,19.88,19.75,19.88,37400,19.88
18-Jan-2001,19.94,19.94,19.75,19.75,53400,19.75
19-Jan-2001,19.88,19.94,19.5,19.62,14700,19.62
22-Jan-2001,19.5,19.56,18.94,18.94,61900,18.94
23-Jan-2001,18.88,19,18.88,19,31200,19
24-Jan-2001,19,19,18.75,18.75,10500,18.75
25-Jan-2001,18.75,18.88,18.75,18.75,85300,18.75
26-Jan-2001,18.81,18.81,18.56,18.69,20900,18.69
29-Jan-2001,18.7,20,18.7,19.65,18100,19.65
30-Jan-2001,19.6,20.2,19.3,20.2,14800,20.2
31-Jan-2001,20.3,21.25,20.1,21.01,304100,21.01
01-Feb-2001,21.4,21.81,21.3,21.81,184500,21.81
02-Feb-2001,21.71,23.25,21.71,23.25,117200,23.25
05-Feb-2001,23.25,23.6,23.2,23.5,207900,23.5
06-Feb-2001,23.5,23.5,22.5,22.6,56000,22.6
07-Feb-2001,22.85,22.85,22.1,22.1,38700,22.1
08-Feb-2001,22.1,22.1,21.2,21.4,42900,21.4
09-Feb-2001,21.2,21.2,20.75,20.85,51200,20.85
12-Feb-2001,20,20,19.8,19.9,107700,19.9
13-Feb-2001,19.95,20.5,19.95,20.4,88100,20.4
14-Feb-2001,20.6,20.9,20.6,20.7,42500,20.7
15-Feb-2001,20.7,20.7,19.85,19.85,13000,19.85
16-Feb-2001,19.9,19.9,19.63,19.65,82300,19.65
20-Feb-2001,19.9,19.95,19.7,19.7,88700,19.7
21-Feb-2001,19.6,19.7,18.4,18.4,66700,18.4
22-Feb-2001,18.4,18.6,17.85,18.25,39800,18.25
23-Feb-2001,18.25,18.25,16.7,17.4,113100,17.4
26-Feb-2001,17.65,17.9,16,17.2,137300,17.2
27-Feb-2001,17.25,17.25,16.01,17,169400,17
28-Feb-2001,17,17.1,16.95,17.1,24700,17.1
01-Mar-2001,17.3,17.3,16.02,16.75,78500,16.75
02-Mar-2001,16.8,17.25,16.75,17.25,12800,17.25
05-Mar-2001,17.3,17.5,17.25,17.5,61600,17.5
06-Mar-2001,17.4,17.95,17.2,17.7,43400,17.7
07-Mar-2001,17.6,18.05,17.6,18.05,16700,18.05
08-Mar-2001,18,18.02,18,18.02,45400,18.02
09-Mar-2001,18,18,17.88,18,3200,18
12-Mar-2001,18,18.25,18,18.1,34700,18.1
13-Mar-2001,18.25,18.25,17.99,18,86900,18
14-Mar-2001,17.8,18.03,17.68,18,8800,18
15-Mar-2001,17.9,18.4,17.8,18.25,28100,18.25
16-Mar-2001,18.1,18.1,18,18,3400,18
19-Mar-2001,17.8,18,17.8,17.8,9600,17.8
20-Mar-2001,18,18.75,17.99,18.5,53200,18.5
21-Mar-2001,18.65,19.2,18.65,19,103300,19
22-Mar-2001,19,19,18.65,18.65,19600,18.65
23-Mar-2001,18.65,18.65,18.6,18.6,1500,18.6
26-Mar-2001,18.75,18.75,18.6,18.7,7300,18.7
27-Mar-2001,18.7,18.7,18.55,18.56,35200,18.56
28-Mar-2001,18.56,18.65,18.25,18.41,74900,18.41
29-Mar-2001,18.41,18.41,17.8,18.05,30300,18.05
30-Mar-2001,17.8,18,17.4,18,62100,18
02-Apr-2001,18.05,18.05,17.88,17.89,28900,17.89
03-Apr-2001,18.2,18.2,18.15,18.15,336300,18.15
04-Apr-2001,18,18.06,17.62,17.65,150900,17.65
05-Apr-2001,17.65,17.85,17.64,17.65,43800,17.65
06-Apr-2001,17.6,17.75,17.6,17.73,3200,17.73
09-Apr-2001,17.75,17.75,17.62,17.62,13600,17.62
10-Apr-2001,17.72,17.72,17.62,17.62,20900,17.62
11-Apr-2001,17.75,17.75,17.63,17.63,8900,17.63
12-Apr-2001,17.64,17.64,17.62,17.63,25300,17.63
16-Apr-2001,17.62,17.75,17.62,17.62,5600,17.62
17-Apr-2001,17.62,17.95,17.62,17.65,11400,17.65
18-Apr-2001,17.62,18.1,17.62,17.88,28000,17.88
19-Apr-2001,17.7,18,17.6,18,35700,18
20-Apr-2001,17.9,17.91,17.75,17.75,17100,17.75
23-Apr-2001,17.7,17.7,17.35,17.35,12800,17.35
24-Apr-2001,17.25,17.25,17.15,17.23,21600,17.23
25-Apr-2001,17.3,17.3,17.29,17.3,16300,17.3
26-Apr-2001,17.29,17.29,16.88,17,29700,17
27-Apr-2001,17.15,17.2,17.14,17.2,9300,17.2
30-Apr-2001,17.2,17.2,16.8,17,40900,17
01-May-2001,16.99,17.11,16.95,16.95,14000,16.95
02-May-2001,17,17.15,16.99,17,13900,17
03-May-2001,16.85,17.1,16.85,17.01,24700,17.01
04-May-2001,17.01,17.1,16.9,17.09,19400,17.09
07-May-2001,17.09,17.35,17,17,79000,17
08-May-2001,17,17,16.8,16.8,55100,16.8
09-May-2001,16.9,17.2,16.9,17.1,774000,17.1
10-May-2001,17.2,18.08,17.2,17.85,259400,17.85
11-May-2001,17.8,17.81,17.5,17.51,352500,17.51
14-May-2001,17.5,17.5,17.25,17.25,42300,17.25
15-May-2001,17.25,17.26,16.3,17,177000,17
16-May-2001,17,17.01,16.8,16.85,240200,16.85
17-May-2001,16.95,17.2,16.9,17,377400,17
18-May-2001,17,17,16.8,16.8,232100,16.8
