Date,Open,High,Low,Close,Volume,AdjClose
16-May-1997,0,14.51,14.34,14.51,6690000,10.1
19-May-1997,0,14.76,14.42,14.42,873200,10.04
20-May-1997,0,14.59,14.42,14.42,635800,10.04
21-May-1997,0,14.59,14.34,14.42,1164800,10.04
22-May-1997,0,14.42,14.09,14.09,451300,9.81
23-May-1997,0,14.26,14.09,14.26,250800,9.93
27-May-1997,0,14.26,13.76,14.01,355600,9.76
28-May-1997,0,13.92,13.59,13.84,295800,9.64
29-May-1997,0,14.34,13.92,14.34,302500,9.99
30-May-1997,0,14.34,13.92,14.26,197300,9.93
02-Jun-1997,0,14.67,14.09,14.51,363400,10.1
03-Jun-1997,0,14.59,14.34,14.42,79500,10.04
04-Jun-1997,0,14.59,14.42,14.42,126700,10.04
05-Jun-1997,0,14.92,14.42,14.76,264200,10.28
06-Jun-1997,0,15.09,14.76,15.01,139700,10.45
09-Jun-1997,0,15.17,14.84,15.09,148400,10.51
10-Jun-1997,0,16.34,16.01,16.01,1112000,11.15
11-Jun-1997,0,16.26,16.01,16.01,264200,11.15
12-Jun-1997,0,16.26,16.09,16.26,270600,11.32
13-Jun-1997,0,16.51,16.17,16.51,153200,11.5
16-Jun-1997,0,17.34,16.59,17.09,270500,11.9
17-Jun-1997,0,17.34,16.59,17.01,224700,11.84
18-Jun-1997,0,17.59,16.93,17.43,211800,12.14
19-Jun-1997,0,17.59,17.43,17.51,141200,12.19
20-Jun-1997,0,17.68,17.43,17.43,203100,12.14
23-Jun-1997,0,17.59,16.59,16.68,197200,11.61
24-Jun-1997,0,17.01,16.68,16.93,186500,11.79
25-Jun-1997,0,17.26,16.76,17.18,200300,11.96
26-Jun-1997,0,17.18,16.84,17.01,136600,11.84
27-Jun-1997,0,17.43,17.09,17.18,150700,11.96
30-Jun-1997,0,17.34,17.01,17.09,367200,11.9
01-Jul-1997,0,17.09,16.76,16.93,179800,11.79
02-Jul-1997,0,17.26,16.68,17.26,244800,12.02
03-Jul-1997,0,17.26,17.09,17.09,375900,11.9
07-Jul-1997,0,17.34,16.84,17.01,198400,11.84
08-Jul-1997,0,17.09,16.76,17.01,404200,11.84
09-Jul-1997,0,18.34,17.01,17.76,490900,12.37
10-Jul-1997,0,18.18,17.68,18.18,500600,12.66
11-Jul-1997,0,19.43,18.34,19.18,527900,13.36
14-Jul-1997,0,19.43,18.84,19.43,549600,13.53
15-Jul-1997,0,20.18,19.59,19.84,945900,13.82
16-Jul-1997,0,20.43,19.93,20.18,397300,14.05
17-Jul-1997,0,20.76,20.34,20.59,456500,14.34
18-Jul-1997,0,20.68,20.01,20.43,234200,14.23
21-Jul-1997,0,20.51,20.09,20.47,164000,14.25
