Date,Open,High,Low,Close,Volume,AdjClose
28-Sep-1993,0,14.88,13.25,14.69,10638400,10.38
29-Sep-1993,0,14.75,14.12,14.31,2554600,10.12
30-Sep-1993,0,14.31,13.94,13.94,966400,9.85
01-Oct-1993,0,14.5,14,14.25,667000,10.07
04-Oct-1993,0,14.44,14.19,14.25,479000,10.07
05-Oct-1993,0,14.25,13.81,13.94,718200,9.85
06-Oct-1993,0,14.06,13.69,14.06,467400,9.94
07-Oct-1993,0,14.19,14,14.19,262000,10.03
08-Oct-1993,0,14.25,14.06,14.25,178000,10.07
11-Oct-1993,0,14.88,14.19,14.69,349600,10.38
12-Oct-1993,0,15.75,14.69,15.62,784800,11.04
13-Oct-1993,0,15.88,15.12,15.75,451000,11.13
14-Oct-1993,0,16.25,15.25,16.06,567000,11.35
15-Oct-1993,0,17,16.19,16.38,556200,11.58
18-Oct-1993,0,16.81,16.38,16.81,529200,11.88
19-Oct-1993,0,16.75,15.38,15.44,452200,10.91
20-Oct-1993,0,15.62,15,15.5,382600,10.96
21-Oct-1993,0,16.06,15.38,15.88,268400,11.22
22-Oct-1993,0,16,15.75,16,301000,11.31
25-Oct-1993,0,16.31,15.94,16.06,210400,11.35
26-Oct-1993,0,16.12,15.06,15.25,220800,10.78
27-Oct-1993,0,15.25,14.56,15.06,393800,10.65
28-Oct-1993,0,15.12,14.56,14.62,311400,10.33
29-Oct-1993,0,14.69,14.12,14.5,451200,10.25
01-Nov-1993,0,14.62,14.38,14.44,190600,10.21
02-Nov-1993,0,15,14.56,14.88,416800,10.52
03-Nov-1993,0,14.94,14,14.31,304000,10.12
04-Nov-1993,0,14.44,13.62,13.94,350800,9.85
05-Nov-1993,0,13.62,12.62,13.25,1017400,9.37
08-Nov-1993,0,14,13.25,13.88,335600,9.81
09-Nov-1993,0,14.25,13.88,13.94,267000,9.85
10-Nov-1993,0,14.19,13.88,13.88,167000,9.81
11-Nov-1993,0,14.56,13.88,14.44,307000,10.21
12-Nov-1993,0,14.69,14.31,14.44,51800,10.21
15-Nov-1993,0,14.5,13.88,13.88,55000,9.81
16-Nov-1993,0,13.88,13.62,13.62,226800,9.63
17-Nov-1993,0,14,13.56,13.62,179200,9.63
18-Nov-1993,0,13.62,13.38,13.44,58600,9.5
19-Nov-1993,0,13.44,12.69,13,284400,9.19
22-Nov-1993,0,13,12.31,12.44,679600,8.79
23-Nov-1993,0,12.69,11.75,12.56,1008400,8.88
24-Nov-1993,0,14.25,12.88,13.69,1205600,9.68
26-Nov-1993,0,14,13.62,13.75,173800,9.72
29-Nov-1993,0,13.88,13.69,13.88,326600,9.81
30-Nov-1993,0,14.5,13.38,14.38,427600,10.16
01-Dec-1993,0,14.5,14.06,14.44,271200,10.21
02-Dec-1993,0,14.56,14.19,14.25,64000,10.07
03-Dec-1993,0,14.25,13.5,13.75,98000,9.72
06-Dec-1993,0,13.75,13.5,13.5,162400,9.54
07-Dec-1993,0,13.5,13.12,13.5,305800,9.54
08-Dec-1993,0,13.81,13.44,13.75,272200,9.72
