Date,Open,High,Low,Close,Volume,AdjClose
17-Jun-2015,22.75,22.75,22.75,22.75,100,22.75
22-Jun-2015,NaN,NaN,NaN,22.75,0,22.75
23-Jun-2015,NaN,NaN,NaN,22.75,0,22.75
24-Jun-2015,25.9,25.9,25.9,25.9,299,25.9
25-Jun-2015,NaN,NaN,NaN,25.9,0,25.9
26-Jun-2015,NaN,NaN,NaN,25.9,0,25.9
29-Jun-2015,25.94,26.01,25.9,26,2778,26
30-Jun-2015,26.95,30.4,26.6,29,5558808,29
01-Jul-2015,27.95,29.22,26.67,27,5140174,27
02-Jul-2015,27.9,28.41,27.48,27.81,1957744,27.81
06-Jul-2015,27.75,28.99,27.5,28.99,1297827,28.99
07-Jul-2015,28.41,29.02,27.76,28.14,1289548,28.14
08-Jul-2015,27.13,27.89,26.92,27.1,1620324,27.1
09-Jul-2015,27,27.45,26.86,26.95,2155818,26.95
10-Jul-2015,27.02,29.12,27,28.79,1641754,28.79
13-Jul-2015,28.5,29.97,28.11,29.57,1772083,29.57
14-Jul-2015,29.04,30.28,29,30.1,1225739,30.1
15-Jul-2015,29.92,29.99,28.64,29.19,1427115,29.19
16-Jul-2015,29.01,29.58,28.96,29.34,1721045,29.34
17-Jul-2015,29.04,31.43,28.77,31.11,1401898,31.11
20-Jul-2015,31.67,33,30.93,31.44,1514339,31.44
21-Jul-2015,30.74,31.53,29.88,31.13,1284810,31.13
22-Jul-2015,31.12,31.52,30.12,30.88,1007701,30.88
23-Jul-2015,31,31,30.25,30.61,456300,30.61
24-Jul-2015,30.53,30.64,29.8,30.33,435457,30.33
27-Jul-2015,30.36,30.86,30.14,30.23,462466,30.23
28-Jul-2015,29.91,30.85,28.81,30,933802,30
29-Jul-2015,30.14,30.22,29.13,29.3,538892,29.3
30-Jul-2015,29.3,29.3,28.79,29.09,642963,29.09
31-Jul-2015,28.94,29.08,28.56,28.76,691848,28.76
03-Aug-2015,28.21,29.35,28.21,29.25,697541,29.25
04-Aug-2015,28.97,29.44,28.3,28.83,501634,28.83
05-Aug-2015,28.5,29.51,28.5,28.7,753491,28.7
06-Aug-2015,28.46,28.9,28.46,28.78,543673,28.78
07-Aug-2015,28.88,28.92,28.07,28.5,265774,28.5
10-Aug-2015,28.48,30.04,28.48,28.97,730908,28.97
11-Aug-2015,29,30.03,28.53,29.77,905121,29.77
12-Aug-2015,29.47,29.69,28.89,29.62,287974,29.62
13-Aug-2015,29.56,30.28,29.29,30.06,663849,30.06
14-Aug-2015,30.06,30.4,29.64,30.35,308034,30.35
17-Aug-2015,30.08,32.22,29.81,31.88,558350,31.88
18-Aug-2015,32.15,33.88,32.09,32.32,974596,32.32
19-Aug-2015,32.01,32.7,32.01,32.57,568906,32.57
20-Aug-2015,32.39,33.72,32.22,32.71,346201,32.71
21-Aug-2015,32.59,32.65,31.74,31.98,653127,31.98
24-Aug-2015,29.9,32.16,29.8,30.63,343397,30.63
25-Aug-2015,31.55,31.55,30.2,30.35,749793,30.35
26-Aug-2015,30.84,30.97,29.87,30.64,275426,30.64
27-Aug-2015,31,31.12,29.73,30.27,587265,30.27
28-Aug-2015,30.36,31.6,30.36,31.51,362735,31.51
31-Aug-2015,31.47,31.87,30.98,31.72,349304,31.72
01-Sep-2015,31.56,32.05,31.26,31.98,428351,31.98
02-Sep-2015,31.97,33.54,31.97,33.05,657148,33.05
03-Sep-2015,33.12,33.86,32.91,33.32,397767,33.32
04-Sep-2015,32.92,33.55,32.39,33.43,355987,33.43
08-Sep-2015,33.5,34.71,33.35,34.02,505558,34.02
09-Sep-2015,34.3,35.09,34.02,34.17,373985,34.17
10-Sep-2015,34,34.64,33.73,34.34,471892,34.34
11-Sep-2015,34.27,35.03,34.17,34.83,323761,34.83
14-Sep-2015,34.83,35.93,34.79,35.41,805024,35.41
15-Sep-2015,35.61,36.36,34.17,34.25,666685,34.25
16-Sep-2015,34.54,35.36,33.81,34.92,533280,34.92
17-Sep-2015,34.82,36.14,34.43,35.65,623764,35.65
18-Sep-2015,34.85,35.47,33.67,34.75,4561015,34.75
21-Sep-2015,35.16,35.35,32.74,32.82,478713,32.82
22-Sep-2015,32.69,32.69,30.82,31.51,565410,31.51
23-Sep-2015,31.6,31.99,31.3,31.62,268330,31.62
24-Sep-2015,31.36,31.73,30.35,31.65,408548,31.65
25-Sep-2015,31.89,32.56,31.46,32.19,378245,32.19
28-Sep-2015,32.04,32.04,30.01,30.83,464333,30.83
29-Sep-2015,30.91,31.23,29.55,30,515766,30
30-Sep-2015,30.21,31.14,30,30.97,324945,30.97
01-Oct-2015,31.1,31.39,29.8,30.5,563705,30.5
02-Oct-2015,30.3,31.12,30.01,30.96,280743,30.96
05-Oct-2015,31.12,33.18,31.12,32.9,370316,32.9
06-Oct-2015,32.86,33.12,31.66,32.08,425227,32.08
07-Oct-2015,32.29,32.92,32.05,32.89,407940,32.89
08-Oct-2015,32.89,33.33,32.32,32.76,210177,32.76
09-Oct-2015,32.89,32.93,32.11,32.44,222186,32.44
12-Oct-2015,32.57,32.92,31.56,31.59,189061,31.59
13-Oct-2015,31.5,32.23,30.5,31.32,194322,31.32
14-Oct-2015,31.38,31.38,29.59,29.8,487293,29.8
15-Oct-2015,29.96,30,28.27,29.57,501712,29.57
16-Oct-2015,29.65,29.83,28.53,29.27,406516,29.27
