Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.58,2.51,2.51,40399,1.21
04-Jan-1978,0,2.55,2.48,2.48,22501,1.19
05-Jan-1978,0,2.55,2.48,2.48,50301,1.19
06-Jan-1978,0,2.53,2.48,2.48,33101,1.19
09-Jan-1978,0,2.51,2.46,2.46,24901,1.18
10-Jan-1978,0,2.55,2.48,2.48,76699,1.19
11-Jan-1978,0,2.55,2.48,2.48,16701,1.19
12-Jan-1978,0,2.51,2.46,2.46,16701,1.18
13-Jan-1978,0,2.51,2.46,2.46,5299,1.18
16-Jan-1978,0,2.51,2.46,2.46,10000,1.18
17-Jan-1978,0,2.53,2.48,2.48,60699,1.19
18-Jan-1978,0,2.55,2.48,2.48,41899,1.19
19-Jan-1978,0,2.55,2.48,2.48,72300,1.19
20-Jan-1978,0,2.53,2.48,2.48,1500,1.19
23-Jan-1978,0,2.53,2.48,2.48,16701,1.19
24-Jan-1978,0,2.51,2.44,2.44,40399,1.18
25-Jan-1978,0,2.44,2.34,2.34,76699,1.13
26-Jan-1978,0,2.41,2.34,2.34,15201,1.13
27-Jan-1978,0,2.39,2.32,2.32,7300,1.12
30-Jan-1978,0,2.27,2.23,2.23,91700,1.07
31-Jan-1978,0,2.23,2.18,2.18,119301,1.05
01-Feb-1978,0,2.27,2.23,2.23,112399,1.07
02-Feb-1978,0,2.27,2.23,2.23,67999,1.07
03-Feb-1978,0,2.37,2.27,2.27,145999,1.09
06-Feb-1978,0,2.37,2.27,2.27,15201,1.09
07-Feb-1978,0,2.37,2.27,2.27,8500,1.09
08-Feb-1978,0,2.37,2.27,2.27,29199,1.09
09-Feb-1978,0,2.37,2.27,2.27,66500,1.09
10-Feb-1978,0,2.37,2.27,2.27,36401,1.09
13-Feb-1978,0,2.37,2.27,2.27,45599,1.09
14-Feb-1978,0,2.34,2.25,2.25,80500,1.08
15-Feb-1978,0,2.34,2.25,2.25,19201,1.08
16-Feb-1978,0,2.32,2.23,2.23,52799,1.07
17-Feb-1978,0,2.23,2.13,2.13,105600,1.03
21-Feb-1978,0,2.23,2.13,2.13,55600,1.03
22-Feb-1978,0,2.23,2.16,2.16,60699,1.04
23-Feb-1978,0,2.23,2.16,2.16,62900,1.04
24-Feb-1978,0,2.27,2.23,2.23,59600,1.07
27-Feb-1978,0,2.25,2.18,2.18,36401,1.05
28-Feb-1978,0,2.23,2.13,2.13,72300,1.03
01-Mar-1978,0,2.04,1.99,1.99,291300,0.96
02-Mar-1978,0,1.99,1.95,1.95,166501,0.94
03-Mar-1978,0,2.04,1.99,1.99,62900,0.96
06-Mar-1978,0,1.99,1.95,1.95,73301,0.94
07-Mar-1978,0,1.99,1.95,1.95,44500,0.94
08-Mar-1978,0,1.99,1.95,1.95,77899,0.94
09-Mar-1978,0,1.99,1.95,1.95,15201,0.94
10-Mar-1978,0,2.06,1.99,1.99,140100,0.96
13-Mar-1978,0,2.04,1.99,1.99,48801,0.96
14-Mar-1978,0,2.06,1.99,1.99,24901,0.96
15-Mar-1978,0,2.09,1.99,1.99,23600,0.96
16-Mar-1978,0,2.09,1.99,1.99,14001,0.96
17-Mar-1978,0,2.11,2.04,2.04,73301,0.98
20-Mar-1978,0,2.13,2.06,2.06,54299,0.99
21-Mar-1978,0,2.11,2.04,2.04,37601,0.98
22-Mar-1978,0,2.23,2.13,2.13,199499,1.03
23-Mar-1978,0,2.23,2.13,2.13,26499,1.03
27-Mar-1978,0,2.23,2.13,2.13,19201,1.03
28-Mar-1978,0,2.23,2.13,2.13,12700,1.03
29-Mar-1978,0,2.23,2.16,2.16,21099,1.04
30-Mar-1978,0,2.23,2.16,2.16,31999,1.04
31-Mar-1978,0,2.23,2.16,2.16,10000,1.04
03-Apr-1978,0,2.23,2.13,2.13,17999,1.03
04-Apr-1978,0,2.23,2.13,2.13,14001,1.03
05-Apr-1978,0,2.34,2.25,2.25,65300,1.08
06-Apr-1978,0,2.34,2.25,2.25,38700,1.08
07-Apr-1978,0,2.27,2.23,2.23,110899,1.07
10-Apr-1978,0,2.27,2.23,2.23,21099,1.07
11-Apr-1978,0,2.13,2.06,2.06,143899,0.99
12-Apr-1978,0,2.18,2.09,2.09,138699,1.01
13-Apr-1978,0,2.18,2.09,2.09,90700,1.01
14-Apr-1978,0,2.23,2.13,2.13,17999,1.03
17-Apr-1978,0,2.23,2.13,2.13,21099,1.03
18-Apr-1978,0,2.18,2.11,2.11,45599,1.02
19-Apr-1978,0,2.25,2.18,2.18,77899,1.05
20-Apr-1978,0,2.37,2.27,2.27,151200,1.09
21-Apr-1978,0,2.37,2.27,2.27,17999,1.09
24-Apr-1978,0,2.44,2.37,2.37,59600,1.14
25-Apr-1978,0,2.48,2.41,2.41,56900,1.16
26-Apr-1978,0,2.46,2.39,2.39,17999,1.15
27-Apr-1978,0,2.46,2.39,2.39,33101,1.15
28-Apr-1978,0,2.58,2.51,2.51,97201,1.21
01-May-1978,0,2.62,2.53,2.53,97201,1.22
02-May-1978,0,2.7,2.62,2.62,134701,1.26
03-May-1978,0,2.7,2.6,2.6,79101,1.25
04-May-1978,0,2.6,2.51,2.51,166501,1.21
05-May-1978,0,2.58,2.51,2.51,65300,1.21
08-May-1978,0,2.51,2.46,2.46,87299,1.18
09-May-1978,0,2.51,2.46,2.46,11099,1.18
10-May-1978,0,2.53,2.48,2.48,33101,1.19
11-May-1978,0,2.53,2.48,2.48,36401,1.19
12-May-1978,0,2.55,2.48,2.48,10000,1.19
15-May-1978,0,2.55,2.48,2.48,23600,1.19
16-May-1978,0,2.44,2.37,2.37,74801,1.14
17-May-1978,0,2.44,2.37,2.37,38700,1.14
18-May-1978,0,2.44,2.34,2.34,60699,1.13
19-May-1978,0,2.41,2.34,2.34,69499,1.13
22-May-1978,0,2.39,2.32,2.32,11099,1.12
23-May-1978,0,2.39,2.32,2.32,12700,1.12
24-May-1978,0,2.32,2.23,2.23,72300,1.07
25-May-1978,0,2.32,2.23,2.23,65300,1.07
26-May-1978,0,2.27,2.23,2.23,14001,1.07
30-May-1978,0,2.27,2.23,2.23,10000,1.07
31-May-1978,0,2.39,2.32,2.32,91700,1.12
01-Jun-1978,0,2.58,2.51,2.51,233099,1.21
02-Jun-1978,0,2.55,2.48,2.48,29199,1.19
05-Jun-1978,0,2.7,2.62,2.62,119301,1.26
06-Jun-1978,0,2.65,2.55,2.55,109901,1.23
07-Jun-1978,0,2.67,2.58,2.58,88499,1.24
08-Jun-1978,0,2.65,2.55,2.55,82101,1.23
09-Jun-1978,0,2.67,2.58,2.58,51299,1.24
12-Jun-1978,0,2.62,2.53,2.53,65300,1.22
13-Jun-1978,0,2.65,2.55,2.55,27699,1.23
14-Jun-1978,0,2.65,2.55,2.55,66500,1.23
15-Jun-1978,0,2.65,2.55,2.55,36401,1.23
16-Jun-1978,0,2.6,2.51,2.51,16701,1.21
19-Jun-1978,0,2.6,2.51,2.51,12700,1.21
20-Jun-1978,0,2.55,2.48,2.48,40399,1.19
21-Jun-1978,0,2.53,2.48,2.48,15201,1.19
22-Jun-1978,0,2.6,2.51,2.51,54299,1.21
23-Jun-1978,0,2.6,2.51,2.51,15201,1.21
26-Jun-1978,0,2.58,2.51,2.51,58400,1.21
27-Jun-1978,0,2.58,2.51,2.51,16701,1.21
28-Jun-1978,0,2.58,2.51,2.51,11099,1.21
29-Jun-1978,0,2.58,2.51,2.51,15201,1.21
30-Jun-1978,0,2.58,2.51,2.51,17999,1.21
03-Jul-1978,NaN,NaN,NaN,2.51,0,1.21
05-Jul-1978,0,2.58,2.51,2.51,16701,1.21
06-Jul-1978,0,2.58,2.51,2.51,14001,1.21
07-Jul-1978,0,2.55,2.48,2.48,14001,1.19
10-Jul-1978,0,2.55,2.48,2.48,40399,1.19
11-Jul-1978,0,2.53,2.48,2.48,36401,1.19
12-Jul-1978,0,2.51,2.46,2.46,102500,1.18
13-Jul-1978,0,2.51,2.44,2.44,40399,1.18
14-Jul-1978,0,2.6,2.51,2.51,76699,1.21
17-Jul-1978,0,2.6,2.51,2.51,19201,1.21
18-Jul-1978,0,2.67,2.58,2.58,65300,1.24
19-Jul-1978,0,2.7,2.62,2.62,35100,1.26
20-Jul-1978,0,2.81,2.74,2.74,95900,1.32
21-Jul-1978,0,2.79,2.72,2.72,52799,1.31
24-Jul-1978,0,2.77,2.7,2.7,33101,1.3
25-Jul-1978,0,2.84,2.77,2.77,46900,1.33
