Date,Open,High,Low,Close,Volume,AdjClose
14-Feb-1994,0,3,2.5,3,1200,2.3
15-Feb-1994,NaN,NaN,NaN,3,0,2.3
16-Feb-1994,0,2.5,2.5,2.5,1000,1.92
17-Feb-1994,NaN,NaN,NaN,2.5,0,1.92
18-Feb-1994,0,3,2.75,3,36500,2.3
22-Feb-1994,0,3,2.88,2.88,31000,2.21
23-Feb-1994,NaN,NaN,NaN,2.88,0,2.21
24-Feb-1994,0,3.12,2.75,2.88,45200,2.21
25-Feb-1994,NaN,NaN,NaN,2.88,0,2.21
28-Feb-1994,NaN,NaN,NaN,2.88,0,2.21
01-Mar-1994,0,3,3,3,500,2.3
02-Mar-1994,0,2.75,2.75,2.75,1000,2.11
03-Mar-1994,0,3.12,3.12,3.12,100,2.39
04-Mar-1994,NaN,NaN,NaN,3.12,0,2.39
07-Mar-1994,NaN,NaN,NaN,3.12,0,2.39
08-Mar-1994,0,2.88,2.75,2.88,7000,2.21
09-Mar-1994,0,2.88,2.75,2.88,4200,2.21
10-Mar-1994,0,3,2.75,2.75,3200,2.11
11-Mar-1994,NaN,NaN,NaN,2.75,0,2.11
14-Mar-1994,NaN,NaN,NaN,2.75,0,2.11
15-Mar-1994,NaN,NaN,NaN,2.75,0,2.11
16-Mar-1994,0,2.75,2.75,2.75,600,2.11
17-Mar-1994,0,3,2.75,3,1500,2.3
18-Mar-1994,0,2.94,2.75,2.75,3400,2.11
21-Mar-1994,NaN,NaN,NaN,2.75,0,2.11
22-Mar-1994,NaN,NaN,NaN,2.75,0,2.11
23-Mar-1994,NaN,NaN,NaN,2.75,0,2.11
24-Mar-1994,0,3.12,3.12,3.12,3000,2.39
25-Mar-1994,NaN,NaN,NaN,3.12,0,2.39
28-Mar-1994,NaN,NaN,NaN,3.12,0,2.39
29-Mar-1994,NaN,NaN,NaN,3.12,0,2.39
30-Mar-1994,0,3,2.88,2.88,20000,2.21
31-Mar-1994,0,3.12,2.75,2.75,6000,2.11
04-Apr-1994,0,3,2.75,2.75,9500,2.11
05-Apr-1994,NaN,NaN,NaN,2.75,0,2.11
06-Apr-1994,0,2.98,2.77,2.77,16700,2.12
07-Apr-1994,0,3.12,2.75,3.12,4000,2.39
08-Apr-1994,NaN,NaN,NaN,3.12,0,2.39
11-Apr-1994,NaN,NaN,NaN,3.12,0,2.39
12-Apr-1994,0,2.75,2.75,2.75,500,2.11
13-Apr-1994,NaN,NaN,NaN,2.75,0,2.11
14-Apr-1994,NaN,NaN,NaN,2.75,0,2.11
15-Apr-1994,0,3,3,3,5000,2.3
18-Apr-1994,NaN,NaN,NaN,3,0,2.3
19-Apr-1994,0,2.88,2.88,2.88,4100,2.21
20-Apr-1994,NaN,NaN,NaN,2.88,0,2.21
21-Apr-1994,0,2.88,2.88,2.88,1000,2.21
22-Apr-1994,0,3,3,3,10000,2.3
25-Apr-1994,0,2.8,2.8,2.8,7500,2.15
26-Apr-1994,0,3,3,3,2200,2.3
28-Apr-1994,NaN,NaN,NaN,3,0,2.3
29-Apr-1994,0,3.12,2.88,3.12,9500,2.39
02-May-1994,0,2.88,2.88,2.88,3000,2.21
03-May-1994,0,3,2.88,3,9000,2.3
04-May-1994,0,2.75,2.75,2.75,3200,2.11
05-May-1994,0,3,3,3,6000,2.3
06-May-1994,NaN,NaN,NaN,3,0,2.3
09-May-1994,NaN,NaN,NaN,3,0,2.3
10-May-1994,NaN,NaN,NaN,3,0,2.3
11-May-1994,0,3,3,3,200,2.3
12-May-1994,0,2.75,2.75,2.75,10000,2.11
13-May-1994,NaN,NaN,NaN,2.75,0,2.11
16-May-1994,NaN,NaN,NaN,2.75,0,2.11
17-May-1994,NaN,NaN,NaN,2.75,0,2.11
18-May-1994,NaN,NaN,NaN,2.75,0,2.11
19-May-1994,NaN,NaN,NaN,2.75,0,2.11
20-May-1994,NaN,NaN,NaN,2.75,0,2.11
23-May-1994,0,3,2.81,2.81,7500,2.15
24-May-1994,NaN,NaN,NaN,2.81,0,2.15
25-May-1994,NaN,NaN,NaN,2.81,0,2.15
26-May-1994,NaN,NaN,NaN,2.81,0,2.15
27-May-1994,NaN,NaN,NaN,2.81,0,2.15
31-May-1994,NaN,NaN,NaN,2.81,0,2.15
01-Jun-1994,0,2.75,2.75,2.75,1000,2.11
02-Jun-1994,0,3,2.88,3,1400,2.3
03-Jun-1994,0,2.62,2.62,2.62,1100,2.01
06-Jun-1994,0,3,3,3,400,2.3
07-Jun-1994,0,3,2.88,2.88,2900,2.21
08-Jun-1994,NaN,NaN,NaN,2.88,0,2.21
09-Jun-1994,NaN,NaN,NaN,2.88,0,2.21
10-Jun-1994,0,3,3,3,1000,2.3
13-Jun-1994,NaN,NaN,NaN,3,0,2.3
14-Jun-1994,0,2.88,2.62,2.62,20000,2.01
15-Jun-1994,NaN,NaN,NaN,2.62,0,2.01
16-Jun-1994,NaN,NaN,NaN,2.62,0,2.01
17-Jun-1994,0,3,2.88,3,6100,2.3
20-Jun-1994,NaN,NaN,NaN,3,0,2.3
21-Jun-1994,0,3,2.75,2.75,12000,2.11
22-Jun-1994,0,2.62,2.62,2.62,1200,2.01
23-Jun-1994,0,3,3,3,500,2.3
24-Jun-1994,0,3,2.62,2.62,3400,2.01
27-Jun-1994,NaN,NaN,NaN,2.62,0,2.01
28-Jun-1994,NaN,NaN,NaN,2.62,0,2.01
29-Jun-1994,0,2.95,2.95,2.95,2000,2.26
30-Jun-1994,0,3,3,3,500,2.3
01-Jul-1994,NaN,NaN,NaN,3,0,2.3
05-Jul-1994,NaN,NaN,NaN,3,0,2.3
06-Jul-1994,NaN,NaN,NaN,3,0,2.3
07-Jul-1994,0,2.62,2.62,2.62,10000,2.01
08-Jul-1994,0,2.86,2.84,2.86,10000,2.19
11-Jul-1994,NaN,NaN,NaN,2.86,0,2.19
12-Jul-1994,0,3,2.75,2.75,13600,2.11
13-Jul-1994,NaN,NaN,NaN,2.75,0,2.11
14-Jul-1994,0,2.86,2.86,2.86,3000,2.19
15-Jul-1994,NaN,NaN,NaN,2.86,0,2.19
18-Jul-1994,NaN,NaN,NaN,2.86,0,2.19
19-Jul-1994,0,3,3,3,500,2.3
20-Jul-1994,NaN,NaN,NaN,3,0,2.3
21-Jul-1994,NaN,NaN,NaN,3,0,2.3
22-Jul-1994,0,3,2.75,2.75,20000,2.11
25-Jul-1994,NaN,NaN,NaN,2.75,0,2.11
26-Jul-1994,NaN,NaN,NaN,2.75,0,2.11
27-Jul-1994,NaN,NaN,NaN,2.75,0,2.11
28-Jul-1994,NaN,NaN,NaN,2.75,0,2.11
29-Jul-1994,0,2.62,2.62,2.62,100,2.01
01-Aug-1994,0,3,3,3,200,2.3
02-Aug-1994,NaN,NaN,NaN,3,0,2.3
03-Aug-1994,NaN,NaN,NaN,3,0,2.3
04-Aug-1994,NaN,NaN,NaN,3,0,2.3
05-Aug-1994,0,3,3,3,500,2.3
08-Aug-1994,0,2.62,2.62,2.62,2000,2.01
09-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
10-Aug-1994,0,3,2.62,2.62,1800,2.01
11-Aug-1994,0,2.94,2.69,2.69,20200,2.06
12-Aug-1994,0,2.62,2.62,2.62,500,2.01
15-Aug-1994,0,2.62,2.62,2.62,1000,2.01
16-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
17-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
18-Aug-1994,0,2.62,2.62,2.62,4200,2.01
19-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
22-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
23-Aug-1994,0,2.75,2.62,2.62,3700,2.01
24-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
25-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
26-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
29-Aug-1994,NaN,NaN,NaN,2.62,0,2.01
30-Aug-1994,0,2.62,2.62,2.62,5000,2.01
31-Aug-1994,0,2.62,2.62,2.62,2000,2.01
01-Sep-1994,NaN,NaN,NaN,2.62,0,2.01
02-Sep-1994,NaN,NaN,NaN,2.62,0,2.01
06-Sep-1994,NaN,NaN,NaN,2.62,0,2.01
07-Sep-1994,NaN,NaN,NaN,2.62,0,2.01
08-Sep-1994,NaN,NaN,NaN,2.62,0,2.01
09-Sep-1994,0,2.75,2.75,2.75,3000,2.11
12-Sep-1994,0,2.75,2.75,2.75,3000,2.11
13-Sep-1994,0,2.88,2.88,2.88,5000,2.21
14-Sep-1994,0,3.12,3.12,3.12,3000,2.39
15-Sep-1994,NaN,NaN,NaN,3.12,0,2.39
16-Sep-1994,0,3,3,3,10000,2.3
19-Sep-1994,0,3.12,3.12,3.12,1500,2.39
20-Sep-1994,0,3.12,3.12,3.12,600,2.39
21-Sep-1994,0,3.12,3.12,3.12,100,2.39
22-Sep-1994,0,3,2.75,3,19000,2.3
23-Sep-1994,NaN,NaN,NaN,3,0,2.3
26-Sep-1994,NaN,NaN,NaN,3,0,2.3
27-Sep-1994,NaN,NaN,NaN,3,0,2.3
28-Sep-1994,NaN,NaN,NaN,3,0,2.3
29-Sep-1994,NaN,NaN,NaN,3,0,2.3
30-Sep-1994,NaN,NaN,NaN,3,0,2.3
03-Oct-1994,0,3,2.88,2.88,9000,2.21
04-Oct-1994,0,3,2.81,3,20500,2.3
05-Oct-1994,NaN,NaN,NaN,3,0,2.3
06-Oct-1994,0,2.88,2.62,2.62,6200,2.01
07-Oct-1994,0,2.88,2.88,2.88,1100,2.21
10-Oct-1994,NaN,NaN,NaN,2.88,0,2.21
11-Oct-1994,NaN,NaN,NaN,2.88,0,2.21
12-Oct-1994,NaN,NaN,NaN,2.88,0,2.21
13-Oct-1994,0,2.88,2.88,2.88,2000,2.21
14-Oct-1994,0,2.62,2.62,2.62,1200,2.01
17-Oct-1994,0,2.75,2.75,2.75,2300,2.11
18-Oct-1994,0,2.75,2.75,2.75,2600,2.11
