Date,Open,High,Low,Close,Volume,AdjClose
28-Jun-1984,0,1.79,1.75,1.75,1305798,0.93
29-Jun-1984,0,1.82,1.77,1.77,196998,0.94
02-Jul-1984,0,1.79,1.75,1.75,384402,0.93
03-Jul-1984,0,1.77,1.73,1.73,162198,0.92
05-Jul-1984,0,1.77,1.73,1.73,19200,0.92
06-Jul-1984,0,1.81,1.75,1.75,67200,0.93
09-Jul-1984,0,1.83,1.77,1.77,32400,0.94
10-Jul-1984,0,1.91,1.83,1.83,73200,0.97
11-Jul-1984,0,1.91,1.87,1.87,62400,0.99
12-Jul-1984,0,1.96,1.89,1.89,45600,1
13-Jul-1984,0,1.98,1.91,1.91,16800,1.01
16-Jul-1984,0,1.96,1.91,1.91,79200,1.01
17-Jul-1984,0,1.94,1.91,1.91,210198,1.01
18-Jul-1984,0,1.94,1.87,1.87,126198,0.99
19-Jul-1984,0,1.91,1.87,1.87,193398,0.99
20-Jul-1984,0,1.87,1.81,1.81,78000,0.96
23-Jul-1984,0,1.75,1.69,1.69,766398,0.89
24-Jul-1984,0,1.75,1.69,1.69,85200,0.89
25-Jul-1984,0,1.73,1.69,1.69,124998,0.89
26-Jul-1984,0,1.73,1.69,1.69,24000,0.89
27-Jul-1984,0,1.75,1.69,1.69,216198,0.89
30-Jul-1984,0,1.75,1.71,1.71,48000,0.91
31-Jul-1984,0,1.75,1.71,1.71,1200,0.91
01-Aug-1984,0,1.77,1.73,1.73,244998,0.92
02-Aug-1984,0,1.89,1.83,1.83,114198,0.97
03-Aug-1984,0,1.89,1.85,1.85,19200,0.98
06-Aug-1984,0,1.89,1.85,1.85,75600,0.98
07-Aug-1984,0,1.94,1.87,1.87,20400,0.99
08-Aug-1984,0,1.94,1.89,1.89,109398,1
09-Aug-1984,0,1.96,1.89,1.89,64800,1
10-Aug-1984,0,2.08,2.02,2.02,72000,1.07
13-Aug-1984,0,2.08,2.04,2.04,32400,1.08
14-Aug-1984,0,2.06,2,2,46800,1.06
15-Aug-1984,0,2,1.98,1.98,145398,1.05
16-Aug-1984,0,2.02,1.98,1.98,14400,1.05
17-Aug-1984,0,2.02,1.98,1.98,13200,1.05
20-Aug-1984,0,2,1.98,1.98,43200,1.05
21-Aug-1984,0,2.02,1.98,1.98,27600,1.05
22-Aug-1984,0,2.04,1.98,1.98,45600,1.05
23-Aug-1984,0,2.04,2,2,21600,1.06
24-Aug-1984,0,2.04,2,2,116598,1.06
27-Aug-1984,0,2.04,2,2,3600,1.06
28-Aug-1984,0,2.04,2,2,8400,1.06
29-Aug-1984,0,2.04,2,2,56400,1.06
30-Aug-1984,0,2.06,2,2,33600,1.06
31-Aug-1984,0,2.06,2,2,13200,1.06
04-Sep-1984,0,2.06,2,2,1200,1.06
05-Sep-1984,0,2.02,1.94,1.94,66000,1.03
06-Sep-1984,0,2.02,1.94,1.94,16800,1.03
07-Sep-1984,0,2.02,1.94,1.94,3600,1.03
10-Sep-1984,0,2,1.94,1.94,25200,1.03
11-Sep-1984,0,2.02,1.96,1.96,22800,1.04
12-Sep-1984,0,2.1,2.04,2.04,52800,1.08
13-Sep-1984,0,2.29,2.23,2.23,43200,1.18
14-Sep-1984,0,2.29,2.23,2.23,36000,1.18
17-Sep-1984,0,2.29,2.23,2.23,6000,1.18
18-Sep-1984,0,2.25,2.19,2.19,85200,1.16
19-Sep-1984,0,2.25,2.19,2.19,31200,1.16
20-Sep-1984,0,2.25,2.19,2.19,13200,1.16
21-Sep-1984,0,2.25,2.19,2.19,27600,1.16
24-Sep-1984,0,2.27,2.19,2.19,22800,1.16
25-Sep-1984,0,2.27,2.19,2.19,15600,1.16
26-Sep-1984,NaN,NaN,NaN,2.19,0,1.16
27-Sep-1984,0,2.29,2.23,2.23,55200,1.18
28-Sep-1984,0,2.35,2.29,2.29,44400,1.21
01-Oct-1984,0,2.33,2.25,2.25,4800,1.19
02-Oct-1984,0,2.33,2.25,2.25,3600,1.19
03-Oct-1984,0,2.29,2.21,2.21,19200,1.17
