Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.85,1.8,1.8,50600,0.93
04-Jan-1978,0,1.8,1.77,1.78,79200,0.91
05-Jan-1978,0,1.8,1.77,1.77,55200,0.91
06-Jan-1978,0,1.75,1.71,1.71,105400,0.88
09-Jan-1978,0,1.7,1.67,1.67,108000,0.86
10-Jan-1978,0,1.7,1.66,1.66,110600,0.85
11-Jan-1978,0,1.68,1.66,1.66,64800,0.85
12-Jan-1978,0,1.69,1.66,1.68,60000,0.86
13-Jan-1978,0,1.74,1.69,1.74,240400,0.89
16-Jan-1978,0,1.78,1.75,1.75,88800,0.9
17-Jan-1978,0,1.78,1.76,1.78,38600,0.91
18-Jan-1978,0,1.84,1.8,1.84,189400,0.95
19-Jan-1978,0,1.86,1.83,1.83,156000,0.94
20-Jan-1978,0,1.84,1.83,1.83,16800,0.94
23-Jan-1978,0,1.82,1.81,1.81,14600,0.93
24-Jan-1978,0,1.83,1.8,1.83,38600,0.94
25-Jan-1978,0,1.84,1.83,1.83,43200,0.94
26-Jan-1978,0,1.85,1.84,1.84,40800,0.95
27-Jan-1978,0,1.88,1.84,1.88,43200,0.97
30-Jan-1978,0,1.91,1.88,1.9,148800,0.98
31-Jan-1978,0,1.89,1.88,1.88,55200,0.97
01-Feb-1978,0,1.88,1.87,1.88,100800,0.97
02-Feb-1978,0,1.89,1.88,1.88,26600,0.97
03-Feb-1978,0,1.88,1.85,1.87,40800,0.96
06-Feb-1978,0,1.86,1.84,1.84,26600,0.95
07-Feb-1978,0,1.87,1.84,1.84,38600,0.95
08-Feb-1978,0,1.88,1.83,1.87,122600,0.96
09-Feb-1978,0,1.88,1.87,1.88,115200,0.97
10-Feb-1978,0,1.91,1.88,1.91,148800,0.98
13-Feb-1978,0,1.93,1.91,1.92,76800,0.99
14-Feb-1978,0,1.91,1.9,1.9,28800,0.98
15-Feb-1978,0,1.91,1.88,1.88,36000,0.97
16-Feb-1978,0,1.89,1.86,1.86,57400,0.96
17-Feb-1978,0,1.86,1.85,1.85,31200,0.95
21-Feb-1978,0,1.86,1.82,1.82,105400,0.94
22-Feb-1978,0,1.82,1.8,1.8,28800,0.93
23-Feb-1978,0,1.82,1.8,1.82,48000,0.94
24-Feb-1978,0,1.83,1.82,1.83,144000,0.94
27-Feb-1978,0,1.83,1.8,1.81,52800,0.93
28-Feb-1978,0,1.8,1.79,1.79,36000,0.92
01-Mar-1978,0,1.79,1.78,1.78,16800,0.91
02-Mar-1978,0,1.79,1.78,1.79,16800,0.92
03-Mar-1978,0,1.8,1.8,1.8,16800,0.93
06-Mar-1978,0,1.8,1.77,1.77,86600,0.91
07-Mar-1978,0,1.79,1.77,1.79,19200,0.92
08-Mar-1978,0,1.77,1.73,1.74,199200,0.89
09-Mar-1978,0,1.77,1.74,1.76,168000,0.9
10-Mar-1978,0,1.77,1.77,1.77,21400,0.91
13-Mar-1978,0,1.85,1.77,1.79,73000,0.92
14-Mar-1978,0,1.82,1.79,1.79,60000,0.92
15-Mar-1978,0,1.8,1.77,1.77,21400,0.91
16-Mar-1978,0,1.82,1.76,1.82,37000,0.94
17-Mar-1978,0,1.82,1.76,1.77,35000,0.91
20-Mar-1978,0,1.8,1.77,1.8,78200,0.93
21-Mar-1978,0,1.82,1.8,1.8,92400,0.93
22-Mar-1978,0,1.82,1.77,1.77,61000,0.91
23-Mar-1978,0,1.77,1.77,1.77,31200,0.91
27-Mar-1978,0,1.83,1.79,1.83,40800,0.94
28-Mar-1978,0,1.82,1.82,1.82,42200,0.94
29-Mar-1978,0,1.83,1.82,1.83,86600,0.94
30-Mar-1978,0,1.83,1.83,1.83,47000,0.94
31-Mar-1978,0,1.87,1.82,1.87,26600,0.96
