Date,Open,High,Low,Close,Volume,AdjClose
02-Jun-1987,0,6.06,5.56,6,13716800,3.92
03-Jun-1987,0,6.31,6.03,6.19,2369200,4.04
04-Jun-1987,0,6.72,6.22,6.56,2735200,4.28
05-Jun-1987,0,6.69,6.5,6.69,1134000,4.37
08-Jun-1987,0,7.22,6.69,7.19,3014400,4.7
09-Jun-1987,0,7.38,7,7.25,1477200,4.73
10-Jun-1987,0,7.38,7.12,7.25,1041600,4.73
11-Jun-1987,0,7.31,7.19,7.25,660000,4.73
12-Jun-1987,0,7.44,7.25,7.44,359200,4.86
15-Jun-1987,0,7.5,7.25,7.28,232400,4.75
16-Jun-1987,0,7.34,7.12,7.12,407200,4.65
17-Jun-1987,0,7.62,7.06,7.56,1214400,4.94
18-Jun-1987,0,7.97,7.53,7.97,633600,5.2
19-Jun-1987,0,8.25,7.94,8.06,550400,5.26
22-Jun-1987,0,8.09,7.97,8,628800,5.22
23-Jun-1987,0,8.03,7.94,7.94,741600,5.19
24-Jun-1987,0,8.03,7.78,7.81,236800,5.1
25-Jun-1987,0,7.88,7.78,7.78,348800,5.08
26-Jun-1987,0,7.88,7.78,7.88,51600,5.15
29-Jun-1987,0,7.88,7.69,7.78,265600,5.08
30-Jun-1987,0,7.81,7.72,7.78,491200,5.08
01-Jul-1987,0,7.88,7.81,7.84,582400,5.12
02-Jul-1987,0,8,7.81,7.97,267600,5.2
06-Jul-1987,0,8.25,7.94,8.25,636800,5.39
07-Jul-1987,0,8.5,8.19,8.38,391200,5.47
08-Jul-1987,0,8.47,8.38,8.47,248400,5.53
09-Jul-1987,0,8.53,8.44,8.5,223200,5.55
10-Jul-1987,0,9.16,8.56,9.09,486400,5.94
13-Jul-1987,0,9.25,9.12,9.22,355200,6.02
14-Jul-1987,0,9.66,9.19,9.59,216800,6.26
15-Jul-1987,0,9.66,9.12,9.12,2186400,5.96
16-Jul-1987,0,9.19,8.75,8.84,768800,5.77
17-Jul-1987,0,8.91,8.81,8.91,558000,5.82
