Date,Open,High,Low,Close,Volume,AdjClose
05-Feb-2002,107,110,100,101,400,83.71
06-Feb-2002,100,100,55.2,63.4,6000,52.55
07-Feb-2002,65,67,60,62,600,51.39
08-Feb-2002,61,64,61,63,400,52.21
11-Feb-2002,65,66,63,65.4,700,54.2
12-Feb-2002,66,66,63,63.2,200,52.38
13-Feb-2002,NaN,NaN,NaN,65.4,0,54.2
14-Feb-2002,66,66,65,65,900,53.87
15-Feb-2002,66.6,68.6,65,68.6,200,56.86
19-Feb-2002,68.6,68.6,67,67,200,55.53
20-Feb-2002,65,65,63,65,300,53.87
21-Feb-2002,63,66,61,63,200,52.21
22-Feb-2002,63,64,57,58,400,48.07
25-Feb-2002,60,60,54.2,54.2,100,44.92
26-Feb-2002,54.2,55.2,54.2,55.2,200,45.75
27-Feb-2002,57,58,54,54,300,44.76
28-Feb-2002,57.8,59,56,57.8,100,47.91
01-Mar-2002,60,67.8,60,66.6,700,55.2
04-Mar-2002,66.6,68,64,66,300,54.7
05-Mar-2002,67.8,70,66,68,400,56.36
06-Mar-2002,66,67.6,65,66.6,300,55.2
07-Mar-2002,67.6,67.6,66,66,200,54.7
08-Mar-2002,66,67,66,67,200,55.53
11-Mar-2002,68.8,68.8,67.4,67.4,100,55.86
12-Mar-2002,68,70,68,68,100,56.36
13-Mar-2002,70,70,68.2,69.2,100,57.35
14-Mar-2002,69.2,71,69.2,70.8,100,58.68
15-Mar-2002,73,75,73,74,100,61.33
18-Mar-2002,75,75.8,74,74,400,61.33
19-Mar-2002,75,75.8,75,75,100,62.16
20-Mar-2002,73.2,76,73.2,75,700,62.16
21-Mar-2002,76,76,75,75,100,62.16
22-Mar-2002,NaN,NaN,NaN,73.6,0,61
25-Mar-2002,72,72,68.2,68.2,200,56.52
26-Mar-2002,68.2,68.2,68,68,100,56.36
27-Mar-2002,66,66,60.2,60.2,300,49.89
28-Mar-2002,62.2,62.8,60.2,62.6,100,51.88
01-Apr-2002,64,64,62,63,400,52.21
02-Apr-2002,64,64,63,64,1600,53.04
03-Apr-2002,63.2,64,56.2,56.2,1400,46.58
04-Apr-2002,57,57,54,55,1100,45.58
05-Apr-2002,56,56,52.2,52.2,200,43.26
08-Apr-2002,52.2,53,49,52.8,800,43.76
09-Apr-2002,52.8,53,48,48,400,39.78
10-Apr-2002,49,49.8,48,49.8,200,41.27
11-Apr-2002,48,49.6,48,48.8,300,40.45
12-Apr-2002,47,52,47,52,700,43.1
15-Apr-2002,52,55,52,54,100,44.76
16-Apr-2002,56,58.6,55,57,400,47.24
17-Apr-2002,57.2,58.6,57,58,200,48.07
18-Apr-2002,NaN,NaN,NaN,58,0,48.07
19-Apr-2002,57.6,57.6,56.2,56.2,100,46.58
22-Apr-2002,56,56,55,55.2,100,45.75
23-Apr-2002,NaN,NaN,NaN,56,0,46.41
24-Apr-2002,56,56,55,55,400,45.58
25-Apr-2002,51,54,51,52,900,43.1
26-Apr-2002,54,59,54,57,600,47.24
29-Apr-2002,57,61,57,60,300,49.73
30-Apr-2002,60,60,60,60,100,49.73
01-May-2002,59,60,56,56.8,500,47.08
02-May-2002,55,55,52.2,52.2,200,43.26
03-May-2002,53,53,50,52,100,43.1
06-May-2002,NaN,NaN,NaN,51,0,42.27
07-May-2002,52,56,52,55,300,45.58
08-May-2002,NaN,NaN,NaN,56,0,46.41
09-May-2002,56,58,55,55,100,45.58
10-May-2002,53,53,51,51,400,42.27
13-May-2002,51.2,52,50,52,400,43.1
14-May-2002,50.2,54,50.2,53,100,43.93
15-May-2002,NaN,NaN,NaN,51.2,0,42.43
16-May-2002,51,53,51,53,200,43.93
17-May-2002,53,56,53,54,100,44.76
20-May-2002,54,57,54,57,100,47.24
21-May-2002,NaN,NaN,NaN,55,0,45.58
22-May-2002,NaN,NaN,NaN,54.2,0,44.92
23-May-2002,NaN,NaN,NaN,54.2,0,44.92
24-May-2002,52.2,54.4,52.2,54.2,100,44.92
28-May-2002,NaN,NaN,NaN,53,0,43.93
29-May-2002,NaN,NaN,NaN,53,0,43.93
30-May-2002,53.8,53.8,52.8,53,100,43.93
31-May-2002,52.4,52.4,52,52,100,43.1
03-Jun-2002,50,51,50,51,100,42.27
04-Jun-2002,50,50,47,47,400,38.95
05-Jun-2002,NaN,NaN,NaN,46,0,38.13
06-Jun-2002,44,44.4,42,44.4,100,36.8
07-Jun-2002,NaN,NaN,NaN,44.4,0,36.8
10-Jun-2002,40,44,40,42,100,34.81
11-Jun-2002,41.8,41.8,40.8,40.8,100,33.82
12-Jun-2002,40,40,37,37,400,30.67
