Date,Open,High,Low,Close,Volume,AdjClose
10-Nov-2009,10.05,10.05,9.36,9.59,44073,9.59
11-Nov-2009,9.8,10.5,9.8,9.97,114639,9.97
12-Nov-2009,9.77,9.96,9.4,9.41,60043,9.41
13-Nov-2009,9.43,9.68,9.31,9.5,318249,9.5
16-Nov-2009,9.68,10.24,9.68,10.16,90930,10.16
17-Nov-2009,10.15,10.44,10.02,10.28,61115,10.28
18-Nov-2009,10.31,10.31,10.07,10.27,33497,10.27
19-Nov-2009,10.15,10.2,9.64,9.91,100408,9.91
20-Nov-2009,9.84,10.03,9.72,9.96,46280,9.96
23-Nov-2009,10.2,10.48,9.97,10.03,69267,10.03
24-Nov-2009,10,10,9.57,9.76,47122,9.76
25-Nov-2009,9.84,9.92,9.53,9.55,56825,9.55
27-Nov-2009,9.5,9.51,9.18,9.43,32604,9.43
30-Nov-2009,9.38,9.59,9.01,9.57,85030,9.57
01-Dec-2009,9.72,10.01,9.58,9.65,121556,9.65
02-Dec-2009,9.67,9.86,9.57,9.64,190391,9.64
03-Dec-2009,9.7,9.71,9.29,9.3,145402,9.3
04-Dec-2009,9.52,10.29,9.4,10.2,583363,10.2
07-Dec-2009,10.1,10.28,9.95,10.21,81119,10.21
08-Dec-2009,10.05,10.46,9.97,10.43,66978,10.43
09-Dec-2009,10.41,10.47,10.1,10.29,42320,10.29
10-Dec-2009,10.3,10.45,9.79,9.94,79359,9.94
11-Dec-2009,9.99,10.18,9.7,10.08,139097,10.08
14-Dec-2009,10.15,10.16,9.93,10.04,126033,10.04
15-Dec-2009,10.02,10.27,9.86,9.91,77790,9.91
16-Dec-2009,10.05,10.34,9.91,9.97,55717,9.97
17-Dec-2009,9.85,10.08,9.61,9.73,144092,9.73
18-Dec-2009,9.78,10.28,9.78,10.28,326703,10.28
21-Dec-2009,10.34,10.62,10.28,10.35,121589,10.35
22-Dec-2009,10.35,10.55,10.19,10.47,40535,10.47
23-Dec-2009,10.54,10.76,10.32,10.65,35732,10.65
24-Dec-2009,10.7,10.77,10.6,10.77,16839,10.77
28-Dec-2009,10.86,10.9,10.6,10.75,17407,10.75
29-Dec-2009,10.81,10.91,10.57,10.89,32563,10.89
