Date,Open,High,Low,Close,Volume,AdjClose
18-Oct-1999,0,12.44,10.62,10.62,70700,9.64
19-Oct-1999,0,10.88,10.31,10.38,39300,9.42
20-Oct-1999,0,10.25,9.94,10.25,113400,9.31
21-Oct-1999,0,10.25,10.12,10.19,82100,9.25
22-Oct-1999,0,11,10.06,10.81,74600,9.81
25-Oct-1999,0,10.88,10.62,10.62,47900,9.64
26-Oct-1999,0,10.56,9,9,84400,8.17
27-Oct-1999,0,9.5,9,9.38,57300,8.52
28-Oct-1999,0,9.31,8.94,9.25,38000,8.4
29-Oct-1999,0,9.5,9,9.5,103300,8.62
01-Nov-1999,0,10,9.56,10,34700,9.08
02-Nov-1999,0,10.12,9.75,9.75,145900,8.85
03-Nov-1999,0,9.75,9.38,9.5,235600,8.62
04-Nov-1999,0,9.94,9.5,9.62,147900,8.73
05-Nov-1999,0,9.75,9.5,9.69,78700,8.8
08-Nov-1999,0,10,9.56,9.94,33700,9.02
09-Nov-1999,0,10,9.69,9.88,27000,8.97
10-Nov-1999,0,10,9.69,9.75,64900,8.85
11-Nov-1999,0,10.12,9.75,9.88,39600,8.97
12-Nov-1999,0,10,9.88,9.94,20300,9.02
15-Nov-1999,0,10.25,10,10.25,47800,9.31
16-Nov-1999,0,10.38,10,10,52700,9.08
17-Nov-1999,0,10.12,10,10.06,46100,9.13
18-Nov-1999,0,10.19,10,10.19,23000,9.25
19-Nov-1999,0,10.19,10,10.06,25600,9.13
22-Nov-1999,0,10.12,10,10.12,18900,9.19
23-Nov-1999,0,10.38,10.12,10.19,45100,9.25
24-Nov-1999,0,10.38,10.06,10.38,29500,9.42
26-Nov-1999,0,10.31,10.25,10.31,6200,9.36
29-Nov-1999,0,10.81,10,10.81,87100,9.81
30-Nov-1999,0,10.88,10.56,10.88,40600,9.88
01-Dec-1999,0,11.12,10.94,11,55100,9.99
02-Dec-1999,0,11.19,10.75,11.06,15400,10.04
03-Dec-1999,0,11.06,10.62,10.75,6700,9.76
06-Dec-1999,0,10.69,9.94,10.25,79600,9.31
07-Dec-1999,0,10.5,10.19,10.5,48000,9.53
08-Dec-1999,0,10.5,10.25,10.5,27700,9.53
09-Dec-1999,0,10.5,10.38,10.44,9400,9.48
10-Dec-1999,0,10.75,10.25,10.25,33000,9.31
13-Dec-1999,0,10.25,10.19,10.19,6400,9.25
14-Dec-1999,0,10.38,10.12,10.12,30300,9.19
15-Dec-1999,0,10.06,9.94,10.06,10600,9.13
16-Dec-1999,0,10.12,9.88,9.88,5600,8.97
17-Dec-1999,0,10.12,9.88,10,48500,9.08
20-Dec-1999,0,10.88,10.12,10.75,43000,9.76
21-Dec-1999,0,11,10.5,10.62,79000,9.64
22-Dec-1999,0,10.75,10.12,10.25,69900,9.31
23-Dec-1999,0,10.12,10.06,10.06,9600,9.13
27-Dec-1999,0,10.25,10,10,11100,9.08
28-Dec-1999,0,10.12,9.88,10.12,7800,9.19
29-Dec-1999,0,10.5,10.06,10.38,20000,9.42
30-Dec-1999,0,10.25,10.12,10.19,5200,9.25
31-Dec-1999,0,10.44,10.19,10.31,2500,9.36
03-Jan-2000,10.25,10.25,10,10,5100,9.08
04-Jan-2000,10.12,10.19,9.94,10,9500,9.08
05-Jan-2000,10.06,10.31,10,10.31,49900,9.36
06-Jan-2000,10.44,11,10.44,11,28200,9.99
07-Jan-2000,10.94,11.94,10.94,11.81,22300,10.72
10-Jan-2000,11.81,11.81,11.38,11.38,20300,10.33
11-Jan-2000,11.5,11.75,11.38,11.38,25400,10.33
12-Jan-2000,11.38,11.62,11.25,11.44,34200,10.39
13-Jan-2000,11.56,11.62,11.5,11.5,35800,10.44
14-Jan-2000,11.62,11.62,11.44,11.44,33700,10.39
18-Jan-2000,11.5,11.62,11.25,11.38,10800,10.33
19-Jan-2000,11.44,12,11.38,12,46900,10.89
20-Jan-2000,12,12.5,12,12.5,28900,11.35
21-Jan-2000,12.62,12.88,12.5,12.56,92500,11.4
24-Jan-2000,12.69,12.69,12.44,12.44,20700,11.29
25-Jan-2000,12.44,12.44,12.38,12.44,33200,11.29
26-Jan-2000,12.44,12.44,12.31,12.38,33400,11.24
27-Jan-2000,12.38,12.5,12.12,12.12,20700,11
28-Jan-2000,12.12,12.19,12.12,12.12,5500,11
31-Jan-2000,12,12.25,11.88,12.12,13100,11
01-Feb-2000,12.5,13.19,12.5,12.56,35000,11.4
02-Feb-2000,12.62,13.12,12.62,13.12,19400,11.91
03-Feb-2000,13.06,13.06,13,13,3500,11.8
04-Feb-2000,13,13.31,13,13.31,9100,12.08
07-Feb-2000,13.19,13.5,13.19,13.5,10700,12.26
08-Feb-2000,13.44,13.62,13.38,13.62,10900,12.36
09-Feb-2000,13.62,13.81,13.56,13.69,6000,12.43
10-Feb-2000,13.81,13.81,13.44,13.56,12200,12.31
11-Feb-2000,13.56,13.56,13.56,13.56,2900,12.31
14-Feb-2000,13.44,13.56,13.44,13.5,7500,12.26
15-Feb-2000,13.5,13.56,13.38,13.56,14700,12.31
16-Feb-2000,14,14.25,13.75,14.25,28200,12.94
17-Feb-2000,14.12,14.12,14,14.06,2800,12.76
18-Feb-2000,14,14.25,13.88,13.94,44600,12.66
22-Feb-2000,13.88,14,13.88,13.88,12100,12.6
23-Feb-2000,14,14,13.75,13.81,17500,12.54
24-Feb-2000,13.94,13.94,13.5,13.5,44600,12.26
25-Feb-2000,13.5,13.5,13.38,13.38,16700,12.15
28-Feb-2000,13.38,13.38,13.25,13.31,89400,12.08
29-Feb-2000,13.31,13.31,13.25,13.25,15700,12.03
01-Mar-2000,0,13.38,13.25,13.31,17000,12.08
02-Mar-2000,0,13.62,13.31,13.56,82600,12.31
03-Mar-2000,0,13.69,13.44,13.56,57500,12.31
06-Mar-2000,0,13.81,13.56,13.69,34300,12.43
07-Mar-2000,13.81,13.88,13.62,13.88,5900,12.6
08-Mar-2000,13.88,14.38,13.69,14.19,73000,12.88
09-Mar-2000,14.12,14.38,14,14.31,10000,12.99
10-Mar-2000,14.31,14.38,14.25,14.25,1700,12.94
13-Mar-2000,14.31,14.88,14.31,14.88,7300,13.51
14-Mar-2000,14.75,15.12,14.75,15.12,6700,13.73
15-Mar-2000,15.25,15.25,14.62,14.75,32900,13.39
16-Mar-2000,14.75,14.88,14.5,14.81,5500,13.44
17-Mar-2000,14.69,14.88,14.56,14.81,13200,13.44
20-Mar-2000,14.88,14.94,14.75,14.75,19600,13.39
21-Mar-2000,14.62,14.62,14.5,14.62,20500,13.27
22-Mar-2000,14.62,14.75,14.25,14.38,30900,13.05
23-Mar-2000,14.25,14.56,14.25,14.56,28900,13.22
24-Mar-2000,14.62,14.62,14.44,14.44,9600,13.11
27-Mar-2000,14.31,14.44,14.12,14.25,7700,12.94
28-Mar-2000,14.31,14.31,14.12,14.12,22100,12.82
29-Mar-2000,14.12,14.12,13.62,13.75,63300,12.48
30-Mar-2000,13.88,13.88,13.62,13.62,12500,12.36
31-Mar-2000,13.62,13.62,13.31,13.31,25700,12.08
03-Apr-2000,13.31,13.31,13.19,13.25,9700,12.03
04-Apr-2000,13.25,13.62,13.25,13.56,121600,12.31
05-Apr-2000,13.59,13.62,13.5,13.62,61200,12.36
06-Apr-2000,13.56,13.75,13.56,13.69,2900,12.43
07-Apr-2000,13.69,13.69,13.56,13.56,600,12.31
10-Apr-2000,13.88,13.88,13.62,13.62,3200,12.36
11-Apr-2000,13.75,13.88,13.75,13.88,7800,12.6
