Date,Open,High,Low,Close,Volume,AdjClose
17-Dec-1992,0,10,9.67,9.67,810800,6.31
18-Dec-1992,0,10,9.67,9.67,177500,6.31
21-Dec-1992,0,10,9.5,9.5,89700,6.2
22-Dec-1992,0,9.84,9.5,9.5,47400,6.2
23-Dec-1992,0,9.84,9.5,9.59,32800,6.26
24-Dec-1992,0,9.59,9.5,9.59,10000,6.26
28-Dec-1992,0,9.84,9.5,9.5,30400,6.2
29-Dec-1992,0,9.67,9.5,9.59,28200,6.26
30-Dec-1992,0,9.84,9.5,9.67,54100,6.31
31-Dec-1992,0,9.84,9.5,9.5,23700,6.2
04-Jan-1993,0,6.56,6.34,6.34,44700,4.14
05-Jan-1993,0,6.56,6.34,6.56,33300,4.28
06-Jan-1993,0,6.67,6.34,6.34,29850,4.14
07-Jan-1993,0,6.34,6.34,6.34,14100,4.14
08-Jan-1993,0,6.56,6.34,6.34,22500,4.14
11-Jan-1993,0,6.39,6.34,6.39,11850,4.17
12-Jan-1993,0,6.45,6.34,6.39,34200,4.17
13-Jan-1993,0,6.39,6.34,6.34,90150,4.14
14-Jan-1993,0,6.39,6.34,6.34,54150,4.14
15-Jan-1993,0,6.56,6.34,6.39,85200,4.17
18-Jan-1993,0,6.56,6.34,6.34,1350,4.14
19-Jan-1993,0,6.56,6.34,6.34,7800,4.14
20-Jan-1993,0,6.45,6.23,6.34,287700,4.14
21-Jan-1993,0,6.17,6.11,6.17,52200,4.03
22-Jan-1993,0,6.17,6.11,6.17,100350,4.03
25-Jan-1993,0,6.45,6.11,6.17,47700,4.03
26-Jan-1993,0,6.45,6,6.06,159000,3.96
27-Jan-1993,0,6.34,6,6,11250,3.92
28-Jan-1993,0,6.23,6,6.23,193800,4.07
29-Jan-1993,0,6.06,6,6.06,10950,3.96
01-Feb-1993,0,6.23,6.11,6.11,10500,3.99
02-Feb-1993,0,6.23,6.11,6.17,46800,4.03
03-Feb-1993,0,6.17,6.11,6.11,198750,3.99
04-Feb-1993,0,6.45,6.11,6.45,103050,4.21
05-Feb-1993,0,6.45,6.11,6.45,129600,4.21
08-Feb-1993,0,6.56,6.39,6.39,7800,4.17
09-Feb-1993,0,6.34,6.23,6.23,123900,4.07
10-Feb-1993,0,6.56,6.23,6.23,8100,4.07
11-Feb-1993,0,6.23,6.23,6.23,6450,4.07
12-Feb-1993,0,6.34,6.23,6.34,119700,4.14
16-Feb-1993,0,6.34,6.23,6.23,20250,4.07
17-Feb-1993,0,6.28,6.11,6.11,96000,3.99
18-Feb-1993,0,6.23,5.78,5.78,53700,3.77
19-Feb-1993,0,5.89,5.78,5.84,80700,3.81
22-Feb-1993,0,6.23,6,6,22950,3.92
23-Feb-1993,0,6,6,6,3300,3.92
24-Feb-1993,0,6.67,6.23,6.56,282450,4.28
25-Feb-1993,NaN,NaN,NaN,6.56,0,4.28
26-Feb-1993,0,6.67,6.56,6.61,23850,4.32
01-Mar-1993,0,6.73,6.56,6.73,136950,4.39
02-Mar-1993,0,7,6.73,7,395550,4.57
03-Mar-1993,0,7.11,6.78,6.95,465900,4.54
04-Mar-1993,0,7,6.78,6.89,202350,4.5
05-Mar-1993,0,7.11,6.89,7.11,27450,4.64
08-Mar-1993,0,6.89,6.78,6.89,127500,4.5
09-Mar-1993,0,7,6.78,6.89,335100,4.5
10-Mar-1993,0,7,6.78,6.95,26250,4.54
11-Mar-1993,0,7,6.78,6.89,189600,4.5
12-Mar-1993,0,7,6.78,6.84,259350,4.47
15-Mar-1993,0,7.11,6.89,7.11,15000,4.64
16-Mar-1993,0,7.11,7,7.11,248100,4.64
17-Mar-1993,0,7.23,7,7.11,82950,4.64
18-Mar-1993,0,7.11,7,7.11,6000,4.64
19-Mar-1993,0,7.23,7,7.23,452850,4.72
22-Mar-1993,0,7.78,7.11,7.56,82050,4.94
23-Mar-1993,0,7.78,7.45,7.56,81900,4.94
24-Mar-1993,0,8.56,7.67,8.45,209550,5.52
25-Mar-1993,0,8.56,8.34,8.56,78000,5.59
26-Mar-1993,0,8.56,8.34,8.45,114900,5.52
29-Mar-1993,0,8.67,8.34,8.34,168150,5.45
