Date,Open,High,Low,Close,Volume,AdjClose
23-Jul-1987,0,2.37,2.3,2.3,513199,2.06
24-Jul-1987,0,2.37,2.3,2.3,142600,2.06
27-Jul-1987,0,2.23,2.15,2.15,112600,1.92
28-Jul-1987,0,2.3,2.23,2.23,82498,2
29-Jul-1987,0,2.37,2.26,2.26,124301,2.02
30-Jul-1987,0,2.37,2.26,2.26,54901,2.02
31-Jul-1987,0,2.34,2.26,2.26,17101,2.02
03-Aug-1987,0,2.45,2.26,2.26,32501,2.02
04-Aug-1987,0,2.34,2.26,2.26,24300,2.02
05-Aug-1987,0,2.34,2.19,2.19,23800,1.96
06-Aug-1987,0,2.34,2.19,2.19,2801,1.96
07-Aug-1987,0,2.34,2.19,2.19,10300,1.96
10-Aug-1987,0,2.26,2.15,2.15,51401,1.92
11-Aug-1987,0,2.23,2.08,2.08,36399,1.86
12-Aug-1987,0,2.26,2.15,2.15,54901,1.92
13-Aug-1987,0,2.23,2.15,2.15,26200,1.92
14-Aug-1987,0,2.23,2.08,2.08,18900,1.86
17-Aug-1987,0,2.15,2.08,2.08,40601,1.86
18-Aug-1987,0,2.15,2,2,17101,1.79
19-Aug-1987,0,2.08,2,2.08,17101,1.86
20-Aug-1987,0,2.08,2,2.08,18400,1.86
21-Aug-1987,0,2.08,2,2.08,13500,1.86
24-Aug-1987,0,2.08,2,2.08,10901,1.86
25-Aug-1987,0,2.15,2,2,7600,1.79
26-Aug-1987,0,2.15,1.93,2.04,35100,1.83
27-Aug-1987,0,2.08,1.93,2.08,25201,1.86
28-Aug-1987,0,1.93,1.93,1.93,7300,1.73
31-Aug-1987,0,2.08,1.93,2,18100,1.79
01-Sep-1987,0,2.08,1.93,2.08,22899,1.86
02-Sep-1987,0,2.08,1.93,2.08,21600,1.86
03-Sep-1987,0,2.08,2.08,2.08,8701,1.86
04-Sep-1987,0,2.08,2,2.08,24401,1.86
08-Sep-1987,0,2,1.93,1.93,12099,1.73
09-Sep-1987,0,2,1.85,1.85,19801,1.66
10-Sep-1987,0,2,2,2,2801,1.79
11-Sep-1987,0,2.08,1.93,2.08,26200,1.86
14-Sep-1987,0,2.23,2.08,2.08,10800,1.86
15-Sep-1987,0,2.23,2,2,12700,1.79
16-Sep-1987,0,2.23,2,2.08,8701,1.86
17-Sep-1987,0,2,2,2,10000,1.79
18-Sep-1987,0,2,2,2,901,1.79
21-Sep-1987,0,2,2,2,101,1.79
22-Sep-1987,0,2.23,2.08,2.23,7600,2
23-Sep-1987,0,2.23,2,2,10800,1.79
24-Sep-1987,NaN,NaN,NaN,2,0,1.79
25-Sep-1987,0,2.23,2,2.08,8701,1.86
28-Sep-1987,0,2,2,2,101,1.79
29-Sep-1987,0,2.15,2,2.11,9001,1.89
30-Sep-1987,0,2.23,2,2.04,15700,1.83
01-Oct-1987,0,2,2,2,6699,1.79
02-Oct-1987,0,2.23,2,2,6699,1.79
05-Oct-1987,0,2.08,2,2,3301,1.79
06-Oct-1987,0,2.08,1.93,1.93,10901,1.73
07-Oct-1987,0,2.08,1.85,1.89,16801,1.69
08-Oct-1987,0,1.93,1.78,1.93,12298,1.73
09-Oct-1987,0,1.85,1.78,1.78,20800,1.59
12-Oct-1987,0,1.78,1.63,1.78,28299,1.59
13-Oct-1987,0,1.85,1.71,1.71,6699,1.53
14-Oct-1987,0,1.85,1.71,1.71,24300,1.53
15-Oct-1987,0,1.78,1.78,1.78,8201,1.59
16-Oct-1987,0,1.85,1.71,1.71,9399,1.53
19-Oct-1987,0,1.63,1.34,1.34,17101,1.2
20-Oct-1987,0,1.34,0.82,1.04,89100,0.93
21-Oct-1987,0,1.78,1.34,1.71,58198,1.53
22-Oct-1987,0,1.56,1.41,1.41,43200,1.26
23-Oct-1987,0,1.56,1.37,1.56,10300,1.4
26-Oct-1987,0,1.48,1.19,1.34,14401,1.2
27-Oct-1987,0,1.41,1.19,1.19,19001,1.06
28-Oct-1987,0,1.34,1.11,1.26,30301,1.13
29-Oct-1987,0,1.34,1.19,1.3,12099,1.16
30-Oct-1987,0,1.41,1.26,1.41,10901,1.26
02-Nov-1987,0,1.41,1.26,1.26,6699,1.13
03-Nov-1987,0,1.41,1.26,1.41,901,1.26
04-Nov-1987,0,1.41,1.19,1.41,9598,1.26
05-Nov-1987,0,1.52,1.34,1.41,27901,1.26
06-Nov-1987,0,1.56,1.34,1.56,23500,1.4
09-Nov-1987,0,1.56,1.34,1.34,19501,1.2
10-Nov-1987,0,1.63,1.56,1.63,2200,1.46
11-Nov-1987,0,1.56,1.41,1.45,29200,1.3
12-Nov-1987,0,1.63,1.41,1.56,29801,1.4
13-Nov-1987,0,1.56,1.41,1.56,3999,1.4
16-Nov-1987,0,1.56,1.56,1.56,101,1.4
17-Nov-1987,0,1.56,1.41,1.41,4900,1.26
18-Nov-1987,NaN,NaN,NaN,1.41,0,1.26
19-Nov-1987,0,1.48,1.48,1.48,901,1.32
20-Nov-1987,0,1.48,1.34,1.34,10901,1.2
23-Nov-1987,0,1.41,1.34,1.34,6898,1.2
24-Nov-1987,0,1.34,1.34,1.34,3601,1.2
25-Nov-1987,0,1.26,1.26,1.26,3301,1.13
