Date,Open,High,Low,Close,Volume,AdjClose
16-Jun-1992,0,3.82,3.82,3.82,27501,2.78
17-Jun-1992,0,3.82,3.82,3.82,20501,2.78
18-Jun-1992,0,3.82,3.82,3.82,36600,2.78
19-Jun-1992,0,3.82,3.82,3.82,15801,2.78
22-Jun-1992,0,3.93,3.93,3.93,1700,2.86
23-Jun-1992,0,3.82,3.77,3.77,33401,2.74
24-Jun-1992,0,3.77,3.77,3.77,301,2.74
25-Jun-1992,0,3.88,3.72,3.82,14800,2.78
26-Jun-1992,0,3.88,3.66,3.66,3000,2.66
29-Jun-1992,NaN,NaN,NaN,3.66,0,2.66
30-Jun-1992,0,3.88,3.72,3.88,1501,2.82
01-Jul-1992,0,3.88,3.66,3.66,7799,2.66
02-Jul-1992,0,3.88,3.77,3.77,901,2.74
06-Jul-1992,0,3.66,3.66,3.66,301,2.66
07-Jul-1992,0,3.77,3.77,3.77,301,2.74
08-Jul-1992,0,3.88,3.66,3.66,5599,2.66
09-Jul-1992,0,3.88,3.82,3.82,1300,2.78
10-Jul-1992,NaN,NaN,NaN,3.82,0,2.78
13-Jul-1992,0,3.88,3.88,3.88,799,2.82
14-Jul-1992,NaN,NaN,NaN,3.88,0,2.82
15-Jul-1992,NaN,NaN,NaN,3.88,0,2.82
16-Jul-1992,0,3.72,3.66,3.72,10199,2.71
17-Jul-1992,0,3.77,3.66,3.66,2599,2.66
20-Jul-1992,0,3.66,3.66,3.66,301,2.66
21-Jul-1992,0,3.82,3.82,3.82,2499,2.78
22-Jul-1992,0,3.66,3.66,3.66,2499,2.66
23-Jul-1992,0,3.82,3.66,3.82,3799,2.78
24-Jul-1992,0,3.82,3.66,3.66,11001,2.66
27-Jul-1992,0,3.82,3.66,3.66,30401,2.66
28-Jul-1992,0,3.72,3.66,3.72,3600,2.71
29-Jul-1992,0,3.82,3.82,3.82,301,2.78
30-Jul-1992,0,3.82,3.72,3.82,8399,2.78
31-Jul-1992,0,3.66,3.66,3.66,4299,2.66
03-Aug-1992,NaN,NaN,NaN,3.66,0,2.66
04-Aug-1992,0,3.66,3.66,3.66,8101,2.66
05-Aug-1992,0,3.82,3.66,3.82,5599,2.78
06-Aug-1992,NaN,NaN,NaN,3.82,0,2.78
07-Aug-1992,0,3.82,3.72,3.82,4800,2.78
10-Aug-1992,NaN,NaN,NaN,3.82,0,2.78
11-Aug-1992,0,3.66,3.61,3.61,14501,2.63
12-Aug-1992,0,3.77,3.61,3.77,33700,2.74
13-Aug-1992,0,3.77,3.61,3.72,11800,2.71
14-Aug-1992,0,3.77,3.61,3.77,10600,2.74
17-Aug-1992,0,3.77,3.77,3.77,4700,2.74
18-Aug-1992,0,3.72,3.61,3.61,4399,2.63
19-Aug-1992,0,3.61,3.61,3.61,2499,2.63
