Date,Open,High,Low,Close,Volume,AdjClose
21-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
22-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
23-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
24-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
28-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
29-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
30-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
31-Dec-1987,NaN,NaN,NaN,40.94,0,8.86
04-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
05-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
06-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
07-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
08-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
11-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
12-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
13-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
14-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
15-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
18-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
19-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
20-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
21-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
22-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
25-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
26-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
27-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
28-Jan-1988,NaN,NaN,NaN,40.94,0,8.86
29-Jan-1988,0,47.81,47.81,47.81,280,10.34
01-Feb-1988,NaN,NaN,NaN,47.81,0,10.34
02-Feb-1988,NaN,NaN,NaN,47.81,0,10.34
03-Feb-1988,NaN,NaN,NaN,47.81,0,10.34
04-Feb-1988,NaN,NaN,NaN,47.81,0,10.34
05-Feb-1988,NaN,NaN,NaN,47.81,0,10.34
08-Feb-1988,NaN,NaN,NaN,47.81,0,10.34
09-Feb-1988,NaN,NaN,NaN,47.81,0,10.34
10-Feb-1988,0,47.81,47.81,47.81,280,10.34
11-Feb-1988,0,46.56,46.56,46.56,2200,10.07
12-Feb-1988,0,49.06,49.06,49.06,360,10.61
16-Feb-1988,NaN,NaN,NaN,49.06,0,10.61
17-Feb-1988,NaN,NaN,NaN,49.06,0,10.61
18-Feb-1988,NaN,NaN,NaN,49.06,0,10.61
19-Feb-1988,NaN,NaN,NaN,49.06,0,10.61
22-Feb-1988,0,46.09,46.09,46.09,280,9.97
23-Feb-1988,NaN,NaN,NaN,46.09,0,9.97
24-Feb-1988,0,49.53,49.53,49.53,160,10.71
25-Feb-1988,NaN,NaN,NaN,49.53,0,10.71
26-Feb-1988,NaN,NaN,NaN,49.53,0,10.71
29-Feb-1988,NaN,NaN,NaN,49.53,0,10.71
01-Mar-1988,NaN,NaN,NaN,49.53,0,10.71
02-Mar-1988,NaN,NaN,NaN,49.53,0,10.71
