Date,Open,High,Low,Close,Volume,AdjClose
25-May-2010,31.5,31.5,31.5,31.5,18200,31.5
26-May-2010,32.5,33,32.5,33,143200,33
27-May-2010,33.75,34.5,33.75,34.5,120300,34.5
28-May-2010,34.5,35.75,34,35.75,184400,35.75
01-Jun-2010,35.75,35.75,35.75,35.75,300,35.75
02-Jun-2010,34.51,34.51,34.51,34.51,2100,34.51
03-Jun-2010,34.5,34.5,34.5,34.5,25000,34.5
04-Jun-2010,34.5,34.5,34,34,600,34
07-Jun-2010,33.25,33.25,33.25,33.25,200,33.25
08-Jun-2010,32,33,32,33,1800,33
09-Jun-2010,33.25,33.27,33,33,14535,33
11-Jun-2010,32.5,32.5,32.5,32.5,10000,32.5
14-Jun-2010,34,34,33,33,10533,33
15-Jun-2010,34,34,34,34,500,34
16-Jun-2010,33,33,33,33,11000,33
18-Jun-2010,33,33,32.75,32.75,4988,32.75
22-Jun-2010,33,33,33,33,5902,33
24-Jun-2010,32.5,32.5,32,32.5,1000,32.5
25-Jun-2010,32.5,32.5,32.5,32.5,2000,32.5
30-Jun-2010,32.5,32.5,32.5,32.5,200,32.5
01-Jul-2010,31,31,28.5,29,6725,29
06-Jul-2010,29,29.5,29,29.5,400,29.5
07-Jul-2010,28,30,28,30,600,30
08-Jul-2010,27.5,31,27.5,31,35200,31
09-Jul-2010,29,30,29,30,822,30
12-Jul-2010,27.5,28.25,27.5,28,272519,28
13-Jul-2010,27.5,28.5,27.45,28,183159,28
14-Jul-2010,28,28.25,28,28.25,260100,28.25
15-Jul-2010,28.75,29.5,28.5,29.5,241598,29.5
16-Jul-2010,29.25,31,29.25,31,2762,31
19-Jul-2010,30,31,29.25,29.88,8622,29.88
20-Jul-2010,29.6,30,29.6,30,7168,30
21-Jul-2010,29,30,29,29.9,32327,29.9
22-Jul-2010,29.9,30.5,29.5,30.5,77250,30.5
23-Jul-2010,30.5,32,30.5,32,21344,32
26-Jul-2010,31.75,32,31.75,32,15100,32
27-Jul-2010,32,34,32,34,118375,34
28-Jul-2010,33.5,34.25,33.25,33.5,18200,33.5
29-Jul-2010,33.5,34,33.5,34,21099,34
30-Jul-2010,33.05,34.25,33,34.25,1000,34.25
02-Aug-2010,33.5,34.75,33.5,34.75,1735,34.75
03-Aug-2010,35,35.5,35,35.5,1789,35.5
04-Aug-2010,35.5,35.5,34.75,35.5,800,35.5
05-Aug-2010,35.35,35.5,35.1,35.5,126189,35.5
06-Aug-2010,35,35.5,34.75,35.25,26600,35.25
09-Aug-2010,35.25,35.5,35,35.28,10000,35.28
10-Aug-2010,35,35.4,35,35.4,77638,35.4
11-Aug-2010,35.25,35.25,35.25,35.25,263,35.25
12-Aug-2010,35.25,35.5,35.25,35.25,64045,35.25
13-Aug-2010,35.25,35.25,35,35.25,25300,35.25
16-Aug-2010,35.25,35.25,35.25,35.25,350,35.25
17-Aug-2010,35.25,36,35.25,36,16172,36
18-Aug-2010,36,36.5,36,36.5,600,36.5
19-Aug-2010,35.75,36.5,35.5,35.7,126706,35.7
20-Aug-2010,36,36,36,36,200,36
23-Aug-2010,35.6,35.75,35.3,35.65,12664,35.65
24-Aug-2010,35.05,35.05,34,34.25,154972,34.25
25-Aug-2010,34,34.1,33.85,34.1,3717,34.1
26-Aug-2010,35,35.25,35,35.25,200,35.25
27-Aug-2010,34.05,35.25,34.05,34.75,1080,34.75
30-Aug-2010,35.25,35.5,35.25,35.5,100300,35.5
31-Aug-2010,36,37,36,36.75,600,36.75
01-Sep-2010,36.5,36.5,36.5,36.5,100,36.5
02-Sep-2010,36.5,36.5,36.5,36.5,100,36.5
03-Sep-2010,36.5,36.5,36.5,36.5,100,36.5
07-Sep-2010,36.5,37,35.7,36.5,2000,36.5
08-Sep-2010,37,37,35.5,36,66439,36
09-Sep-2010,36.25,36.25,35.65,36,1500,36
10-Sep-2010,35.55,35.95,35.5,35.75,1000,35.75
13-Sep-2010,36,36,36,36,100,36
15-Sep-2010,35.9,35.9,35.9,35.9,100,35.9
16-Sep-2010,35.9,35.9,35.9,35.9,100,35.9
17-Sep-2010,36,36,35.5,35.9,35900,35.9
21-Sep-2010,36,36,36,36,100,36
23-Sep-2010,36.25,36.25,36.25,36.25,100,36.25
27-Sep-2010,35.7,36,35.7,36,500,36
28-Sep-2010,36,36.75,35.6,36.5,126600,36.5
29-Sep-2010,36,36.1,36,36.1,3340,36.1
30-Sep-2010,36.1,36.1,36.1,36.1,40000,36.1
01-Oct-2010,36.25,36.25,36,36.2,24252,36.2
05-Oct-2010,36.5,37,36.5,37,3900,37
06-Oct-2010,37,37,37,37,4040,37
07-Oct-2010,37.5,37.5,37.5,37.5,100,37.5
08-Oct-2010,36.75,37.5,36.75,37.5,700,37.5
