Date,Open,High,Low,Close,Volume,AdjClose
21-May-2002,17.5,18.41,17.02,18.12,1491400,10.1
22-May-2002,18.24,18.25,18,18.25,282700,10.17
23-May-2002,18.33,18.9,18.15,18.55,181800,10.34
24-May-2002,18.7,18.95,18.61,18.88,26000,10.52
28-May-2002,18.75,19.31,18.56,19.15,73900,10.67
29-May-2002,19,19.01,18.46,18.8,114300,10.48
30-May-2002,18.7,18.95,18.65,18.75,139600,10.45
31-May-2002,18.95,19.25,18.51,18.75,119400,10.45
03-Jun-2002,18.76,19.01,18.53,18.6,134300,10.37
04-Jun-2002,18.8,18.8,18.5,18.57,99900,10.35
05-Jun-2002,18.55,18.68,18.4,18.5,163400,10.31
06-Jun-2002,18.56,18.77,18.51,18.69,17400,10.42
07-Jun-2002,18.6,18.71,18.4,18.71,165500,10.43
10-Jun-2002,18.7,18.94,18.45,18.72,128100,10.43
11-Jun-2002,18.88,19.5,18.55,18.9,31900,10.53
12-Jun-2002,18.76,19,18.76,19,13100,10.59
13-Jun-2002,18.8,19.45,18.8,19.14,17200,10.67
14-Jun-2002,19.5,19.5,18.98,19.07,10400,10.63
17-Jun-2002,19.6,20.35,19.2,20.25,57900,11.29
18-Jun-2002,20.19,20.55,19.94,20.3,52000,11.31
19-Jun-2002,20.09,21.45,20.09,21.18,43700,11.8
20-Jun-2002,21.05,21.35,20.2,20.8,90000,11.59
21-Jun-2002,20.2,20.92,20.2,20.74,51000,11.56
24-Jun-2002,20.64,20.99,20.25,20.51,58500,11.43
25-Jun-2002,20.88,21.2,20.28,21.1,56100,11.76
26-Jun-2002,20.6,22.42,20.27,21.5,102000,11.98
27-Jun-2002,21.5,23.2,21.03,22.5,61800,12.54
28-Jun-2002,21.99,21.99,21.35,21.53,253700,12
01-Jul-2002,20.52,21.39,20.26,20.37,96100,11.35
02-Jul-2002,20.94,20.94,17.35,18.5,81500,10.31
03-Jul-2002,18.42,18.91,18.2,18.85,73500,10.51
05-Jul-2002,18.85,19.91,18.84,19.91,14200,11.1
08-Jul-2002,19.56,20.82,19.53,20.35,45400,11.34
09-Jul-2002,20.36,20.65,20,20.05,26500,11.18
10-Jul-2002,20.01,20.51,18.97,19.07,23100,10.63
11-Jul-2002,18.9,19.32,18.56,18.79,43700,10.47
12-Jul-2002,18.83,20,18.83,19.54,23900,10.89
15-Jul-2002,20.05,20.5,19.5,20,36100,11.15
16-Jul-2002,20,20.15,19.8,20,19600,11.15
17-Jul-2002,20,20,19,20,34900,11.15
18-Jul-2002,20.05,20.75,19.75,19.79,38800,11.03
19-Jul-2002,19.9,19.96,19.17,19.5,23100,10.87
22-Jul-2002,19.95,19.95,18.21,18.21,47700,10.15
23-Jul-2002,18.35,19.05,18.21,18.84,64900,10.5
24-Jul-2002,18.5,19.71,18.14,19.64,71500,10.95
25-Jul-2002,19.8,20.39,19.36,19.93,46500,11.11
26-Jul-2002,20,20.14,19.94,20,23200,11.15
