Date,Open,High,Low,Close,Volume,AdjClose
23-Apr-1996,0,14.01,12.17,13.84,2516300,10.04
24-Apr-1996,0,15.17,14.01,14.92,553800,10.83
25-Apr-1996,0,15.17,14.67,14.88,481100,10.8
26-Apr-1996,0,15.17,14.67,15.17,159500,11.01
29-Apr-1996,0,15.17,14.67,15.01,118100,10.89
30-Apr-1996,0,14.76,14.34,14.34,319500,10.4
01-May-1996,0,14.76,14.34,14.76,116300,10.71
02-May-1996,0,14.76,13.84,13.84,285200,10.04
03-May-1996,0,14.34,13.84,13.97,224900,10.14
06-May-1996,0,14.34,13.84,13.84,29100,10.04
07-May-1996,0,14.01,13.67,13.67,48400,9.92
08-May-1996,0,13.67,12.84,13.09,333100,9.5
09-May-1996,0,13.51,12.84,13.51,58600,9.8
10-May-1996,0,13.67,13.34,13.67,38400,9.92
13-May-1996,0,13.67,13.34,13.67,1200,9.92
14-May-1996,0,13.84,13.34,13.84,15400,10.04
15-May-1996,0,13.84,13.59,13.67,27000,9.92
16-May-1996,0,13.92,13.76,13.92,266900,10.1
17-May-1996,0,14.51,13.84,14.42,66900,10.46
20-May-1996,0,15.34,14.67,15.26,44700,11.07
21-May-1996,0,15.67,15.34,15.67,25800,11.37
22-May-1996,0,16.01,15.34,16.01,32400,11.62
23-May-1996,0,16.17,15.84,15.84,22900,11.49
24-May-1996,0,16.17,15.84,16.17,19200,11.73
28-May-1996,0,16.17,15.84,15.92,138400,11.55
29-May-1996,0,15.84,15.84,15.84,3700,11.49
30-May-1996,0,15.67,15.67,15.67,3000,11.58
31-May-1996,0,16.01,15.67,16.01,142700,11.83
03-Jun-1996,0,16.17,16.01,16.01,28900,11.83
04-Jun-1996,0,16.17,15.01,15.01,50800,11.09
05-Jun-1996,0,15.01,14.67,14.67,58200,10.84
06-Jun-1996,0,15.34,14.84,15.17,56200,11.21
07-Jun-1996,0,15.34,14.84,15.34,98700,11.33
10-Jun-1996,0,14.92,14.84,14.84,1200,10.96
11-Jun-1996,0,15.01,14.84,14.84,66600,10.96
12-Jun-1996,0,14.84,14.84,14.84,8500,10.96
13-Jun-1996,0,14.84,14.84,14.84,6300,10.96
14-Jun-1996,0,15.01,14.84,14.84,27600,10.96
17-Jun-1996,0,15.01,14.67,14.67,40000,10.84
