Date,Open,High,Low,Close,Volume,AdjClose
06-Aug-1997,0,12.88,11.62,12.12,1723100,12.12
07-Aug-1997,0,12.38,11.5,11.62,562400,11.62
08-Aug-1997,0,11.88,11.12,11.62,162900,11.62
11-Aug-1997,0,11.75,11.12,11.31,90100,11.31
12-Aug-1997,0,11.38,11,11.38,185700,11.38
13-Aug-1997,0,11.38,11,11.25,36800,11.25
14-Aug-1997,0,11.88,11.12,11.69,71600,11.69
15-Aug-1997,0,11.88,10.94,11.25,214300,11.25
18-Aug-1997,0,11.38,11,11,23300,11
19-Aug-1997,0,11.25,11,11.25,3500,11.25
20-Aug-1997,0,11.38,11,11.25,36900,11.25
21-Aug-1997,0,11.38,11,11,33700,11
22-Aug-1997,0,11.25,11,11,10600,11
25-Aug-1997,0,11.25,11,11,98700,11
26-Aug-1997,0,11.25,11,11.06,37000,11.06
27-Aug-1997,0,11.25,11.03,11.06,19200,11.06
28-Aug-1997,0,11.25,11,11.06,11700,11.06
29-Aug-1997,0,11.25,11,11.12,16000,11.12
02-Sep-1997,0,11.25,11,11.12,38300,11.12
03-Sep-1997,0,11.25,11,11.12,64500,11.12
04-Sep-1997,0,11.62,11,11.56,187600,11.56
05-Sep-1997,0,11.75,11.5,11.75,17300,11.75
08-Sep-1997,0,12.62,11.62,12.12,167900,12.12
09-Sep-1997,0,13.25,12,13.12,202800,13.12
10-Sep-1997,0,13.88,12.88,13,137500,13
11-Sep-1997,0,13.69,13,13.62,37700,13.62
12-Sep-1997,0,13.75,13.38,13.75,10900,13.75
15-Sep-1997,0,14.25,13.5,13.69,228700,13.69
16-Sep-1997,0,13.75,13,13.25,11700,13.25
17-Sep-1997,0,13.62,13.25,13.25,10000,13.25
18-Sep-1997,0,13.5,12.25,12.69,23600,12.69
19-Sep-1997,0,13,12.75,12.75,6500,12.75
22-Sep-1997,0,13.75,13,13.75,62900,13.75
23-Sep-1997,0,13.88,13.5,13.88,84900,13.88
24-Sep-1997,0,14,13.5,13.75,40500,13.75
25-Sep-1997,0,13.88,13.25,13.5,34600,13.5
26-Sep-1997,0,13.75,13.5,13.5,84700,13.5
29-Sep-1997,0,14.25,13.5,14.25,25600,14.25
30-Sep-1997,0,15,14,15,45400,15
01-Oct-1997,0,15.5,15,15.38,92600,15.38
02-Oct-1997,0,15.75,15,15.62,59800,15.62
03-Oct-1997,0,15.88,15.38,15.88,19100,15.88
06-Oct-1997,0,15.88,15.5,15.5,12800,15.5
07-Oct-1997,0,16.5,15.75,16.19,55100,16.19
