Date,Open,High,Low,Close,Volume,AdjClose
10-Feb-1994,0,1.25,0.97,1.16,2994400,0.8
11-Feb-1994,0,1.22,1.16,1.16,996000,0.8
14-Feb-1994,0,1.22,1.12,1.16,808000,0.8
15-Feb-1994,0,1.25,1.19,1.19,800800,0.82
16-Feb-1994,0,1.25,1.09,1.12,1128000,0.77
17-Feb-1994,0,1.16,1.06,1.12,704000,0.77
18-Feb-1994,0,1.12,1.06,1.09,260800,0.75
22-Feb-1994,0,1.12,1.06,1.06,164800,0.73
23-Feb-1994,0,1.16,1.06,1.16,128000,0.8
24-Feb-1994,0,1.16,1.09,1.16,237600,0.8
25-Feb-1994,0,1.16,1.06,1.09,115200,0.75
28-Feb-1994,0,1.12,1.06,1.12,33600,0.77
01-Mar-1994,0,1.12,1.06,1.06,179200,0.73
02-Mar-1994,0,1.12,1.06,1.06,376000,0.73
03-Mar-1994,0,1.12,1.06,1.12,71200,0.77
04-Mar-1994,0,1.12,1.06,1.12,200000,0.77
07-Mar-1994,0,1.12,1.06,1.06,65600,0.73
08-Mar-1994,0,1.12,1.06,1.06,28000,0.73
09-Mar-1994,0,1.12,1.06,1.06,64800,0.73
10-Mar-1994,0,1.12,1.06,1.08,105600,0.75
11-Mar-1994,0,1.12,1.06,1.06,939200,0.73
14-Mar-1994,0,1.12,1.06,1.08,87200,0.75
15-Mar-1994,0,1.12,1.06,1.12,64800,0.77
16-Mar-1994,0,1.12,1.06,1.06,66400,0.73
17-Mar-1994,0,1.12,1.06,1.09,45600,0.75
18-Mar-1994,0,1.12,1.06,1.12,145600,0.77
21-Mar-1994,0,1.12,1.06,1.06,100000,0.73
22-Mar-1994,0,1.12,1.06,1.08,285600,0.75
23-Mar-1994,0,1.12,1.06,1.09,238400,0.75
24-Mar-1994,0,1.09,1.03,1.06,188800,0.73
25-Mar-1994,0,1.09,1.03,1.09,12800,0.75
28-Mar-1994,0,1.06,1,1,196000,0.69
29-Mar-1994,0,1.06,1,1.06,80000,0.73
30-Mar-1994,0,1.06,1,1.06,20800,0.73
31-Mar-1994,0,1.06,1,1.02,85600,0.71
04-Apr-1994,0,1.06,0.97,1.06,36800,0.73
05-Apr-1994,0,1.06,0.97,1.06,31200,0.73
06-Apr-1994,0,1.06,1,1,73600,0.69
07-Apr-1994,0,1.06,0.97,0.97,16000,0.67
08-Apr-1994,0,1.06,0.97,0.97,398400,0.67
11-Apr-1994,0,1.06,1,1.06,23200,0.73
12-Apr-1994,0,1.06,1,1.06,144000,0.73
13-Apr-1994,0,1.17,1.03,1.08,149600,0.75
14-Apr-1994,0,1.09,1.06,1.06,49600,0.73
15-Apr-1994,0,1.12,1.06,1.06,75200,0.73
18-Apr-1994,0,1.12,1.03,1.06,218400,0.73
19-Apr-1994,0,1.09,1.03,1.05,184000,0.73
20-Apr-1994,0,1.09,1.03,1.03,128800,0.71
21-Apr-1994,0,1.09,1.03,1.09,4800,0.75
22-Apr-1994,0,1.09,1.03,1.03,11200,0.71
25-Apr-1994,0,1.09,1.03,1.09,35200,0.75
26-Apr-1994,0,1.09,1.03,1.09,57600,0.75
28-Apr-1994,0,1.09,1,1,23200,0.69
29-Apr-1994,0,1.09,1,1.09,10400,0.75
02-May-1994,0,1.09,1,1.06,53600,0.73
03-May-1994,0,1.09,1,1,31200,0.69
04-May-1994,0,1.03,0.97,1.03,87200,0.71
05-May-1994,0,1.03,0.97,0.97,14400,0.67
06-May-1994,0,1.03,1.03,1.03,1600,0.71
09-May-1994,0,1.03,0.97,0.98,28800,0.68
10-May-1994,0,1.03,0.97,0.97,9600,0.67
11-May-1994,0,1.03,0.97,1,113600,0.69
12-May-1994,0,0.97,0.91,0.97,132800,0.67
13-May-1994,0,0.97,0.91,0.91,8800,0.63
16-May-1994,0,0.97,0.95,0.97,5600,0.67
17-May-1994,0,0.97,0.91,0.95,44800,0.66
18-May-1994,0,0.95,0.94,0.95,12000,0.66
19-May-1994,0,0.94,0.91,0.91,7200,0.63
20-May-1994,0,0.97,0.91,0.94,78400,0.65
23-May-1994,0,0.94,0.94,0.94,30400,0.65
24-May-1994,0,0.97,0.91,0.97,48800,0.67
25-May-1994,0,0.97,0.94,0.95,60800,0.66
26-May-1994,0,1,0.94,0.94,1600,0.65
27-May-1994,0,1,0.94,1,6400,0.69
31-May-1994,0,1,0.94,1,55200,0.69
01-Jun-1994,0,1,0.94,0.94,34400,0.65
02-Jun-1994,NaN,NaN,NaN,0.94,0,0.65
03-Jun-1994,0,1,0.97,0.97,5600,0.67
06-Jun-1994,0,1.03,0.94,1.03,68800,0.71
07-Jun-1994,0,1.03,0.97,1.03,86400,0.71
08-Jun-1994,0,1.03,1,1.03,92000,0.71
09-Jun-1994,0,1.03,1,1.03,36000,0.71
10-Jun-1994,0,1.06,1,1.06,82400,0.73
13-Jun-1994,0,1.05,1,1,116800,0.69
14-Jun-1994,0,1.03,0.97,0.97,58400,0.67
15-Jun-1994,0,1.03,0.98,1.03,56800,0.71
16-Jun-1994,0,1,0.97,0.97,64800,0.67
17-Jun-1994,0,1,0.94,1,48800,0.69
20-Jun-1994,0,0.98,0.91,0.97,127200,0.67
21-Jun-1994,0,0.98,0.92,0.92,8800,0.64
22-Jun-1994,0,0.98,0.95,0.98,5600,0.68
23-Jun-1994,0,0.98,0.94,0.98,27200,0.68
24-Jun-1994,0,0.94,0.94,0.94,6400,0.65
27-Jun-1994,0,0.98,0.98,0.98,1600,0.68
28-Jun-1994,0,0.98,0.94,0.94,5600,0.65
29-Jun-1994,0,0.94,0.94,0.94,10400,0.65
30-Jun-1994,0,1.03,0.94,1,223200,0.69
01-Jul-1994,0,1.03,0.97,1,70400,0.69
05-Jul-1994,0,1,0.97,0.97,33600,0.67
06-Jul-1994,0,1,0.94,0.94,104800,0.65
07-Jul-1994,0,1,0.94,1,3200,0.69
08-Jul-1994,NaN,NaN,NaN,1,0,0.69
11-Jul-1994,0,1,0.94,0.94,13600,0.65
12-Jul-1994,0,0.94,0.94,0.94,800,0.65
13-Jul-1994,NaN,NaN,NaN,0.94,0,0.65
14-Jul-1994,0,1,0.94,0.97,20800,0.67
15-Jul-1994,0,1,0.98,0.98,3200,0.68
18-Jul-1994,0,1.02,0.94,1,116000,0.69
19-Jul-1994,0,1.03,0.98,1.02,112000,0.71
20-Jul-1994,0,1.05,1,1,77600,0.69
21-Jul-1994,0,1.08,1,1.06,164000,0.73
22-Jul-1994,0,1.06,1.03,1.06,108800,0.73
25-Jul-1994,0,1.09,1.03,1.06,100800,0.73
26-Jul-1994,0,1.08,1.06,1.06,28000,0.73
27-Jul-1994,0,1.09,1.06,1.06,243200,0.73
28-Jul-1994,0,1.06,1.06,1.06,24800,0.73
29-Jul-1994,0,1.09,1.06,1.09,53600,0.75
01-Aug-1994,0,1.12,1.06,1.09,124000,0.75
02-Aug-1994,0,1.12,1.06,1.12,62400,0.77
03-Aug-1994,0,1.12,1.06,1.06,72000,0.73
04-Aug-1994,NaN,NaN,NaN,1.06,0,0.73
05-Aug-1994,0,1.09,1.09,1.09,2400,0.75
08-Aug-1994,0,1.09,1.03,1.03,72800,0.71
09-Aug-1994,0,1.09,1.09,1.09,4800,0.75
10-Aug-1994,0,1.06,1.03,1.06,49600,0.73
11-Aug-1994,0,1.06,0.98,0.98,34400,0.68
12-Aug-1994,NaN,NaN,NaN,0.98,0,0.68
15-Aug-1994,0,1,0.97,1,15200,0.69
16-Aug-1994,0,1,0.97,0.98,104000,0.68
17-Aug-1994,0,1.03,0.97,1.03,196000,0.71
18-Aug-1994,0,1.03,0.97,1.03,152000,0.71
19-Aug-1994,0,0.97,0.97,0.97,4000,0.67
22-Aug-1994,0,0.98,0.97,0.98,28800,0.68
23-Aug-1994,0,1,0.97,1,28000,0.69
24-Aug-1994,0,0.97,0.84,0.91,177600,0.63
25-Aug-1994,0,0.91,0.81,0.81,282400,0.56
26-Aug-1994,0,0.88,0.84,0.88,54400,0.61
29-Aug-1994,0,0.91,0.81,0.91,40800,0.63
30-Aug-1994,0,0.91,0.88,0.88,20000,0.61
31-Aug-1994,0,0.94,0.84,0.84,6400,0.58
01-Sep-1994,0,0.91,0.88,0.91,104800,0.63
02-Sep-1994,0,0.91,0.84,0.84,48000,0.58
06-Sep-1994,0,0.94,0.84,0.88,72800,0.61
07-Sep-1994,NaN,NaN,NaN,0.88,0,0.61
08-Sep-1994,0,0.94,0.88,0.91,73600,0.63
09-Sep-1994,0,0.94,0.94,0.94,8000,0.65
12-Sep-1994,0,0.94,0.88,0.94,8000,0.65
13-Sep-1994,0,0.94,0.88,0.88,18400,0.61
14-Sep-1994,0,0.94,0.88,0.94,5600,0.65
15-Sep-1994,0,0.9,0.88,0.9,55200,0.62
16-Sep-1994,0,0.91,0.88,0.91,43200,0.63
19-Sep-1994,0,0.94,0.94,0.94,13600,0.65
20-Sep-1994,0,0.94,0.9,0.94,278400,0.65
21-Sep-1994,0,0.94,0.88,0.88,45600,0.61
22-Sep-1994,0,0.94,0.88,0.94,40800,0.65
23-Sep-1994,0,0.94,0.88,0.94,137600,0.65
26-Sep-1994,0,0.94,0.88,0.91,74400,0.63
27-Sep-1994,0,0.91,0.84,0.88,41600,0.61
28-Sep-1994,0,0.91,0.84,0.91,6400,0.63
29-Sep-1994,0,0.91,0.84,0.86,17600,0.59
30-Sep-1994,0,0.91,0.84,0.84,21600,0.58
03-Oct-1994,0,0.91,0.84,0.84,4000,0.58
04-Oct-1994,0,0.91,0.91,0.91,10400,0.63
05-Oct-1994,0,0.91,0.91,0.91,9600,0.63
06-Oct-1994,0,0.91,0.91,0.91,16000,0.63
07-Oct-1994,0,0.91,0.84,0.84,4000,0.58
10-Oct-1994,NaN,NaN,NaN,0.84,0,0.58
11-Oct-1994,NaN,NaN,NaN,0.84,0,0.58
12-Oct-1994,0,0.91,0.91,0.91,3200,0.63
13-Oct-1994,0,0.88,0.88,0.88,38400,0.61
14-Oct-1994,0,0.91,0.88,0.88,60800,0.61
17-Oct-1994,0,0.91,0.89,0.89,54400,0.62
18-Oct-1994,0,0.94,0.88,0.94,16800,0.65
19-Oct-1994,0,0.97,0.91,0.97,31200,0.67
20-Oct-1994,0,0.97,0.91,0.92,17600,0.64
21-Oct-1994,0,0.97,0.94,0.94,12000,0.65
24-Oct-1994,0,0.94,0.91,0.91,24000,0.63
25-Oct-1994,0,0.97,0.97,0.97,8000,0.67
26-Oct-1994,0,0.97,0.95,0.95,3200,0.66
27-Oct-1994,NaN,NaN,NaN,0.95,0,0.66
28-Oct-1994,0,0.97,0.91,0.97,53600,0.67
31-Oct-1994,0,0.97,0.97,0.97,33600,0.67
01-Nov-1994,0,0.91,0.91,0.91,32000,0.63
02-Nov-1994,NaN,NaN,NaN,0.91,0,0.63
03-Nov-1994,0,0.91,0.91,0.91,800,0.63
04-Nov-1994,0,0.98,0.91,0.94,36000,0.65
07-Nov-1994,0,0.98,0.94,0.98,19200,0.68
08-Nov-1994,NaN,NaN,NaN,0.98,0,0.68
09-Nov-1994,NaN,NaN,NaN,0.98,0,0.68
10-Nov-1994,0,0.94,0.88,0.88,261600,0.61
11-Nov-1994,0,0.86,0.86,0.86,4000,0.59
14-Nov-1994,0,0.91,0.84,0.88,125600,0.61
15-Nov-1994,0,0.88,0.8,0.81,213600,0.56
16-Nov-1994,0,0.86,0.81,0.84,24800,0.58
17-Nov-1994,0,0.84,0.8,0.84,16800,0.58
18-Nov-1994,0,0.84,0.8,0.81,15200,0.56
21-Nov-1994,0,0.83,0.8,0.8,10400,0.55
22-Nov-1994,0,0.83,0.78,0.78,90400,0.54
23-Nov-1994,0,0.78,0.72,0.72,47200,0.5
