Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.17,0.17,0.17,2800,0.17
04-Jan-1978,NaN,NaN,NaN,0.17,0,0.17
05-Jan-1978,0,0.17,0.16,0.16,10900,0.16
06-Jan-1978,NaN,NaN,NaN,0.16,0,0.16
09-Jan-1978,0,0.16,0.16,0.16,901,0.16
10-Jan-1978,0,0.16,0.16,0.16,18098,0.16
11-Jan-1978,0,0.16,0.16,0.16,101,0.16
12-Jan-1978,NaN,NaN,NaN,0.16,0,0.16
13-Jan-1978,0,0.17,0.16,0.16,3999,0.16
16-Jan-1978,NaN,NaN,NaN,0.16,0,0.16
17-Jan-1978,0,0.17,0.17,0.17,4202,0.17
18-Jan-1978,NaN,NaN,NaN,0.17,0,0.17
19-Jan-1978,0,0.15,0.15,0.15,4900,0.15
20-Jan-1978,NaN,NaN,NaN,0.15,0,0.15
23-Jan-1978,0,0.17,0.17,0.17,101,0.17
24-Jan-1978,0,0.17,0.15,0.15,2800,0.15
25-Jan-1978,0,0.17,0.15,0.15,901,0.15
26-Jan-1978,0,0.15,0.15,0.15,101,0.15
27-Jan-1978,NaN,NaN,NaN,0.15,0,0.15
30-Jan-1978,NaN,NaN,NaN,0.15,0,0.15
31-Jan-1978,0,0.15,0.15,0.15,2800,0.15
01-Feb-1978,0,0.15,0.15,0.15,2202,0.15
02-Feb-1978,0,0.17,0.17,0.17,1301,0.17
03-Feb-1978,NaN,NaN,NaN,0.17,0,0.17
06-Feb-1978,0,0.17,0.17,0.17,1301,0.17
07-Feb-1978,NaN,NaN,NaN,0.17,0,0.17
08-Feb-1978,NaN,NaN,NaN,0.17,0,0.17
09-Feb-1978,0,0.17,0.16,0.16,2800,0.16
10-Feb-1978,0,0.16,0.16,0.16,101,0.16
13-Feb-1978,0,0.16,0.16,0.16,1301,0.16
14-Feb-1978,0,0.15,0.15,0.15,6298,0.15
15-Feb-1978,0,0.16,0.16,0.16,1301,0.16
16-Feb-1978,NaN,NaN,NaN,0.16,0,0.16
17-Feb-1978,0,0.16,0.15,0.15,2800,0.15
