Date,Open,High,Low,Close,Volume,AdjClose
12-Feb-2014,15.5,16.44,12.75,12.83,5948257,12.83
13-Feb-2014,12.51,13.48,12.47,13.22,487358,13.22
14-Feb-2014,13.2,13.59,12.76,12.8,107162,12.8
18-Feb-2014,13,13.07,12.6,12.94,81656,12.94
19-Feb-2014,12.71,12.95,11.74,12.14,273287,12.14
20-Feb-2014,12,12.05,11.55,11.65,244353,11.65
21-Feb-2014,11.61,12.3,11.41,12.05,283665,12.05
24-Feb-2014,12.2,12.45,11.84,12.05,124357,12.05
25-Feb-2014,12.26,13.5,12.05,13.35,406565,13.35
26-Feb-2014,13.5,14.32,13.5,14,425006,14
27-Feb-2014,14,14.47,13.57,13.89,220414,13.89
28-Feb-2014,13.95,14.4,13.06,13.76,130134,13.76
03-Mar-2014,13.72,13.95,13.38,13.48,63495,13.48
04-Mar-2014,13.7,13.9,13.22,13.26,114757,13.26
05-Mar-2014,13.49,14.96,13.45,14.79,471321,14.79
06-Mar-2014,14.97,15.1,14.15,14.49,295620,14.49
07-Mar-2014,14.82,15.09,14.11,14.92,164163,14.92
10-Mar-2014,15.1,15.34,14.66,14.89,457326,14.89
11-Mar-2014,15.01,15.09,13.85,14.17,117965,14.17
12-Mar-2014,14.23,14.55,13.73,14.1,123900,14.1
13-Mar-2014,14.23,14.89,13.54,14.78,245844,14.78
14-Mar-2014,14.69,14.87,14.16,14.5,93614,14.5
17-Mar-2014,14.57,14.6,14.05,14.11,114170,14.11
18-Mar-2014,14.07,14.49,14,14.33,98180,14.33
19-Mar-2014,14.41,14.76,14.28,14.48,137908,14.48
20-Mar-2014,15.31,15.48,14.5,14.7,312914,14.7
21-Mar-2014,14.7,14.83,14.19,14.6,167079,14.6
24-Mar-2014,14.69,14.97,13.1,13.61,173876,13.61
25-Mar-2014,13.75,14.05,13.37,13.55,74533,13.55
26-Mar-2014,13.6,14.25,12.56,12.81,136836,12.81
27-Mar-2014,12.85,13.06,12.27,12.63,130148,12.63
28-Mar-2014,12.61,12.87,11.8,12.36,229963,12.36
31-Mar-2014,12.42,12.9,12.39,12.75,392339,12.75
01-Apr-2014,12.81,13.14,12.55,12.9,81204,12.9
02-Apr-2014,12.96,13.36,12.94,13.17,78148,13.17
03-Apr-2014,13.15,13.22,12.6,13.1,79703,13.1
04-Apr-2014,13.12,13.22,12.23,12.96,211630,12.96
07-Apr-2014,12.91,12.93,12.25,12.76,115013,12.76
08-Apr-2014,12.78,12.96,12.29,12.67,63570,12.67
09-Apr-2014,12.65,13.09,12.63,12.67,57972,12.67
10-Apr-2014,12.65,12.71,11.7,11.92,95640,11.92
11-Apr-2014,11.92,12.18,11.63,11.88,89313,11.88
14-Apr-2014,12,12.73,11.59,12.05,130756,12.05
15-Apr-2014,12.05,12.34,11.39,12,73125,12
16-Apr-2014,12.05,12.37,11.86,12.35,38985,12.35
17-Apr-2014,12.37,12.66,11.94,12.05,61467,12.05
21-Apr-2014,12.2,12.51,11.71,11.8,76382,11.8
22-Apr-2014,11.99,12.13,11.83,12.06,46950,12.06
23-Apr-2014,12.06,12.06,11.42,11.51,64084,11.51
24-Apr-2014,11.54,11.6,11.33,11.46,59880,11.46
25-Apr-2014,11.47,11.59,10,10.23,252879,10.23
