Date,Open,High,Low,Close,Volume,AdjClose
09-Nov-2007,7.8,8.18,7.51,8.07,1072744,7.32
12-Nov-2007,8,8.08,7.91,8.06,196566,7.31
13-Nov-2007,8.02,8.32,8.02,8.32,64168,7.55
14-Nov-2007,8.32,8.32,8.26,8.3,386022,7.53
15-Nov-2007,8.3,8.31,8.14,8.2,53460,7.44
16-Nov-2007,8.16,8.25,8.15,8.24,26978,7.48
19-Nov-2007,8.18,8.22,8.16,8.16,4254,7.4
20-Nov-2007,8.18,8.18,8.08,8.12,29730,7.37
21-Nov-2007,8.13,8.13,8.02,8.03,10186,7.29
23-Nov-2007,8.05,8.06,8,8.04,10800,7.3
26-Nov-2007,8.05,8.08,8.02,8.05,15400,7.3
27-Nov-2007,8.05,8.12,8,8.04,43200,7.3
28-Nov-2007,8.09,8.12,8.05,8.05,18200,7.3
29-Nov-2007,8.1,8.15,8.08,8.15,27306,7.4
30-Nov-2007,8.22,8.25,8.16,8.25,8440,7.49
03-Dec-2007,8.25,8.25,8.24,8.25,3202,7.49
04-Dec-2007,8.25,8.26,8.2,8.25,5800,7.49
05-Dec-2007,8.26,8.26,8,8.08,14198,7.33
06-Dec-2007,8.08,8.11,8.08,8.08,15150,7.33
07-Dec-2007,8.08,8.14,7.98,8.03,17200,7.29
10-Dec-2007,8.06,8.12,8.06,8.1,41370,7.35
11-Dec-2007,8.1,8.1,7.9,8.02,74130,7.28
12-Dec-2007,8,8.05,7.88,7.88,41000,7.15
13-Dec-2007,7.82,7.88,7.62,7.63,36424,6.92
14-Dec-2007,7.65,7.8,7.63,7.8,45112,7.08
17-Dec-2007,7.8,7.84,7.8,7.81,13112,7.09
18-Dec-2007,7.83,7.83,7.26,7.26,52018,6.59
19-Dec-2007,7.38,7.38,7.02,7.02,58762,6.37
20-Dec-2007,7,7.02,6.45,6.62,99854,6.01
21-Dec-2007,6.62,6.94,6.05,6.05,799304,5.49
24-Dec-2007,6.08,7.22,6.08,7.21,212530,6.54
26-Dec-2007,7.2,7.42,6.78,7.4,82170,6.71
27-Dec-2007,7.32,7.46,6.9,6.98,113116,6.35
28-Dec-2007,6.98,7.28,6.88,7.06,89006,6.42
31-Dec-2007,7.22,7.39,6.95,7.2,109978,6.55
02-Jan-2008,7.14,7.24,6.87,6.88,43136,6.26
03-Jan-2008,6.88,6.9,6.15,6.32,194352,5.75
04-Jan-2008,6.2,6.32,5.39,5.5,217242,5
07-Jan-2008,5.53,5.9,5.5,5.7,140904,5.19
08-Jan-2008,5.7,5.85,5.53,5.56,114952,5.06
09-Jan-2008,5.57,5.84,5.55,5.64,82520,5.13
10-Jan-2008,5.64,5.7,5.35,5.6,372812,5.1
11-Jan-2008,5.5,5.5,5.36,5.38,31324,4.89
14-Jan-2008,5.38,5.72,5.38,5.5,61866,5
15-Jan-2008,5.5,5.52,5.05,5.29,52926,4.81
16-Jan-2008,5.28,5.4,5.28,5.35,225776,4.87
17-Jan-2008,5.38,6,5.34,5.4,23768,4.91
18-Jan-2008,5.35,5.62,5.35,5.48,29340,4.99
22-Jan-2008,5.92,5.95,5.3,5.52,78536,5.02
23-Jan-2008,5.48,5.61,5.31,5.34,78100,4.86
24-Jan-2008,5.35,5.35,5.24,5.32,136102,4.84
25-Jan-2008,5.32,5.35,5.22,5.24,32658,4.77
28-Jan-2008,5.12,5.62,5.11,5.28,59476,4.8
29-Jan-2008,5.25,5.28,5.22,5.28,11032,4.8
30-Jan-2008,5.32,5.37,5.18,5.18,289946,4.71
31-Jan-2008,5.12,5.12,4.81,4.9,56008,4.46
01-Feb-2008,5.02,5.16,4.88,4.9,668652,4.46
04-Feb-2008,4.9,5.32,4.9,5.09,242296,4.63
05-Feb-2008,5.14,5.27,4.92,4.93,80662,4.49
06-Feb-2008,4.96,5.02,4.9,4.92,59572,4.48
07-Feb-2008,4.93,5.09,4.93,4.99,59792,4.54
08-Feb-2008,5,5.02,4.91,5.02,35764,4.57
11-Feb-2008,5.02,5.02,4.85,4.92,23174,4.48
12-Feb-2008,5.04,5.04,4.95,4.99,63714,4.54
13-Feb-2008,5.02,5.27,4.96,5,102264,4.55
14-Feb-2008,5,5,4.88,4.88,31796,4.44
15-Feb-2008,4.88,4.88,4.44,4.54,354062,4.13
19-Feb-2008,4.62,4.75,4.42,4.46,132136,4.06
20-Feb-2008,4.5,4.6,4.5,4.6,99054,4.19
21-Feb-2008,4.68,4.86,4.62,4.64,22270,4.22
22-Feb-2008,4.62,4.68,4.5,4.52,21754,4.11
25-Feb-2008,4.94,4.94,4.54,4.64,24624,4.22
26-Feb-2008,4.75,4.75,4.5,4.57,20446,4.16
27-Feb-2008,4.5,4.72,4.5,4.54,70758,4.13
28-Feb-2008,4.66,4.66,4.35,4.41,65270,4.01
29-Feb-2008,4.4,4.5,4.18,4.33,72526,3.94
03-Mar-2008,4.3,4.32,4.02,4.06,57874,3.69
04-Mar-2008,4.09,4.14,3.98,4,68656,3.64
05-Mar-2008,4.01,4.13,3.96,3.98,84208,3.62
06-Mar-2008,4,4,3.75,3.76,116654,3.42
07-Mar-2008,3.96,4.46,3.85,4.32,117044,3.93
10-Mar-2008,4.5,4.76,4.42,4.48,88484,4.08
11-Mar-2008,4.61,5.04,4.56,5.04,29358,4.59
12-Mar-2008,5.24,5.28,4.82,5.28,68880,4.8
13-Mar-2008,5.33,5.42,5.3,5.4,53420,4.91
14-Mar-2008,5.44,5.44,5.21,5.26,35886,4.79
17-Mar-2008,5.36,5.36,4.55,4.71,18270,4.29
18-Mar-2008,4.64,4.75,4.64,4.75,25064,4.32
19-Mar-2008,4.88,5.09,4.65,4.65,49244,4.23
20-Mar-2008,4.64,4.64,4.16,4.52,163000,4.11
24-Mar-2008,4.61,4.67,4.5,4.58,58332,4.17
25-Mar-2008,4.55,4.62,4.55,4.58,24770,4.17
26-Mar-2008,4.56,4.62,4.54,4.58,20696,4.17
27-Mar-2008,4.63,4.63,4.34,4.38,18158,4
28-Mar-2008,4.38,4.64,4.38,4.44,11094,4.06
31-Mar-2008,4.74,4.74,4.56,4.64,16370,4.24
01-Apr-2008,4.75,4.75,4.62,4.74,27518,4.33
02-Apr-2008,4.75,4.75,4.61,4.7,13950,4.3
03-Apr-2008,4.65,4.72,4.56,4.7,22320,4.3
04-Apr-2008,4.71,4.73,4.6,4.72,56664,4.31
07-Apr-2008,4.86,4.86,4.62,4.62,271260,4.22
08-Apr-2008,4.68,4.68,4.63,4.64,18120,4.24
09-Apr-2008,4.63,4.64,4.6,4.62,25894,4.22
10-Apr-2008,4.62,4.89,4.58,4.89,16214,4.47
11-Apr-2008,4.82,4.82,4.62,4.64,44494,4.24
14-Apr-2008,4.71,4.77,4.68,4.69,60196,4.29
15-Apr-2008,4.74,4.75,4.58,4.64,131308,4.24
16-Apr-2008,4.69,4.75,4.63,4.71,26606,4.3
17-Apr-2008,4.66,4.7,4.62,4.66,13610,4.26
18-Apr-2008,4.68,5.04,4.68,5.03,289446,4.6
21-Apr-2008,5.05,5.14,4.93,4.96,44806,4.53
22-Apr-2008,4.85,5.02,4.8,4.86,19872,4.44
23-Apr-2008,4.88,5,4.82,4.9,2362,4.48
24-Apr-2008,4.8,5,4.8,5,5390,4.57
25-Apr-2008,5,5.1,5,5.1,32236,4.66
