Date,Open,High,Low,Close,Volume,AdjClose
12-Feb-1999,0,25.5,14,20.47,4515400,20.47
16-Feb-1999,0,25.62,21.12,23.12,1998900,23.12
17-Feb-1999,0,23.38,20.5,21,586000,21
18-Feb-1999,0,21.5,19,19.88,514800,19.88
19-Feb-1999,0,20.5,19.38,19.69,183100,19.69
22-Feb-1999,0,22,19.5,20.75,222600,20.75
23-Feb-1999,0,22,20.56,21.62,196900,21.62
24-Feb-1999,0,23.12,21.62,21.62,239900,21.62
25-Feb-1999,0,21.75,19.75,21,191900,21
26-Feb-1999,0,23,20.62,21,239800,21
01-Mar-1999,0,21.62,19.88,20.75,94100,20.75
02-Mar-1999,0,23,21,21.38,361300,21.38
03-Mar-1999,0,22.62,20.88,22,136300,22
04-Mar-1999,0,24,21.88,22.81,277400,22.81
05-Mar-1999,0,24.5,23,23.44,332600,23.44
08-Mar-1999,0,29.75,23.62,29,886300,29
09-Mar-1999,0,30.75,26.5,28,656800,28
10-Mar-1999,0,29.88,26.5,29.75,613900,29.75
11-Mar-1999,0,47.25,31.25,37.62,4188300,37.62
12-Mar-1999,0,60.75,41,57.86,9950700,57.86
15-Mar-1999,0,94,65,92.25,7038200,92.25
16-Mar-1999,0,98,65,68.5,9604500,68.5
17-Mar-1999,0,79.56,70,77.62,4704300,77.62
18-Mar-1999,0,79.38,71,72,2160900,72
19-Mar-1999,0,74.25,63.5,66,2073600,66
22-Mar-1999,0,66.25,55,56.5,1898500,56.5
23-Mar-1999,0,56,47,52.5,1851100,52.5
24-Mar-1999,0,72.5,52.75,71.5,5182000,71.5
25-Mar-1999,0,79.12,64.75,67.44,3560300,67.44
26-Mar-1999,0,71,62.25,66,1047600,66
29-Mar-1999,0,70,63.75,64.5,755100,64.5
30-Mar-1999,0,64.12,60.12,60.88,622400,60.88
31-Mar-1999,0,65,60.25,63.81,676400,63.81
01-Apr-1999,0,67.25,62.62,64.5,549000,64.5
05-Apr-1999,0,66,60.25,61.5,503600,61.5
06-Apr-1999,0,65.25,57,61,990200,61
07-Apr-1999,0,63.5,60.06,60.38,351900,60.38
08-Apr-1999,0,62.88,57,60.75,265900,60.75
09-Apr-1999,0,71,61.12,64.5,1639700,64.5
12-Apr-1999,0,69.5,63,64.62,606600,64.62
13-Apr-1999,0,73.25,66,68.81,969500,68.81
14-Apr-1999,0,75.5,60.94,62.25,802400,62.25
15-Apr-1999,0,64.38,50,60,610000,60
16-Apr-1999,0,62.12,58.62,61,208800,61
19-Apr-1999,0,61.88,46.12,47.62,667200,47.62
20-Apr-1999,0,55,42,49.88,851100,49.88
21-Apr-1999,0,61,50,60.88,791200,60.88
22-Apr-1999,0,62.75,55.5,59,484700,59
23-Apr-1999,0,66.5,60.12,61,1130200,61
26-Apr-1999,0,60.94,58,59,380800,59
27-Apr-1999,0,61.75,57,57,429000,57
28-Apr-1999,0,57.75,54.5,54.62,213400,54.62
29-Apr-1999,0,54.75,52,53.25,158300,53.25
30-Apr-1999,0,58.75,53.12,58.5,501700,58.5
03-May-1999,0,62.88,56.5,61.94,907800,61.94
04-May-1999,0,64.88,57.69,57.69,1089100,57.69
05-May-1999,0,61.38,51,61,469300,61
