Date,Open,High,Low,Close,Volume,AdjClose
24-Nov-1981,0,4.56,4.44,4.44,504000,4.04
25-Nov-1981,0,4.69,4.63,4.63,603200,4.21
27-Nov-1981,0,4.81,4.69,4.69,100000,4.27
30-Nov-1981,0,4.81,4.69,4.69,25200,4.27
01-Dec-1981,0,4.81,4.75,4.75,77200,4.32
02-Dec-1981,0,4.94,4.81,4.81,186400,4.38
03-Dec-1981,0,5.13,5,5,140000,4.55
04-Dec-1981,0,5.31,5.19,5.19,55600,4.72
07-Dec-1981,0,5.5,5.44,5.44,72800,4.95
08-Dec-1981,0,5.5,5.44,5.44,49600,4.95
09-Dec-1981,0,5.5,5.44,5.44,115600,4.95
10-Dec-1981,0,5.5,5.44,5.44,21600,4.95
11-Dec-1981,0,5.5,5.38,5.38,48800,4.9
14-Dec-1981,0,5.38,5.25,5.25,76800,4.78
15-Dec-1981,0,5.44,5.31,5.31,29600,4.83
16-Dec-1981,0,5.44,5.31,5.31,12800,4.83
17-Dec-1981,0,5.38,5.31,5.31,106000,4.83
18-Dec-1981,0,5.38,5.31,5.31,12000,4.83
21-Dec-1981,0,5.44,5.31,5.31,20400,4.83
22-Dec-1981,0,5.44,5.31,5.31,10800,4.83
23-Dec-1981,0,5.38,5.31,5.31,14800,4.83
24-Dec-1981,0,5.31,5.25,5.25,39600,4.78
28-Dec-1981,0,5.31,5.25,5.25,23200,4.78
29-Dec-1981,0,5.31,5.19,5.19,148000,4.72
30-Dec-1981,0,5.44,5.25,5.25,23600,4.78
31-Dec-1981,0,5.63,5.44,5.44,14800,4.95
04-Jan-1982,0,5.56,5.44,5.44,11200,4.95
05-Jan-1982,0,5.5,5.38,5.38,34800,4.9
06-Jan-1982,0,5.44,5.31,5.31,20000,4.83
07-Jan-1982,0,5.38,5.25,5.25,27600,4.78
08-Jan-1982,0,5.38,5.25,5.25,1200,4.78
11-Jan-1982,0,5.31,5.19,5.19,16400,4.72
12-Jan-1982,0,5.13,5.06,5.06,75200,4.61
13-Jan-1982,0,5.13,5,5,8800,4.55
14-Jan-1982,0,5.13,5,5,10400,4.55
15-Jan-1982,0,5.13,5,5,400,4.55
18-Jan-1982,0,5.06,4.94,4.94,2000,4.5
19-Jan-1982,0,5.13,4.94,4.94,6800,4.5
20-Jan-1982,0,5.13,4.94,4.94,800,4.5
21-Jan-1982,0,5.13,5,5,4800,4.55
22-Jan-1982,0,5.19,5.06,5.06,8800,4.61
25-Jan-1982,0,5.19,5.06,5.06,400,4.61
