Date,Open,High,Low,Close,Volume,AdjClose
17-Mar-1993,0,6.92,6.71,6.75,2321400,4.43
18-Mar-1993,0,6.8,6.67,6.75,1084599,4.43
19-Mar-1993,0,6.71,6.67,6.67,1075599,4.38
22-Mar-1993,0,6.71,6.42,6.71,1107000,4.41
23-Mar-1993,0,6.75,6.67,6.71,710901,4.41
24-Mar-1993,0,6.75,6.5,6.59,241101,4.33
25-Mar-1993,0,6.71,6.54,6.67,538200,4.38
26-Mar-1993,0,6.75,6.67,6.75,125301,4.43
29-Mar-1993,0,6.75,6.63,6.75,379899,4.43
30-Mar-1993,0,6.88,6.75,6.88,152001,4.52
31-Mar-1993,0,7.05,6.88,6.92,470799,4.55
01-Apr-1993,0,6.84,6.67,6.67,209901,4.38
02-Apr-1993,0,6.71,6.59,6.59,808401,4.33
05-Apr-1993,0,6.67,6.59,6.67,455799,4.38
06-Apr-1993,0,6.67,6.54,6.59,303399,4.33
07-Apr-1993,0,6.63,6.46,6.5,241701,4.27
08-Apr-1993,0,6.54,6.17,6.29,81900,4.13
12-Apr-1993,0,6.59,6.5,6.59,387699,4.33
13-Apr-1993,0,6.84,6.63,6.84,142101,4.49
14-Apr-1993,0,7.05,6.92,6.92,198801,4.55
15-Apr-1993,0,6.88,6.67,6.67,109101,4.38
16-Apr-1993,0,6.8,6.67,6.75,74100,4.43
19-Apr-1993,0,6.75,6.67,6.71,137901,4.41
20-Apr-1993,0,6.8,6.67,6.75,244701,4.43
21-Apr-1993,0,7,6.75,6.8,459699,4.47
22-Apr-1993,0,6.84,6.71,6.75,117501,4.43
23-Apr-1993,0,6.8,6.71,6.8,41400,4.47
26-Apr-1993,0,6.8,6.59,6.59,81900,4.33
27-Apr-1993,0,6.59,6.46,6.5,261801,4.27
28-Apr-1993,0,6.5,6.42,6.46,65700,4.24
29-Apr-1993,0,6.67,6.5,6.63,46800,4.36
30-Apr-1993,0,6.67,6.63,6.63,28200,4.36
03-May-1993,0,6.67,6.67,6.67,10500,4.38
04-May-1993,0,6.96,6.75,6.96,139101,4.57
05-May-1993,0,7.05,6.92,6.96,79800,4.57
06-May-1993,0,6.96,6.88,6.92,99300,4.55
07-May-1993,0,7,6.88,6.92,67500,4.55
10-May-1993,0,6.96,6.84,6.92,72600,4.55
11-May-1993,0,6.92,6.8,6.8,89700,4.47
12-May-1993,0,6.8,6.5,6.5,377799,4.27
13-May-1993,0,6.42,6.21,6.38,197301,4.19
14-May-1993,0,6.46,6.34,6.34,46500,4.17
17-May-1993,0,6.5,6.34,6.34,267801,4.17
18-May-1993,0,6.38,6.25,6.38,169701,4.19
19-May-1993,0,6.46,6.29,6.46,152301,4.24
20-May-1993,0,6.25,6.04,6.25,1114200,4.11
21-May-1993,0,6.5,6.21,6.25,100101,4.11
24-May-1993,0,6.17,6,6.04,482499,3.97
25-May-1993,0,6.09,6,6,425499,3.94
26-May-1993,0,6.04,5.88,5.88,58500,3.86
27-May-1993,0,5.92,5.79,5.84,291201,3.84
28-May-1993,0,6,5.84,6,14100,3.94
01-Jun-1993,0,6.13,5.96,6.13,25800,4.03
02-Jun-1993,0,6.34,6.17,6.17,115401,4.05
03-Jun-1993,0,6.29,6.17,6.21,119901,4.08
04-Jun-1993,0,6.21,6.13,6.21,53700,4.08
07-Jun-1993,0,6.21,6.09,6.09,69600,4
08-Jun-1993,0,6.13,5.84,5.84,126501,3.84
09-Jun-1993,0,5.88,5.84,5.88,41100,3.86
10-Jun-1993,0,5.84,5.67,5.67,234501,3.72
11-Jun-1993,0,5.63,5.42,5.63,677700,3.7
14-Jun-1993,0,6,5.71,5.96,92700,3.92
15-Jun-1993,0,6.34,6.04,6.34,193101,4.17
16-Jun-1993,0,6.63,6.5,6.54,325899,4.3
17-Jun-1993,0,6.84,6.63,6.84,183201,4.49
18-Jun-1993,0,6.84,6.63,6.63,239901,4.36
21-Jun-1993,0,6.59,6.38,6.46,84900,4.24
22-Jun-1993,0,6.5,6.29,6.34,183801,4.17
23-Jun-1993,0,6.46,6.38,6.46,149601,4.24
24-Jun-1993,0,6.46,6.34,6.34,73200,4.17
25-Jun-1993,0,6.38,6.29,6.34,131901,4.17
28-Jun-1993,0,6.34,6.25,6.25,39000,4.11
29-Jun-1993,0,6.29,6.21,6.21,42900,4.08
30-Jun-1993,0,6.38,6.25,6.38,155601,4.19
01-Jul-1993,0,6.42,6.29,6.34,123801,4.17
02-Jul-1993,0,6.38,6.25,6.25,97800,4.11
06-Jul-1993,0,6.25,5.96,5.96,128301,3.92
07-Jul-1993,0,6,5.92,5.92,154101,3.89
08-Jul-1993,0,6.09,5.92,6.04,370299,3.97
09-Jul-1993,0,6.09,6,6.04,51300,3.97
12-Jul-1993,0,6.17,6.04,6.09,107601,4
13-Jul-1993,0,6.21,6.09,6.09,40800,4
14-Jul-1993,0,6.21,6.09,6.21,23400,4.08
15-Jul-1993,0,6.5,6.25,6.42,45000,4.22
16-Jul-1993,0,6.38,6.29,6.34,46500,4.17
19-Jul-1993,0,6.29,6.17,6.17,16200,4.05
20-Jul-1993,0,6.29,6.13,6.25,38700,4.11
21-Jul-1993,0,6.29,6.21,6.25,179601,4.11
22-Jul-1993,0,6.29,6.25,6.29,12900,4.13
23-Jul-1993,0,6.38,6.21,6.29,139401,4.13
26-Jul-1993,0,6.29,6.21,6.25,16500,4.11
27-Jul-1993,0,6.29,6.17,6.25,232701,4.11
28-Jul-1993,0,6.29,6.21,6.25,74700,4.11
29-Jul-1993,0,6.34,6.25,6.29,46200,4.13
30-Jul-1993,0,6.38,6.29,6.38,77400,4.19
02-Aug-1993,0,6.38,6.29,6.34,31500,4.17
03-Aug-1993,0,6.46,6.38,6.38,101901,4.19
04-Aug-1993,0,6.54,6.42,6.46,53400,4.24
05-Aug-1993,0,6.71,6.54,6.63,229101,4.36
06-Aug-1993,0,6.71,6.46,6.46,112101,4.24
09-Aug-1993,0,6.59,6.46,6.54,63300,4.3
10-Aug-1993,0,6.71,6.54,6.71,217401,4.41
11-Aug-1993,0,7.34,7.13,7.25,338499,4.76
12-Aug-1993,0,7.67,7.34,7.5,293901,4.93
13-Aug-1993,0,7.46,7.3,7.38,259101,4.85
16-Aug-1993,0,7.42,7.13,7.13,109401,4.68
17-Aug-1993,0,7.3,7,7.3,161601,4.8
18-Aug-1993,0,7.3,7.25,7.25,49200,4.76
19-Aug-1993,0,7.84,7.34,7.8,517500,5.12
20-Aug-1993,0,8.34,7.84,8.34,362199,5.48
23-Aug-1993,0,8.5,8.21,8.42,465399,5.53
24-Aug-1993,0,8.59,8.42,8.55,384999,5.62
25-Aug-1993,0,8.59,8.5,8.5,400299,5.58
26-Aug-1993,0,8.55,8.25,8.25,291501,5.42
27-Aug-1993,0,8.38,8.25,8.3,47400,5.45
30-Aug-1993,0,8.25,8.21,8.21,34200,5.39
31-Aug-1993,0,8.38,8.13,8.34,201801,5.48
01-Sep-1993,0,8.34,8.21,8.25,68700,5.42
02-Sep-1993,0,8.38,8.3,8.3,159801,5.45
03-Sep-1993,0,8.34,8.3,8.3,24600,5.45
07-Sep-1993,0,8.3,8.17,8.3,47100,5.45
08-Sep-1993,0,8.3,8.17,8.17,52200,5.37
09-Sep-1993,0,8.3,8.21,8.3,93900,5.45
10-Sep-1993,0,8.3,8.17,8.21,72300,5.39
13-Sep-1993,0,8.17,7.88,7.92,119001,5.2
14-Sep-1993,0,7.92,7.8,7.8,18000,5.12
15-Sep-1993,0,7.88,7.75,7.8,507600,5.12
16-Sep-1993,0,7.92,7.75,7.88,95700,5.18
17-Sep-1993,0,8.17,7.88,8,408699,5.26
20-Sep-1993,0,8.09,8,8,25200,5.26
21-Sep-1993,0,8.09,8,8.09,96300,5.31
22-Sep-1993,0,8.17,8.09,8.17,243801,5.37
23-Sep-1993,0,8.34,8.13,8.34,701301,5.48
24-Sep-1993,0,8.34,8.25,8.3,250101,5.45
27-Sep-1993,0,8.34,8.25,8.3,341199,5.45
28-Sep-1993,0,8.3,8.21,8.25,257301,5.42
29-Sep-1993,0,8.25,8.17,8.17,75600,5.37
30-Sep-1993,0,8.13,7.8,8,137601,5.26
01-Oct-1993,0,8.09,7.96,8.09,29700,5.31
04-Oct-1993,0,8.09,7.96,8,10200,5.26
05-Oct-1993,0,8,7.92,8,293901,5.26
06-Oct-1993,0,7.96,7.92,7.92,11400,5.2
07-Oct-1993,0,7.92,7.75,7.75,20700,5.09
08-Oct-1993,0,7.88,7.8,7.8,102501,5.12
11-Oct-1993,0,7.92,7.84,7.88,144801,5.18
12-Oct-1993,0,7.84,7.71,7.8,99900,5.12
13-Oct-1993,0,7.84,7.75,7.84,219501,5.15
14-Oct-1993,0,7.88,7.71,7.71,188901,5.07
15-Oct-1993,0,7.71,7.63,7.67,382299,5.04
18-Oct-1993,0,7.71,7.42,7.42,111801,4.87
19-Oct-1993,0,7.38,7.09,7.09,115401,4.66
20-Oct-1993,0,8.05,7.42,8.05,341499,5.29
21-Oct-1993,0,8.42,8.09,8.34,612900,5.48
22-Oct-1993,0,8.34,8.21,8.3,45300,5.45
25-Oct-1993,0,8.3,8.17,8.21,76200,5.39
26-Oct-1993,0,8.25,8.09,8.21,50400,5.39
27-Oct-1993,0,8.25,8.17,8.25,185001,5.42
28-Oct-1993,0,8.21,8.17,8.21,30600,5.39
29-Oct-1993,0,8.21,8.17,8.21,35400,5.39
01-Nov-1993,0,8.21,7.96,8,89100,5.26
02-Nov-1993,0,8,7.88,7.88,177201,5.18
03-Nov-1993,0,8,7.92,7.92,68100,5.2
04-Nov-1993,0,7.96,7.92,7.92,13200,5.2
05-Nov-1993,0,8.34,7.88,8.34,138801,5.48
08-Nov-1993,0,8.92,8.34,8.8,93900,5.78
09-Nov-1993,0,9.17,8.92,8.96,86700,5.89
10-Nov-1993,0,9.17,8.84,8.96,136701,5.89
11-Nov-1993,0,8.96,8.84,8.84,1452801,5.81
12-Nov-1993,0,8.84,8.67,8.84,227301,5.81
15-Nov-1993,0,9,8.84,8.84,245601,5.81
16-Nov-1993,0,8.88,8.71,8.71,66600,5.72
17-Nov-1993,0,8.75,8.63,8.71,146601,5.72
18-Nov-1993,0,8.8,8.67,8.71,123801,5.72
19-Nov-1993,0,8.8,8.67,8.71,183801,5.72
22-Nov-1993,0,8.75,8.67,8.67,56400,5.7
23-Nov-1993,0,8.75,8.67,8.67,41100,5.7
24-Nov-1993,0,8.75,8.71,8.71,60000,5.72
26-Nov-1993,0,8.8,8.75,8.8,3600,5.78
29-Nov-1993,0,8.8,8.75,8.8,18300,5.78
30-Nov-1993,0,8.84,8.75,8.84,107001,5.81
01-Dec-1993,0,8.96,8.75,8.96,63300,5.89
02-Dec-1993,0,9.3,9,9.25,127401,6.08
03-Dec-1993,0,9.38,9.3,9.3,236601,6.11
06-Dec-1993,0,9.38,9.25,9.25,147801,6.08
07-Dec-1993,0,9.3,9.09,9.09,26100,5.97
08-Dec-1993,0,9.17,8.96,9,138801,5.91
09-Dec-1993,0,9.05,8.92,8.96,305199,5.89
10-Dec-1993,0,8.96,8.8,8.84,145401,5.81
13-Dec-1993,0,8.88,8.8,8.88,42600,5.83
14-Dec-1993,0,8.92,8.8,8.88,154401,5.83
15-Dec-1993,0,8.88,8.8,8.84,92700,5.81
16-Dec-1993,0,8.92,8.8,8.84,345699,5.81
17-Dec-1993,0,9.13,8.8,9.09,248301,5.97
20-Dec-1993,0,9.46,9.05,9.38,333399,6.16
21-Dec-1993,0,9.46,9.3,9.42,218301,6.19
22-Dec-1993,0,9.55,9.42,9.46,223401,6.21
23-Dec-1993,0,9.46,9.25,9.3,73800,6.11
27-Dec-1993,0,9.3,9.21,9.3,197901,6.11
28-Dec-1993,0,9.42,9.3,9.42,67200,6.19
29-Dec-1993,0,9.55,9.38,9.55,221901,6.27
30-Dec-1993,0,9.96,9.55,9.96,132201,6.54
31-Dec-1993,0,10.51,9.96,10.42,125901,6.85
03-Jan-1994,0,10.26,9.71,9.71,283401,6.38
