Date,Open,High,Low,Close,Volume,AdjClose
11-Aug-2006,25,26.2,24.3,24.85,2177600,19.05
14-Aug-2006,25.65,26.7,25.2,25.6,426000,19.62
15-Aug-2006,26.25,28.25,26.11,26.61,240600,20.4
16-Aug-2006,27,30.33,27,28.25,392500,21.66
17-Aug-2006,28.5,29.98,28.25,28.9,229200,22.15
18-Aug-2006,28.9,29.98,28.36,29.98,93700,22.98
21-Aug-2006,30.3,30.88,29.75,30.75,137600,23.57
22-Aug-2006,30.95,31.4,30,30.28,71000,23.21
23-Aug-2006,30.28,31,29.85,30.67,124400,23.51
24-Aug-2006,30.67,31.54,30.2,31.33,71400,24.02
25-Aug-2006,31.44,32.15,31.15,31.7,147300,24.3
28-Aug-2006,31.45,31.65,29.92,30.04,78800,23.03
29-Aug-2006,29.84,29.84,28.25,28.65,188900,21.96
30-Aug-2006,28.5,29,27.75,28.75,68400,22.04
31-Aug-2006,28.77,29.44,28.6,28.75,65400,22.04
01-Sep-2006,28.8,28.85,27.9,28.84,58700,22.11
05-Sep-2006,28.96,29.6,28.96,29.36,132000,22.51
06-Sep-2006,29.3,29.48,28.35,28.65,44900,21.96
07-Sep-2006,28.5,28.5,27.4,27.45,59800,21.04
08-Sep-2006,27.37,27.4,26.41,26.59,49200,20.38
11-Sep-2006,26.65,27.49,26.45,27.44,51100,21.04
12-Sep-2006,27.64,28.99,27.3,28.71,94600,22.01
13-Sep-2006,28.77,30.4,28.77,30,163900,23
14-Sep-2006,29.85,30.7,29.8,30.57,65700,23.43
15-Sep-2006,30.52,31.1,29.87,30.55,79800,23.42
18-Sep-2006,30.48,30.55,29.96,30.23,41000,23.17
19-Sep-2006,30.23,30.23,28.96,30.2,77100,23.15
20-Sep-2006,30.1,31.5,29.84,30,83400,23
21-Sep-2006,30,30.32,29.5,29.97,61900,22.97
22-Sep-2006,30,30.1,29.55,29.6,17100,22.69
25-Sep-2006,29.6,30.87,29.25,30.15,54200,23.11
26-Sep-2006,30.35,30.35,29.75,30,31400,23
27-Sep-2006,30,30.2,29.6,29.84,47400,22.88
28-Sep-2006,29.84,30.05,29.43,29.72,89000,22.78
29-Sep-2006,29.65,29.65,28.25,28.8,131100,22.08
02-Oct-2006,28.8,29.42,28.75,28.92,35800,22.17
03-Oct-2006,28.82,29.15,28.7,29.05,25100,22.27
04-Oct-2006,29,31.2,28.51,31.17,72200,23.89
05-Oct-2006,31.27,31.27,30.54,31.1,101200,23.84
06-Oct-2006,31.1,33.49,31,31.63,99800,24.25
09-Oct-2006,32.5,33.86,32.2,33.5,146500,25.68
10-Oct-2006,33.6,34.5,33.55,33.55,129900,25.72
11-Oct-2006,33.5,34.06,32.7,33.86,112200,25.96
12-Oct-2006,34.01,35.28,34.01,35,59000,26.83
13-Oct-2006,34.92,34.92,34.09,34.35,40600,26.33
16-Oct-2006,34.6,35.24,34.4,34.91,55900,26.76
17-Oct-2006,35.1,35.25,34.41,34.82,40300,26.69
18-Oct-2006,34.83,34.88,32.82,33.33,47000,25.55
19-Oct-2006,33.33,35.25,33.33,35.25,142300,27.02
20-Oct-2006,35.5,36.1,34.6,35.38,106400,27.12
23-Oct-2006,36.3,37.4,35.9,36.83,198800,28.23
24-Oct-2006,37,37.8,36.91,37.14,126300,28.47
25-Oct-2006,37.3,37.49,37.15,37.45,41800,28.71
26-Oct-2006,37.5,39.72,37.49,39.4,91800,30.2
27-Oct-2006,39.7,40.05,39.2,39.31,88800,30.13
30-Oct-2006,39.06,39.5,38.35,38.5,74900,29.51
31-Oct-2006,38.9,38.9,36.12,36.68,158300,28.12
01-Nov-2006,36.54,36.9,34.2,35.95,191900,27.56
02-Nov-2006,35.7,35.7,34.25,34.84,85300,26.71
03-Nov-2006,34.84,35.5,34.84,35.5,124800,27.21
06-Nov-2006,33.82,35.85,33.47,34.66,288300,26.57
07-Nov-2006,34.66,36,32.66,33.46,217600,25.65
