Date,Open,High,Low,Close,Volume,AdjClose
30-Apr-1987,0,2.96,2.96,2.96,254898,1.45
01-May-1987,0,2.96,2.96,2.96,109300,1.45
04-May-1987,0,2.96,2.84,2.94,37300,1.44
05-May-1987,0,2.96,2.8,2.8,22500,1.37
06-May-1987,0,2.93,2.76,2.84,32400,1.39
07-May-1987,0,2.88,2.72,2.72,10300,1.34
08-May-1987,0,2.84,2.84,2.84,900,1.39
11-May-1987,0,2.84,2.84,2.84,1800,1.39
12-May-1987,NaN,NaN,NaN,2.84,0,1.39
13-May-1987,0,2.8,2.76,2.8,13900,1.37
14-May-1987,0,2.8,2.8,2.8,1300,1.37
15-May-1987,0,2.88,2.72,2.72,1800,1.34
18-May-1987,0,2.88,2.88,2.88,900,1.41
19-May-1987,0,2.88,2.88,2.88,400,1.41
20-May-1987,NaN,NaN,NaN,2.88,0,1.41
21-May-1987,0,2.88,2.76,2.76,8500,1.35
22-May-1987,0,2.76,2.76,2.76,900,1.35
26-May-1987,0,2.72,2.72,2.72,1300,1.34
27-May-1987,0,2.72,2.72,2.72,15700,1.34
28-May-1987,0,2.76,2.72,2.72,32400,1.34
29-May-1987,0,2.88,2.88,2.88,900,1.41
01-Jun-1987,0,2.72,2.72,2.72,3600,1.34
02-Jun-1987,0,2.72,2.72,2.72,900,1.34
03-Jun-1987,0,2.76,2.72,2.76,5800,1.35
04-Jun-1987,0,2.84,2.72,2.84,25200,1.39
05-Jun-1987,NaN,NaN,NaN,2.84,0,1.39
08-Jun-1987,0,2.88,2.72,2.72,16200,1.34
09-Jun-1987,NaN,NaN,NaN,2.72,0,1.34
10-Jun-1987,NaN,NaN,NaN,2.72,0,1.34
11-Jun-1987,0,2.76,2.72,2.76,6700,1.35
12-Jun-1987,0,2.88,2.88,2.88,6300,1.41
15-Jun-1987,0,2.72,2.72,2.72,400,1.34
16-Jun-1987,0,2.72,2.72,2.72,900,1.34
17-Jun-1987,0,2.76,2.72,2.72,13900,1.34
18-Jun-1987,NaN,NaN,NaN,2.72,0,1.34
19-Jun-1987,0,2.84,2.84,2.84,400,1.39
22-Jun-1987,NaN,NaN,NaN,2.84,0,1.39
23-Jun-1987,0,2.72,2.72,2.72,4500,1.34
24-Jun-1987,NaN,NaN,NaN,2.72,0,1.34
25-Jun-1987,0,2.88,2.88,2.88,37800,1.41
26-Jun-1987,NaN,NaN,NaN,2.88,0,1.41
29-Jun-1987,0,2.84,2.72,2.84,120501,1.39
30-Jun-1987,0,2.72,2.72,2.72,1300,1.34
