Date,Open,High,Low,Close,Volume,AdjClose
10-Jun-1992,0,6.12,5.88,6.09,36000,2.26
11-Jun-1992,0,6.12,6.03,6.06,9600,2.25
12-Jun-1992,0,6.16,6.06,6.12,18800,2.27
15-Jun-1992,NaN,NaN,NaN,6.12,0,2.27
16-Jun-1992,0,6.19,6.09,6.09,22800,2.26
17-Jun-1992,0,6.12,6.09,6.09,2800,2.26
18-Jun-1992,0,6.06,6.06,6.06,800,2.25
19-Jun-1992,0,6.12,6.06,6.09,5200,2.26
22-Jun-1992,NaN,NaN,NaN,6.09,0,2.26
23-Jun-1992,0,6.12,6.12,6.12,3200,2.27
24-Jun-1992,0,6.12,6.12,6.12,2000,2.27
25-Jun-1992,NaN,NaN,NaN,6.12,0,2.29
26-Jun-1992,0,6.06,6.06,6.06,400,2.27
29-Jun-1992,0,6.03,6.03,6.03,9600,2.26
30-Jun-1992,0,6.06,6.06,6.06,800,2.27
01-Jul-1992,0,6.03,6.03,6.03,1600,2.26
02-Jul-1992,0,6.03,6,6.03,10400,2.26
06-Jul-1992,0,6.06,6.06,6.06,4400,2.27
07-Jul-1992,NaN,NaN,NaN,6.06,0,2.27
08-Jul-1992,0,6.12,6.09,6.12,14000,2.29
09-Jul-1992,0,6.19,6.16,6.19,2400,2.31
10-Jul-1992,0,6.19,6.12,6.12,11600,2.29
13-Jul-1992,0,6.22,6.16,6.22,6800,2.33
14-Jul-1992,0,6.22,6.16,6.19,12400,2.31
15-Jul-1992,0,6.22,6.22,6.22,800,2.33
16-Jul-1992,0,6.25,6.25,6.25,4000,2.34
17-Jul-1992,0,6.34,6.28,6.34,9600,2.37
20-Jul-1992,NaN,NaN,NaN,6.34,0,2.37
21-Jul-1992,0,6.34,6.31,6.34,3200,2.37
22-Jul-1992,0,6.38,6.38,6.38,1600,2.39
23-Jul-1992,NaN,NaN,NaN,6.38,0,2.39
24-Jul-1992,0,6.34,6.34,6.34,400,2.37
27-Jul-1992,0,6.41,6.38,6.38,3600,2.39
28-Jul-1992,0,6.44,6.41,6.41,2800,2.4
29-Jul-1992,0,6.44,6.44,6.44,3200,2.41
30-Jul-1992,0,6.44,6.44,6.44,1200,2.41
31-Jul-1992,0,6.44,6.44,6.44,400,2.41
03-Aug-1992,0,6.53,6.5,6.53,3200,2.44
04-Aug-1992,0,6.66,6.56,6.66,12000,2.49
05-Aug-1992,0,6.81,6.72,6.81,16400,2.55
06-Aug-1992,0,6.91,6.88,6.91,4400,2.58
07-Aug-1992,0,6.94,6.94,6.94,3200,2.6
10-Aug-1992,0,6.97,6.91,6.97,6800,2.61
11-Aug-1992,0,6.97,6.91,6.91,7600,2.58
12-Aug-1992,0,6.88,6.88,6.88,3200,2.57
13-Aug-1992,0,6.94,6.94,6.94,2400,2.6
14-Aug-1992,0,6.97,6.97,6.97,2400,2.61
17-Aug-1992,0,6.94,6.94,6.94,16000,2.6
18-Aug-1992,0,6.94,6.94,6.94,4400,2.6
19-Aug-1992,0,6.91,6.88,6.91,21200,2.58
20-Aug-1992,NaN,NaN,NaN,6.91,0,2.58
21-Aug-1992,0,6.88,6.88,6.88,400,2.57
24-Aug-1992,0,6.91,6.88,6.88,5200,2.57
25-Aug-1992,0,6.88,6.84,6.84,9600,2.56
26-Aug-1992,0,6.84,6.84,6.84,7600,2.56
27-Aug-1992,0,6.88,6.88,6.88,3200,2.57
28-Aug-1992,0,6.88,6.84,6.88,4800,2.57
31-Aug-1992,0,6.88,6.88,6.88,4400,2.57
01-Sep-1992,0,6.97,6.84,6.97,22800,2.61
02-Sep-1992,0,6.94,6.94,6.94,2400,2.6
03-Sep-1992,0,6.97,6.97,6.97,800,2.61
04-Sep-1992,0,7,7,7,400,2.62
08-Sep-1992,0,7,7,7,800,2.62
09-Sep-1992,0,7.03,7.03,7.03,3200,2.63
10-Sep-1992,0,7.12,7.06,7.12,8800,2.66
11-Sep-1992,0,7.12,7.12,7.12,400,2.66
14-Sep-1992,0,7.25,7.25,7.25,12400,2.71
15-Sep-1992,0,7.25,7.19,7.22,13600,2.7
16-Sep-1992,0,7.25,7.19,7.25,3600,2.71
17-Sep-1992,0,7.25,7.25,7.25,7200,2.71
18-Sep-1992,0,7.25,7.22,7.22,4000,2.7
21-Sep-1992,0,7.25,7.22,7.22,1600,2.7
22-Sep-1992,NaN,NaN,NaN,7.22,0,2.7
23-Sep-1992,0,7.25,7.25,7.25,2800,2.71
24-Sep-1992,NaN,NaN,NaN,7.25,0,2.71
25-Sep-1992,0,7.22,7.22,7.22,1200,2.72
28-Sep-1992,0,7.34,7.28,7.34,12000,2.77
29-Sep-1992,0,7.34,7.31,7.34,2400,2.77
30-Sep-1992,0,7.44,7.38,7.44,8800,2.8
01-Oct-1992,0,7.53,7.5,7.5,21200,2.83
02-Oct-1992,0,7.5,7.5,7.5,2000,2.83
05-Oct-1992,0,7.5,7.5,7.5,400,2.83
06-Oct-1992,0,7.44,7.44,7.44,16400,2.8
07-Oct-1992,0,7.56,7.44,7.56,18000,2.85
08-Oct-1992,0,7.59,7.56,7.56,7600,2.85
09-Oct-1992,NaN,NaN,NaN,7.56,0,2.85
12-Oct-1992,0,7.56,7.56,7.56,8400,2.85
13-Oct-1992,0,7.59,7.56,7.59,5600,2.86
14-Oct-1992,0,7.59,7.59,7.59,6000,2.86
15-Oct-1992,0,7.66,7.66,7.66,3600,2.89
16-Oct-1992,NaN,NaN,NaN,7.66,0,2.89
19-Oct-1992,NaN,NaN,NaN,7.66,0,2.89
20-Oct-1992,0,7.62,7.62,7.62,1200,2.87
21-Oct-1992,0,7.62,7.59,7.62,4800,2.87
22-Oct-1992,0,7.62,7.62,7.62,400,2.87
23-Oct-1992,NaN,NaN,NaN,7.62,0,2.87
26-Oct-1992,0,7.69,7.69,7.69,5200,2.9
27-Oct-1992,0,7.69,7.69,7.69,800,2.9
28-Oct-1992,0,7.66,7.66,7.66,400,2.89
29-Oct-1992,0,7.69,7.66,7.69,6400,2.9
30-Oct-1992,0,7.75,7.75,7.75,9600,2.92
02-Nov-1992,0,7.81,7.81,7.81,8000,2.94
03-Nov-1992,0,7.84,7.81,7.84,11200,2.95
04-Nov-1992,0,7.84,7.75,7.75,51200,2.92
05-Nov-1992,0,7.69,7.59,7.59,10400,2.86
06-Nov-1992,0,7.53,7.25,7.25,46800,2.73
09-Nov-1992,NaN,NaN,NaN,7.25,0,2.73
10-Nov-1992,0,7.38,7.31,7.38,8000,2.78
11-Nov-1992,NaN,NaN,NaN,7.38,0,2.78
12-Nov-1992,0,7.38,7.31,7.31,6800,2.75
13-Nov-1992,0,7.25,7.25,7.25,2000,2.73
16-Nov-1992,0,7.19,7.16,7.16,3600,2.7
17-Nov-1992,0,7.09,7.09,7.09,4000,2.67
18-Nov-1992,0,7.12,7.06,7.09,6400,2.67
19-Nov-1992,NaN,NaN,NaN,7.09,0,2.67
20-Nov-1992,NaN,NaN,NaN,7.09,0,2.67
23-Nov-1992,NaN,NaN,NaN,7.09,0,2.67
24-Nov-1992,NaN,NaN,NaN,7.09,0,2.67
25-Nov-1992,NaN,NaN,NaN,7.09,0,2.67
27-Nov-1992,0,7.16,7.16,7.16,4000,2.7
30-Nov-1992,0,7.22,7.12,7.12,13600,2.68
01-Dec-1992,0,7.19,7.12,7.19,1600,2.71
02-Dec-1992,0,7.16,7.06,7.06,8000,2.66
03-Dec-1992,0,7,7,7,7600,2.64
04-Dec-1992,0,7,7,7,800,2.64
07-Dec-1992,0,7,7,7,3200,2.64
08-Dec-1992,0,7.06,7,7.03,2800,2.65
09-Dec-1992,0,7.06,7.06,7.06,2800,2.66
10-Dec-1992,0,7.03,6.97,6.97,8400,2.63
11-Dec-1992,NaN,NaN,NaN,6.97,0,2.63
14-Dec-1992,0,6.91,6.91,6.91,3600,2.6
15-Dec-1992,NaN,NaN,NaN,6.91,0,2.6
16-Dec-1992,0,7.03,6.97,7.03,5200,2.65
17-Dec-1992,NaN,NaN,NaN,7.03,0,2.65
18-Dec-1992,0,7.09,7.09,7.09,2000,2.67
21-Dec-1992,0,7.34,7.16,7.34,23200,2.77
22-Dec-1992,0,7.44,7.41,7.44,2400,2.8
23-Dec-1992,0,7.5,7.5,7.5,800,2.83
24-Dec-1992,0,7.5,7.5,7.5,400,2.85
28-Dec-1992,0,7.44,7.44,7.44,2800,2.83
29-Dec-1992,0,7.44,7.38,7.38,3600,2.8
30-Dec-1992,0,7.41,7.38,7.38,4000,2.8
31-Dec-1992,NaN,NaN,NaN,7.38,0,2.8
04-Jan-1993,0,7.31,7.31,7.31,4400,2.78
05-Jan-1993,0,7.31,7.25,7.25,4400,2.75
06-Jan-1993,NaN,NaN,NaN,7.25,0,2.75
07-Jan-1993,NaN,NaN,NaN,7.25,0,2.75
08-Jan-1993,0,7.19,7.19,7.19,1600,2.73
11-Jan-1993,NaN,NaN,NaN,7.19,0,2.73
12-Jan-1993,0,7.19,7.19,7.19,6400,2.73
13-Jan-1993,0,7.19,7.09,7.16,15200,2.72
14-Jan-1993,NaN,NaN,NaN,7.16,0,2.72
15-Jan-1993,0,7.25,7.09,7.25,54400,2.75
18-Jan-1993,0,7.19,7.19,7.19,47200,2.73
19-Jan-1993,NaN,NaN,NaN,7.19,0,2.73
20-Jan-1993,0,7.12,7.12,7.12,2000,2.7
21-Jan-1993,0,7.19,7.12,7.19,2400,2.73
22-Jan-1993,0,7.12,7.06,7.06,12000,2.68
25-Jan-1993,0,7.22,7.09,7.22,8800,2.74
26-Jan-1993,0,7.25,7.25,7.25,6000,2.75
27-Jan-1993,0,7.25,7.19,7.19,4800,2.73
28-Jan-1993,0,7.12,7.06,7.12,16400,2.7
29-Jan-1993,0,7.06,7,7,6000,2.66
01-Feb-1993,0,7.06,7,7,3200,2.66
02-Feb-1993,NaN,NaN,NaN,7,0,2.66
03-Feb-1993,0,6.97,6.97,6.97,7200,2.65
04-Feb-1993,0,6.94,6.91,6.94,1600,2.64
05-Feb-1993,0,6.94,6.94,6.94,800,2.64
08-Feb-1993,0,6.94,6.94,6.94,400,2.64
09-Feb-1993,NaN,NaN,NaN,6.94,0,2.64
10-Feb-1993,0,6.94,6.94,6.94,1600,2.64
11-Feb-1993,0,6.97,6.94,6.97,16000,2.65
12-Feb-1993,0,6.97,6.97,6.97,2400,2.65
16-Feb-1993,0,6.97,6.94,6.97,14400,2.65
17-Feb-1993,0,6.94,6.94,6.94,2000,2.64
18-Feb-1993,NaN,NaN,NaN,6.94,0,2.64
19-Feb-1993,0,6.94,6.94,6.94,400,2.64
22-Feb-1993,NaN,NaN,NaN,6.94,0,2.64
23-Feb-1993,0,6.94,6.94,6.94,400,2.64
24-Feb-1993,0,6.91,6.91,6.91,1200,2.62
25-Feb-1993,0,6.94,6.88,6.88,3200,2.61
26-Feb-1993,NaN,NaN,NaN,6.88,0,2.61
01-Mar-1993,0,6.94,6.94,6.94,800,2.64
02-Mar-1993,0,6.88,6.75,6.75,8000,2.56
03-Mar-1993,NaN,NaN,NaN,6.75,0,2.56
04-Mar-1993,0,6.75,6.62,6.62,5200,2.51
05-Mar-1993,0,6.62,6.62,6.62,400,2.51
08-Mar-1993,0,6.56,6.44,6.44,6000,2.45
09-Mar-1993,0,6.44,6.38,6.38,3600,2.42
10-Mar-1993,0,6.41,6.38,6.38,2800,2.42
11-Mar-1993,0,6.31,6.19,6.31,18800,2.4
12-Mar-1993,0,6.31,6.31,6.31,400,2.4
15-Mar-1993,0,6.41,6.38,6.41,3600,2.43
16-Mar-1993,0,6.59,6.47,6.59,10800,2.5
17-Mar-1993,0,6.72,6.72,6.72,4400,2.55
18-Mar-1993,NaN,NaN,NaN,6.72,0,2.55
19-Mar-1993,0,6.81,6.75,6.81,29200,2.59
22-Mar-1993,0,6.88,6.88,6.88,3600,2.61
23-Mar-1993,0,7,6.94,7,12000,2.66
24-Mar-1993,NaN,NaN,NaN,7,0,2.66
25-Mar-1993,0,6.94,6.94,6.94,1600,2.64
26-Mar-1993,0,6.88,6.88,6.88,2800,2.64
29-Mar-1993,0,6.94,6.88,6.94,2800,2.66
30-Mar-1993,0,6.94,6.94,6.94,800,2.66
31-Mar-1993,0,7,7,7,1200,2.68
01-Apr-1993,0,6.94,6.94,6.94,2400,2.66
02-Apr-1993,0,6.97,6.94,6.97,2800,2.67
05-Apr-1993,0,7,6.94,7,3600,2.68
06-Apr-1993,0,7,6.97,7,4000,2.68
07-Apr-1993,0,6.97,6.97,6.97,400,2.67
08-Apr-1993,0,7,6.97,6.97,2800,2.67
12-Apr-1993,NaN,NaN,NaN,6.97,0,2.67
13-Apr-1993,0,6.97,6.94,6.94,6400,2.66
14-Apr-1993,0,7.06,6.97,7,14400,2.68
15-Apr-1993,0,7.12,7.06,7.12,8000,2.73
16-Apr-1993,0,7.22,7.19,7.22,2000,2.77
19-Apr-1993,0,7.25,7.19,7.25,6000,2.78
20-Apr-1993,0,7.44,7.44,7.44,88000,2.85
21-Apr-1993,0,7.38,7.38,7.38,1200,2.83
22-Apr-1993,NaN,NaN,NaN,7.38,0,2.83
23-Apr-1993,0,7.31,7.31,7.31,2400,2.8
26-Apr-1993,0,7.31,7.31,7.31,400,2.8
27-Apr-1993,0,7.34,7.16,7.16,20800,2.74
28-Apr-1993,NaN,NaN,NaN,7.16,0,2.74
29-Apr-1993,NaN,NaN,NaN,7.16,0,2.74
30-Apr-1993,0,7.12,7.12,7.12,1600,2.73
03-May-1993,NaN,NaN,NaN,7.12,0,2.73
04-May-1993,NaN,NaN,NaN,7.12,0,2.73
05-May-1993,NaN,NaN,NaN,7.12,0,2.73
06-May-1993,0,7.16,7.12,7.16,1600,2.74
07-May-1993,0,7.09,7.09,7.09,3200,2.72
10-May-1993,NaN,NaN,NaN,7.09,0,2.72
11-May-1993,0,7,7,7,20000,2.68
12-May-1993,0,6.94,6.88,6.88,8000,2.64
13-May-1993,0,6.91,6.88,6.91,2000,2.65
14-May-1993,0,6.91,6.84,6.84,11600,2.62
17-May-1993,0,6.88,6.84,6.88,18000,2.64
18-May-1993,0,6.91,6.88,6.88,1200,2.64
19-May-1993,0,6.88,6.84,6.88,3200,2.64
20-May-1993,NaN,NaN,NaN,6.88,0,2.64
21-May-1993,0,6.88,6.88,6.88,800,2.64
24-May-1993,0,6.84,6.84,6.84,1200,2.62
25-May-1993,NaN,NaN,NaN,6.84,0,2.62
26-May-1993,0,6.88,6.88,6.88,400,2.64
27-May-1993,NaN,NaN,NaN,6.88,0,2.64
28-May-1993,0,6.84,6.84,6.84,2400,2.62
01-Jun-1993,0,6.88,6.88,6.88,8000,2.64
02-Jun-1993,NaN,NaN,NaN,6.88,0,2.64
03-Jun-1993,0,6.84,6.84,6.84,400,2.62
04-Jun-1993,NaN,NaN,NaN,6.84,0,2.62
07-Jun-1993,0,6.81,6.81,6.81,3200,2.61
08-Jun-1993,0,6.81,6.81,6.81,800,2.61
09-Jun-1993,NaN,NaN,NaN,6.81,0,2.61
10-Jun-1993,0,6.78,6.78,6.78,6000,2.6
11-Jun-1993,0,6.78,6.78,6.78,400,2.6
14-Jun-1993,0,6.75,6.75,6.75,1200,2.59
15-Jun-1993,0,6.78,6.78,6.78,400,2.6
16-Jun-1993,NaN,NaN,NaN,6.78,0,2.6
17-Jun-1993,0,6.75,6.75,6.75,2400,2.59
18-Jun-1993,0,6.94,6.81,6.94,18000,2.66
21-Jun-1993,0,6.94,6.91,6.94,4000,2.66
22-Jun-1993,0,6.94,6.94,6.94,1200,2.66
23-Jun-1993,0,6.88,6.81,6.84,8400,2.62
24-Jun-1993,0,6.81,6.81,6.81,1200,2.61
25-Jun-1993,0,6.62,6.62,6.62,18800,2.56
28-Jun-1993,0,6.69,6.66,6.69,7600,2.59
29-Jun-1993,0,6.69,6.69,6.69,400,2.59
30-Jun-1993,NaN,NaN,NaN,6.69,0,2.59
01-Jul-1993,NaN,NaN,NaN,6.69,0,2.59
02-Jul-1993,0,6.72,6.72,6.72,400,2.6
06-Jul-1993,0,6.91,6.75,6.91,27600,2.67
07-Jul-1993,0,6.97,6.94,6.94,4800,2.68
08-Jul-1993,0,7,7,7,5600,2.71
09-Jul-1993,0,7,7,7,800,2.71
12-Jul-1993,0,7,7,7,4400,2.71
13-Jul-1993,0,7,7,7,4800,2.71
14-Jul-1993,0,7.12,7.06,7.12,12400,2.75
15-Jul-1993,0,7.28,7.16,7.28,14800,2.82
16-Jul-1993,0,7.5,7.28,7.5,91200,2.9
19-Jul-1993,0,7.5,7.44,7.44,7200,2.88
20-Jul-1993,0,7.47,7.44,7.47,4400,2.89
21-Jul-1993,0,7.53,7.5,7.53,14000,2.91
22-Jul-1993,0,7.56,7.5,7.53,101600,2.91
23-Jul-1993,0,7.53,7.5,7.5,4000,2.9
26-Jul-1993,0,7.5,7.47,7.47,4000,2.89
27-Jul-1993,NaN,NaN,NaN,7.47,0,2.89
28-Jul-1993,0,7.44,7.44,7.44,400,2.88
29-Jul-1993,0,7.59,7.44,7.59,16000,2.94
30-Jul-1993,0,7.59,7.53,7.59,6400,2.94
02-Aug-1993,NaN,NaN,NaN,7.59,0,2.94
03-Aug-1993,NaN,NaN,NaN,7.59,0,2.94
04-Aug-1993,0,7.56,7.5,7.5,8000,2.9
05-Aug-1993,0,7.47,7.47,7.47,4000,2.89
06-Aug-1993,0,7.5,7.5,7.5,4800,2.9
09-Aug-1993,0,7.47,7.47,7.47,400,2.89
10-Aug-1993,0,7.5,7.5,7.5,1200,2.9
11-Aug-1993,0,7.72,7.5,7.5,4800,2.9
12-Aug-1993,0,7.5,7.47,7.5,10800,2.9
13-Aug-1993,0,7.5,7.5,7.5,2400,2.9
16-Aug-1993,0,7.75,7.5,7.75,38800,3
17-Aug-1993,0,7.75,7.72,7.75,12400,3
18-Aug-1993,0,7.75,7.69,7.72,11200,2.99
19-Aug-1993,0,7.66,7.66,7.66,4800,2.96
20-Aug-1993,NaN,NaN,NaN,7.66,0,2.96
23-Aug-1993,NaN,NaN,NaN,7.66,0,2.96
24-Aug-1993,NaN,NaN,NaN,7.66,0,2.96
25-Aug-1993,0,7.69,7.69,7.69,800,2.98
26-Aug-1993,0,7.78,7.75,7.78,2800,3.01
27-Aug-1993,0,8,7.84,8,40000,3.09
