Date,Open,High,Low,Close,Volume,AdjClose
01-Nov-1993,0,14.5,13.67,14.5,2146,7.12
02-Nov-1993,NaN,NaN,NaN,14.5,0,7.12
03-Nov-1993,0,13.67,13.67,13.67,2748,6.71
04-Nov-1993,0,13.67,13.67,13.67,1610,6.71
05-Nov-1993,0,13.83,13.83,13.83,3686,6.79
08-Nov-1993,NaN,NaN,NaN,13.83,0,6.79
09-Nov-1993,NaN,NaN,NaN,13.83,0,6.79
10-Nov-1993,0,14.5,14.5,14.5,67,7.12
11-Nov-1993,0,14,14,14,1272,6.87
12-Nov-1993,0,14,14,14,1004,6.87
15-Nov-1993,NaN,NaN,NaN,14,0,6.87
16-Nov-1993,NaN,NaN,NaN,14,0,6.87
17-Nov-1993,NaN,NaN,NaN,14,0,6.87
18-Nov-1993,0,14.21,14,14.21,16352,6.98
19-Nov-1993,NaN,NaN,NaN,14.21,0,6.98
22-Nov-1993,NaN,NaN,NaN,14.21,0,6.98
23-Nov-1993,NaN,NaN,NaN,14.21,0,6.98
24-Nov-1993,0,14.25,14.25,14.25,1004,7
26-Nov-1993,NaN,NaN,NaN,14.25,0,7
29-Nov-1993,NaN,NaN,NaN,14.25,0,7
30-Nov-1993,NaN,NaN,NaN,14.25,0,7
01-Dec-1993,0,14.17,14.17,14.17,3150,6.96
02-Dec-1993,NaN,NaN,NaN,14.17,0,6.96
03-Dec-1993,NaN,NaN,NaN,14.17,0,6.96
06-Dec-1993,0,14.5,14.5,14.5,870,7.12
07-Dec-1993,0,13.83,13.83,13.83,870,6.79
08-Dec-1993,0,13.67,13.67,13.67,67,6.71
09-Dec-1993,NaN,NaN,NaN,13.67,0,6.71
10-Dec-1993,0,13.83,13.83,13.83,8781,6.79
13-Dec-1993,NaN,NaN,NaN,13.83,0,6.83
14-Dec-1993,0,13.83,13.83,13.83,29559,6.83
15-Dec-1993,NaN,NaN,NaN,13.83,0,6.83
16-Dec-1993,NaN,NaN,NaN,13.83,0,6.83
17-Dec-1993,0,14.5,13.83,14.5,2146,7.16
20-Dec-1993,NaN,NaN,NaN,14.5,0,7.16
21-Dec-1993,NaN,NaN,NaN,14.5,0,7.16
22-Dec-1993,NaN,NaN,NaN,14.5,0,7.16
23-Dec-1993,NaN,NaN,NaN,14.5,0,7.16
27-Dec-1993,NaN,NaN,NaN,14.5,0,7.16
28-Dec-1993,NaN,NaN,NaN,14.5,0,7.16
29-Dec-1993,NaN,NaN,NaN,14.5,0,7.16
30-Dec-1993,0,13.83,13.83,13.83,1004,6.83
31-Dec-1993,0,13.83,13.83,13.83,870,6.83
03-Jan-1994,NaN,NaN,NaN,13.83,0,6.83
04-Jan-1994,0,14.42,14,14,5898,6.91
05-Jan-1994,0,14.17,14,14,1272,6.91
06-Jan-1994,0,14.37,14.37,14.37,870,7.1
07-Jan-1994,0,14.17,14.17,14.17,67,7
10-Jan-1994,0,14.37,14.33,14.33,3485,7.08
11-Jan-1994,NaN,NaN,NaN,14.33,0,7.08
12-Jan-1994,0,13.83,13.83,13.83,67,6.83
13-Jan-1994,NaN,NaN,NaN,13.83,0,6.83
14-Jan-1994,NaN,NaN,NaN,13.83,0,6.83
17-Jan-1994,NaN,NaN,NaN,13.83,0,6.83
18-Jan-1994,NaN,NaN,NaN,13.83,0,6.83
19-Jan-1994,0,14.37,14.37,14.37,3150,7.1
20-Jan-1994,0,14.33,14.33,14.33,67,7.08
21-Jan-1994,0,14.5,13.83,14.5,3485,7.16
24-Jan-1994,0,14.5,14.5,14.5,1272,7.16
25-Jan-1994,NaN,NaN,NaN,14.5,0,7.16
26-Jan-1994,NaN,NaN,NaN,14.5,0,7.16
27-Jan-1994,NaN,NaN,NaN,14.5,0,7.16
28-Jan-1994,NaN,NaN,NaN,14.5,0,7.16
31-Jan-1994,0,14.83,14.83,14.83,67,7.32
01-Feb-1994,0,14.83,14.5,14.5,870,7.16
02-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
03-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
04-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
07-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
08-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
09-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
10-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
11-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
14-Feb-1994,NaN,NaN,NaN,14.5,0,7.16
15-Feb-1994,0,13.83,13.83,13.83,2146,6.83
16-Feb-1994,0,14.5,14.33,14.5,15214,7.16
17-Feb-1994,0,15.54,14.33,15.54,24999,7.67
18-Feb-1994,0,16,15,16,14411,7.9
22-Feb-1994,0,14.83,14.83,14.83,1272,7.32
23-Feb-1994,0,15.5,14.83,15.5,1272,7.66
24-Feb-1994,0,15.5,15.33,15.5,2614,7.66
25-Feb-1994,0,15.67,15,15.67,4827,7.74
28-Feb-1994,0,15.67,15.33,15.67,5631,7.74
01-Mar-1994,0,15.67,15.17,15.67,4827,7.74
02-Mar-1994,0,15.42,14.83,15,4489,7.41
03-Mar-1994,NaN,NaN,NaN,15,0,7.41
04-Mar-1994,NaN,NaN,NaN,15,0,7.41
07-Mar-1994,NaN,NaN,NaN,15,0,7.41
08-Mar-1994,0,15.5,15.5,15.5,67,7.66
09-Mar-1994,0,15.33,14.67,14.67,9651,7.25
10-Mar-1994,NaN,NaN,NaN,14.67,0,7.25
11-Mar-1994,0,14.17,14,14,16018,6.91
14-Mar-1994,0,14.67,14.5,14.5,3686,7.2
15-Mar-1994,0,14.67,13.67,14.67,7438,7.29
16-Mar-1994,0,14.5,13.67,13.83,13470,6.87
17-Mar-1994,0,14.67,13.83,13.83,3150,6.87
18-Mar-1994,0,14.33,13.33,14.17,20042,7.04
21-Mar-1994,0,14,14,14,1610,6.95
22-Mar-1994,0,14,13.67,13.67,870,6.79
