Date,Open,High,Low,Close,Volume,AdjClose
25-Jun-2010,10.95,10.95,10.41,10.75,3161210,10.75
28-Jun-2010,10.75,10.81,10.55,10.76,120240,10.76
29-Jun-2010,10.75,10.88,10.66,10.76,270100,10.76
30-Jun-2010,10.76,10.77,10.64,10.7,180831,10.7
01-Jul-2010,10.75,10.81,10.66,10.67,192027,10.67
02-Jul-2010,10.61,10.77,10.61,10.76,86575,10.76
06-Jul-2010,10.9,11.11,10.7,10.89,148785,10.89
07-Jul-2010,10.9,11.24,10.9,11.06,178700,11.06
08-Jul-2010,11.22,11.24,10.9,11.02,56575,11.02
09-Jul-2010,10.96,11.1,10.96,11,26800,11
12-Jul-2010,11,11,10.8,10.84,58222,10.84
13-Jul-2010,10.75,11,10.73,10.75,66282,10.75
14-Jul-2010,10.75,10.79,10.52,10.61,153224,10.61
15-Jul-2010,10.56,10.73,10.51,10.68,20700,10.68
16-Jul-2010,10.64,10.94,10.56,10.83,55967,10.83
19-Jul-2010,10.87,10.99,10.83,10.99,49032,10.99
20-Jul-2010,10.99,10.99,10.83,10.84,19995,10.84
21-Jul-2010,10.83,10.85,10.72,10.74,15250,10.74
22-Jul-2010,10.74,10.83,10.7,10.77,157615,10.77
23-Jul-2010,10.72,10.75,10.44,10.5,90399,10.5
26-Jul-2010,10.49,10.53,10.13,10.17,200850,10.17
27-Jul-2010,10.15,10.2,9.61,10.02,199474,10.02
28-Jul-2010,10.02,10.2,9.78,10.07,184590,10.07
29-Jul-2010,10.17,10.3,10.11,10.3,108652,10.3
30-Jul-2010,10.2,10.23,9.99,10.16,111993,10.16
02-Aug-2010,10.24,10.24,9.9,10.02,62981,10.02
03-Aug-2010,9.98,10.22,9.86,9.9,218385,9.9
04-Aug-2010,9.92,10.84,9.92,10.83,82315,10.83
05-Aug-2010,10.73,11.14,10.65,11.07,115288,11.07
06-Aug-2010,11,11.32,10.94,11.25,68826,11.25
09-Aug-2010,11.26,12.01,11.23,11.74,310012,11.74
10-Aug-2010,11.7,13.37,11.69,13.09,316126,13.09
11-Aug-2010,12.91,13.87,12.8,13.61,309137,13.61
12-Aug-2010,13.56,14.41,13.18,14.3,131734,14.3
13-Aug-2010,14.4,15.55,14.4,15.45,179573,15.45
16-Aug-2010,18.53,16.84,15.24,15.59,144297,15.59
17-Aug-2010,15.53,15.88,14.72,15.21,126693,15.21
18-Aug-2010,15.11,15.85,14.68,15.74,149243,15.74
19-Aug-2010,16.5,18.23,15.13,15.17,190521,15.17
20-Aug-2010,15.4,15.4,13.73,13.85,62446,13.85
23-Aug-2010,14.32,14.72,13.47,13.77,51609,13.77
24-Aug-2010,13.78,13.78,12.3,12.42,133947,12.42
25-Aug-2010,12.55,12.81,11.77,11.85,197361,11.85
26-Aug-2010,11.66,12.3,11.02,11.24,71064,11.24
27-Aug-2010,11.14,12.4,11.14,12.39,41151,12.39
30-Aug-2010,12.4,12.85,12.25,12.56,79363,12.56
31-Aug-2010,12.43,12.46,12.21,12.21,42973,12.21
01-Sep-2010,12.25,12.79,12.22,12.52,46918,12.52
02-Sep-2010,12.53,12.68,12.5,12.67,35505,12.67
03-Sep-2010,12.65,14.53,12.65,14.04,83342,14.04
07-Sep-2010,14.04,14.5,13.58,13.93,54746,13.93
08-Sep-2010,13.97,14.34,13.52,13.98,62680,13.98
09-Sep-2010,14.08,14.25,13.85,14.12,52105,14.12
10-Sep-2010,14.16,14.94,13.9,14,72853,14
13-Sep-2010,14.15,14.42,13.93,14.01,80556,14.01
14-Sep-2010,14,14.28,13.6,13.7,90950,13.7
15-Sep-2010,13.99,14.66,13.64,14.63,72325,14.63
16-Sep-2010,14.69,16.25,14.35,16.17,290851,16.17
17-Sep-2010,16.22,17.04,14.78,15.66,170280,15.66
20-Sep-2010,15.83,16.75,15.08,15.7,118438,15.7
21-Sep-2010,15.71,16.61,15.66,15.8,31623,15.8
22-Sep-2010,15.77,15.9,14.78,15,61426,15
23-Sep-2010,14.98,14.98,13.7,13.74,125331,13.74
24-Sep-2010,13.85,14.66,13.75,14.52,90615,14.52
27-Sep-2010,14.52,15.86,14.17,15.65,103022,15.65
28-Sep-2010,15.7,15.83,14.67,15.7,50863,15.7
29-Sep-2010,15.79,16.62,14.66,15.46,136525,15.46
30-Sep-2010,15.49,16.45,15.16,15.82,980654,15.82
01-Oct-2010,15.95,16.64,15.52,16.41,151050,16.41
04-Oct-2010,16.41,17.33,16.17,16.77,247228,16.77
05-Oct-2010,16.9,16.98,16.3,16.71,105217,16.71
06-Oct-2010,16.83,16.83,15.05,15.39,259529,15.39
07-Oct-2010,15.35,15.5,14.54,15.11,205835,15.11
08-Oct-2010,15.06,15.52,14.7,15.06,183129,15.06
11-Oct-2010,15.1,15.53,15.03,15.38,87932,15.38
12-Oct-2010,15.33,16.25,14.85,16.23,82418,16.23
13-Oct-2010,16.1,17.06,16.01,16.83,153552,16.83
14-Oct-2010,16.89,18.6,16.8,18.17,185127,18.17
15-Oct-2010,18.51,19.47,18.05,19.19,262554,19.19
18-Oct-2010,19.28,19.41,18.66,18.81,75393,18.81
19-Oct-2010,18.6,18.6,17.27,17.49,179479,17.49
20-Oct-2010,17.51,18,17.45,17.75,45543,17.75
21-Oct-2010,17.87,17.93,16.26,16.88,120987,16.88
22-Oct-2010,16.92,16.92,16.05,16.63,34231,16.63
25-Oct-2010,16.72,16.98,16.2,16.3,101097,16.3
26-Oct-2010,16.35,16.35,15.83,15.98,84362,15.98
