Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.8,0.76,0.76,61200,0.51
04-Jan-1978,0,0.8,0.76,0.76,31200,0.51
05-Jan-1978,0,0.8,0.76,0.76,66000,0.51
06-Jan-1978,0,0.79,0.75,0.75,30000,0.5
09-Jan-1978,0,0.77,0.73,0.73,91200,0.49
10-Jan-1978,0,0.76,0.72,0.72,50400,0.48
11-Jan-1978,0,0.76,0.72,0.72,44400,0.48
12-Jan-1978,0,0.76,0.72,0.72,12000,0.48
13-Jan-1978,0,0.76,0.72,0.72,39600,0.48
16-Jan-1978,0,0.76,0.72,0.72,48000,0.48
17-Jan-1978,0,0.75,0.71,0.71,27600,0.47
18-Jan-1978,0,0.75,0.71,0.71,38400,0.47
19-Jan-1978,0,0.75,0.71,0.71,50400,0.47
20-Jan-1978,0,0.75,0.71,0.71,18000,0.47
23-Jan-1978,0,0.75,0.71,0.71,21600,0.47
24-Jan-1978,0,0.75,0.71,0.71,44400,0.47
25-Jan-1978,0,0.75,0.71,0.71,18000,0.47
26-Jan-1978,0,0.75,0.71,0.71,40800,0.47
27-Jan-1978,0,0.76,0.72,0.72,64800,0.48
30-Jan-1978,0,0.76,0.72,0.72,19200,0.48
31-Jan-1978,0,0.75,0.71,0.71,55200,0.47
01-Feb-1978,0,0.74,0.7,0.7,22800,0.47
02-Feb-1978,0,0.74,0.7,0.7,51600,0.47
03-Feb-1978,0,0.74,0.7,0.7,20400,0.47
06-Feb-1978,0,0.74,0.7,0.7,22800,0.47
07-Feb-1978,0,0.75,0.71,0.71,28800,0.47
08-Feb-1978,0,0.8,0.76,0.76,134400,0.51
09-Feb-1978,0,0.8,0.76,0.76,75600,0.51
10-Feb-1978,0,0.81,0.77,0.77,92400,0.51
13-Feb-1978,0,0.81,0.77,0.77,31200,0.51
14-Feb-1978,0,0.8,0.76,0.76,25200,0.51
15-Feb-1978,0,0.8,0.76,0.76,27600,0.51
16-Feb-1978,0,0.79,0.75,0.75,27600,0.5
17-Feb-1978,0,0.79,0.75,0.75,8400,0.5
21-Feb-1978,0,0.79,0.75,0.75,49200,0.5
22-Feb-1978,0,0.8,0.76,0.76,116400,0.51
23-Feb-1978,0,0.8,0.76,0.76,98400,0.51
24-Feb-1978,0,0.8,0.76,0.76,13200,0.51
27-Feb-1978,0,0.8,0.76,0.76,43200,0.51
28-Feb-1978,0,0.79,0.75,0.75,37200,0.5
01-Mar-1978,0,0.77,0.73,0.73,74400,0.49
02-Mar-1978,0,0.77,0.73,0.73,20400,0.49
03-Mar-1978,0,0.77,0.73,0.73,19200,0.49
06-Mar-1978,0,0.77,0.73,0.73,4800,0.49
07-Mar-1978,0,0.77,0.73,0.73,9600,0.49
08-Mar-1978,0,0.77,0.73,0.73,80400,0.49
09-Mar-1978,0,0.77,0.73,0.73,3600,0.49
10-Mar-1978,0,0.79,0.75,0.75,39600,0.5
13-Mar-1978,0,0.79,0.75,0.75,120000,0.5
14-Mar-1978,0,0.79,0.75,0.75,61200,0.5
15-Mar-1978,0,0.79,0.75,0.75,16800,0.5
16-Mar-1978,0,0.79,0.75,0.75,44400,0.5
17-Mar-1978,0,0.79,0.75,0.75,21600,0.5
20-Mar-1978,0,0.79,0.75,0.75,136800,0.5
21-Mar-1978,0,0.79,0.75,0.75,94800,0.5
22-Mar-1978,0,0.8,0.76,0.76,61200,0.51
23-Mar-1978,0,0.81,0.77,0.77,115200,0.51
27-Mar-1978,0,0.84,0.8,0.8,244800,0.53
28-Mar-1978,0,0.81,0.77,0.77,312000,0.51
29-Mar-1978,0,0.8,0.76,0.76,168000,0.51
30-Mar-1978,0,0.8,0.76,0.76,120000,0.51
31-Mar-1978,0,0.8,0.76,0.76,51600,0.51
03-Apr-1978,0,0.79,0.75,0.75,73200,0.5
04-Apr-1978,0,0.79,0.75,0.75,43200,0.5
05-Apr-1978,0,0.79,0.75,0.75,43200,0.5
06-Apr-1978,0,0.79,0.75,0.75,46800,0.5
07-Apr-1978,0,0.79,0.75,0.75,114000,0.5
10-Apr-1978,0,0.8,0.76,0.76,94800,0.51
11-Apr-1978,0,0.8,0.76,0.76,52800,0.51
12-Apr-1978,0,0.8,0.76,0.76,30000,0.51
13-Apr-1978,0,0.83,0.79,0.79,145200,0.53
14-Apr-1978,0,0.84,0.8,0.8,54000,0.53
17-Apr-1978,0,0.84,0.8,0.8,120000,0.53
18-Apr-1978,0,0.84,0.8,0.8,88800,0.53
19-Apr-1978,0,0.85,0.81,0.81,86400,0.54
20-Apr-1978,0,0.85,0.81,0.81,135600,0.54
21-Apr-1978,0,0.85,0.81,0.81,177600,0.54
24-Apr-1978,0,0.85,0.81,0.81,87600,0.54
25-Apr-1978,0,0.85,0.81,0.81,309600,0.54
26-Apr-1978,0,0.84,0.8,0.8,170400,0.53
27-Apr-1978,0,0.83,0.79,0.79,160800,0.53
28-Apr-1978,0,0.83,0.79,0.79,75600,0.53
01-May-1978,0,0.83,0.79,0.79,301200,0.53
02-May-1978,0,0.85,0.81,0.81,368400,0.54
03-May-1978,0,0.9,0.85,0.85,526398,0.57
04-May-1978,0,0.9,0.85,0.85,171600,0.57
05-May-1978,0,0.91,0.87,0.87,266400,0.58
08-May-1978,0,0.92,0.88,0.88,270000,0.59
09-May-1978,0,0.95,0.91,0.91,219600,0.61
10-May-1978,0,0.94,0.9,0.9,340800,0.6
11-May-1978,0,0.94,0.9,0.9,187200,0.6
12-May-1978,0,0.94,0.9,0.9,196800,0.6
15-May-1978,0,0.94,0.9,0.9,141600,0.6
16-May-1978,0,0.95,0.91,0.91,118800,0.61
17-May-1978,0,0.95,0.91,0.91,240000,0.61
18-May-1978,0,1,0.96,0.96,483198,0.64
19-May-1978,0,1.04,1,1,589998,0.67
22-May-1978,0,1.04,1,1,92400,0.67
23-May-1978,0,0.99,0.95,0.95,164400,0.63
24-May-1978,0,0.98,0.94,0.94,136800,0.63
25-May-1978,0,0.98,0.94,0.94,357600,0.63
26-May-1978,0,0.98,0.94,0.94,174000,0.63
30-May-1978,0,0.98,0.94,0.94,112800,0.63
31-May-1978,0,0.97,0.93,0.93,115200,0.62
01-Jun-1978,0,0.98,0.94,0.94,290400,0.63
02-Jun-1978,0,1.01,0.97,0.97,715998,0.65
05-Jun-1978,0,1.02,0.98,0.98,290400,0.65
06-Jun-1978,0,1.03,0.99,0.99,436398,0.66
07-Jun-1978,0,1.02,0.98,0.98,344400,0.65
08-Jun-1978,0,1.02,0.98,0.98,100800,0.65
09-Jun-1978,0,1.02,0.98,0.98,139200,0.65
12-Jun-1978,0,1,0.96,0.96,103200,0.64
13-Jun-1978,0,0.98,0.94,0.94,172800,0.63
14-Jun-1978,0,0.98,0.94,0.94,178800,0.63
15-Jun-1978,0,0.98,0.94,0.94,61200,0.63
16-Jun-1978,0,0.98,0.94,0.94,84000,0.63
19-Jun-1978,0,0.98,0.94,0.94,58800,0.63
20-Jun-1978,0,0.97,0.93,0.93,134400,0.62
21-Jun-1978,0,0.96,0.92,0.92,98400,0.61
22-Jun-1978,0,0.96,0.92,0.92,106800,0.61
23-Jun-1978,0,0.95,0.91,0.91,184800,0.61
26-Jun-1978,0,0.94,0.9,0.9,86400,0.6
27-Jun-1978,0,0.94,0.9,0.9,103200,0.6
28-Jun-1978,0,0.96,0.92,0.92,106800,0.61
29-Jun-1978,0,0.98,0.94,0.94,127200,0.63
30-Jun-1978,0,0.98,0.94,0.94,27600,0.63
03-Jul-1978,0,1,0.96,0.96,68400,0.64
05-Jul-1978,0,1.01,0.97,0.97,56400,0.65
06-Jul-1978,0,0.99,0.95,0.95,134400,0.63
07-Jul-1978,0,0.98,0.94,0.94,13200,0.63
10-Jul-1978,0,0.99,0.95,0.95,93600,0.63
11-Jul-1978,0,0.99,0.95,0.95,57600,0.63
12-Jul-1978,0,0.99,0.95,0.95,60000,0.63
13-Jul-1978,0,0.99,0.95,0.95,108000,0.63
14-Jul-1978,0,0.99,0.95,0.95,108000,0.63
17-Jul-1978,0,1.01,0.97,0.97,178800,0.65
18-Jul-1978,0,1.02,0.98,0.98,58800,0.65
19-Jul-1978,0,1.02,0.98,0.98,105600,0.65
20-Jul-1978,0,1.02,0.98,0.98,78000,0.65
