Date,Open,High,Low,Close,Volume,AdjClose
23-Jun-2015,14,14.25,13.75,14.25,61386,14.25
24-Jun-2015,14.06,14.3,14.06,14.3,55062,14.3
25-Jun-2015,13.93,14.69,13.5,13.95,318471,13.95
26-Jun-2015,13.95,15.05,13.35,14.9,13419902,14.9
29-Jun-2015,14.37,14.75,13.72,14.13,8919667,14.13
30-Jun-2015,14.02,14.13,13.42,13.99,5882273,13.99
01-Jul-2015,13.89,13.97,13.13,13.32,2666249,13.32
02-Jul-2015,13.13,13.18,11.86,12.4,4234123,12.4
06-Jul-2015,11.64,12.12,10.75,11.78,6580505,11.78
07-Jul-2015,11.54,11.94,11.35,11.44,6479857,11.44
08-Jul-2015,11.35,11.42,10.84,11.3,4891882,11.3
09-Jul-2015,11.36,12.46,11.13,12.06,4473456,12.06
10-Jul-2015,12.56,13.53,12.33,13.37,3180763,13.37
13-Jul-2015,13.46,14.03,13.02,13.69,3152027,13.69
14-Jul-2015,13.45,13.5,12.76,13.2,3671353,13.2
15-Jul-2015,13.2,13.43,13.09,13.21,2393896,13.21
16-Jul-2015,13.25,13.9,13.24,13.73,2011403,13.73
17-Jul-2015,13.72,13.99,13.64,13.92,1595864,13.92
20-Jul-2015,13.94,14.24,13.9,14.17,2560715,14.17
21-Jul-2015,13.92,14.08,13.21,13.31,2642219,13.31
22-Jul-2015,13.34,13.76,12.72,12.79,2479111,12.79
23-Jul-2015,12.92,13.34,12.55,13.05,2362626,13.05
24-Jul-2015,13.28,14.18,13.02,13.64,2886294,13.64
27-Jul-2015,13.56,13.99,13.52,13.63,2343523,13.63
28-Jul-2015,13.75,13.78,13.17,13.31,1954272,13.31
29-Jul-2015,12.85,13.81,12.8,13.35,2375846,13.35
30-Jul-2015,13.14,13.36,12.62,12.83,2891632,12.83
31-Jul-2015,12.95,13.15,12.54,12.65,3431213,12.65
03-Aug-2015,12.84,13.13,12.11,12.54,2712745,12.54
04-Aug-2015,12.79,13.06,12.15,12.31,1409338,12.31
05-Aug-2015,12.32,12.52,12.03,12.08,1548398,12.08
06-Aug-2015,12.07,12.08,11.73,11.99,1771708,11.99
07-Aug-2015,11.96,12.84,11.96,12.81,919180,12.81
10-Aug-2015,12.95,13.17,12.73,12.97,1280560,12.97
11-Aug-2015,12.9,12.96,12.44,12.9,1966007,12.9
12-Aug-2015,12.8,13.6,12.18,13.26,1964415,13.26
13-Aug-2015,13.27,13.75,13.06,13.48,1421368,13.48
14-Aug-2015,13.42,13.42,12.82,13.04,1260868,13.04
17-Aug-2015,13.03,13.66,13,13.51,1800238,13.51
18-Aug-2015,13.45,13.62,13.18,13.5,1004213,13.5
19-Aug-2015,13.4,13.46,12.82,13.18,941139,13.18
20-Aug-2015,13.03,13.05,12.59,12.76,924092,12.76
21-Aug-2015,12.73,13.19,12.54,12.78,1583842,12.78
24-Aug-2015,12.04,12.78,11.85,12.32,1412905,12.32
25-Aug-2015,12.6,12.68,12.09,12.1,1118145,12.1
26-Aug-2015,12.36,12.6,12.04,12.4,1276900,12.4
27-Aug-2015,12.5,12.76,11.84,12.05,1498634,12.05
28-Aug-2015,11.99,12.6,11.98,12.58,1446596,12.58
31-Aug-2015,12.65,13.91,12.57,13.11,1660423,13.11
01-Sep-2015,12.71,13.24,12.62,12.72,2360608,12.72
02-Sep-2015,12.56,13.34,12.56,13.24,1268412,13.24
03-Sep-2015,13.33,13.64,13.21,13.51,1097746,13.51
04-Sep-2015,13.21,13.63,13.21,13.47,1031357,13.47
08-Sep-2015,13.75,13.98,13.54,13.65,2193611,13.65
09-Sep-2015,13.75,13.82,13.13,13.16,1322592,13.16
10-Sep-2015,13.36,13.36,12.92,13.16,1152378,13.16
11-Sep-2015,13.11,13.22,12.93,13.1,987135,13.1
14-Sep-2015,13.12,13.36,13.06,13.28,935290,13.28
15-Sep-2015,13.3,13.62,13.12,13.29,1739906,13.29
16-Sep-2015,13.37,13.45,13.22,13.41,1118533,13.41
17-Sep-2015,13.44,13.94,13.15,13.74,1173939,13.74
18-Sep-2015,13.74,13.74,13.09,13.16,2082159,13.16
21-Sep-2015,13.29,13.37,13.04,13.16,1122927,13.16
22-Sep-2015,13.04,13.31,12.98,13.29,877742,13.29
23-Sep-2015,13.33,13.87,13.25,13.51,836158,13.51
24-Sep-2015,13.46,13.85,13.3,13.83,1107045,13.83
25-Sep-2015,13.89,14.26,13.76,14,1685103,14
28-Sep-2015,13.95,14.06,13.77,13.84,1342490,13.84
29-Sep-2015,13.94,14.36,13.76,14.32,1134417,14.32
30-Sep-2015,14.53,14.75,14.14,14.73,1327348,14.73
01-Oct-2015,14.8,14.87,13.85,14.58,1384397,14.58
02-Oct-2015,14.64,15.49,14.18,15.42,1528446,15.42
05-Oct-2015,15.45,15.8,14.6,14.89,3961413,14.89
06-Oct-2015,14.95,15.09,14.36,14.4,1449317,14.4
07-Oct-2015,14.47,15,14.41,14.94,1855448,14.94
08-Oct-2015,15.56,16,14.92,15.2,2925376,15.2
09-Oct-2015,15.2,15.2,14.39,15.11,1194694,15.11
12-Oct-2015,15.16,15.27,15.02,15.06,691894,15.06
13-Oct-2015,15.07,15.33,14.87,15.27,1028895,15.27
14-Oct-2015,15.34,15.34,15.02,15.06,562786,15.06
15-Oct-2015,15.33,15.33,14.73,14.87,1378514,14.87
16-Oct-2015,14.97,15.04,14.81,15.03,870610,15.03
19-Oct-2015,15.05,15.23,14.89,14.99,863988,14.99
20-Oct-2015,15.02,15.17,14.59,14.6,951261,14.6
21-Oct-2015,14.68,14.82,14.49,14.79,708238,14.79
22-Oct-2015,14.76,15.38,14.67,15.25,1146898,15.25
23-Oct-2015,15.31,15.36,15,15.04,736043,15.04
26-Oct-2015,15.06,15.41,14.96,15,724101,15
27-Oct-2015,15.14,15.17,14.46,14.5,944327,14.5
28-Oct-2015,14.57,14.74,14.37,14.5,1603821,14.5
29-Oct-2015,15.03,15.84,14.13,15.72,3068420,15.72
30-Oct-2015,15.72,15.86,15.52,15.82,976913,15.82
02-Nov-2015,15.89,16.58,15.67,16.5,940943,16.5
03-Nov-2015,16.44,16.45,16.09,16.22,645057,16.22
04-Nov-2015,16.28,16.35,15.99,16.09,769668,16.09
05-Nov-2015,16.42,17.15,16.42,16.86,1612360,16.86
06-Nov-2015,16.76,17.12,16.48,16.95,1065048,16.95
09-Nov-2015,16.93,17.21,16.82,16.96,1343949,16.96
10-Nov-2015,16.88,17.46,16.83,17.21,1275003,17.21
11-Nov-2015,17.21,17.23,16.83,16.92,653422,16.92
12-Nov-2015,16.73,17.09,16.65,16.68,491589,16.68
13-Nov-2015,16.56,17.1,16.4,16.46,411698,16.46
16-Nov-2015,16.4,16.72,16.29,16.69,504883,16.69
17-Nov-2015,16.7,17.17,16.42,17.02,479536,17.02
18-Nov-2015,17.02,17.11,16.58,16.9,501601,16.9
19-Nov-2015,16.65,16.81,16.28,16.76,600410,16.76
20-Nov-2015,16.76,17.14,16.73,17,415055,17
23-Nov-2015,16.99,17.24,16.67,16.75,633258,16.75
24-Nov-2015,16.57,17.63,16.57,17.5,701395,17.5
25-Nov-2015,17.49,17.63,17.32,17.4,331361,17.4
27-Nov-2015,17.37,17.48,17.12,17.22,250704,17.22
30-Nov-2015,17.22,17.33,17.02,17.08,552712,17.08
01-Dec-2015,17.13,17.91,17.04,17.75,1662943,17.75
02-Dec-2015,17.48,17.84,17.36,17.63,653870,17.63
03-Dec-2015,17.52,17.9,17.02,17.33,1105041,17.33
04-Dec-2015,17.29,17.73,17.22,17.48,774306,17.48
07-Dec-2015,17.31,17.72,16.99,17.1,722493,17.1
08-Dec-2015,17,17.07,16.57,16.62,884413,16.62
09-Dec-2015,16.47,16.81,16.44,16.78,615313,16.78
10-Dec-2015,16.81,17.45,16.62,16.9,677061,16.9
11-Dec-2015,16.69,17.2,16.53,17.08,943225,17.08
14-Dec-2015,17.1,17.51,16.65,16.82,903945,16.82
15-Dec-2015,17,17.52,16.88,17.1,871301,17.1
16-Dec-2015,17.2,17.39,16.9,17.14,979299,17.14
17-Dec-2015,17.18,17.29,16.26,16.78,1297090,16.78
18-Dec-2015,16.77,16.85,16.17,16.55,3807888,16.55
21-Dec-2015,16.56,16.82,16.33,16.51,1099345,16.51
22-Dec-2015,16.51,16.61,16.25,16.4,737298,16.4
23-Dec-2015,16.44,16.51,15.93,16.25,1236126,16.25
24-Dec-2015,16.2,16.41,16.13,16.21,375410,16.21
28-Dec-2015,16.22,16.42,16.17,16.34,927828,16.34
29-Dec-2015,16.37,16.56,16.29,16.5,936340,16.5
30-Dec-2015,16.36,16.59,16.14,16.35,926844,16.35
31-Dec-2015,16.25,16.37,16.02,16.29,772268,16.29
04-Jan-2016,16.07,16.09,15.25,15.61,1302992,15.61
05-Jan-2016,15.58,16.39,15.53,16.34,1438724,16.34
06-Jan-2016,16.05,16.77,15.94,16.74,1616981,16.74
07-Jan-2016,16.43,16.47,15.94,16.14,729648,16.14
08-Jan-2016,16.2,16.39,16,16.15,728032,16.15
11-Jan-2016,16.18,16.25,15.97,16.16,849953,16.16
12-Jan-2016,16.21,16.28,15.58,16.22,1178069,16.22
13-Jan-2016,16.21,16.61,15.49,15.76,2241477,15.76
14-Jan-2016,15.78,16.24,15.3,15.74,1716926,15.74
15-Jan-2016,15.5,15.5,15.09,15.27,1173484,15.27
19-Jan-2016,15.3,15.3,14.26,14.5,1654592,14.5
20-Jan-2016,14.35,14.53,13.39,14.27,1952749,14.27
21-Jan-2016,14.27,14.43,13.96,14.25,1262466,14.25
22-Jan-2016,14.49,14.67,14.2,14.32,756803,14.32
25-Jan-2016,14.37,14.5,14.01,14.07,972322,14.07
26-Jan-2016,14.02,14.64,14,14.48,997908,14.48
27-Jan-2016,14.48,14.8,14.01,14.46,980279,14.46
28-Jan-2016,14.46,14.59,14.14,14.53,580018,14.53
29-Jan-2016,14.59,14.87,14.5,14.84,765187,14.84
01-Feb-2016,14.75,15.03,14.62,14.89,606715,14.89
02-Feb-2016,14.73,14.82,14.36,14.79,573503,14.79
03-Feb-2016,14.86,15.02,14.59,14.89,578746,14.89
04-Feb-2016,14.79,15.07,14.69,14.95,776070,14.95
05-Feb-2016,14.84,15.14,14.77,15,1165141,15
08-Feb-2016,14.8,15.06,14.64,14.91,898893,14.91
09-Feb-2016,14.73,15.14,14.32,14.82,1199382,14.82
10-Feb-2016,14.67,14.81,14.19,14.59,977534,14.59
11-Feb-2016,14.39,14.72,14.08,14.36,817352,14.36
12-Feb-2016,14.39,14.69,14.04,14.58,1522380,14.58
16-Feb-2016,14.77,15.55,14.77,15.34,1784029,15.34
17-Feb-2016,14.95,14.99,13.27,14.24,2274788,14.24
18-Feb-2016,14.09,14.4,13.56,14.3,1394051,14.3
19-Feb-2016,14.17,14.3,13.92,14.03,834635,14.03
22-Feb-2016,14.18,14.9,14.08,14.87,898986,14.87
23-Feb-2016,14.85,14.95,14.54,14.87,730811,14.87
24-Feb-2016,14.77,14.86,14.36,14.58,906064,14.58
25-Feb-2016,14.65,14.94,14.48,14.75,726868,14.75
26-Feb-2016,14.83,14.85,14.21,14.56,1273446,14.56
29-Feb-2016,14.6,15.34,14.58,15.26,1506314,15.26
01-Mar-2016,15.19,15.41,15.04,15.19,1361794,15.19
02-Mar-2016,15.19,15.32,15.1,15.17,1565354,15.17
03-Mar-2016,15.17,15.32,15.11,15.23,1435141,15.23
04-Mar-2016,15.29,15.87,15.18,15.8,1383513,15.8
07-Mar-2016,15.75,15.8,15.14,15.51,1228958,15.51
08-Mar-2016,15.51,15.68,15.33,15.5,1275986,15.5
09-Mar-2016,15.39,15.62,15.22,15.5,1130475,15.5
10-Mar-2016,15.53,15.94,15.26,15.31,1670432,15.31
11-Mar-2016,15.32,15.36,14.88,14.99,1130935,14.99
14-Mar-2016,14.92,15.32,14.85,15.24,1141318,15.24
15-Mar-2016,15.09,15.19,14.36,14.44,1278187,14.44
16-Mar-2016,14.4,15.13,14.39,15.07,1001451,15.07
17-Mar-2016,15.04,15.11,14.75,14.98,735065,14.98
18-Mar-2016,14.98,15.34,14.92,15.12,913798,15.12
21-Mar-2016,15.05,15.21,14.92,14.95,697855,14.95
22-Mar-2016,14.96,15.65,14.91,15.5,935868,15.5
23-Mar-2016,15.5,15.66,15.22,15.24,693103,15.24
24-Mar-2016,15.22,15.39,15.16,15.39,611188,15.39
28-Mar-2016,15.39,15.41,15.04,15.08,412026,15.08
29-Mar-2016,15.1,15.54,15,15.5,810929,15.5
30-Mar-2016,15.51,15.66,15.36,15.4,507915,15.4
31-Mar-2016,15.36,15.59,15.12,15.14,933631,15.14
01-Apr-2016,14.97,15.28,14.78,15.2,1037015,15.2
04-Apr-2016,15.28,15.79,15.09,15.28,1238441,15.28
05-Apr-2016,15.13,15.36,15.07,15.18,1450995,15.18
06-Apr-2016,15.21,15.5,15.13,15.45,633144,15.45
07-Apr-2016,15.42,15.57,15.04,15.19,1822155,15.19
08-Apr-2016,15.3,15.51,15.25,15.45,545933,15.45
11-Apr-2016,15.35,15.59,15.31,15.38,1410190,15.38
12-Apr-2016,15.43,15.58,15.09,15.11,1720604,15.11
13-Apr-2016,15.14,15.73,15.11,15.68,1656302,15.68
14-Apr-2016,15.66,15.67,15.27,15.45,695087,15.45
15-Apr-2016,15.5,15.72,15.37,15.55,1069189,15.55
18-Apr-2016,15.44,15.62,15.41,15.48,556182,15.48
19-Apr-2016,15.57,15.62,15.46,15.5,1093871,15.5
20-Apr-2016,15.48,15.62,15.47,15.53,936945,15.53
21-Apr-2016,15.53,15.65,15.45,15.49,1054859,15.49
22-Apr-2016,15.5,15.84,15.48,15.77,1589347,15.77
25-Apr-2016,15.72,16.91,15.63,16.79,2386938,16.79
26-Apr-2016,16.79,16.82,16.22,16.39,1110014,16.39
27-Apr-2016,16.55,17.6,16.55,17.56,1874728,17.56
28-Apr-2016,17.4,17.72,16.76,16.81,1357319,16.81
29-Apr-2016,16.8,16.91,16.37,16.85,1166172,16.85
02-May-2016,16.8,16.91,16.69,16.82,712262,16.82
03-May-2016,16.79,16.79,16.13,16.18,989567,16.18
04-May-2016,16.21,16.39,16.12,16.27,750275,16.27
05-May-2016,16.3,16.3,15.99,16.1,704450,16.1
06-May-2016,16.01,16.23,15.92,16.13,1068455,16.13
09-May-2016,16.17,16.19,15.8,15.83,1104212,15.83
10-May-2016,15.85,15.87,15.7,15.76,952509,15.76
11-May-2016,15.77,15.92,15.64,15.74,868266,15.74
12-May-2016,15.78,15.83,15.27,15.44,925109,15.44
13-May-2016,15.42,15.71,15.41,15.63,605381,15.63
16-May-2016,15.52,16.14,15.42,15.98,920845,15.98
17-May-2016,15.9,16.06,15.79,15.95,843384,15.95
18-May-2016,15.92,16.01,15.61,15.78,606843,15.78
19-May-2016,15.7,16.48,15.7,15.97,1231575,15.97
20-May-2016,16,16.34,15.79,16.12,815102,16.12
23-May-2016,16.28,16.38,15.72,15.74,743236,15.74
24-May-2016,15.81,15.96,15.58,15.92,1135470,15.92
25-May-2016,16.08,16.22,15.76,15.83,510606,15.83
26-May-2016,15.78,15.93,15.46,15.48,800643,15.48
27-May-2016,15.47,15.7,15.35,15.61,961752,15.61
31-May-2016,15.55,15.68,15.38,15.62,730498,15.62
01-Jun-2016,15.63,15.74,15.4,15.59,1091561,15.59
02-Jun-2016,15.43,15.64,15.23,15.55,1243126,15.55
03-Jun-2016,15.47,15.61,15.12,15.19,813720,15.19
06-Jun-2016,15.21,15.46,15.12,15.33,1204915,15.33
07-Jun-2016,15.42,15.49,15.2,15.38,740837,15.38
08-Jun-2016,15.41,15.58,15.26,15.46,1153513,15.46
09-Jun-2016,15.35,15.52,15.23,15.44,921015,15.44
10-Jun-2016,15.38,15.49,15.17,15.42,768878,15.42
13-Jun-2016,15.3,15.31,15.05,15.28,1140110,15.28
14-Jun-2016,15.26,15.38,15.02,15.08,962303,15.08
15-Jun-2016,15.08,15.27,15.07,15.15,1226975,15.15
16-Jun-2016,15.13,15.28,14.94,15.1,1048670,15.1
17-Jun-2016,15.07,15.18,15.04,15.11,1117669,15.11
20-Jun-2016,15.19,15.27,15,15.15,1878876,15.15
21-Jun-2016,15.17,15.17,14.92,15.03,1419827,15.03
22-Jun-2016,14.99,15.16,14.83,14.85,1324496,14.85
23-Jun-2016,14.99,15.06,14.64,14.65,1405370,14.65
24-Jun-2016,14.22,14.65,14.1,14.2,11497998,14.2
27-Jun-2016,14.17,14.21,13.54,13.62,1609444,13.62
28-Jun-2016,13.56,13.56,13.06,13.35,2297456,13.35
29-Jun-2016,13.54,13.74,13.26,13.7,2133828,13.7
30-Jun-2016,13.75,13.83,13.54,13.81,1295762,13.81
01-Jul-2016,13.73,13.78,13.57,13.7,1469821,13.7
05-Jul-2016,13.55,13.57,13.27,13.34,1443649,13.34
06-Jul-2016,13.33,13.71,13.24,13.67,5301650,13.67
07-Jul-2016,13.66,13.94,13.35,13.38,1759368,13.38
08-Jul-2016,13.51,13.88,13.51,13.81,1922700,13.81
11-Jul-2016,13.74,14,13.74,13.97,828470,13.97
12-Jul-2016,14.1,14.34,14.04,14.2,1402545,14.2
13-Jul-2016,14.29,14.31,14.1,14.13,690003,14.13
14-Jul-2016,14.13,14.21,13.94,14.05,1051132,14.05
15-Jul-2016,14.14,14.16,13.96,14.02,831254,14.02
18-Jul-2016,14.02,14.19,14.01,14.02,678349,14.02
19-Jul-2016,14.05,14.15,14.05,14.08,389185,14.08
20-Jul-2016,14.15,14.24,14.04,14.12,496722,14.12
21-Jul-2016,14.21,14.34,14.09,14.18,748373,14.18
22-Jul-2016,14.16,14.27,14.08,14.22,519338,14.22
25-Jul-2016,14.23,14.32,14.09,14.21,519333,14.21
26-Jul-2016,14.21,14.42,14.21,14.36,845950,14.36
27-Jul-2016,14.39,14.39,12.67,13.01,2090963,13.01
28-Jul-2016,12.82,13.14,12.72,12.74,1751736,12.74
29-Jul-2016,12.7,12.85,12.36,12.76,1578550,12.76
01-Aug-2016,12.7,12.8,12.3,12.51,1395042,12.51
02-Aug-2016,12.5,12.56,12.04,12.06,1010901,12.06
03-Aug-2016,12.02,12.1,11.89,12.01,1021639,12.01
04-Aug-2016,12.06,12.1,11.94,12.05,1257500,12.05
05-Aug-2016,12.16,12.49,12.14,12.27,1775175,12.27
08-Aug-2016,12.28,12.28,11.95,11.97,1153504,11.97
