Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,4.12,4,4,8600,4
04-Jan-1978,0,4.12,3.88,3.88,7700,3.88
05-Jan-1978,0,4,3.88,4,2200,4
06-Jan-1978,0,4,3.88,4,8600,4
09-Jan-1978,0,4,3.88,3.88,5200,3.88
10-Jan-1978,0,4,3.88,4,10100,4
11-Jan-1978,0,4.25,4,4.25,18400,4.25
12-Jan-1978,0,4.25,4.12,4.12,10600,4.12
13-Jan-1978,0,4.38,4.12,4.25,13200,4.25
16-Jan-1978,0,4.25,4.12,4.12,6600,4.12
17-Jan-1978,0,4.5,4.12,4.5,11400,4.5
18-Jan-1978,0,5.62,4.5,5.38,109200,5.38
19-Jan-1978,0,5.62,5.12,5.25,49000,5.25
20-Jan-1978,0,5.12,5,5,6800,5
23-Jan-1978,0,5.25,5,5,25900,5
24-Jan-1978,0,5.25,5,5.25,18200,5.25
25-Jan-1978,0,5.5,5.25,5.38,18700,5.38
26-Jan-1978,0,5.5,5.25,5.25,15500,5.25
27-Jan-1978,0,5.38,5.25,5.25,12300,5.25
30-Jan-1978,0,5.5,5.38,5.5,10000,5.5
31-Jan-1978,0,5.5,5.38,5.38,19700,5.38
01-Feb-1978,0,5.5,5.25,5.38,29500,5.38
02-Feb-1978,0,5.5,5.25,5.25,13300,5.25
03-Feb-1978,0,5.38,5.25,5.38,11600,5.38
06-Feb-1978,0,5.5,5.12,5.12,37200,5.12
07-Feb-1978,0,5.38,5.25,5.25,5700,5.25
08-Feb-1978,0,5.88,5.38,5.75,44100,5.75
09-Feb-1978,0,5.75,5.5,5.75,53500,5.75
10-Feb-1978,0,5.88,5.62,5.75,22800,5.75
13-Feb-1978,0,5.75,5.62,5.62,28700,5.62
14-Feb-1978,0,5.62,5.5,5.62,11800,5.62
15-Feb-1978,0,5.62,5.5,5.62,36900,5.62
16-Feb-1978,0,5.62,5.5,5.62,19600,5.62
17-Feb-1978,0,5.62,5.5,5.62,14400,5.62
21-Feb-1978,0,5.62,5.38,5.5,15700,5.5
22-Feb-1978,0,5.5,5.38,5.38,18500,5.38
23-Feb-1978,0,5.62,5.38,5.62,15200,5.62
24-Feb-1978,0,5.62,5.5,5.62,19700,5.62
27-Feb-1978,0,5.5,5.25,5.38,19000,5.38
28-Feb-1978,0,5.38,5.25,5.38,4700,5.38
01-Mar-1978,0,5.38,5.12,5.38,25300,5.38
02-Mar-1978,0,5.5,5.25,5.38,10200,5.38
03-Mar-1978,0,5.5,5.38,5.5,6500,5.5
06-Mar-1978,0,5.5,5.38,5.5,8000,5.5
07-Mar-1978,0,5.38,5.25,5.25,9300,5.25
08-Mar-1978,0,5.5,5.25,5.38,14700,5.38
09-Mar-1978,0,5.62,5.38,5.5,26300,5.5
10-Mar-1978,0,5.75,5.5,5.62,16900,5.62
13-Mar-1978,0,5.75,5.5,5.5,8100,5.5
14-Mar-1978,0,5.62,5.38,5.62,7100,5.62
15-Mar-1978,0,6.38,5.62,6.38,188200,6.38
16-Mar-1978,0,6.5,6.25,6.5,80300,6.5
17-Mar-1978,0,6.62,6.38,6.62,40700,6.62
20-Mar-1978,0,6.62,6.38,6.5,38500,6.5
21-Mar-1978,0,6.62,6.38,6.38,45400,6.38
22-Mar-1978,0,6.5,6.25,6.25,18100,6.25
23-Mar-1978,0,6.62,6.25,6.5,14900,6.5
27-Mar-1978,0,7.25,6.5,7.12,98200,7.12
28-Mar-1978,0,7.25,7,7.12,65000,7.12
29-Mar-1978,0,7.5,7.25,7.5,52300,7.5
30-Mar-1978,0,7.5,7,7.25,44700,7.25
31-Mar-1978,0,7.38,7.12,7.38,21400,7.38
03-Apr-1978,0,7.38,7.25,7.25,23500,7.25
04-Apr-1978,0,7.25,7.12,7.25,18100,7.25
05-Apr-1978,0,7.62,7.12,7.5,39600,7.5
06-Apr-1978,0,7.88,7.5,7.88,44300,7.88
07-Apr-1978,0,8,7.75,7.75,84600,7.75
10-Apr-1978,0,8,7.75,8,25700,8
11-Apr-1978,0,8.12,7.88,8.12,89000,8.12
12-Apr-1978,0,8.12,7.88,7.88,30800,7.88
13-Apr-1978,0,7.88,7.75,7.75,29900,7.75
14-Apr-1978,0,7.88,7.62,7.62,37000,7.62
17-Apr-1978,0,7.75,7.25,7.62,61200,7.62
18-Apr-1978,0,7.62,7.38,7.38,22600,7.38
19-Apr-1978,0,7.62,7.25,7.25,22900,7.25
20-Apr-1978,0,7.38,7.12,7.38,14800,7.38
21-Apr-1978,0,7.25,7.12,7.12,17300,7.12
24-Apr-1978,0,7.12,6.88,6.88,31400,6.88
25-Apr-1978,0,6.88,6.5,6.5,45300,6.5
26-Apr-1978,0,6.88,6.38,6.88,49900,6.88
27-Apr-1978,0,7,6.75,6.88,14600,6.88
28-Apr-1978,0,7,6.75,6.88,16600,6.88
01-May-1978,0,7.12,6.88,7.12,13100,7.12
02-May-1978,0,7.38,7.12,7.25,15400,7.25
03-May-1978,0,7.38,7.12,7.12,42200,7.12
04-May-1978,0,7.12,6.88,6.88,15000,6.88
05-May-1978,0,7,6.88,6.88,21000,6.88
08-May-1978,0,7.12,6.88,6.88,19700,6.88
09-May-1978,0,7.12,6.88,7.12,26300,7.12
10-May-1978,0,7.5,7.12,7.25,49500,7.25
11-May-1978,0,7.38,7,7,14300,7
12-May-1978,0,7.5,7.25,7.5,29600,7.5
15-May-1978,0,7.5,7.38,7.5,31900,7.5
16-May-1978,0,7.5,7.25,7.38,22100,7.38
17-May-1978,0,7.38,7.12,7.25,14600,7.25
18-May-1978,0,7.5,7.12,7.25,28400,7.25
19-May-1978,0,7.25,7.12,7.25,15100,7.25
22-May-1978,0,7.25,7,7,25600,7
23-May-1978,0,7.12,6.62,6.75,19000,6.75
24-May-1978,0,6.75,6.62,6.75,9600,6.75
25-May-1978,0,7.12,6.75,6.88,19800,6.88
26-May-1978,0,6.88,6.62,6.62,7100,6.62
30-May-1978,0,6.62,6.38,6.5,16000,6.5
31-May-1978,0,6.88,6.38,6.62,13600,6.62
01-Jun-1978,0,6.75,6.62,6.75,2600,6.75
02-Jun-1978,0,6.88,6.75,6.88,10100,6.88
05-Jun-1978,0,6.88,6.75,6.75,12300,6.75
06-Jun-1978,0,6.88,6.62,6.62,13900,6.62
07-Jun-1978,0,6.88,6.62,6.75,17600,6.75
08-Jun-1978,0,7,6.62,7,14200,7
09-Jun-1978,0,7,6.88,7,39100,7
12-Jun-1978,0,7,6.88,7,14900,7
13-Jun-1978,0,7,6.88,6.88,4500,6.88
14-Jun-1978,0,6.88,6.62,6.62,20700,6.62
15-Jun-1978,0,6.75,6.62,6.62,8900,6.62
16-Jun-1978,0,6.62,6.38,6.5,16800,6.5
19-Jun-1978,0,6.38,6.12,6.38,20400,6.38
20-Jun-1978,0,6.5,6.12,6.12,60900,6.12
21-Jun-1978,0,6.25,6,6,13200,6
22-Jun-1978,0,6.12,6,6.12,13200,6.12
23-Jun-1978,0,6.12,6,6,5300,6
26-Jun-1978,0,6.12,6,6,18400,6
27-Jun-1978,0,6.12,6,6.12,9400,6.12
28-Jun-1978,0,6,5.75,5.88,14800,5.88
29-Jun-1978,0,6.5,5.88,6.38,21900,6.38
30-Jun-1978,0,6.62,6.38,6.5,6400,6.5
03-Jul-1978,0,6.5,6.25,6.38,7300,6.38
05-Jul-1978,0,6.38,6,6.12,15500,6.12
06-Jul-1978,0,6.12,5.88,5.88,11600,5.88
07-Jul-1978,0,6.12,5.88,6,26600,6
10-Jul-1978,0,6.12,5.88,5.88,12900,5.88
11-Jul-1978,0,6,5.88,6,17800,6
12-Jul-1978,0,6,5.88,5.88,16600,5.88
13-Jul-1978,0,5.88,5.75,5.75,15700,5.75
14-Jul-1978,0,6.12,5.88,6.12,32900,6.12
17-Jul-1978,0,6.25,5.88,5.88,19700,5.88
18-Jul-1978,0,6,5.75,5.75,18300,5.75
19-Jul-1978,0,6,5.5,6,86000,6
20-Jul-1978,0,6.12,5.75,5.88,32200,5.88
21-Jul-1978,0,6,5.75,5.75,6700,5.75
24-Jul-1978,0,5.88,5.62,5.62,7000,5.62
25-Jul-1978,0,5.88,5.62,5.75,16200,5.75
26-Jul-1978,0,6,5.88,6,5700,6
27-Jul-1978,0,6.12,5.88,5.88,7700,5.88
28-Jul-1978,0,6,5.75,5.88,7500,5.88
31-Jul-1978,0,6,5.75,6,13400,6
01-Aug-1978,0,6,5.75,5.88,17600,5.88
02-Aug-1978,0,6,5.88,5.88,13000,5.88
03-Aug-1978,0,6.12,5.88,5.88,21900,5.88
04-Aug-1978,0,6,5.75,5.88,7600,5.88
07-Aug-1978,0,5.88,5.88,5.88,16200,5.88
08-Aug-1978,0,5.88,5.62,5.75,19700,5.75
09-Aug-1978,0,5.88,5.75,5.75,20200,5.75
10-Aug-1978,0,5.88,5.62,5.62,21300,5.62
11-Aug-1978,0,5.88,5.62,5.88,19000,5.88
14-Aug-1978,0,6.12,5.75,6.12,38700,6.12
15-Aug-1978,0,6.12,6,6.12,20700,6.12
16-Aug-1978,0,6.12,6,6.12,21700,6.12
17-Aug-1978,0,6.38,6.12,6.25,33100,6.25
