Date,Open,High,Low,Close,Volume,AdjClose
27-Jul-1994,0,0.69,0.67,0.67,9048598,0.67
28-Jul-1994,0,0.69,0.67,0.69,1330648,0.69
29-Jul-1994,0,0.69,0.68,0.68,1422002,0.68
01-Aug-1994,0,0.73,0.68,0.71,1300948,0.71
02-Aug-1994,0,0.73,0.69,0.7,952648,0.7
03-Aug-1994,0,0.72,0.7,0.7,762298,0.7
04-Aug-1994,0,0.73,0.7,0.72,1126798,0.72
05-Aug-1994,0,0.73,0.7,0.72,292950,0.72
08-Aug-1994,0,0.73,0.7,0.7,43200,0.7
09-Aug-1994,0,0.74,0.7,0.74,895948,0.74
10-Aug-1994,0,0.76,0.7,0.76,1137598,0.76
11-Aug-1994,0,0.76,0.73,0.73,422550,0.73
12-Aug-1994,0,0.76,0.73,0.76,1075498,0.76
15-Aug-1994,0,0.79,0.73,0.78,349650,0.78
16-Aug-1994,0,0.83,0.76,0.83,1223998,0.83
17-Aug-1994,0,0.84,0.82,0.82,631348,0.82
18-Aug-1994,0,0.84,0.82,0.82,190350,0.82
19-Aug-1994,0,0.84,0.82,0.84,336150,0.84
22-Aug-1994,0,0.84,0.82,0.84,494998,0.84
23-Aug-1994,0,0.89,0.83,0.89,1632602,0.89
24-Aug-1994,0,1.04,0.92,1.03,1855352,1.03
25-Aug-1994,0,1.04,0.94,0.97,1376102,0.97
26-Aug-1994,0,1.01,0.96,1.01,759598,1.01
29-Aug-1994,0,1.01,0.99,0.99,245700,0.99
30-Aug-1994,0,1.06,1.01,1.04,1160548,1.04
31-Aug-1994,0,1.06,1.02,1.04,845998,1.04
01-Sep-1994,0,1.06,1.04,1.06,190350,1.06
02-Sep-1994,0,1.06,1.04,1.06,135000,1.06
06-Sep-1994,0,1.06,1.04,1.05,577348,1.05
07-Sep-1994,0,1.05,1,1,499048,1
08-Sep-1994,0,1.03,1,1,114750,1
09-Sep-1994,0,1.01,0.98,1,261900,1
12-Sep-1994,0,1,0.98,0.98,126900,0.98
13-Sep-1994,0,1,0.98,1,105300,1
14-Sep-1994,0,1,0.98,1,500398,1
15-Sep-1994,0,1,0.98,1,18900,1
16-Sep-1994,0,1,0.98,1,260550,1
19-Sep-1994,0,1,0.98,1,27000,1
20-Sep-1994,0,0.98,0.94,0.95,99900,0.95
21-Sep-1994,0,0.96,0.94,0.94,120150,0.94
22-Sep-1994,0,0.96,0.94,0.96,341550,0.96
