Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,NaN,NaN,NaN,0.74,0,0.41
04-Jan-1978,0,0.79,0.74,0.74,3000,0.41
05-Jan-1978,NaN,NaN,NaN,0.74,0,0.41
06-Jan-1978,NaN,NaN,NaN,0.74,0,0.41
09-Jan-1978,0,0.79,0.74,0.74,16800,0.41
10-Jan-1978,NaN,NaN,NaN,0.74,0,0.41
11-Jan-1978,NaN,NaN,NaN,0.74,0,0.41
12-Jan-1978,NaN,NaN,NaN,0.74,0,0.41
13-Jan-1978,0,0.81,0.75,0.75,1800,0.41
16-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
17-Jan-1978,0,0.81,0.75,0.75,1800,0.41
18-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
19-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
20-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
23-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
24-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
25-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
26-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
27-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
30-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
31-Jan-1978,NaN,NaN,NaN,0.75,0,0.41
01-Feb-1978,NaN,NaN,NaN,0.75,0,0.41
02-Feb-1978,NaN,NaN,NaN,0.75,0,0.41
03-Feb-1978,NaN,NaN,NaN,0.75,0,0.41
06-Feb-1978,0,0.81,0.75,0.75,3000,0.41
07-Feb-1978,NaN,NaN,NaN,0.75,0,0.41
08-Feb-1978,0,0.81,0.75,0.75,4800,0.41
09-Feb-1978,NaN,NaN,NaN,0.75,0,0.41
10-Feb-1978,NaN,NaN,NaN,0.75,0,0.41
13-Feb-1978,NaN,NaN,NaN,0.75,0,0.41
14-Feb-1978,0,0.87,0.79,0.79,16800,0.44
15-Feb-1978,0,0.87,0.79,0.79,4800,0.44
16-Feb-1978,0,0.87,0.79,0.79,10800,0.44
17-Feb-1978,0,0.87,0.79,0.79,1800,0.44
21-Feb-1978,NaN,NaN,NaN,0.79,0,0.44
22-Feb-1978,0,0.88,0.81,0.81,16800,0.45
23-Feb-1978,NaN,NaN,NaN,0.81,0,0.45
24-Feb-1978,0,0.9,0.83,0.83,3000,0.46
27-Feb-1978,0,0.9,0.83,0.83,1800,0.46
28-Feb-1978,NaN,NaN,NaN,0.83,0,0.46
01-Mar-1978,NaN,NaN,NaN,0.83,0,0.46
02-Mar-1978,NaN,NaN,NaN,0.83,0,0.46
03-Mar-1978,NaN,NaN,NaN,0.83,0,0.46
06-Mar-1978,NaN,NaN,NaN,0.83,0,0.46
07-Mar-1978,0,0.91,0.84,0.84,1800,0.46
08-Mar-1978,0,0.91,0.84,0.84,10800,0.46
09-Mar-1978,0,0.91,0.84,0.84,3000,0.46
10-Mar-1978,NaN,NaN,NaN,0.84,0,0.46
13-Mar-1978,0,0.91,0.84,0.84,1800,0.46
14-Mar-1978,NaN,NaN,NaN,0.84,0,0.46
15-Mar-1978,0,0.93,0.87,0.87,7800,0.48
16-Mar-1978,NaN,NaN,NaN,0.88,0,0.49
17-Mar-1978,NaN,NaN,NaN,0.88,0,0.49
20-Mar-1978,0,0.94,0.88,0.88,10800,0.49
21-Mar-1978,0,0.94,0.88,0.88,7800,0.49
22-Mar-1978,0,0.94,0.88,0.88,7800,0.49
23-Mar-1978,0,0.94,0.88,0.88,10800,0.49
27-Mar-1978,NaN,NaN,NaN,0.88,0,0.49
28-Mar-1978,0,0.94,0.88,0.88,1800,0.49
29-Mar-1978,NaN,NaN,NaN,0.88,0,0.49
30-Mar-1978,NaN,NaN,NaN,0.88,0,0.49
31-Mar-1978,NaN,NaN,NaN,0.88,0,0.49
03-Apr-1978,0,0.94,0.88,0.88,10800,0.49
04-Apr-1978,NaN,NaN,NaN,0.88,0,0.49
05-Apr-1978,0,0.94,0.88,0.88,1800,0.49
06-Apr-1978,0,0.97,0.91,0.91,10800,0.5
07-Apr-1978,NaN,NaN,NaN,0.91,0,0.5
10-Apr-1978,NaN,NaN,NaN,0.93,0,0.51
11-Apr-1978,0,0.99,0.93,0.93,6000,0.51
12-Apr-1978,0,0.99,0.93,0.93,4800,0.51
13-Apr-1978,NaN,NaN,NaN,0.93,0,0.51
14-Apr-1978,0,1.02,0.96,0.96,22800,0.53
17-Apr-1978,NaN,NaN,NaN,0.96,0,0.53
18-Apr-1978,0,1.02,0.96,0.96,24000,0.53
19-Apr-1978,0,1,0.94,0.94,4800,0.52
20-Apr-1978,NaN,NaN,NaN,0.94,0,0.52
21-Apr-1978,0,1,0.94,0.94,7800,0.52
24-Apr-1978,NaN,NaN,NaN,0.94,0,0.52
25-Apr-1978,0,0.99,0.93,0.93,1800,0.51
26-Apr-1978,0,1.02,0.96,0.96,9000,0.53
27-Apr-1978,NaN,NaN,NaN,0.97,0,0.53
28-Apr-1978,0,1.03,0.97,0.97,4800,0.53
01-May-1978,NaN,NaN,NaN,0.97,0,0.53
02-May-1978,0,1.03,0.97,0.97,7800,0.53
03-May-1978,0,1.03,0.97,0.97,7800,0.53
04-May-1978,0,1.03,0.97,0.97,10800,0.53
