Date,Open,High,Low,Close,Volume,AdjClose
05-Mar-1990,0,22.5,22.5,22.5,1300,22.5
06-Mar-1990,0,22.5,22.5,22.5,400,22.5
07-Mar-1990,0,21.94,21.94,21.94,900,21.94
08-Mar-1990,NaN,NaN,NaN,21.94,0,21.94
09-Mar-1990,0,21.94,21.94,21.94,1200,21.94
12-Mar-1990,NaN,NaN,NaN,21.94,0,21.94
13-Mar-1990,0,23.07,23.07,23.07,3100,23.07
14-Mar-1990,0,23.07,23.07,23.07,100,23.07
15-Mar-1990,0,23.07,23.07,23.07,1100,23.07
16-Mar-1990,0,23.07,23.07,23.07,600,23.07
19-Mar-1990,0,23.63,23.63,23.63,500,23.63
20-Mar-1990,0,23.63,23.63,23.63,1100,23.63
21-Mar-1990,0,25.32,25.32,25.32,3400,25.32
22-Mar-1990,0,25.88,25.88,25.88,23600,25.88
23-Mar-1990,0,27,27,27,27800,27
26-Mar-1990,0,27.57,27.57,27.57,27100,27.57
27-Mar-1990,0,28.13,28.13,28.13,16900,28.13
28-Mar-1990,0,28.13,28.13,28.13,11600,28.13
29-Mar-1990,0,29.39,29.39,29.39,15700,29.39
30-Mar-1990,0,29.25,29.25,29.25,9000,29.25
02-Apr-1990,0,28.69,28.69,28.69,2200,28.69
03-Apr-1990,0,28.13,28.13,28.13,2900,28.13
04-Apr-1990,0,27.57,27.57,27.57,2200,27.57
05-Apr-1990,0,26.44,26.44,26.44,6400,26.44
06-Apr-1990,0,26.44,26.44,26.44,300,26.44
09-Apr-1990,0,26.44,26.44,26.44,300,26.44
10-Apr-1990,0,27.57,27.57,27.57,12400,27.57
11-Apr-1990,0,28.13,28.13,28.13,5100,28.13
12-Apr-1990,0,25.88,25.88,25.88,4500,25.88
16-Apr-1990,0,25.88,25.88,25.88,700,25.88
17-Apr-1990,0,24.19,24.19,24.19,200,24.19
18-Apr-1990,0,24.19,24.19,24.19,200,24.19
19-Apr-1990,0,24.19,24.19,24.19,2300,24.19
20-Apr-1990,0,22.5,22.5,22.5,2400,22.5
23-Apr-1990,0,23.07,23.07,23.07,2500,23.07
24-Apr-1990,0,24.75,24.75,24.75,1600,24.75
25-Apr-1990,0,26.44,26.44,26.44,13400,26.44
26-Apr-1990,0,27.57,27.57,27.57,4400,27.57
27-Apr-1990,0,27.57,27.57,27.57,4000,27.57
30-Apr-1990,0,26.44,26.44,26.44,2100,26.44
01-May-1990,0,26.44,26.44,26.44,2100,26.44
02-May-1990,0,27,27,27,7800,27
03-May-1990,0,30.94,30.94,30.94,22200,30.94
04-May-1990,0,30.94,30.94,30.94,12400,30.94
07-May-1990,0,30.94,30.94,30.94,9200,30.94
08-May-1990,0,30.94,30.94,30.94,10600,30.94
09-May-1990,0,30.94,30.94,30.94,7200,30.94
10-May-1990,0,30.94,30.94,30.94,2900,30.94
11-May-1990,0,30.94,30.94,30.94,4000,30.94
14-May-1990,0,29.25,29.25,29.25,1100,29.25
15-May-1990,0,28.69,28.69,28.69,4800,28.69
16-May-1990,0,30.94,30.94,30.94,24800,30.94
17-May-1990,0,32.35,32.35,32.35,21800,32.35
18-May-1990,0,33.19,33.19,33.19,19700,33.19
21-May-1990,0,32.63,32.63,32.63,27200,32.63
22-May-1990,0,33.19,33.19,33.19,14000,33.19
23-May-1990,0,35.44,35.44,35.44,15600,35.44
24-May-1990,0,36,36,36,31100,36
25-May-1990,0,40.22,40.22,40.22,24400,40.22
29-May-1990,0,43.88,43.88,43.88,32500,43.88
30-May-1990,0,43.88,43.88,43.88,36200,43.88
31-May-1990,0,45,45,45,29100,45
01-Jun-1990,0,46.69,46.69,46.69,30200,46.69
04-Jun-1990,0,47.26,47.26,47.26,31600,47.26
05-Jun-1990,0,48.38,45,47.26,46000,47.26
06-Jun-1990,0,47.26,43.32,45.57,14800,45.57
07-Jun-1990,0,46.13,43.32,43.88,4600,43.88
08-Jun-1990,0,45,43.88,45,5700,45
11-Jun-1990,0,45,43.32,43.88,16900,43.88
12-Jun-1990,0,43.88,42.75,43.88,10700,43.88
13-Jun-1990,0,45.57,43.32,45,40200,45
14-Jun-1990,0,45,44.44,44.44,4100,44.44
15-Jun-1990,0,44.44,44.44,44.44,1100,44.44
18-Jun-1990,0,44.44,44.44,44.44,2700,44.44
19-Jun-1990,0,45.57,43.88,45.57,27600,45.57
20-Jun-1990,0,46.13,45,46.13,6400,46.13
21-Jun-1990,0,46.69,45.57,46.69,22800,46.69
22-Jun-1990,0,46.69,46.13,46.69,7200,46.69
25-Jun-1990,0,46.13,45.57,46.13,13900,46.13
26-Jun-1990,0,46.13,45,45,11700,45
27-Jun-1990,0,45.57,45,45.57,7300,45.57
28-Jun-1990,0,46.13,45,46.13,31500,46.13
29-Jun-1990,0,48.94,45,48.94,30400,48.94
02-Jul-1990,0,50.63,48.94,50.63,11100,50.63
03-Jul-1990,0,50.63,50.07,50.07,5000,50.07
05-Jul-1990,0,53.44,50.07,53.44,5100,53.44
06-Jul-1990,0,55.13,53.44,55.13,10200,55.13
09-Jul-1990,0,56.26,54.57,56.26,15200,56.26
10-Jul-1990,0,56.26,54.57,55.13,24000,55.13
11-Jul-1990,0,57.94,54.57,57.38,44200,57.38
12-Jul-1990,0,57.38,55.69,57.38,14400,57.38
13-Jul-1990,0,57.38,56.26,57.38,27600,57.38
16-Jul-1990,0,58.51,56.26,58.51,35000,58.51
17-Jul-1990,0,58.51,55.13,55.69,46700,55.69
18-Jul-1990,0,56.26,55.13,56.26,26800,56.26
19-Jul-1990,0,56.26,55.13,56.26,17000,56.26
20-Jul-1990,0,56.82,55.13,55.13,10200,55.13
23-Jul-1990,0,55.69,54.01,55.13,17800,55.13
24-Jul-1990,0,55.13,54.01,54.01,9300,54.01
25-Jul-1990,0,57.94,52.88,57.94,12700,57.94
26-Jul-1990,0,59.07,56.26,57.38,23800,57.38
27-Jul-1990,0,57.38,56.82,57.38,7000,57.38
30-Jul-1990,0,59.07,57.38,58.51,62300,58.51
31-Jul-1990,0,57.38,56.82,56.82,10500,56.82
01-Aug-1990,0,58.51,57.38,57.38,17600,57.38
02-Aug-1990,0,57.94,57.38,57.38,16000,57.38
03-Aug-1990,0,59.63,55.13,59.07,9600,59.07
06-Aug-1990,0,59.63,56.26,57.94,16300,57.94
07-Aug-1990,0,57.38,53.44,55.13,11800,55.13
08-Aug-1990,0,57.94,54.01,57.38,14700,57.38
09-Aug-1990,0,57.38,56.26,56.82,19500,56.82
10-Aug-1990,0,60.2,57.38,57.38,39000,57.38
13-Aug-1990,0,57.94,55.13,57.38,4100,57.38
14-Aug-1990,0,57.38,53.44,54.57,29300,54.57
15-Aug-1990,0,55.69,54.57,55.13,9300,55.13
16-Aug-1990,0,55.13,52.32,52.32,9700,52.32
17-Aug-1990,0,57.38,49.51,56.82,38700,56.82
20-Aug-1990,0,60.76,56.82,60.76,50300,60.76
21-Aug-1990,0,61.88,58.51,61.32,19100,61.32
22-Aug-1990,0,64.13,60.76,63.01,47000,63.01
23-Aug-1990,0,64.13,61.88,64.13,17200,64.13
24-Aug-1990,0,65.26,63.01,63.01,9900,63.01
27-Aug-1990,0,65.26,63.57,63.57,3700,63.57
28-Aug-1990,0,64.7,63.01,64.7,10100,64.7
29-Aug-1990,0,65.82,64.13,65.26,22700,65.26
30-Aug-1990,0,65.82,62.45,62.45,20200,62.45
31-Aug-1990,0,65.26,62.45,65.26,16800,65.26
04-Sep-1990,0,65.26,63.01,63.01,17500,63.01
05-Sep-1990,0,63.57,63.01,63.57,18700,63.57
06-Sep-1990,0,64.7,58.51,61.88,67200,61.88
07-Sep-1990,0,64.7,61.32,64.7,34500,64.7
10-Sep-1990,0,65.26,63.01,63.01,11300,63.01
11-Sep-1990,0,64.13,63.01,64.13,6000,64.13
12-Sep-1990,0,63.57,61.88,63.57,21400,63.57
13-Sep-1990,0,63.01,60.76,61.88,7000,61.88
14-Sep-1990,0,60.76,60.2,60.2,8500,60.2
17-Sep-1990,0,60.2,59.63,59.63,2400,59.63
18-Sep-1990,0,60.2,58.51,59.07,6300,59.07
19-Sep-1990,0,60.2,58.51,59.07,18600,59.07
20-Sep-1990,0,59.63,59.07,59.07,6000,59.07
21-Sep-1990,0,59.63,59.07,59.63,58400,59.63
24-Sep-1990,0,59.63,59.07,59.63,27200,59.63
25-Sep-1990,0,59.63,59.07,59.07,2300,59.07
26-Sep-1990,0,59.63,56.26,56.26,31300,56.26
27-Sep-1990,0,58.51,52.32,55.13,21500,55.13
