Date,Open,High,Low,Close,Volume,AdjClose
14-Feb-2014,16,16.12,14.78,15.15,3611542,15.15
18-Feb-2014,15.22,15.6,15.15,15.25,194902,15.25
19-Feb-2014,15.17,15.35,15,15.1,133740,15.1
20-Feb-2014,15.07,15.8,15.02,15.5,151051,15.5
21-Feb-2014,15.76,16.7,15.45,16.55,197207,16.55
24-Feb-2014,16.9,17.32,16.73,16.97,133268,16.97
25-Feb-2014,17.1,17.24,16.75,16.95,116770,16.95
26-Feb-2014,17,17.3,16.88,17,51858,17
27-Feb-2014,17.01,17.36,16.81,17.14,46825,17.14
28-Feb-2014,18.32,18.32,17.15,17.51,114649,17.51
03-Mar-2014,17.45,17.77,16.95,17.69,99032,17.69
04-Mar-2014,17.99,19.22,17.9,19.02,117214,19.02
05-Mar-2014,19.4,20.24,19.28,19.4,149399,19.4
06-Mar-2014,19.39,20,19.04,19.38,111341,19.38
07-Mar-2014,19.82,19.91,19.01,19.19,109665,19.19
10-Mar-2014,19.16,19.61,19.12,19.5,110849,19.5
11-Mar-2014,19.79,19.79,18.31,18.75,193698,18.75
12-Mar-2014,18.74,20.45,18.31,20.31,145310,20.31
13-Mar-2014,20.77,21,19.92,20,132399,20
14-Mar-2014,20.03,20.03,19.01,19.4,71094,19.4
17-Mar-2014,19.91,20.3,19.67,19.95,76982,19.95
18-Mar-2014,20.05,20.4,19.82,19.85,117858,19.85
19-Mar-2014,19.97,20.49,19.66,19.84,43840,19.84
20-Mar-2014,19.6,20.1,18.11,18.5,112085,18.5
21-Mar-2014,18.51,19.22,17.07,17.2,164059,17.2
24-Mar-2014,17.1,17.25,15.72,16.69,155977,16.69
25-Mar-2014,17.14,17.74,16.55,16.8,238470,16.8
26-Mar-2014,16.8,17.41,16.7,16.74,99220,16.74
27-Mar-2014,17,17.76,16.5,16.81,214989,16.81
28-Mar-2014,17.47,18,16.5,16.57,418489,16.57
31-Mar-2014,16.5,17.43,16.06,16.51,757073,16.51
01-Apr-2014,16.5,16.91,16.32,16.62,58182,16.62
02-Apr-2014,16.64,17.14,16.48,16.53,84153,16.53
03-Apr-2014,16.57,16.75,16.33,16.7,112307,16.7
04-Apr-2014,16.75,16.75,16.26,16.35,89979,16.35
07-Apr-2014,16.26,16.73,16.02,16.38,174029,16.38
08-Apr-2014,16.15,16.58,16.08,16.47,43218,16.47
09-Apr-2014,16.48,17.01,15.76,16.47,192170,16.47
10-Apr-2014,16.47,16.68,16.27,16.46,111519,16.46
11-Apr-2014,16.32,17.25,16.1,16.89,78595,16.89
14-Apr-2014,17.02,17.15,16.15,16.32,46605,16.32
15-Apr-2014,16.42,16.42,15.12,15.19,109004,15.19
16-Apr-2014,15.35,15.73,15,15.32,74433,15.32
17-Apr-2014,15.37,15.46,14.8,14.85,91702,14.85
21-Apr-2014,14.8,15,14.59,14.72,112504,14.72
22-Apr-2014,14.82,15.04,14.76,14.94,80752,14.94
23-Apr-2014,14.94,15.07,14.3,14.61,89781,14.61
24-Apr-2014,14.71,14.85,14.34,14.72,25966,14.72
25-Apr-2014,14.75,14.75,14.21,14.64,83630,14.64
28-Apr-2014,14.63,14.63,13.96,14.26,46739,14.26
29-Apr-2014,14.34,14.44,13.89,14.04,34093,14.04
