Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2003,NaN,1.91,1.84,1.9,2200,1.44
03-Jan-2003,NaN,2.25,1.9,1.9,2100,1.44
06-Jan-2003,NaN,2,1.9,2,1700,1.51
07-Jan-2003,NaN,2.2,2.05,2.2,4900,1.66
08-Jan-2003,NaN,2.1,2.1,2.1,500,1.59
09-Jan-2003,NaN,2.44,2.28,2.38,7891,1.8
10-Jan-2003,NaN,2.4,2.3,2.3,5900,1.74
13-Jan-2003,NaN,2.21,2.1,2.1,11800,1.59
14-Jan-2003,NaN,2.49,2.11,2.36,4500,1.79
15-Jan-2003,NaN,2.31,2.28,2.28,3900,1.72
16-Jan-2003,NaN,2.3,2.2,2.2,4900,1.66
17-Jan-2003,NaN,2.49,2.47,2.49,200,1.88
21-Jan-2003,NaN,2.5,2.3,2.3,6200,1.74
22-Jan-2003,NaN,2.49,2.35,2.49,3000,1.88
24-Jan-2003,NaN,2.5,2.35,2.35,2000,1.78
27-Jan-2003,NaN,2.21,2.05,2.05,3800,1.55
28-Jan-2003,NaN,2.1,2.1,2.1,1400,1.59
29-Jan-2003,NaN,2.1,2.05,2.1,1500,1.59
30-Jan-2003,NaN,2.09,2.05,2.09,5700,1.58
31-Jan-2003,NaN,3,2.07,2.74,14500,2.07
03-Feb-2003,NaN,2.84,2.75,2.75,1800,2.08
05-Feb-2003,NaN,2.7,2.4,2.4,2500,1.82
06-Feb-2003,NaN,2.61,2.25,2.5,5700,1.89
10-Feb-2003,NaN,2.5,2.5,2.5,2000,1.89
11-Feb-2003,NaN,2.68,2.25,2.25,4000,1.7
12-Feb-2003,NaN,2.25,2.01,2.25,4500,1.7
14-Feb-2003,NaN,2.29,2.13,2.29,1700,1.73
18-Feb-2003,NaN,2.33,2.2,2.2,2100,1.66
19-Feb-2003,NaN,2.3,2.23,2.3,1700,1.74
20-Feb-2003,NaN,2.47,2.3,2.31,3900,1.75
21-Feb-2003,NaN,2.42,2.2,2.28,4200,1.72
24-Feb-2003,NaN,2.29,2.16,2.18,4100,1.65
25-Feb-2003,NaN,2.26,2.25,2.25,1800,1.7
26-Feb-2003,NaN,2.26,2.25,2.25,5400,1.7
28-Feb-2003,NaN,2.2,2.2,2.2,1000,1.66
03-Mar-2003,NaN,2.23,2,2,7800,1.51
04-Mar-2003,NaN,2.14,2.14,2.14,5000,1.62
05-Mar-2003,NaN,2.14,2.14,2.14,2500,1.62
06-Mar-2003,NaN,2.1,2.1,2.1,100,1.59
07-Mar-2003,NaN,2.12,2.1,2.12,1800,1.6
10-Mar-2003,NaN,2.16,2.14,2.16,11600,1.63
11-Mar-2003,NaN,2.18,2.18,2.18,2200,1.65
12-Mar-2003,NaN,2.18,2.18,2.18,3600,1.65
17-Mar-2003,NaN,2.21,1.79,2.16,10200,1.63
18-Mar-2003,NaN,2.05,2.02,2.05,1100,1.55
27-Mar-2003,NaN,2.05,2.05,2.05,200,1.55
01-Apr-2003,NaN,2.07,2.05,2.06,3400,1.58
02-Apr-2003,NaN,2.17,2,2.17,2100,1.67
04-Apr-2003,NaN,2.1,2.1,2.1,1400,1.61
07-Apr-2003,NaN,2.15,2.1,2.1,4900,1.61
08-Apr-2003,NaN,2.1,2,2.02,2200,1.55
09-Apr-2003,NaN,2.02,2,2.02,9200,1.55
10-Apr-2003,NaN,2.05,2.05,2.05,100,1.57
14-Apr-2003,NaN,2.2,2.1,2.1,6900,1.61
15-Apr-2003,NaN,2.1,2.1,2.1,1100,1.61
17-Apr-2003,NaN,2.1,2.1,2.1,1000,1.61
