Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2003,NaN,4.41,4.1,4.4,293149,4.4
03-Jan-2003,NaN,4.73,4.24,4.72,147900,4.72
06-Jan-2003,NaN,5.03,4.5,4.67,369155,4.67
07-Jan-2003,NaN,4.83,4.5,4.56,126754,4.56
08-Jan-2003,NaN,4.61,4.21,4.38,70600,4.38
09-Jan-2003,NaN,4.95,4.31,4.95,472349,4.95
10-Jan-2003,NaN,5.45,4.79,5.25,396919,5.25
13-Jan-2003,NaN,5.39,5.02,5.17,463887,5.17
14-Jan-2003,NaN,5.31,5.09,5.3,169978,5.3
15-Jan-2003,NaN,5.3,5.1,5.15,151023,5.15
16-Jan-2003,NaN,5.18,5.11,5.15,83000,5.15
17-Jan-2003,NaN,5.11,4.67,4.78,142962,4.78
21-Jan-2003,NaN,4.79,4.25,4.3,140500,4.3
22-Jan-2003,NaN,4.58,4.21,4.3,128600,4.3
23-Jan-2003,NaN,4.47,4.2,4.25,138700,4.25
24-Jan-2003,NaN,4.35,4.1,4.1,134500,4.1
27-Jan-2003,NaN,4.24,4.05,4.12,218900,4.12
28-Jan-2003,NaN,4.19,3.89,3.96,256598,3.96
29-Jan-2003,NaN,4.2,3.94,4.1,174507,4.1
30-Jan-2003,NaN,4.34,3.94,3.99,462900,3.99
31-Jan-2003,NaN,5.05,4.45,4.63,857767,4.63
03-Feb-2003,NaN,4.81,4.25,4.47,104370,4.47
04-Feb-2003,NaN,4.55,4.21,4.27,94325,4.27
05-Feb-2003,NaN,4.22,4.08,4.12,47900,4.12
06-Feb-2003,NaN,4.24,4.06,4.06,58100,4.06
07-Feb-2003,NaN,4.25,4.01,4.1,40355,4.1
10-Feb-2003,NaN,4.47,4.05,4.47,47807,4.47
11-Feb-2003,NaN,4.47,4.15,4.21,281260,4.21
12-Feb-2003,NaN,4.47,3.85,3.85,336000,3.85
13-Feb-2003,NaN,4,3.27,3.36,481009,3.36
14-Feb-2003,NaN,3.75,3.24,3.65,231007,3.65
18-Feb-2003,NaN,4,3.53,3.81,109910,3.81
19-Feb-2003,NaN,3.87,3.36,3.6,165850,3.6
20-Feb-2003,NaN,3.7,3.4,3.47,156800,3.47
21-Feb-2003,NaN,3.59,3.32,3.4,184161,3.4
24-Feb-2003,NaN,3.5,3.4,3.44,35700,3.44
25-Feb-2003,NaN,3.57,3.26,3.26,71120,3.26
26-Feb-2003,NaN,3.5,3.26,3.41,21776,3.41
27-Feb-2003,NaN,3.7,3.3,3.42,72200,3.42
28-Feb-2003,NaN,3.7,3.36,3.64,56677,3.64
03-Mar-2003,NaN,3.65,3.38,3.41,47950,3.41
04-Mar-2003,NaN,3.4,3.3,3.32,59731,3.32
05-Mar-2003,NaN,3.44,3.25,3.32,60016,3.32
06-Mar-2003,NaN,3.32,3.1,3.15,244050,3.15
07-Mar-2003,NaN,3.17,3.05,3.07,183546,3.07
10-Mar-2003,NaN,3.2,3.03,3.04,110901,3.04
11-Mar-2003,NaN,3.27,3.01,3.07,130480,3.07
12-Mar-2003,NaN,3.3,3.03,3.24,67025,3.24
13-Mar-2003,NaN,3.37,3.08,3.37,165436,3.37
14-Mar-2003,NaN,3.45,3.31,3.38,187213,3.38
17-Mar-2003,NaN,3.9,3.28,3.89,150216,3.89
18-Mar-2003,NaN,4.25,3.61,4.21,250146,4.21
19-Mar-2003,NaN,5.05,4,4.84,787924,4.84
20-Mar-2003,NaN,4.84,4.45,4.59,251672,4.59
21-Mar-2003,NaN,4.74,4.15,4.3,293849,4.3
24-Mar-2003,NaN,4.38,3.75,3.94,191265,3.94
25-Mar-2003,NaN,4.15,3.93,4.05,141550,4.05
26-Mar-2003,NaN,4.49,4.11,4.45,226004,4.45
27-Mar-2003,NaN,5.15,4.15,4.95,1153051,4.95
28-Mar-2003,NaN,5,4.61,4.86,594910,4.86
31-Mar-2003,NaN,4.79,4.44,4.49,476500,4.49
01-Apr-2003,NaN,4.87,4.51,4.77,245486,4.77
02-Apr-2003,NaN,5.19,4.75,5.17,253690,5.17
03-Apr-2003,NaN,5.85,5,5.76,360516,5.76
04-Apr-2003,NaN,5.95,5.69,5.89,375155,5.89
07-Apr-2003,NaN,6.18,5.73,6,282450,6
08-Apr-2003,NaN,6.3,5.5,5.83,576032,5.83
