Date,Open,High,Low,Close,Volume,AdjClose
07-Jul-2006,45,51,41.82,42.2,115347,33.81
10-Jul-2006,44,44.1,41.03,44.1,36653,35.33
11-Jul-2006,44.11,44.11,43.9,44,56078,35.25
12-Jul-2006,44.25,44.25,44.05,44.25,24130,35.45
13-Jul-2006,44.5,46,43.42,43.85,41334,35.13
14-Jul-2006,43.57,44.25,43,43.5,8060,34.85
17-Jul-2006,44,44,43.49,43.5,7130,34.85
18-Jul-2006,43.75,43.75,42.75,43.05,7488,34.49
19-Jul-2006,43.39,43.5,43,43,17004,34.45
20-Jul-2006,43.22,43.25,43.2,43.2,1416,34.61
21-Jul-2006,43.25,43.9,42.86,42.86,50416,34.34
24-Jul-2006,43.23,46.12,42.7,44.5,2668,35.65
25-Jul-2006,42.98,45,42.98,44,9546,35.25
26-Jul-2006,43.75,44,43,43,3900,34.45
27-Jul-2006,43.25,43.25,43,43,350,34.45
28-Jul-2006,44,44,43.98,43.99,300,35.24
31-Jul-2006,42.75,42.75,41.25,42,9754,33.65
01-Aug-2006,42,44,41.75,42,41499,33.65
02-Aug-2006,42,42.01,41.7,41.7,20396,33.41
03-Aug-2006,41.5,42.49,41.02,42,108193,33.65
04-Aug-2006,42,42.25,41.5,41.5,103399,33.25
07-Aug-2006,41.1,41.5,41,41.35,14566,33.13
08-Aug-2006,41.5,41.5,41,41.2,130900,33.01
09-Aug-2006,41.2,41.2,40.75,40.75,784,32.65
10-Aug-2006,41.14,41.14,40.69,40.69,2390,32.6
11-Aug-2006,40.5,40.5,39.98,40.04,14348,32.08
14-Aug-2006,45,45,39.58,39.9,13401,31.96
15-Aug-2006,39.9,39.9,39.5,39.5,1400,31.64
16-Aug-2006,40,40,38.9,38.9,1500,31.16
17-Aug-2006,40.2,40.2,38.51,39.08,17645,31.31
18-Aug-2006,40,41,39,39.08,9000,31.31
21-Aug-2006,39,39,39,39,800,31.24
22-Aug-2006,41,41,39.25,39.25,600,31.44
23-Aug-2006,40,40,39,39.88,3267,31.95
24-Aug-2006,38.4,38.9,37.01,38,35811,30.44
25-Aug-2006,38,38,37.95,37.95,1000,30.4
28-Aug-2006,37.75,38,37.75,37.9,1600,30.36
29-Aug-2006,39,39,37.9,37.9,3300,30.36
30-Aug-2006,38.99,38.99,37.9,37.9,2500,30.36
31-Aug-2006,37.95,38,36.5,37.83,138792,30.31
01-Sep-2006,38,38.56,37.8,37.8,5804,30.28
05-Sep-2006,37.76,38.44,37.76,38.44,300,30.79
06-Sep-2006,38.03,38.03,38,38,1500,30.44
07-Sep-2006,38,38.1,38,38.03,1508,30.47
08-Sep-2006,38.49,38.87,37.5,37.75,37205,30.24
11-Sep-2006,37.77,37.77,37.5,37.5,1103,30.04
12-Sep-2006,39,39,37.75,37.75,2800,30.24
13-Sep-2006,37.6,37.88,37.41,37.75,18443,30.24
14-Sep-2006,38.48,38.48,37.81,37.97,300,30.42
15-Sep-2006,38.03,38.69,37.56,38.5,41753,30.84
18-Sep-2006,38.72,40,38.72,38.86,152982,31.13
19-Sep-2006,38.85,38.85,38.82,38.82,400,31.1
20-Sep-2006,38.65,38.65,38.35,38.48,56364,30.83
21-Sep-2006,38.99,39.58,38.77,39.18,352385,31.39
22-Sep-2006,39.3,40.63,39.25,39.25,15087,31.44
25-Sep-2006,39.49,39.5,39.1,39.25,184800,31.44
26-Sep-2006,39.75,39.81,39.25,39.3,95556,31.48
27-Sep-2006,39.26,40.25,39.26,40.25,172328,32.24
28-Sep-2006,40,41.72,39.89,41.71,253370,33.41
29-Sep-2006,41.75,44.73,41.75,44.34,154449,35.52
02-Oct-2006,45,45.18,43.6,43.95,49601,35.21
03-Oct-2006,43.51,45.5,43,43.76,66492,35.06
04-Oct-2006,44,44,43,43.5,56848,34.85
05-Oct-2006,43.25,45,43,43.8,427125,35.09
06-Oct-2006,44.73,44.73,43.48,43.66,30583,34.98
09-Oct-2006,43,45.75,43,44.55,10980,35.69
10-Oct-2006,45,46.23,44.68,45.08,199032,36.11
11-Oct-2006,45,45.25,44.52,45,359324,36.05
12-Oct-2006,45,45.5,45,45.19,56549,36.2
13-Oct-2006,45.9,47,45.33,45.5,112970,36.45
16-Oct-2006,45.99,46.54,45.99,46.25,30981,37.05
17-Oct-2006,46.56,46.98,46.17,46.2,24076,37.01
18-Oct-2006,46.34,46.56,46.01,46.56,59746,37.3
19-Oct-2006,46.61,46.61,46.21,46.6,26559,37.33
20-Oct-2006,47,47.1,46.4,46.4,5758,37.17
23-Oct-2006,46.77,46.99,46.02,46.84,62105,37.52
24-Oct-2006,46.84,47.4,46.35,47,128034,37.65
25-Oct-2006,47.5,47.5,47,47.3,23734,37.89
26-Oct-2006,47.08,47.62,47,47.25,52265,37.85
27-Oct-2006,47.81,47.81,47.15,47.25,18835,37.85
30-Oct-2006,47.59,48,47.17,47.45,26511,38.01
31-Oct-2006,47.95,47.95,46.7,47.24,55472,37.84
01-Nov-2006,48,48,47.51,47.7,92953,38.21
02-Nov-2006,48,48.04,47.3,47.56,83427,38.1
03-Nov-2006,48.04,48.16,47.3,48.16,46783,38.58
06-Nov-2006,47.85,48.38,47.85,48.25,99195,38.65
07-Nov-2006,48.77,48.77,48.25,48.75,192562,39.05
08-Nov-2006,49,49,48.53,48.75,43515,39.05
09-Nov-2006,49.23,49.23,48.43,48.49,15491,38.85
10-Nov-2006,49.5,49.5,48.57,48.75,13760,39.05
13-Nov-2006,48.91,49,48.81,48.94,4255,39.21
14-Nov-2006,49.31,50.56,48.7,50.25,148113,40.26
15-Nov-2006,50.25,50.39,49,49.25,250794,39.45
16-Nov-2006,50,50,49.4,49.6,57797,39.73
17-Nov-2006,49.56,49.6,49.29,49.6,28612,39.73
20-Nov-2006,50.12,50.12,49.45,49.6,91556,39.73
21-Nov-2006,50,50.85,49.74,50.85,458498,40.74
22-Nov-2006,50.9,54.5,50.9,53.9,356231,43.18
24-Nov-2006,55,55.06,54.4,54.76,22417,43.87
27-Nov-2006,55.1,55.1,54.3,54.35,87280,43.54
28-Nov-2006,54.35,54.82,53.7,54.5,21304,43.66
29-Nov-2006,54.55,57.33,54.55,56.99,105992,45.66
30-Nov-2006,56.53,57,55.95,57,65226,45.66
01-Dec-2006,56.64,56.87,56.55,56.6,19353,45.34
04-Dec-2006,56.68,56.68,55.57,56.5,17745,45.26
05-Dec-2006,56.25,56.25,55.78,55.9,43422,44.78
06-Dec-2006,55.57,57.05,55.57,57.05,132066,45.7
07-Dec-2006,57.3,57.32,56.76,57.32,18624,45.92
08-Dec-2006,56,60.4,56,59.6,62293,47.75
11-Dec-2006,59.6,62.03,59.6,61.99,54599,49.66
12-Dec-2006,62.1,62.25,60.01,61.8,19893,49.51
13-Dec-2006,62.21,62.21,61.01,61.01,7071,48.88
14-Dec-2006,61.21,62.85,61,61.46,149859,49.24
15-Dec-2006,63,63,61.77,62,41312,49.67
18-Dec-2006,62,62,61.71,61.73,2557,49.45
19-Dec-2006,61.65,61.65,60.15,60.15,29517,48.19
20-Dec-2006,60.02,60.83,59.25,59.28,61651,47.49
21-Dec-2006,59.13,59.13,57,57.02,12825,45.68
22-Dec-2006,56.9,57.12,55.57,55.71,10800,44.63
26-Dec-2006,55,55,54.25,54.75,14145,43.86
27-Dec-2006,54.42,56.5,54.42,56.4,30875,45.18
28-Dec-2006,55.65,56.68,55.65,56.54,10878,45.29
29-Dec-2006,56.38,56.96,55.6,55.98,28356,44.85
03-Jan-2007,58.98,58.99,57.31,58.49,14553,46.86
04-Jan-2007,58.5,58.9,58.5,58.68,36068,47.01
05-Jan-2007,57.79,58.33,57.79,58.15,24476,46.58
08-Jan-2007,58.01,58.01,57.18,57.6,13064,46.14
