Date,Open,High,Low,Close,Volume,AdjClose
15-Apr-1992,0,2.62,2.44,2.5,502000,2.5
16-Apr-1992,0,2.69,2.62,2.69,13600,2.69
20-Apr-1992,0,2.62,2.5,2.62,41200,2.62
21-Apr-1992,0,2.62,2.44,2.56,182400,2.56
22-Apr-1992,0,2.56,2.44,2.56,48000,2.56
23-Apr-1992,0,2.56,2.44,2.44,136000,2.44
24-Apr-1992,0,2.56,2.44,2.56,138000,2.56
27-Apr-1992,0,2.56,2.56,2.56,400,2.56
28-Apr-1992,0,2.5,2.44,2.44,40000,2.44
29-Apr-1992,0,2.47,2.44,2.47,16800,2.47
30-Apr-1992,0,2.56,2.44,2.56,6800,2.56
01-May-1992,0,2.5,2.41,2.5,120400,2.5
04-May-1992,0,2.62,2.5,2.56,241200,2.56
05-May-1992,0,2.62,2.53,2.59,4800,2.59
06-May-1992,0,2.62,2.53,2.59,320400,2.59
07-May-1992,NaN,NaN,NaN,2.59,0,2.59
08-May-1992,0,2.62,2.5,2.62,10400,2.62
11-May-1992,0,2.62,2.5,2.5,82800,2.5
12-May-1992,0,2.62,2.5,2.53,18000,2.53
13-May-1992,0,2.62,2.5,2.53,285600,2.53
14-May-1992,0,2.5,2.5,2.5,1600,2.5
15-May-1992,0,2.62,2.44,2.44,27200,2.44
18-May-1992,NaN,NaN,NaN,2.44,0,2.44
19-May-1992,NaN,NaN,NaN,2.44,0,2.44
20-May-1992,NaN,NaN,NaN,2.44,0,2.44
21-May-1992,0,2.62,2.44,2.5,23600,2.5
22-May-1992,0,2.62,2.56,2.62,24000,2.62
26-May-1992,0,2.56,2.44,2.5,37200,2.5
27-May-1992,0,2.56,2.5,2.56,39600,2.56
28-May-1992,0,2.56,2.44,2.56,43600,2.56
29-May-1992,0,2.56,2.44,2.44,84000,2.44
01-Jun-1992,0,2.44,2.44,2.44,220000,2.44
02-Jun-1992,0,2.56,2.56,2.56,400,2.56
03-Jun-1992,NaN,NaN,NaN,2.56,0,2.56
04-Jun-1992,NaN,NaN,NaN,2.56,0,2.56
05-Jun-1992,0,2.56,2.56,2.56,4400,2.56
08-Jun-1992,0,2.56,2.56,2.56,400,2.56
09-Jun-1992,0,2.56,2.56,2.56,2000,2.56
10-Jun-1992,0,2.56,2.56,2.56,4800,2.56
11-Jun-1992,0,2.56,2.44,2.5,196400,2.5
12-Jun-1992,0,2.56,2.5,2.53,200000,2.53
15-Jun-1992,0,2.53,2.5,2.5,176000,2.5
16-Jun-1992,0,2.62,2.62,2.62,800,2.62
17-Jun-1992,0,2.44,2.44,2.44,4000,2.44
18-Jun-1992,0,2.56,2.44,2.56,7200,2.56
19-Jun-1992,0,2.56,2.56,2.56,2400,2.56
22-Jun-1992,NaN,NaN,NaN,2.56,0,2.56
23-Jun-1992,NaN,NaN,NaN,2.56,0,2.56
24-Jun-1992,NaN,NaN,NaN,2.56,0,2.56
25-Jun-1992,0,2.38,2.38,2.38,12000,2.38
26-Jun-1992,0,2.38,2.38,2.38,2000,2.38
29-Jun-1992,0,2.56,2.56,2.56,1600,2.56
30-Jun-1992,0,2.38,2.38,2.38,40000,2.38
01-Jul-1992,0,2.56,2.38,2.38,40400,2.38
02-Jul-1992,0,2.56,2.56,2.56,1600,2.56
06-Jul-1992,0,2.38,2.38,2.38,20000,2.38
07-Jul-1992,0,2.56,2.56,2.56,400,2.56
08-Jul-1992,0,2.5,2.38,2.38,36800,2.38
09-Jul-1992,NaN,NaN,NaN,2.38,0,2.38
10-Jul-1992,NaN,NaN,NaN,2.38,0,2.38
13-Jul-1992,0,2.5,2.38,2.5,22000,2.5
14-Jul-1992,0,2.5,2.44,2.5,496000,2.5
15-Jul-1992,0,2.53,2.53,2.53,1200,2.53
16-Jul-1992,NaN,NaN,NaN,2.53,0,2.53
17-Jul-1992,0,2.38,2.38,2.38,40000,2.38
