Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.84,2.66,2.66,11400,1.06
04-Jan-1978,0,2.88,2.72,2.72,12000,1.08
05-Jan-1978,0,3,2.84,2.84,53400,1.13
06-Jan-1978,0,3.03,2.88,2.88,15000,1.14
09-Jan-1978,0,3,2.84,2.84,14400,1.13
10-Jan-1978,0,3.03,2.88,2.88,14400,1.14
11-Jan-1978,0,3.09,2.91,2.91,36000,1.15
12-Jan-1978,0,3.12,2.97,2.97,6000,1.18
13-Jan-1978,0,3.16,3,3,10800,1.19
16-Jan-1978,0,3.12,2.97,2.97,12600,1.18
17-Jan-1978,0,3.16,3,3,11400,1.19
18-Jan-1978,0,3.16,3,3,28800,1.19
19-Jan-1978,0,3.16,3,3,6600,1.19
20-Jan-1978,0,3.16,3,3,600,1.19
23-Jan-1978,0,3.16,3,3,3000,1.19
24-Jan-1978,0,3.16,3,3,1200,1.19
25-Jan-1978,0,3.16,3,3,7200,1.19
26-Jan-1978,0,3.16,3,3,13200,1.19
27-Jan-1978,0,3.16,3,3,1200,1.19
30-Jan-1978,0,3.16,3,3,27600,1.19
31-Jan-1978,0,3.16,3,3,14400,1.19
01-Feb-1978,NaN,NaN,NaN,3,0,1.19
02-Feb-1978,0,3.22,3.03,3.03,6000,1.2
03-Feb-1978,0,3.16,3,3,9000,1.19
06-Feb-1978,NaN,NaN,NaN,3,0,1.19
07-Feb-1978,0,3.22,3.03,3.03,18000,1.2
08-Feb-1978,0,3.25,3.09,3.09,57600,1.23
09-Feb-1978,0,3.25,3.09,3.09,7200,1.23
10-Feb-1978,0,3.25,3.09,3.09,16200,1.23
13-Feb-1978,0,3.22,3.03,3.03,9600,1.2
14-Feb-1978,0,3.22,3.03,3.03,1200,1.2
15-Feb-1978,0,3.22,3.03,3.03,16800,1.2
16-Feb-1978,0,3.22,3.03,3.03,15600,1.2
17-Feb-1978,0,3.22,3.03,3.03,27600,1.2
21-Feb-1978,NaN,NaN,NaN,3.03,0,1.2
22-Feb-1978,0,3.22,3.03,3.03,30600,1.2
23-Feb-1978,0,3.22,3.03,3.03,28800,1.2
24-Feb-1978,0,3.22,3.03,3.03,3600,1.2
27-Feb-1978,0,3.22,3.03,3.03,1200,1.2
28-Feb-1978,0,3.22,3.03,3.03,6000,1.2
01-Mar-1978,0,3.22,3.03,3.03,9600,1.2
02-Mar-1978,0,3.22,3.03,3.03,6000,1.2
03-Mar-1978,0,3.22,3.03,3.03,7200,1.2
06-Mar-1978,0,3.22,3.03,3.03,4200,1.2
07-Mar-1978,0,3.25,3.09,3.09,47400,1.23
08-Mar-1978,0,3.25,3.09,3.09,2400,1.23
09-Mar-1978,0,3.22,3.03,3.03,13800,1.2
10-Mar-1978,0,3.22,3.03,3.03,1200,1.2
13-Mar-1978,0,3.16,3,3,1800,1.19
14-Mar-1978,0,3.16,3,3,7800,1.19
15-Mar-1978,0,3.16,3,3,7200,1.19
16-Mar-1978,0,3.16,3,3,600,1.19
17-Mar-1978,0,3.22,3.03,3.03,6600,1.2
20-Mar-1978,0,3.22,3.03,3.03,1200,1.2
21-Mar-1978,0,3.16,3,3,6000,1.19
22-Mar-1978,NaN,NaN,NaN,2.97,0,1.18
23-Mar-1978,0,3.12,2.97,2.97,600,1.18
27-Mar-1978,0,3.12,2.97,2.97,4200,1.18
28-Mar-1978,0,3.03,2.88,2.88,63600,1.14
29-Mar-1978,0,3,2.84,2.84,15000,1.13
30-Mar-1978,0,3,2.84,2.84,1200,1.13
31-Mar-1978,0,3,2.84,2.84,37200,1.13
03-Apr-1978,0,3,2.84,2.84,8400,1.13
04-Apr-1978,0,3,2.84,2.84,600,1.13
05-Apr-1978,0,3,2.84,2.84,13200,1.13
06-Apr-1978,0,3.25,3.09,3.09,38400,1.23
07-Apr-1978,0,3.5,3.34,3.34,72000,1.33
10-Apr-1978,0,3.47,3.28,3.28,13200,1.3
11-Apr-1978,0,3.53,3.38,3.38,51000,1.34
12-Apr-1978,0,3.62,3.47,3.47,42000,1.38
13-Apr-1978,0,3.78,3.62,3.62,34200,1.44
14-Apr-1978,0,3.78,3.62,3.62,16800,1.44
17-Apr-1978,0,3.72,3.53,3.53,21000,1.4
18-Apr-1978,0,3.66,3.5,3.5,18000,1.39
19-Apr-1978,0,3.66,3.5,3.5,7800,1.39
20-Apr-1978,0,3.66,3.5,3.5,22800,1.39
21-Apr-1978,0,3.66,3.5,3.5,7200,1.39
24-Apr-1978,0,3.62,3.47,3.47,7800,1.38
25-Apr-1978,0,3.62,3.47,3.47,8400,1.38
26-Apr-1978,0,3.62,3.47,3.47,2400,1.38
27-Apr-1978,0,3.66,3.5,3.5,6600,1.39
28-Apr-1978,0,3.62,3.47,3.47,1200,1.38
01-May-1978,0,3.62,3.47,3.47,7200,1.38
02-May-1978,0,3.59,3.41,3.41,78600,1.35
03-May-1978,0,4.03,3.88,3.88,76200,1.54
04-May-1978,0,4.03,3.88,3.88,15600,1.54
05-May-1978,0,4.09,3.91,3.91,10800,1.55
08-May-1978,0,4.09,3.91,3.91,3600,1.55
