Date,Open,High,Low,Close,Volume,AdjClose
23-Dec-1987,0,4.66,4.56,4.66,2800,1.52
24-Dec-1987,0,4.75,4.72,4.75,2000,1.55
28-Dec-1987,NaN,NaN,NaN,4.75,0,1.55
29-Dec-1987,0,4.81,4.81,4.81,400,1.57
30-Dec-1987,NaN,NaN,NaN,4.81,0,1.57
31-Dec-1987,NaN,NaN,NaN,4.81,0,1.57
04-Jan-1988,NaN,NaN,NaN,4.81,0,1.57
05-Jan-1988,0,4.91,4.88,4.91,2000,1.61
06-Jan-1988,0,5.31,4.97,5.28,12000,1.73
07-Jan-1988,0,5.88,5.34,5.88,13600,1.92
08-Jan-1988,0,5.88,5.78,5.78,6800,1.89
11-Jan-1988,0,5.81,5.78,5.78,1600,1.89
12-Jan-1988,0,5.75,5.69,5.69,4000,1.86
13-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
14-Jan-1988,0,5.66,5.66,5.66,400,1.85
15-Jan-1988,0,5.69,5.69,5.69,400,1.86
18-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
19-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
20-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
21-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
22-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
25-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
26-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
27-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
28-Jan-1988,NaN,NaN,NaN,5.69,0,1.86
29-Jan-1988,0,5.75,5.75,5.75,800,1.88
01-Feb-1988,0,5.94,5.81,5.94,5600,1.94
02-Feb-1988,NaN,NaN,NaN,5.94,0,1.94
03-Feb-1988,NaN,NaN,NaN,5.94,0,1.94
04-Feb-1988,0,6,6,6,400,1.96
05-Feb-1988,0,6.09,6.06,6.09,1600,1.99
08-Feb-1988,0,6.12,6.12,6.12,2000,2
09-Feb-1988,0,6.06,6.06,6.06,400,1.98
10-Feb-1988,0,5.94,5.94,5.94,22800,1.94
