Date,Open,High,Low,Close,Volume,AdjClose
01-Jul-2009,20,20.98,19.51,20.02,7479009,19.57
02-Jul-2009,19.69,20.48,19.58,20.09,1199759,19.64
06-Jul-2009,20,20.23,19.52,19.68,548231,19.24
07-Jul-2009,19.89,20,19.26,19.32,427935,18.89
08-Jul-2009,19.41,19.49,18.8,19.05,402999,18.62
09-Jul-2009,19.31,19.31,18.8,19,170400,18.57
10-Jul-2009,19.04,19.04,18.14,18.36,314347,17.95
13-Jul-2009,18.49,19.54,18.3,19.45,270372,19.01
14-Jul-2009,19.62,19.94,19.02,19.41,88758,18.97
15-Jul-2009,19.78,20.19,19.66,19.91,236407,19.46
16-Jul-2009,19.97,20,19.7,19.78,88211,19.34
17-Jul-2009,19.88,20.69,19.71,20.09,303798,19.64
20-Jul-2009,20.08,20.44,19.79,20.23,186211,19.78
21-Jul-2009,20.22,20.39,19.88,20.14,106015,19.69
22-Jul-2009,19.92,20.57,19.9,20.2,94838,19.75
23-Jul-2009,20.1,20.39,18.87,19.5,351070,19.06
24-Jul-2009,19.22,20,19.16,19.26,59700,18.83
27-Jul-2009,19.4,19.45,18.75,19.29,80302,18.86
28-Jul-2009,19.3,19.8,19.3,19.48,173712,19.04
29-Jul-2009,19.42,19.95,19.42,19.9,104471,19.45
30-Jul-2009,20.1,20.99,19.89,20.32,321549,19.86
31-Jul-2009,20.34,20.62,19.22,19.51,244807,19.07
03-Aug-2009,19.54,20,19.54,19.73,58961,19.29
04-Aug-2009,19.75,19.83,19.55,19.7,46796,19.26
05-Aug-2009,19.73,20.01,19.51,19.73,103706,19.29
06-Aug-2009,20.25,20.46,18,19.03,330907,18.6
07-Aug-2009,19.41,19.41,17.8,17.92,166430,17.52
10-Aug-2009,18.43,18.5,16.44,16.58,563125,16.21
11-Aug-2009,16.6,17.9,16.57,17.74,603331,17.34
12-Aug-2009,18.04,18.49,17.3,17.41,295465,17.02
13-Aug-2009,17.62,18.21,17.4,17.86,357460,17.46
14-Aug-2009,17.99,18.05,17.58,17.73,181856,17.33
17-Aug-2009,17.43,17.62,16.6,16.75,101339,16.37
18-Aug-2009,16.77,17.02,15.17,15.47,568781,15.12
19-Aug-2009,15.23,15.81,15.23,15.5,170050,15.15
20-Aug-2009,16.54,17.39,16.45,17.3,480591,16.91
21-Aug-2009,17.42,17.57,17.21,17.48,81708,17.09
24-Aug-2009,17.58,17.58,16.61,16.76,224451,16.38
25-Aug-2009,16.71,16.71,16.04,16.3,95945,15.93
26-Aug-2009,16.15,16.75,16.1,16.43,93480,16.06
27-Aug-2009,16.39,17.21,16.01,17.17,53505,16.78
28-Aug-2009,17.3,17.49,16.9,17,20248,16.62
31-Aug-2009,16.99,16.99,15.63,16.3,80362,15.93
01-Sep-2009,16.25,16.67,15.77,15.78,93790,15.43
02-Sep-2009,15.84,16.12,15.15,15.43,192006,15.08
03-Sep-2009,15.69,15.72,15.2,15.51,108471,15.16
04-Sep-2009,15.66,16.54,15.57,16.47,50961,16.1
08-Sep-2009,16.5,16.78,16.19,16.53,24301,16.16
09-Sep-2009,16.59,16.99,16.51,16.93,58121,16.55
10-Sep-2009,16.89,17.27,16.77,17.13,123586,16.75
11-Sep-2009,17.12,17.12,16.52,16.77,149176,16.39
14-Sep-2009,16.75,16.97,15.55,16.14,280656,15.78
15-Sep-2009,16.19,16.88,16.02,16.07,129331,15.71
16-Sep-2009,16.88,16.96,16.23,16.92,153808,16.54
17-Sep-2009,16.75,17.41,16.75,16.9,140550,16.52
18-Sep-2009,17.04,17.36,16.81,16.96,101944,16.58
21-Sep-2009,16.94,17.75,16.92,17.42,99041,17.03
22-Sep-2009,17.7,17.99,17.52,17.85,145987,17.45
23-Sep-2009,17.99,17.99,17.57,17.87,63846,17.47
24-Sep-2009,17.79,17.92,17.66,17.71,94941,17.31
25-Sep-2009,17.91,17.99,17.36,17.76,87362,17.36
28-Sep-2009,17.95,18.4,17.86,18,162578,17.6
29-Sep-2009,18.19,18.96,17.94,18.61,282774,18.19
30-Sep-2009,18.5,19,17.72,18.31,1197538,17.9
01-Oct-2009,18.05,18.81,17.9,18.49,178661,18.08
02-Oct-2009,18.15,18.85,18.09,18.55,72804,18.13
05-Oct-2009,18.7,19,18.48,18.57,79767,18.15
06-Oct-2009,18.6,18.72,18.4,18.59,38227,18.17
07-Oct-2009,18.45,19.17,18.25,19.15,99127,18.72
08-Oct-2009,19.2,19.82,18.88,19.61,96014,19.17
09-Oct-2009,19.78,20.11,19.77,20,107488,19.55
12-Oct-2009,20.21,20.25,18.67,18.83,120875,18.41
13-Oct-2009,18.94,19.59,18.5,19.22,66319,18.79
14-Oct-2009,19.77,20.83,19.44,19.49,196071,19.05
15-Oct-2009,19.56,19.83,19.1,19.24,61806,18.81
16-Oct-2009,19.32,19.53,19.15,19.21,107650,18.78
19-Oct-2009,19.36,21.25,19.32,20.89,154949,20.42
20-Oct-2009,20.88,21.33,20.53,21.25,96736,20.77
21-Oct-2009,21.2,22.03,21.2,21.96,167922,21.47
22-Oct-2009,22.09,22.17,21.34,22.16,102964,21.66
23-Oct-2009,22.23,23.49,21.6,22.52,215244,22.01
26-Oct-2009,22.7,23.5,22.21,22.71,152312,22.2
27-Oct-2009,22.65,22.81,20.04,20.11,185921,19.66
28-Oct-2009,20.14,20.6,18.77,19.67,353049,19.23
29-Oct-2009,19.77,20.7,19.1,20.64,235892,20.18
30-Oct-2009,20.42,20.74,20.02,20.1,169895,19.65
02-Nov-2009,20.33,20.64,19.94,20.58,111571,20.12
03-Nov-2009,20.3,20.72,20.05,20.7,39481,20.24
04-Nov-2009,20.65,20.79,19.85,19.9,182742,19.45
05-Nov-2009,19.99,20.2,19.76,20.02,66095,19.57
06-Nov-2009,19.4,19.62,19.2,19.27,98573,18.84
09-Nov-2009,19.41,20.15,19.31,19.58,30525,19.14
10-Nov-2009,19.37,20.61,19.37,19.49,73316,19.05
11-Nov-2009,19.77,19.8,19.51,19.8,42753,19.36
12-Nov-2009,19.6,19.75,19.3,19.4,69027,18.96
13-Nov-2009,19.55,19.72,19.47,19.67,22386,19.23
16-Nov-2009,19.8,19.8,19.41,19.71,81895,19.27
17-Nov-2009,19.54,19.75,19.35,19.75,23028,19.31
18-Nov-2009,19.8,19.8,19.02,19.68,27482,19.24
19-Nov-2009,19.45,19.68,18.95,19.49,86652,19.05
20-Nov-2009,17.79,18.2,17.36,17.55,2229417,17.16
23-Nov-2009,17.84,17.89,17.51,17.58,202615,17.19
24-Nov-2009,17.65,17.65,16.91,16.96,193661,16.58
25-Nov-2009,16.96,17.2,16.96,17.05,95329,16.67
27-Nov-2009,16.77,17.66,16.59,16.69,41073,16.32
30-Nov-2009,16.74,17.96,16.73,17.83,209765,17.43
01-Dec-2009,18.06,18.18,17.55,17.73,248158,17.33
02-Dec-2009,17.67,17.99,17.39,17.64,149647,17.24
03-Dec-2009,17.76,17.85,17.28,17.36,111845,16.97
04-Dec-2009,17.57,18.11,17.44,18.02,130110,17.62
07-Dec-2009,18.11,18.46,17.81,18.19,106715,17.78
08-Dec-2009,18.15,18.43,17.92,18.17,292457,17.76
09-Dec-2009,18.15,18.79,18.15,18.51,184800,18.09
10-Dec-2009,18.68,18.87,18.5,18.87,170143,18.45
11-Dec-2009,18.92,20.08,18.68,19.97,286385,19.52
14-Dec-2009,20.07,20.29,19.56,19.93,87791,19.48
15-Dec-2009,19.81,21.02,19.71,20.97,256097,20.5
16-Dec-2009,20.88,21.31,20.83,21.01,127025,20.54
17-Dec-2009,20.93,21.21,20.87,20.97,90394,20.5
18-Dec-2009,21.02,21.29,19.96,20.6,383111,20.14
21-Dec-2009,20.65,21.05,20.22,20.32,113066,19.86
22-Dec-2009,20.2,20.45,19.45,19.96,176788,19.51
23-Dec-2009,19.96,20.1,19.46,19.77,59911,19.33
24-Dec-2009,19.72,20.14,19.49,19.7,47889,19.26
28-Dec-2009,19.8,20.1,19.26,19.92,133535,19.47
29-Dec-2009,20,20.2,19.77,20,47082,19.55
30-Dec-2009,19.82,20.25,19.82,20,75277,19.55
31-Dec-2009,19.9,20,19.68,19.95,77448,19.5
04-Jan-2010,19.97,20.8,19.97,20.38,55495,19.92
05-Jan-2010,20.33,20.72,20.22,20.29,89206,19.83
06-Jan-2010,20.25,20.48,20.25,20.44,40384,19.98
07-Jan-2010,20.56,20.9,19.91,20.19,62548,19.74
08-Jan-2010,20.1,20.56,20.1,20.27,34124,19.82
11-Jan-2010,20.43,20.5,19.89,19.9,67008,19.45
12-Jan-2010,19.94,20.27,19.39,19.71,63494,19.27
13-Jan-2010,19.73,20.4,19.63,20.39,61955,19.93
14-Jan-2010,20.42,20.65,20.15,20.54,31926,20.08
15-Jan-2010,20.54,21.05,19.98,20.12,117623,19.67
19-Jan-2010,20.22,20.97,19.84,20.93,37658,20.46
20-Jan-2010,20.68,20.8,19.48,20.61,138146,20.15
21-Jan-2010,20.65,20.65,19.83,19.83,55200,19.39
22-Jan-2010,19.81,20.33,18.87,19.1,103592,18.67
25-Jan-2010,19.26,19.26,18.69,18.85,31764,18.43
26-Jan-2010,18.86,18.92,18.2,18.37,65830,17.96
27-Jan-2010,18.32,18.81,18,18.02,108559,17.62
28-Jan-2010,18.08,18.09,17.63,17.74,48142,17.34
29-Jan-2010,17.74,17.92,16.95,16.95,244845,16.57
01-Feb-2010,16.97,17.27,16.84,17.24,103672,16.85
02-Feb-2010,17.3,17.55,16.86,17.37,113976,16.98
03-Feb-2010,17.27,17.85,17.23,17.68,40032,17.28
04-Feb-2010,17.41,17.82,17.4,17.54,51730,17.15
05-Feb-2010,17.47,17.56,17.06,17.5,40433,17.11
08-Feb-2010,17.48,17.61,16.95,16.98,75889,16.6
09-Feb-2010,17.09,17.27,16.71,17.04,231090,16.66
10-Feb-2010,17,17.54,16.9,17.49,71066,17.1
11-Feb-2010,17.35,17.5,17.11,17.48,33530,17.09
12-Feb-2010,17.25,17.56,17.25,17.52,41826,17.13
16-Feb-2010,17.58,17.75,17.41,17.59,88461,17.2
17-Feb-2010,17.6,18.03,17.46,17.76,165291,17.36
18-Feb-2010,18.59,19.4,18.49,19.09,358033,18.66
