Date,Open,High,Low,Close,Volume,AdjClose
20-Jul-1994,0,4,3.56,3.62,594400,2.98
21-Jul-1994,0,3.75,3.56,3.73,122800,3.07
22-Jul-1994,0,3.81,3.69,3.69,122800,3.04
25-Jul-1994,0,3.81,3.69,3.75,55600,3.09
26-Jul-1994,0,3.88,3.69,3.69,28000,3.04
27-Jul-1994,0,4,3.75,3.81,92400,3.14
28-Jul-1994,0,4.06,3.81,3.88,23200,3.19
29-Jul-1994,0,4.06,3.81,3.88,36000,3.19
01-Aug-1994,0,4.06,3.81,4.06,51200,3.34
02-Aug-1994,0,4.06,3.88,4.06,11200,3.34
03-Aug-1994,0,4.12,3.88,3.94,106400,3.24
04-Aug-1994,0,4.06,3.94,3.94,79600,3.24
05-Aug-1994,0,4.06,3.88,3.88,12800,3.19
08-Aug-1994,0,4.06,3.88,3.88,22400,3.19
09-Aug-1994,0,4,3.88,4,14800,3.29
10-Aug-1994,0,4,3.75,3.75,116800,3.09
11-Aug-1994,0,4,3.75,3.81,23200,3.14
12-Aug-1994,0,3.94,3.75,3.94,20400,3.24
15-Aug-1994,0,3.94,3.75,3.78,13200,3.11
16-Aug-1994,0,3.94,3.75,3.75,9200,3.09
17-Aug-1994,0,3.94,3.75,3.94,23600,3.24
18-Aug-1994,0,3.94,3.81,3.81,5600,3.14
19-Aug-1994,0,4,3.81,3.88,2800,3.19
22-Aug-1994,0,4,3.75,3.88,38800,3.19
23-Aug-1994,0,4,3.75,3.75,50400,3.09
24-Aug-1994,0,4.03,3.75,4.03,124000,3.32
25-Aug-1994,0,4.12,3.94,4.12,5600,3.39
26-Aug-1994,0,4.12,3.94,3.94,10800,3.24
29-Aug-1994,0,4.06,3.88,4.06,27200,3.34
30-Aug-1994,0,4.06,3.81,3.81,38800,3.14
31-Aug-1994,0,4,3.88,3.94,47600,3.24
01-Sep-1994,0,4,4,4,1200,3.29
02-Sep-1994,0,3.75,3.75,3.75,2000,3.09
06-Sep-1994,0,3.75,3.75,3.75,400,3.09
07-Sep-1994,0,4,3.75,3.75,22800,3.09
08-Sep-1994,0,3.88,3.75,3.88,6800,3.19
09-Sep-1994,0,3.94,3.75,3.75,22800,3.09
12-Sep-1994,0,3.75,3.75,3.75,3200,3.09
13-Sep-1994,0,3.94,3.75,3.94,12800,3.24
14-Sep-1994,0,3.94,3.81,3.81,11600,3.14
15-Sep-1994,0,3.91,3.81,3.81,13200,3.14
16-Sep-1994,0,3.75,3.75,3.75,12400,3.09
19-Sep-1994,0,3.91,3.75,3.75,12000,3.09
20-Sep-1994,0,3.94,3.75,3.94,14000,3.24
21-Sep-1994,0,3.94,3.75,3.75,13200,3.09
22-Sep-1994,0,3.94,3.75,3.78,24400,3.11
23-Sep-1994,0,3.88,3.69,3.69,35600,3.04
26-Sep-1994,0,3.78,3.69,3.78,7600,3.12
27-Sep-1994,0,3.69,3.69,3.69,2400,3.05
28-Sep-1994,0,3.88,3.69,3.69,9200,3.05
29-Sep-1994,0,3.88,3.69,3.69,42800,3.05
30-Sep-1994,0,3.88,3.75,3.78,29600,3.12
03-Oct-1994,0,3.88,3.69,3.69,26800,3.05
04-Oct-1994,0,3.75,3.69,3.69,17600,3.05
05-Oct-1994,0,3.88,3.69,3.81,27600,3.15
06-Oct-1994,0,3.69,3.69,3.69,2800,3.05
07-Oct-1994,0,3.69,3.69,3.69,6000,3.05
10-Oct-1994,0,3.69,3.69,3.69,2000,3.05
11-Oct-1994,0,3.78,3.69,3.69,5600,3.05
12-Oct-1994,0,3.69,3.69,3.69,10400,3.05
13-Oct-1994,0,3.81,3.62,3.62,60800,2.99
14-Oct-1994,0,3.62,3.62,3.62,4400,2.99
17-Oct-1994,0,3.81,3.75,3.75,1200,3.1
18-Oct-1994,0,3.69,3.62,3.62,4400,2.99
19-Oct-1994,0,3.75,3.62,3.69,95200,3.05
20-Oct-1994,0,3.62,3.62,3.62,26800,2.99
21-Oct-1994,0,3.75,3.62,3.75,9600,3.1
24-Oct-1994,0,3.69,3.62,3.69,7200,3.05
25-Oct-1994,0,3.75,3.62,3.75,2000,3.1
26-Oct-1994,0,3.62,3.62,3.62,6000,2.99
27-Oct-1994,0,3.75,3.62,3.62,11200,2.99
28-Oct-1994,0,3.75,3.62,3.72,10800,3.07
31-Oct-1994,0,3.81,3.62,3.81,17200,3.15
01-Nov-1994,0,3.81,3.62,3.75,92000,3.1
02-Nov-1994,0,3.62,3.62,3.62,400,2.99
03-Nov-1994,0,3.72,3.62,3.72,26000,3.07
04-Nov-1994,0,3.62,3.62,3.62,2000,2.99
07-Nov-1994,NaN,NaN,NaN,3.62,0,2.99
08-Nov-1994,0,3.81,3.62,3.62,1600,2.99
09-Nov-1994,0,3.69,3.62,3.62,25600,2.99
10-Nov-1994,0,3.88,3.62,3.62,4400,2.99
11-Nov-1994,0,3.75,3.62,3.75,9600,3.1
14-Nov-1994,0,3.66,3.62,3.62,11600,2.99
15-Nov-1994,0,3.88,3.62,3.88,21600,3.21
16-Nov-1994,0,3.81,3.62,3.62,8000,2.99
17-Nov-1994,0,3.75,3.62,3.66,80400,3.02
18-Nov-1994,0,3.88,3.62,3.81,106000,3.15
21-Nov-1994,0,3.88,3.69,3.78,40000,3.12
22-Nov-1994,0,3.81,3.69,3.69,13200,3.05
23-Nov-1994,0,3.69,3.69,3.69,6800,3.05
25-Nov-1994,0,3.69,3.69,3.69,2000,3.05
28-Nov-1994,0,3.69,3.66,3.66,17200,3.02
29-Nov-1994,0,3.75,3.66,3.75,2800,3.1
