Date,Open,High,Low,Close,Volume,AdjClose
01-Oct-2008,44,45.22,42.51,45.1,346285,39.83
02-Oct-2008,45,45.64,42.21,42.67,331734,37.68
03-Oct-2008,42.95,44.26,41.49,41.79,322249,36.91
06-Oct-2008,41.45,41.79,37.37,39.23,371029,34.65
07-Oct-2008,38.9,40.03,37.95,37.95,328062,33.51
08-Oct-2008,37.5,39,36.45,37.89,334780,33.46
09-Oct-2008,36.75,38.85,34.55,34.85,324905,30.78
10-Oct-2008,33.25,37.8,32.25,37.5,566246,33.12
13-Oct-2008,39.21,40.48,37.75,40.2,1313080,35.5
14-Oct-2008,40.5,41.2,39.08,40,311938,35.33
15-Oct-2008,39.6,39.8,37.26,37.26,284433,32.91
16-Oct-2008,37.39,38.69,35.56,38.5,408862,34
17-Oct-2008,37.55,38.75,35.29,35.45,497041,31.31
20-Oct-2008,35.1,37.58,35.1,37.58,270395,33.19
21-Oct-2008,36.5,37.02,35.62,35.93,455366,31.73
22-Oct-2008,34.63,34.86,33.03,33.86,384303,29.9
23-Oct-2008,34.27,35.91,31.49,32.06,533720,28.31
24-Oct-2008,30.5,30.65,25.32,28.5,1606191,25.17
27-Oct-2008,26,28.65,25.82,27.1,610779,23.93
28-Oct-2008,28,28.2,26.25,27.33,871917,24.14
29-Oct-2008,27,30.19,26.88,28.89,367899,25.51
30-Oct-2008,29.5,30.99,29.49,30.85,430240,27.24
31-Oct-2008,31.35,32.52,30.35,31.9,528449,28.17
03-Nov-2008,31.72,32.7,31.55,32.1,206513,28.35
04-Nov-2008,32,32.1,30.82,31.4,302678,27.73
05-Nov-2008,31.15,31.38,29.67,29.68,310034,26.21
06-Nov-2008,29.44,29.84,27.87,27.87,300177,24.61
07-Nov-2008,28.35,29.02,27.85,28.66,219596,25.31
10-Nov-2008,28.16,29.62,28.01,28.4,267074,25.08
11-Nov-2008,28.15,28.39,26.98,27.51,179627,24.29
12-Nov-2008,27.1,27.2,26.1,26.21,322441,23.15
13-Nov-2008,26.38,29.53,26.1,29.42,393249,25.98
14-Nov-2008,28.45,29.51,27.58,28.78,366356,25.42
17-Nov-2008,28.68,29.31,27.39,27.74,496551,24.5
18-Nov-2008,27.8,28.4,27.01,27.54,410398,24.32
19-Nov-2008,27.5,27.89,24.33,24.35,449662,21.5
20-Nov-2008,23.75,24.65,21.39,21.96,643421,19.39
21-Nov-2008,21.75,22.28,20.64,22.05,743608,19.47
24-Nov-2008,22.2,23.34,21.91,22.68,640566,20.03
25-Nov-2008,23.1,23.52,22.5,23.52,390052,20.77
26-Nov-2008,23.41,24.84,22.94,24.84,511156,21.94
28-Nov-2008,25.3,25.85,24.39,25.85,132346,22.83
01-Dec-2008,25.23,25.74,22.57,22.57,328785,19.93
02-Dec-2008,22.9,24.34,22.6,24.34,326146,21.5
03-Dec-2008,23.74,24.87,23.56,24.68,232170,21.8
04-Dec-2008,24,25.28,23.86,24.51,215975,21.65
05-Dec-2008,24.3,25.56,23.18,25.55,210126,22.56
08-Dec-2008,26.25,26.64,25.88,26.26,200386,23.19
09-Dec-2008,26.04,27.18,25.78,26.2,243042,23.14
10-Dec-2008,26.3,26.86,25.56,25.79,441837,22.78
11-Dec-2008,25.4,25.95,24.4,24.8,415958,21.9
12-Dec-2008,24.19,26,24.19,25.57,476493,22.58
15-Dec-2008,25.6,26.17,24.91,24.97,466902,22.05
16-Dec-2008,25.25,25.83,25.02,25.43,372795,22.46
17-Dec-2008,25.44,26,25.27,25.79,605584,22.78
18-Dec-2008,26,26.3,24.44,24.88,462382,21.97
19-Dec-2008,25,25.12,24.06,24.61,450268,21.73
22-Dec-2008,24.42,24.42,23.06,23.63,1118433,20.87
23-Dec-2008,22.95,23.79,22.77,23.63,415123,20.87
24-Dec-2008,23.5,24.34,23.21,24.25,135008,21.42
26-Dec-2008,24.29,24.56,24,24.33,165448,21.49
29-Dec-2008,24.35,24.51,23.66,24.15,181190,21.33
30-Dec-2008,23.98,25.26,23.98,25.24,283634,22.29
31-Dec-2008,25.37,25.68,24.94,25.06,661597,22.13
02-Jan-2009,25.22,25.51,25,25.36,593275,22.4
05-Jan-2009,25.49,25.59,24.39,25,887813,22.08
06-Jan-2009,25.25,25.79,25.03,25.42,554952,22.45
07-Jan-2009,25.3,25.49,24.64,24.87,373254,21.96
08-Jan-2009,24.43,24.72,24.08,24.25,328454,21.42
09-Jan-2009,24.33,24.51,23,23.17,353067,20.46
12-Jan-2009,23.27,23.31,22.5,22.75,293230,20.09
13-Jan-2009,22.77,23.43,22.75,23.38,328095,20.65
14-Jan-2009,22.67,23.3,22.29,22.57,343119,19.93
15-Jan-2009,22.57,23.15,21.52,22.83,475047,20.16
