Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.14,1.07,1.07,25201,0.42
04-Jan-1978,0,1.14,1.07,1.07,9399,0.42
05-Jan-1978,0,1.14,1.07,1.07,16200,0.42
06-Jan-1978,0,1.1,1.04,1.04,36399,0.41
09-Jan-1978,0,1.08,1.01,1.01,7300,0.4
10-Jan-1978,0,1.08,1.01,1.01,901,0.4
11-Jan-1978,0,1.08,1.01,1.01,6898,0.4
12-Jan-1978,0,1.11,1.06,1.06,15400,0.42
13-Jan-1978,0,1.11,1.06,1.06,9399,0.42
16-Jan-1978,0,1.14,1.07,1.07,10300,0.42
17-Jan-1978,0,1.14,1.07,1.07,1900,0.42
18-Jan-1978,0,1.14,1.07,1.07,33699,0.42
19-Jan-1978,0,1.14,1.07,1.07,17499,0.42
20-Jan-1978,0,1.14,1.07,1.07,1299,0.42
23-Jan-1978,0,1.14,1.07,1.07,6898,0.42
24-Jan-1978,0,1.16,1.08,1.08,20199,0.42
25-Jan-1978,0,1.16,1.08,1.08,40601,0.42
26-Jan-1978,0,1.14,1.07,1.07,12099,0.42
27-Jan-1978,0,1.14,1.07,1.07,18400,0.42
30-Jan-1978,0,1.14,1.07,1.07,14401,0.42
31-Jan-1978,0,1.14,1.07,1.07,9399,0.42
01-Feb-1978,0,1.11,1.06,1.06,22201,0.42
02-Feb-1978,0,1.11,1.06,1.06,50800,0.42
03-Feb-1978,0,1.11,1.06,1.06,4198,0.42
06-Feb-1978,0,1.11,1.06,1.06,6001,0.42
07-Feb-1978,0,1.11,1.06,1.06,14101,0.42
08-Feb-1978,0,1.11,1.06,1.06,101,0.42
09-Feb-1978,0,1.11,1.06,1.06,14401,0.42
10-Feb-1978,0,1.1,1.04,1.04,11401,0.41
13-Feb-1978,0,1.08,1.01,1.01,24300,0.4
14-Feb-1978,0,1.08,1.01,1.01,21600,0.4
15-Feb-1978,0,1.08,1.01,1.01,10300,0.4
16-Feb-1978,0,1.08,1.01,1.01,27601,0.4
17-Feb-1978,0,1.08,1.01,1.01,901,0.4
21-Feb-1978,0,1.1,1.04,1.04,14401,0.41
22-Feb-1978,0,1.1,1.04,1.04,9399,0.41
23-Feb-1978,0,1.14,1.07,1.07,22501,0.42
24-Feb-1978,0,1.14,1.07,1.07,901,0.42
27-Feb-1978,0,1.14,1.07,1.07,11401,0.42
28-Feb-1978,0,1.14,1.07,1.07,9399,0.42
01-Mar-1978,0,1.14,1.07,1.07,5400,0.42
02-Mar-1978,0,1.11,1.06,1.06,10300,0.42
03-Mar-1978,0,1.14,1.07,1.07,20398,0.42
06-Mar-1978,0,1.14,1.07,1.07,6301,0.42
07-Mar-1978,0,1.14,1.07,1.07,17101,0.42
08-Mar-1978,0,1.14,1.07,1.07,11401,0.42
09-Mar-1978,0,1.11,1.06,1.06,5400,0.42
10-Mar-1978,0,1.11,1.06,1.06,1900,0.42
13-Mar-1978,0,1.11,1.06,1.06,5400,0.42
14-Mar-1978,0,1.11,1.06,1.06,6001,0.42
15-Mar-1978,0,1.11,1.06,1.06,9399,0.42
16-Mar-1978,NaN,NaN,NaN,1.07,0,0.42
17-Mar-1978,0,1.16,1.08,1.08,6001,0.42
20-Mar-1978,0,1.16,1.08,1.08,9399,0.42
21-Mar-1978,0,1.16,1.08,1.08,12099,0.42
22-Mar-1978,0,1.17,1.1,1.1,17101,0.43
23-Mar-1978,0,1.17,1.1,1.1,33699,0.43
27-Mar-1978,0,1.16,1.08,1.08,12298,0.42
28-Mar-1978,0,1.14,1.07,1.07,20199,0.42
29-Mar-1978,0,1.14,1.07,1.07,5400,0.42
30-Mar-1978,0,1.14,1.07,1.07,6001,0.42
31-Mar-1978,0,1.14,1.07,1.07,6898,0.42
03-Apr-1978,0,1.11,1.06,1.06,1900,0.42
04-Apr-1978,0,1.14,1.07,1.07,1900,0.42
05-Apr-1978,0,1.14,1.07,1.07,4900,0.42
06-Apr-1978,0,1.14,1.07,1.07,10300,0.42
07-Apr-1978,0,1.14,1.07,1.07,901,0.42
10-Apr-1978,0,1.14,1.07,1.07,5400,0.42
11-Apr-1978,0,1.16,1.08,1.08,33699,0.42
12-Apr-1978,0,1.16,1.08,1.08,10300,0.42
13-Apr-1978,0,1.16,1.08,1.08,9399,0.42
14-Apr-1978,0,1.17,1.1,1.1,25201,0.43
17-Apr-1978,0,1.17,1.1,1.1,21600,0.43
18-Apr-1978,0,1.17,1.1,1.1,17499,0.43
19-Apr-1978,0,1.17,1.1,1.1,22201,0.43
20-Apr-1978,0,1.22,1.16,1.16,40601,0.46
21-Apr-1978,0,1.31,1.23,1.23,71101,0.48
24-Apr-1978,0,1.31,1.23,1.23,17101,0.48
