Date,Open,High,Low,Close,Volume,AdjClose
09-Aug-2000,22.38,27.38,21.25,23.94,771800,23.94
10-Aug-2000,23.25,24.06,19.88,20.75,261200,20.75
11-Aug-2000,20.81,21,20.06,21,230200,21
14-Aug-2000,20.88,22.31,19.5,19.75,502000,19.75
15-Aug-2000,19.75,20.38,19.75,19.94,81000,19.94
16-Aug-2000,20.12,20.25,19.38,19.5,355400,19.5
17-Aug-2000,19.38,19.38,17.75,18.5,62900,18.5
18-Aug-2000,17.88,18.5,17.5,17.62,700600,17.62
21-Aug-2000,18,18,16.5,17,336100,17
22-Aug-2000,16.75,17.25,16.75,17,270200,17
23-Aug-2000,17.44,17.44,16.94,17.19,37800,17.19
24-Aug-2000,17.78,19.75,17.38,18.94,73000,18.94
25-Aug-2000,18.88,21.75,18.88,19.88,57800,19.88
28-Aug-2000,0,20.62,20,20.5,48100,20.5
29-Aug-2000,20.44,22.88,20.12,22.88,30700,22.88
30-Aug-2000,22.75,25.38,21.5,24.69,25100,24.69
31-Aug-2000,23.53,27,23.5,25,155600,25
01-Sep-2000,25.5,25.5,24,24.62,60900,24.62
05-Sep-2000,24.38,25,23.5,23.75,284100,23.75
06-Sep-2000,24.12,24.25,23.25,23.5,240400,23.5
07-Sep-2000,23.25,26.25,23.12,26.12,151000,26.12
08-Sep-2000,26.38,26.38,24.62,25.12,155000,25.12
11-Sep-2000,25,25.25,24.5,24.5,265400,24.5
12-Sep-2000,24.5,24.75,23.12,23.5,76100,23.5
13-Sep-2000,24.5,24.5,23.75,24.12,47100,24.12
14-Sep-2000,23.75,24.12,23.75,24,179800,24
15-Sep-2000,23.5,24.12,23.5,23.88,36500,23.88
18-Sep-2000,23.97,24.25,23.12,24,41100,24
19-Sep-2000,22.88,23.5,22.88,23.44,14900,23.44
20-Sep-2000,23,23.62,22.62,22.75,22800,22.75
21-Sep-2000,22.94,23.62,22.94,23.5,19600,23.5
22-Sep-2000,23.06,23.62,23,23,12100,23
25-Sep-2000,22.5,23.62,22.5,23.62,186300,23.62
26-Sep-2000,22.5,22.88,22.25,22.25,31200,22.25
27-Sep-2000,22.75,23.38,22.62,23.31,325000,23.31
28-Sep-2000,22.94,26.75,22.5,26.5,70800,26.5
29-Sep-2000,26,35.38,26,34.19,171700,34.19
02-Oct-2000,31,33,28.5,31,100800,31
03-Oct-2000,31.06,31.06,26.75,26.75,70300,26.75
04-Oct-2000,26.62,26.69,25.75,26,46500,26
05-Oct-2000,26,28,26,27.75,498300,27.75
06-Oct-2000,29,29,25.62,27.75,219400,27.75
09-Oct-2000,27.72,27.75,25.75,26.75,9600,26.75
10-Oct-2000,25.5,27,25.5,26.5,4200,26.5
11-Oct-2000,26,28,25.5,27.75,31900,27.75
12-Oct-2000,28,28,24.88,24.94,147800,24.94
13-Oct-2000,24.81,25.12,24.38,25.12,55500,25.12
16-Oct-2000,25.11,25.53,24.75,25.5,44300,25.5
17-Oct-2000,25.25,25.25,25,25.12,20300,25.12
18-Oct-2000,25.12,26.62,24.75,26,68800,26
19-Oct-2000,27.38,28,26,28,62600,28
20-Oct-2000,28,29.75,27,29.5,49200,29.5
23-Oct-2000,30.25,31,28.75,29.5,254300,29.5
24-Oct-2000,30,30,28.5,29.25,163500,29.25
25-Oct-2000,29.25,29.38,28.5,28.88,87800,28.88
26-Oct-2000,29,31,28.88,31,49100,31
27-Oct-2000,31.5,32,30.25,31.12,23300,31.12
30-Oct-2000,30,31.5,29.88,30,87300,30
31-Oct-2000,30.38,30.38,29.88,30.12,58500,30.12
01-Nov-2000,29.75,31.12,29.75,30.75,42300,30.75
02-Nov-2000,30.75,32.38,30.12,31.12,100800,31.12
03-Nov-2000,31.5,32,30.25,30.62,31900,30.62
06-Nov-2000,32.25,34.5,31,34.06,106300,34.06
07-Nov-2000,33.5,35,33.5,34.75,50800,34.75
08-Nov-2000,34.5,34.73,33.5,33.5,236500,33.5
09-Nov-2000,33.56,33.88,33,33.88,46300,33.88
10-Nov-2000,33.75,33.75,31.62,31.75,187700,31.75
13-Nov-2000,32,32,28.25,30,33500,30
14-Nov-2000,30.62,30.62,29.88,30.62,64900,30.62
15-Nov-2000,30.62,30.62,29.5,30.5,8700,30.5
16-Nov-2000,30.48,30.5,29.5,29.5,30600,29.5
17-Nov-2000,29.5,30.12,29.5,30,43800,30
20-Nov-2000,30,30.12,28.88,28.88,30400,28.88
21-Nov-2000,29,29.12,27,27.25,44300,27.25
22-Nov-2000,27,27.12,25.75,25.75,10100,25.75
