Date,Open,High,Low,Close,Volume,AdjClose
25-Jun-2009,8.8,9.5,8,8.5,11188210,8.5
26-Jun-2009,8.33,8.6,8.12,8.16,944242,8.16
29-Jun-2009,8.39,8.5,8.1,8.5,604932,8.5
30-Jun-2009,8.5,8.75,8.16,8.19,590340,8.19
01-Jul-2009,8.2,8.3,8.06,8.25,476594,8.25
02-Jul-2009,8.28,8.34,8,8.12,523396,8.12
06-Jul-2009,8.05,8.27,7.86,8.12,455608,8.12
07-Jul-2009,8.18,8.2,7.89,7.91,420540,7.91
08-Jul-2009,8,8.02,7.75,7.82,150990,7.82
09-Jul-2009,7.82,8.06,7.69,8.06,407586,8.06
10-Jul-2009,7.93,8.25,7.93,8.16,236868,8.16
13-Jul-2009,8.28,8.52,8.18,8.52,357924,8.52
14-Jul-2009,8.52,8.72,8.36,8.54,96126,8.54
15-Jul-2009,8.72,8.75,8.48,8.75,331002,8.75
16-Jul-2009,8.8,8.8,8.5,8.6,166570,8.6
17-Jul-2009,8.54,8.72,8.36,8.55,277716,8.55
20-Jul-2009,8.62,8.72,8.33,8.5,111364,8.5
21-Jul-2009,8.47,8.68,8.21,8.38,125406,8.38
22-Jul-2009,8.42,8.49,8.09,8.35,505606,8.35
23-Jul-2009,8.44,8.5,8.26,8.36,196912,8.36
24-Jul-2009,8.49,8.49,8.15,8.26,85788,8.26
27-Jul-2009,8.34,8.49,8.27,8.46,105952,8.46
28-Jul-2009,8.35,8.7,8.12,8.7,439374,8.7
29-Jul-2009,8.65,8.72,8.31,8.72,69704,8.72
30-Jul-2009,8.75,9,8.72,8.87,268946,8.87
31-Jul-2009,9.07,9.32,8.86,9.22,235680,9.22
03-Aug-2009,9.5,9.87,9.4,9.55,152702,9.55
04-Aug-2009,9.65,9.74,9.14,9.5,526264,9.5
05-Aug-2009,9.61,9.64,9.08,9.22,165104,9.22
06-Aug-2009,9.3,9.33,8.92,8.96,186796,8.96
07-Aug-2009,8.98,9.22,8.58,9,132546,9
10-Aug-2009,8.88,8.95,8.58,8.7,75968,8.7
11-Aug-2009,8.58,8.64,8.18,8.51,217160,8.51
12-Aug-2009,8.5,8.53,8.18,8.18,183500,8.18
13-Aug-2009,8.18,9.44,8.18,9.1,602948,9.1
14-Aug-2009,9.05,9.05,8.2,8.75,281260,8.75
17-Aug-2009,8.54,8.62,8.22,8.6,260262,8.6
18-Aug-2009,8.57,8.62,8.26,8.4,190716,8.4
19-Aug-2009,8.39,8.4,8.11,8.25,178374,8.25
20-Aug-2009,8.5,8.86,8.43,8.65,167256,8.65
21-Aug-2009,8.76,8.84,8.56,8.74,62368,8.74
24-Aug-2009,8.75,8.8,8.46,8.58,79392,8.58
25-Aug-2009,8.64,8.68,8.38,8.55,117816,8.55
26-Aug-2009,8.59,8.68,8.15,8.15,168668,8.15
27-Aug-2009,8.1,8.25,8.04,8.16,227904,8.16
28-Aug-2009,8.08,8.38,7.88,8.01,79330,8.01
31-Aug-2009,8.01,8.06,7.9,7.93,124466,7.93
01-Sep-2009,7.93,8.1,7.9,8.02,100102,8.02
02-Sep-2009,8.02,8.25,8.02,8.24,48246,8.24
03-Sep-2009,8.25,8.25,8.05,8.06,54544,8.06
04-Sep-2009,8.02,8.08,7.97,8,74548,8
08-Sep-2009,8.08,8.08,7.87,7.95,187760,7.95
09-Sep-2009,7.84,8.02,7.8,7.9,99690,7.9
10-Sep-2009,7.9,8.12,7.87,7.95,153282,7.95
11-Sep-2009,7.97,7.98,7.86,7.94,57320,7.94
14-Sep-2009,7.9,8.06,7.88,8.02,66022,8.02
15-Sep-2009,7.98,8.06,7.88,7.99,87772,7.99
16-Sep-2009,7.96,8.08,7.88,8,130604,8
17-Sep-2009,7.93,8.3,7.92,8.27,409726,8.27
18-Sep-2009,8.26,8.26,8.12,8.22,453342,8.22
21-Sep-2009,8.22,8.23,8.1,8.18,125612,8.18
22-Sep-2009,8.25,8.25,8,8.03,96582,8.03
23-Sep-2009,8.02,8.12,7.94,7.99,67248,7.99
24-Sep-2009,7.97,8.08,7.91,7.95,70020,7.95
25-Sep-2009,8,8.04,7.61,7.67,351876,7.67
28-Sep-2009,7.77,7.77,7.26,7.52,458080,7.52
29-Sep-2009,7.52,7.8,7.48,7.61,793224,7.61
30-Sep-2009,7.65,7.76,7.44,7.58,2013352,7.58
01-Oct-2009,7.51,7.68,7.51,7.58,129492,7.58
02-Oct-2009,7.55,7.68,7.5,7.5,266904,7.5
05-Oct-2009,7.51,7.65,7.48,7.52,164546,7.52
06-Oct-2009,7.61,7.72,7.52,7.72,154934,7.72
07-Oct-2009,7.86,8.18,7.86,8.02,182158,8.02
08-Oct-2009,8.1,8.16,7.9,8,181388,8
09-Oct-2009,8.02,8.16,7.99,8.15,191212,8.15
12-Oct-2009,8.15,8.4,8.05,8.33,436128,8.33
13-Oct-2009,8.35,8.5,8.06,8.43,508644,8.43
14-Oct-2009,8.5,8.5,8.24,8.27,82110,8.27
15-Oct-2009,8.24,8.24,8.04,8.15,130918,8.15
16-Oct-2009,8.08,8.18,8,8.02,108280,8.02
19-Oct-2009,8.08,8.23,8.02,8.04,78478,8.04
20-Oct-2009,8.04,8.04,7.99,8,144798,8
21-Oct-2009,8.04,8.12,8,8.01,50828,8.01
22-Oct-2009,8.02,8.1,7.98,8.08,108006,8.08
23-Oct-2009,8.17,8.19,8.01,8.02,151560,8.02
26-Oct-2009,8.32,8.6,8.1,8.19,305128,8.19
27-Oct-2009,8.26,8.31,7.99,8,137800,8
28-Oct-2009,8.02,8.07,7.95,7.97,114232,7.97
29-Oct-2009,8.03,8.06,7.9,7.98,86054,7.98
30-Oct-2009,8.04,8.12,7.88,7.9,280540,7.9
02-Nov-2009,7.92,7.96,7.84,7.88,53770,7.88
03-Nov-2009,7.85,7.96,7.83,7.9,58620,7.9
04-Nov-2009,7.91,7.98,7.78,7.81,159326,7.81
05-Nov-2009,7.78,7.91,7.75,7.8,102010,7.8
06-Nov-2009,7.81,7.86,7.69,7.83,57766,7.83
09-Nov-2009,7.78,7.91,7.7,7.74,88766,7.74
10-Nov-2009,7.74,7.81,7.68,7.7,123000,7.7
11-Nov-2009,7.75,7.76,7.6,7.6,459390,7.6
12-Nov-2009,7.58,7.75,7.41,7.7,647002,7.7
13-Nov-2009,8.16,8.25,7.48,7.5,1308744,7.5
16-Nov-2009,7.59,8.34,7.59,8.12,868506,8.12
17-Nov-2009,8.24,8.58,8.12,8.44,500846,8.44
18-Nov-2009,8.45,8.85,8.41,8.7,304576,8.7
19-Nov-2009,8.7,8.98,8.51,8.89,437346,8.89
20-Nov-2009,8.45,8.5,8.25,8.34,287942,8.34
23-Nov-2009,8.43,8.78,8.3,8.74,154936,8.74
24-Nov-2009,8.75,8.75,8.6,8.65,74214,8.65
25-Nov-2009,8.58,8.7,8.57,8.62,69014,8.62
27-Nov-2009,8.57,8.62,8.24,8.56,171734,8.56
30-Nov-2009,8.52,8.6,8.42,8.48,727606,8.48
01-Dec-2009,8.56,8.72,8.4,8.54,164000,8.54
02-Dec-2009,8.6,8.6,8.1,8.14,203092,8.14
03-Dec-2009,8.1,8.2,8,8.04,187386,8.04
04-Dec-2009,8.13,8.36,8.02,8.3,300568,8.3
07-Dec-2009,8.26,8.29,7.91,8,221256,8
08-Dec-2009,7.89,7.98,7.68,7.74,468432,7.74
09-Dec-2009,7.78,7.82,7.38,7.44,6788874,7.44
10-Dec-2009,7.46,7.58,7.46,7.54,2212968,7.54
11-Dec-2009,7.54,7.64,7.5,7.55,1102730,7.55
14-Dec-2009,7.6,7.75,7.46,7.68,747074,7.68
15-Dec-2009,7.64,7.87,7.56,7.86,941708,7.86
16-Dec-2009,7.88,7.89,7.7,7.81,436750,7.81
17-Dec-2009,7.81,7.89,7.66,7.66,184250,7.66
18-Dec-2009,7.73,7.76,7.56,7.72,374748,7.72
21-Dec-2009,7.72,7.93,7.58,7.64,488592,7.64
22-Dec-2009,7.58,7.62,7.46,7.52,762828,7.52
23-Dec-2009,7.55,7.63,7.47,7.62,441958,7.62
24-Dec-2009,7.62,7.72,7.52,7.65,172292,7.65
28-Dec-2009,7.7,7.7,7.58,7.65,271392,7.65
29-Dec-2009,7.64,7.92,7.62,7.79,342570,7.79
30-Dec-2009,7.82,7.96,7.67,7.96,289692,7.96
31-Dec-2009,7.96,8.1,7.76,7.81,383156,7.81
04-Jan-2010,7.92,8.02,7.8,8.01,278090,8.01
05-Jan-2010,8,8.1,7.69,7.78,437880,7.78
06-Jan-2010,7.8,7.96,7.68,7.9,363754,7.9
07-Jan-2010,7.86,8.06,7.76,8,306922,8
08-Jan-2010,7.93,8,7.74,7.81,420088,7.81
11-Jan-2010,7.81,8,7.81,7.99,295622,7.99
12-Jan-2010,7.96,8.08,7.79,7.94,187576,7.94
13-Jan-2010,7.94,7.99,7.78,7.93,251908,7.93
14-Jan-2010,7.9,8,7.84,7.88,392830,7.88
15-Jan-2010,7.92,7.98,7.7,7.78,232082,7.78
19-Jan-2010,7.79,8.02,7.74,8,355028,8
20-Jan-2010,7.96,8.19,7.84,8.16,608320,8.16
21-Jan-2010,8.14,8.15,7.88,7.98,241570,7.98
22-Jan-2010,7.95,8.12,7.86,7.94,384236,7.94
25-Jan-2010,7.96,8,7.83,7.85,184746,7.85
26-Jan-2010,7.8,8.34,7.76,8.12,556012,8.12
27-Jan-2010,8.07,8.34,8,8.34,583980,8.34
28-Jan-2010,8.28,8.44,8.18,8.32,399726,8.32
29-Jan-2010,8.32,8.42,8.22,8.34,376296,8.34
01-Feb-2010,8.32,8.45,8.25,8.38,467782,8.38
02-Feb-2010,8,8.49,7.92,8.39,479046,8.39
03-Feb-2010,8.33,8.39,8.15,8.36,170284,8.36
04-Feb-2010,8.35,8.35,8.02,8.04,179162,8.04
05-Feb-2010,7.88,7.88,7.45,7.48,1589342,7.48
08-Feb-2010,7.48,7.6,7.41,7.44,205716,7.44
09-Feb-2010,7.5,7.64,7.42,7.63,348932,7.63
10-Feb-2010,7.62,7.62,7.44,7.54,193914,7.54
11-Feb-2010,7.54,7.6,7.48,7.54,244618,7.54
12-Feb-2010,7.46,7.56,7.25,7.54,439618,7.54
16-Feb-2010,7.58,7.58,7.48,7.5,151206,7.5
17-Feb-2010,7.55,7.66,7.4,7.5,281564,7.5
18-Feb-2010,7.52,7.66,7.42,7.64,251666,7.64
19-Feb-2010,7.62,7.7,7.55,7.6,98452,7.6
22-Feb-2010,7.58,7.6,7.41,7.51,94422,7.51
23-Feb-2010,7.48,7.7,7.43,7.64,191830,7.64
24-Feb-2010,7.64,7.66,7.42,7.52,230322,7.52
25-Feb-2010,7.49,7.58,7.42,7.54,128702,7.54
26-Feb-2010,7.52,7.76,7.43,7.71,86900,7.71
01-Mar-2010,7.72,7.78,7.61,7.78,109626,7.78
02-Mar-2010,7.82,8.06,7.78,7.94,312482,7.94
03-Mar-2010,7.95,7.98,7.8,7.84,336702,7.84
04-Mar-2010,7.89,7.89,7.69,7.88,201426,7.88
05-Mar-2010,8,8.08,7.92,7.92,983756,7.92
08-Mar-2010,7.9,7.93,7.56,7.68,469038,7.68
09-Mar-2010,7.63,7.74,7.55,7.7,257730,7.7
10-Mar-2010,7.67,7.72,7.5,7.52,352162,7.52
11-Mar-2010,7.5,7.64,7.48,7.62,327592,7.62
12-Mar-2010,7.63,7.68,7.56,7.66,177824,7.66
15-Mar-2010,7.64,7.64,7.52,7.59,170882,7.59
16-Mar-2010,7.62,7.62,7.51,7.56,66530,7.56
17-Mar-2010,7.54,7.6,7.52,7.58,149588,7.58
18-Mar-2010,7.6,7.74,7.58,7.74,172804,7.74
19-Mar-2010,7.74,7.84,7.69,7.83,290898,7.83
22-Mar-2010,7.76,7.94,7.7,7.94,126618,7.94
23-Mar-2010,7.89,7.89,7.48,7.56,467796,7.56
24-Mar-2010,7.5,7.81,7.44,7.63,425886,7.63
