Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-2000,0.34,0.34,0.34,0.34,5500,0.32
04-Jan-2000,0.34,0.34,0.34,0.34,6000,0.32
05-Jan-2000,NaN,NaN,NaN,0.34,0,0.32
06-Jan-2000,0.31,0.34,0.28,0.34,46000,0.32
07-Jan-2000,0.34,0.38,0.34,0.38,31100,0.36
10-Jan-2000,0.38,0.38,0.28,0.38,42100,0.36
11-Jan-2000,0.38,0.47,0.34,0.41,164500,0.38
12-Jan-2000,0.47,0.47,0.38,0.38,37000,0.36
13-Jan-2000,0.47,0.66,0.47,0.66,53100,0.62
14-Jan-2000,0.69,0.75,0.62,0.75,43700,0.7
18-Jan-2000,0.81,0.88,0.75,0.75,62700,0.7
19-Jan-2000,0.75,0.81,0.69,0.69,15900,0.65
20-Jan-2000,0.75,0.75,0.5,0.53,92600,0.5
21-Jan-2000,0.53,0.53,0.38,0.53,6600,0.5
24-Jan-2000,0.5,0.53,0.49,0.5,72900,0.47
25-Jan-2000,0.5,0.5,0.5,0.5,3000,0.47
26-Jan-2000,0.5,0.53,0.5,0.53,47200,0.5
27-Jan-2000,0.44,0.5,0.44,0.5,31200,0.47
28-Jan-2000,0.47,0.47,0.47,0.47,10000,0.44
31-Jan-2000,0.5,0.5,0.5,0.5,3000,0.47
01-Feb-2000,0.5,0.5,0.5,0.5,2500,0.47
02-Feb-2000,0.5,0.5,0.5,0.5,1300,0.47
03-Feb-2000,0.44,0.44,0.41,0.41,28800,0.38
04-Feb-2000,0.44,0.44,0.38,0.38,28300,0.36
07-Feb-2000,0.44,0.44,0.44,0.44,6300,0.41
08-Feb-2000,0.44,0.53,0.38,0.53,24000,0.5
09-Feb-2000,0.38,0.59,0.38,0.59,22400,0.55
10-Feb-2000,0.38,0.59,0.38,0.59,15100,0.55
11-Feb-2000,0.31,0.59,0.31,0.31,800,0.29
14-Feb-2000,0.34,0.59,0.34,0.59,20200,0.55
15-Feb-2000,0.44,0.56,0.44,0.47,46700,0.44
16-Feb-2000,NaN,NaN,NaN,0.47,0,0.44
17-Feb-2000,0.44,0.53,0.44,0.53,8400,0.5
18-Feb-2000,0.53,0.53,0.44,0.44,15100,0.41
22-Feb-2000,0.44,0.53,0.44,0.53,3200,0.5
