Date,Open,High,Low,Close,Volume,AdjClose
17-Feb-1994,0,2.25,2,2.12,1426200,2.12
18-Feb-1994,0,2.19,2.08,2.19,397000,2.19
22-Feb-1994,0,2.23,2.12,2.19,240000,2.19
23-Feb-1994,0,2.19,2.03,2.03,268200,2.03
24-Feb-1994,0,2.09,1.88,1.97,171000,1.97
25-Feb-1994,0,1.97,1.81,1.92,115800,1.92
28-Feb-1994,0,1.92,1.84,1.88,52000,1.88
01-Mar-1994,0,1.92,1.84,1.92,34200,1.92
02-Mar-1994,0,1.91,1.84,1.88,59600,1.88
03-Mar-1994,0,1.91,1.84,1.84,50000,1.84
04-Mar-1994,0,1.89,1.84,1.89,76800,1.89
07-Mar-1994,0,1.89,1.84,1.88,11400,1.88
08-Mar-1994,0,1.88,1.84,1.88,125400,1.88
09-Mar-1994,0,1.91,1.84,1.88,108400,1.88
10-Mar-1994,0,2.12,1.88,1.97,121200,1.97
11-Mar-1994,0,2.12,2,2,106400,2
14-Mar-1994,0,2.06,2,2,41600,2
15-Mar-1994,0,2.06,1.94,1.94,99800,1.94
16-Mar-1994,0,1.97,1.94,1.97,24200,1.97
17-Mar-1994,0,1.97,1.94,1.94,23800,1.94
18-Mar-1994,0,1.97,1.94,1.97,41400,1.97
21-Mar-1994,0,1.97,1.94,1.94,42000,1.94
22-Mar-1994,0,1.97,1.94,1.97,36000,1.97
23-Mar-1994,0,2,1.94,2,46600,2
24-Mar-1994,0,2,1.88,1.88,144200,1.88
25-Mar-1994,0,2,1.88,2,10600,2
28-Mar-1994,0,2,1.88,1.88,11200,1.88
29-Mar-1994,0,2,1.81,1.81,17200,1.81
30-Mar-1994,0,2,1.81,2,4600,2
31-Mar-1994,0,2,1.81,1.81,24800,1.81
04-Apr-1994,0,1.97,1.81,1.81,42800,1.81
05-Apr-1994,0,2,1.81,1.81,36200,1.81
06-Apr-1994,0,1.97,1.75,1.75,14000,1.75
07-Apr-1994,0,1.94,1.75,1.81,52800,1.81
08-Apr-1994,0,1.94,1.75,1.88,152400,1.88
11-Apr-1994,0,1.94,1.72,1.72,39200,1.72
12-Apr-1994,0,1.77,1.62,1.62,35400,1.62
13-Apr-1994,0,1.75,1.5,1.62,55000,1.62
14-Apr-1994,0,1.62,1.5,1.62,41200,1.62
15-Apr-1994,0,1.62,1.44,1.5,49600,1.5
18-Apr-1994,0,1.62,1.44,1.62,54600,1.62
19-Apr-1994,0,1.75,1.62,1.72,254000,1.72
20-Apr-1994,0,1.81,1.69,1.81,129600,1.81
21-Apr-1994,0,1.88,1.75,1.86,100600,1.86
22-Apr-1994,0,1.88,1.75,1.81,66000,1.81
25-Apr-1994,0,1.88,1.81,1.81,35200,1.81
26-Apr-1994,0,1.88,1.81,1.81,12000,1.81
28-Apr-1994,0,1.88,1.69,1.69,30600,1.69
29-Apr-1994,0,1.86,1.69,1.69,16000,1.69
02-May-1994,0,1.84,1.69,1.69,29800,1.69
03-May-1994,0,1.84,1.69,1.81,24800,1.81
04-May-1994,0,1.81,1.62,1.62,53000,1.62
05-May-1994,0,1.81,1.69,1.81,44400,1.81
06-May-1994,0,1.81,1.69,1.81,82000,1.81
09-May-1994,0,1.81,1.75,1.75,91800,1.75
10-May-1994,0,1.8,1.69,1.69,89400,1.69
11-May-1994,0,1.75,1.69,1.75,76400,1.75
12-May-1994,0,1.75,1.69,1.69,53200,1.69
13-May-1994,0,1.75,1.69,1.7,38200,1.7
16-May-1994,0,1.72,1.62,1.66,61200,1.66
17-May-1994,0,1.75,1.62,1.75,28000,1.75
18-May-1994,0,1.75,1.62,1.62,12000,1.62
19-May-1994,0,1.75,1.62,1.69,140600,1.69
20-May-1994,0,1.69,1.56,1.69,8400,1.69
23-May-1994,0,1.75,1.56,1.69,55800,1.69
24-May-1994,0,1.69,1.62,1.69,46800,1.69
25-May-1994,0,1.69,1.62,1.62,14400,1.62
26-May-1994,0,1.75,1.69,1.75,15000,1.75
27-May-1994,0,1.75,1.66,1.66,41800,1.66
31-May-1994,0,1.69,1.62,1.69,23000,1.69
01-Jun-1994,0,1.69,1.5,1.62,32800,1.62
02-Jun-1994,0,1.62,1.5,1.56,41200,1.56
03-Jun-1994,0,1.56,1.44,1.44,12000,1.44
06-Jun-1994,0,1.56,1.44,1.56,13200,1.56
07-Jun-1994,0,1.56,1.44,1.44,33200,1.44
08-Jun-1994,0,1.56,1.44,1.56,17600,1.56
09-Jun-1994,0,1.56,1.44,1.5,17400,1.5
10-Jun-1994,0,1.5,1.44,1.5,38800,1.5
13-Jun-1994,0,1.5,1.44,1.47,23800,1.47
14-Jun-1994,0,1.5,1.38,1.5,40200,1.5
15-Jun-1994,0,1.5,1.41,1.47,58200,1.47
16-Jun-1994,0,1.5,1.44,1.44,44400,1.44
17-Jun-1994,0,1.5,1.38,1.38,17800,1.38
20-Jun-1994,0,1.5,1.38,1.38,13200,1.38
21-Jun-1994,0,1.5,1.38,1.38,22800,1.38
22-Jun-1994,0,1.5,1.38,1.38,9800,1.38
23-Jun-1994,0,1.5,1.38,1.38,19000,1.38
24-Jun-1994,0,1.38,1.38,1.38,16200,1.38
27-Jun-1994,0,1.5,1.38,1.5,15200,1.5
28-Jun-1994,0,1.5,1.38,1.44,17800,1.44
29-Jun-1994,0,1.44,1.31,1.31,34800,1.31
30-Jun-1994,0,1.44,1.31,1.31,15200,1.31
01-Jul-1994,0,1.31,1.31,1.31,2400,1.31
05-Jul-1994,0,1.44,1.31,1.44,33800,1.44
06-Jul-1994,0,1.44,1.31,1.44,50600,1.44
07-Jul-1994,0,1.5,1.38,1.5,59800,1.5
08-Jul-1994,0,1.81,1.5,1.81,107800,1.81
11-Jul-1994,0,1.94,1.69,1.75,121000,1.75
12-Jul-1994,0,1.81,1.69,1.81,17200,1.81
13-Jul-1994,0,1.81,1.69,1.75,8400,1.75
14-Jul-1994,0,1.81,1.69,1.81,12400,1.81
15-Jul-1994,0,1.81,1.75,1.81,46600,1.81
18-Jul-1994,0,2.12,1.75,2,173200,2
19-Jul-1994,0,2.19,2,2.03,204000,2.03
20-Jul-1994,0,2.12,2,2,215800,2
21-Jul-1994,0,2.12,2,2.06,142400,2.06
22-Jul-1994,0,2.09,2,2.06,150000,2.06
25-Jul-1994,0,2.06,2,2,52200,2
26-Jul-1994,0,2.06,1.88,2,43200,2
27-Jul-1994,0,2,1.81,1.88,40000,1.88
28-Jul-1994,0,1.94,1.81,1.84,12800,1.84
29-Jul-1994,0,1.94,1.81,1.81,13400,1.81
01-Aug-1994,0,1.94,1.81,1.81,7000,1.81
02-Aug-1994,0,1.94,1.81,1.81,24000,1.81
03-Aug-1994,0,1.94,1.88,1.88,4400,1.88
04-Aug-1994,0,1.94,1.81,1.81,32600,1.81
05-Aug-1994,0,1.94,1.81,1.81,20200,1.81
08-Aug-1994,0,1.94,1.81,1.81,6800,1.81
09-Aug-1994,0,1.94,1.81,1.88,28800,1.88
10-Aug-1994,0,1.88,1.69,1.84,65200,1.84
11-Aug-1994,0,2,1.81,1.97,125400,1.97
12-Aug-1994,0,2.06,1.88,2.06,17400,2.06
15-Aug-1994,0,2.12,1.94,2.09,151400,2.09
16-Aug-1994,0,2.12,2,2.12,36600,2.12
17-Aug-1994,0,2.19,2,2.19,47000,2.19
18-Aug-1994,0,2.19,2,2,58000,2
19-Aug-1994,0,2.19,1.94,2,66800,2
22-Aug-1994,0,2.12,2,2.12,22200,2.12
23-Aug-1994,0,2.12,2,2.12,65000,2.12
24-Aug-1994,0,2.25,2,2.19,147400,2.19
25-Aug-1994,0,2.19,2,2,35800,2
26-Aug-1994,0,2.12,2,2.06,22800,2.06
29-Aug-1994,0,2.12,1.94,1.94,9800,1.94
30-Aug-1994,0,2.12,1.94,1.94,22200,1.94
31-Aug-1994,0,2.12,1.94,2.12,16000,2.12
01-Sep-1994,0,2.12,1.94,1.94,4000,1.94
02-Sep-1994,0,1.94,1.94,1.94,18000,1.94
06-Sep-1994,0,2.12,1.94,2.11,15400,2.11
07-Sep-1994,0,2.12,1.94,2.06,7400,2.06
08-Sep-1994,0,2.12,1.94,2.12,30200,2.12
09-Sep-1994,0,2.06,2,2.06,13000,2.06
12-Sep-1994,0,2.06,2.06,2.06,6200,2.06
13-Sep-1994,0,2.06,2,2,40000,2
14-Sep-1994,0,2.12,2,2.12,60200,2.12
15-Sep-1994,0,2.25,2.12,2.25,107400,2.25
16-Sep-1994,0,2.38,2.19,2.25,186600,2.25
19-Sep-1994,0,2.44,2.25,2.34,135400,2.34
20-Sep-1994,0,2.34,2.19,2.28,47800,2.28
21-Sep-1994,0,2.31,2.06,2.19,55200,2.19
22-Sep-1994,0,2.25,2.12,2.16,56400,2.16
23-Sep-1994,0,2.25,2.12,2.25,21800,2.25
26-Sep-1994,0,2.25,2.12,2.25,32200,2.25
27-Sep-1994,0,2.31,2.12,2.31,76400,2.31
28-Sep-1994,0,2.31,2.25,2.31,29000,2.31
29-Sep-1994,0,2.31,2.12,2.12,91200,2.12
30-Sep-1994,0,2.31,2.12,2.31,15600,2.31
03-Oct-1994,0,2.31,2.19,2.19,11000,2.19
04-Oct-1994,0,2.31,2.12,2.31,12400,2.31
05-Oct-1994,0,2.31,2.12,2.12,32400,2.12
06-Oct-1994,0,2.25,2.12,2.25,17800,2.25
07-Oct-1994,0,2.25,2.12,2.25,14600,2.25
10-Oct-1994,0,2.25,2.12,2.12,17600,2.12
11-Oct-1994,0,2.25,2.12,2.25,14200,2.25
12-Oct-1994,0,2.12,2.12,2.12,14800,2.12
13-Oct-1994,0,2.25,2.12,2.12,29000,2.12
14-Oct-1994,0,2.25,2.12,2.25,41800,2.25
17-Oct-1994,0,2.25,2.12,2.12,8200,2.12
18-Oct-1994,0,2.25,2.12,2.12,31600,2.12
19-Oct-1994,0,2.25,2.12,2.12,44800,2.12
20-Oct-1994,0,2.25,2.12,2.22,82600,2.22
21-Oct-1994,0,2.25,2.06,2.06,35600,2.06
24-Oct-1994,0,2.22,2,2.06,42800,2.06
25-Oct-1994,0,2.06,2,2,20800,2
26-Oct-1994,0,2.12,2,2,9400,2
27-Oct-1994,0,2.08,1.94,1.94,26600,1.94
28-Oct-1994,0,2.06,1.94,1.94,36800,1.94
31-Oct-1994,0,2,1.94,2,10400,2
01-Nov-1994,0,2,1.94,1.97,41200,1.97
02-Nov-1994,0,2,1.94,2,11600,2
03-Nov-1994,0,2,1.94,2,29000,2
04-Nov-1994,0,2.06,1.94,2.06,7400,2.06
07-Nov-1994,0,2.19,1.95,2.19,57400,2.19
08-Nov-1994,0,2.38,2,2.38,100600,2.38
09-Nov-1994,0,2.44,2.25,2.38,39800,2.38
10-Nov-1994,0,2.31,2.25,2.25,15600,2.25
11-Nov-1994,0,2.31,2.25,2.25,37200,2.25
14-Nov-1994,0,2.31,2.25,2.28,34400,2.28
15-Nov-1994,0,2.31,2.12,2.19,91600,2.19
16-Nov-1994,0,2.31,2.19,2.19,47200,2.19
17-Nov-1994,0,2.31,2.19,2.25,24600,2.25
18-Nov-1994,0,2.31,2.12,2.19,39000,2.19
21-Nov-1994,0,2.25,2.19,2.19,29200,2.19
22-Nov-1994,0,2.25,2.19,2.19,69200,2.19
23-Nov-1994,0,2.25,2.19,2.19,20800,2.19
25-Nov-1994,0,2.31,2.19,2.31,11800,2.31
28-Nov-1994,0,2.31,2.19,2.31,2000,2.31
29-Nov-1994,0,2.31,2.19,2.19,13400,2.19
30-Nov-1994,0,2.31,2.12,2.12,18000,2.12
01-Dec-1994,0,2.25,2.12,2.12,23400,2.12
02-Dec-1994,0,2.25,1.94,2.12,59800,2.12
05-Dec-1994,0,2.12,1.94,1.94,9600,1.94
06-Dec-1994,0,2.12,1.88,1.88,18400,1.88
07-Dec-1994,0,2.06,1.88,2.06,26000,2.06
08-Dec-1994,0,2.06,1.88,2.06,21400,2.06
09-Dec-1994,0,2.06,1.88,2.03,18200,2.03
12-Dec-1994,0,2.06,1.88,1.88,41800,1.88
13-Dec-1994,0,1.97,1.81,1.81,22200,1.81
14-Dec-1994,0,2,1.81,1.97,47800,1.97
