Date,Open,High,Low,Close,Volume,AdjClose
03-Dec-2007,10.75,11,9,11,7710,11
04-Dec-2007,NaN,NaN,NaN,11,0,11
05-Dec-2007,10.85,10.85,10,10,1000,10
06-Dec-2007,11,11.1,10.6,11.1,1400,11.1
07-Dec-2007,NaN,NaN,NaN,11.1,0,11.1
10-Dec-2007,11.1,11.1,11.1,11.1,500,11.1
11-Dec-2007,10,11.1,10,11.1,400,11.1
12-Dec-2007,10.5,10.5,10,10,6500,10
13-Dec-2007,9.75,10,9.75,10,6700,10
14-Dec-2007,NaN,NaN,NaN,10,0,10
17-Dec-2007,10,11,10,11,1968,11
18-Dec-2007,11,11,10.25,10.25,1183,10.25
19-Dec-2007,10.75,11,10.75,10.75,2150,10.75
20-Dec-2007,10.7,10.7,10.5,10.5,1343,10.5
21-Dec-2007,10.26,10.9,9.36,9.36,5600,9.36
24-Dec-2007,10.08,10.08,9.8,9.8,1620,9.8
26-Dec-2007,9.33,10.9,9.3,10.41,3530,10.41
27-Dec-2007,9.66,10.83,9.66,10.52,3081,10.52
28-Dec-2007,10,10.91,10,10.32,29801,10.32
31-Dec-2007,10.1,10.99,10,10.96,21409,10.96
02-Jan-2008,10.54,10.6,9.82,10.25,3736,10.25
03-Jan-2008,10.04,10.8,10.03,10.2,5507,10.2
04-Jan-2008,10,10,10,10,1979,10
07-Jan-2008,NaN,NaN,NaN,10,0,10
08-Jan-2008,9.7,9.7,9.7,9.7,1526,9.7
09-Jan-2008,9.25,9.65,9.25,9.25,1200,9.25
10-Jan-2008,NaN,NaN,NaN,9.25,0,9.25
11-Jan-2008,9.39,9.5,9.39,9.5,1025,9.5
14-Jan-2008,9.25,9.25,9.25,9.25,138,9.25
15-Jan-2008,9.1,9.1,8.99,9.05,3264,9.05
16-Jan-2008,NaN,NaN,NaN,9.05,0,9.05
17-Jan-2008,8.98,8.98,8.98,8.98,200,8.98
18-Jan-2008,8.9,8.9,8.08,8.1,4755,8.1
22-Jan-2008,7.97,8.05,7.97,8,3492,8
23-Jan-2008,7.97,8,6.7,8,5110,8
24-Jan-2008,6.84,8.09,6.79,8.09,5065,8.09
25-Jan-2008,7.99,8.03,7.9,7.9,10500,7.9
28-Jan-2008,7.8,8,7.8,8,545,8
29-Jan-2008,7.2,8,7.2,8,2000,8
30-Jan-2008,8.44,9.5,6.82,7.97,8935,7.97
31-Jan-2008,8,8.5,7.9,8.18,4496,8.18
01-Feb-2008,7.99,8,7.65,8,6400,8
04-Feb-2008,8,8,7.95,7.95,323,7.95
