Date,Open,High,Low,Close,Volume,AdjClose
22-Jul-1988,0,7.59,7.49,7.59,26000,7.59
25-Jul-1988,0,7.59,7.49,7.49,7600,7.49
26-Jul-1988,0,7.59,7.49,7.49,8800,7.49
27-Jul-1988,0,7.59,7.49,7.49,34800,7.49
28-Jul-1988,0,7.59,7.49,7.49,86000,7.49
29-Jul-1988,0,7.49,7.49,7.49,82800,7.49
01-Aug-1988,0,7.59,7.49,7.49,88400,7.49
02-Aug-1988,0,7.59,7.49,7.49,15600,7.49
03-Aug-1988,0,7.59,7.49,7.59,20000,7.59
04-Aug-1988,0,7.59,7.49,7.49,20800,7.49
05-Aug-1988,0,7.49,7.49,7.49,25200,7.49
08-Aug-1988,0,7.49,7.49,7.49,7600,7.49
09-Aug-1988,0,7.49,7.49,7.49,29600,7.49
10-Aug-1988,0,7.59,7.49,7.49,32000,7.49
11-Aug-1988,0,7.59,7.49,7.49,42000,7.49
12-Aug-1988,0,7.59,7.49,7.59,16400,7.59
15-Aug-1988,0,7.59,7.49,7.59,10400,7.59
16-Aug-1988,0,7.59,7.49,7.49,38000,7.49
17-Aug-1988,0,7.59,7.49,7.49,25200,7.49
18-Aug-1988,0,7.49,7.49,7.49,14800,7.49
19-Aug-1988,0,7.49,7.49,7.49,28000,7.49
22-Aug-1988,0,7.59,7.49,7.49,24800,7.49
23-Aug-1988,0,7.59,7.49,7.49,105200,7.49
24-Aug-1988,0,7.49,7.12,7.21,36800,7.21
25-Aug-1988,0,7.31,7.12,7.31,11600,7.31
26-Aug-1988,0,7.31,7.21,7.21,8800,7.21
29-Aug-1988,0,7.31,7.21,7.21,3600,7.21
30-Aug-1988,0,7.21,7.12,7.12,8400,7.12
31-Aug-1988,0,7.12,7.12,7.12,18800,7.12
01-Sep-1988,0,7.21,7.12,7.12,12000,7.12
02-Sep-1988,0,7.21,7.12,7.21,2800,7.21
06-Sep-1988,0,7.21,7.21,7.21,3200,7.21
07-Sep-1988,0,7.21,7.12,7.21,12400,7.21
08-Sep-1988,0,7.21,7.12,7.21,81600,7.21
09-Sep-1988,0,7.21,7.12,7.21,98400,7.21
