Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2003,NaN,6.15,5.5,6.08,50000,5.69
03-Jan-2003,NaN,6.15,6.02,6.06,44800,5.67
06-Jan-2003,NaN,6.12,5.9,5.95,29700,5.57
07-Jan-2003,NaN,6.13,5.7,5.82,45800,5.45
08-Jan-2003,NaN,5.8,5.53,5.55,26600,5.2
09-Jan-2003,NaN,5.64,5.5,5.56,38400,5.21
10-Jan-2003,NaN,5.88,5.6,5.72,37500,5.36
13-Jan-2003,NaN,5.9,5.66,5.84,23900,5.47
14-Jan-2003,NaN,5.85,5.77,5.85,13400,5.48
15-Jan-2003,NaN,6.2,5.78,6.11,32400,5.72
16-Jan-2003,NaN,6.19,6,6.11,34100,5.72
17-Jan-2003,NaN,6.11,5.94,5.95,34900,5.57
21-Jan-2003,NaN,6.15,5.93,5.95,18900,5.57
22-Jan-2003,NaN,6.14,5.95,6.04,26000,5.65
23-Jan-2003,NaN,6.18,6,6.15,43200,5.76
24-Jan-2003,NaN,6.14,5.85,5.85,27600,5.48
27-Jan-2003,NaN,5.85,5.69,5.75,20600,5.38
28-Jan-2003,NaN,5.81,5.65,5.7,18500,5.34
29-Jan-2003,NaN,5.78,5.6,5.65,16400,5.29
30-Jan-2003,NaN,5.72,5.53,5.57,25200,5.21
31-Jan-2003,NaN,5.76,5.55,5.75,24500,5.38
03-Feb-2003,NaN,5.8,5.66,5.66,4500,5.3
04-Feb-2003,NaN,5.6,5.2,5.31,36500,4.97
05-Feb-2003,NaN,5.42,5.15,5.16,34500,4.83
06-Feb-2003,NaN,5.43,5.23,5.4,238300,5.06
07-Feb-2003,NaN,5.63,5.41,5.42,41700,5.07
10-Feb-2003,NaN,5.62,5.42,5.62,15900,5.26
11-Feb-2003,NaN,5.69,5.4,5.55,27300,5.2
12-Feb-2003,NaN,5.6,5.4,5.45,21000,5.1
13-Feb-2003,NaN,5.45,5.4,5.43,18500,5.08
14-Feb-2003,NaN,5.51,5.4,5.4,22300,5.06
18-Feb-2003,NaN,5.5,5.4,5.44,10500,5.09
19-Feb-2003,NaN,5.5,5.41,5.45,12300,5.1
20-Feb-2003,NaN,5.46,5.3,5.38,17400,5.04
21-Feb-2003,NaN,5.5,5.4,5.45,77000,5.1
24-Feb-2003,NaN,5.54,5.38,5.47,18300,5.12
25-Feb-2003,NaN,5.47,5.35,5.41,6800,5.06
26-Feb-2003,NaN,5.39,5,5.02,20200,4.7
27-Feb-2003,NaN,5.5,5.28,5.47,31400,5.12
28-Feb-2003,NaN,5.46,4.97,5.07,30000,4.75
03-Mar-2003,NaN,5.23,4.95,4.98,39300,4.66
04-Mar-2003,NaN,4.99,4.95,4.96,6200,4.64
05-Mar-2003,NaN,5,4.8,4.88,27900,4.57
06-Mar-2003,NaN,4.97,4.85,4.89,55100,4.58
