Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,3.2,3.08,3.08,17200,1.73
04-Jan-1978,0,3.2,3.08,3.08,28000,1.73
05-Jan-1978,0,3.2,3.08,3.08,36400,1.73
06-Jan-1978,0,3.13,3,3,24400,1.68
09-Jan-1978,0,3.08,2.95,2.95,26400,1.66
10-Jan-1978,0,3,2.87,2.87,26400,1.61
11-Jan-1978,0,2.82,2.71,2.71,40000,1.52
12-Jan-1978,0,2.82,2.71,2.71,42400,1.52
13-Jan-1978,0,2.82,2.71,2.71,68800,1.52
16-Jan-1978,0,2.79,2.66,2.66,15600,1.49
17-Jan-1978,0,2.79,2.66,2.66,17200,1.49
18-Jan-1978,0,2.75,2.62,2.62,20800,1.47
19-Jan-1978,0,2.75,2.62,2.62,13600,1.47
20-Jan-1978,0,2.75,2.62,2.62,8800,1.47
23-Jan-1978,0,2.71,2.58,2.58,109600,1.45
24-Jan-1978,0,2.75,2.62,2.62,19200,1.47
25-Jan-1978,0,2.87,2.75,2.75,34800,1.54
26-Jan-1978,0,2.82,2.71,2.71,37600,1.52
27-Jan-1978,0,2.79,2.66,2.66,26800,1.49
30-Jan-1978,0,2.82,2.71,2.71,14800,1.52
31-Jan-1978,0,2.82,2.71,2.71,18400,1.52
01-Feb-1978,0,2.95,2.82,2.82,43600,1.58
02-Feb-1978,0,3,2.87,2.87,42000,1.61
03-Feb-1978,0,3.03,2.92,2.92,15600,1.64
06-Feb-1978,0,3.03,2.92,2.92,1200,1.64
07-Feb-1978,NaN,NaN,NaN,2.92,0,1.64
08-Feb-1978,0,3.16,3.03,3.03,34800,1.7
09-Feb-1978,0,3.16,3.03,3.03,21600,1.7
10-Feb-1978,0,3.16,3.03,3.03,26800,1.7
13-Feb-1978,0,3.37,3.24,3.24,59200,1.82
14-Feb-1978,0,3.29,3.16,3.16,92800,1.77
15-Feb-1978,0,3.24,3.13,3.13,34000,1.76
16-Feb-1978,0,3.24,3.13,3.13,55600,1.76
17-Feb-1978,0,3.24,3.13,3.13,28000,1.76
21-Feb-1978,0,3.2,3.08,3.08,36000,1.73
22-Feb-1978,0,3.16,3.03,3.03,32800,1.7
23-Feb-1978,0,3.16,3.03,3.03,8400,1.7
24-Feb-1978,0,3.16,3.03,3.03,9600,1.7
27-Feb-1978,0,3.13,3,3,7600,1.68
28-Feb-1978,0,3.08,2.95,2.95,29200,1.66
01-Mar-1978,0,3.08,2.95,2.95,40800,1.66
02-Mar-1978,0,3.16,3.03,3.03,25600,1.7
03-Mar-1978,0,3.16,3.03,3.03,16000,1.7
06-Mar-1978,0,3.13,3,3,14800,1.68
07-Mar-1978,0,3.13,3,3,7600,1.68
08-Mar-1978,0,3.16,3.03,3.03,19600,1.7
09-Mar-1978,0,3.16,3.03,3.03,20400,1.7
10-Mar-1978,0,3.2,3.08,3.08,28000,1.73
13-Mar-1978,0,3.2,3.08,3.08,17200,1.73
14-Mar-1978,0,3.41,3.29,3.29,35200,1.85
15-Mar-1978,0,3.41,3.29,3.29,26400,1.85
16-Mar-1978,0,3.37,3.24,3.24,8400,1.82
17-Mar-1978,0,3.45,3.33,3.33,60400,1.87
