Date,Open,High,Low,Close,Volume,AdjClose
17-Mar-1992,0,6.2,5.69,6.07,22599,2.5
18-Mar-1992,0,6.2,5.69,6.2,10200,2.55
19-Mar-1992,0,6.45,5.69,6.2,18500,2.55
20-Mar-1992,NaN,NaN,NaN,6.2,0,2.55
23-Mar-1992,0,5.69,5.69,5.69,800,2.34
24-Mar-1992,0,6.07,5.76,5.76,2701,2.37
25-Mar-1992,0,6.33,5.69,5.69,4700,2.34
26-Mar-1992,0,6.33,6.33,6.33,100,2.61
27-Mar-1992,0,6.07,6.07,6.07,2500,2.5
30-Mar-1992,0,6.07,6.07,6.07,1401,2.5
31-Mar-1992,0,6.2,6.2,6.2,400,2.55
01-Apr-1992,0,6.07,6.07,6.07,500,2.5
02-Apr-1992,0,6.07,5.69,6.07,2600,2.5
03-Apr-1992,0,6.2,5.69,5.69,3501,2.34
06-Apr-1992,0,6.2,6.2,6.2,100,2.55
07-Apr-1992,0,6.07,5.69,6.07,1401,2.5
08-Apr-1992,0,6.07,6.07,6.07,400,2.5
09-Apr-1992,0,6.07,6.01,6.07,4300,2.5
10-Apr-1992,0,6.07,6.07,6.07,699,2.5
13-Apr-1992,0,6.07,5.82,6.07,4401,2.5
14-Apr-1992,0,6.07,5.82,5.82,4700,2.4
15-Apr-1992,0,6.07,5.82,5.82,1401,2.4
16-Apr-1992,0,6.07,5.82,5.95,14101,2.45
20-Apr-1992,0,5.95,5.95,5.95,500,2.45
21-Apr-1992,0,5.95,5.95,5.95,2500,2.45
22-Apr-1992,0,5.95,5.63,5.95,3599,2.45
23-Apr-1992,0,5.95,5.69,5.69,8000,2.34
24-Apr-1992,NaN,NaN,NaN,5.69,0,2.34
27-Apr-1992,0,5.95,5.57,5.95,10600,2.45
28-Apr-1992,0,5.95,5.95,5.95,1300,2.45
29-Apr-1992,0,6.07,5.82,6.07,15499,2.5
30-Apr-1992,0,5.95,5.82,5.82,26200,2.4
01-May-1992,0,6.2,5.82,6.2,2900,2.55
04-May-1992,0,6.2,5.95,5.95,2600,2.45
05-May-1992,0,5.95,5.95,5.95,900,2.45
06-May-1992,0,6.07,5.82,5.82,800,2.4
07-May-1992,0,6.2,5.88,5.88,699,2.42
08-May-1992,0,5.95,5.95,5.95,299,2.45
11-May-1992,0,6.2,5.95,6.2,3501,2.55
12-May-1992,0,6.07,5.88,6.07,20700,2.5
13-May-1992,0,6.2,6.2,6.2,2301,2.55
14-May-1992,0,6.33,6.33,6.33,900,2.61
15-May-1992,NaN,NaN,NaN,6.33,0,2.61
18-May-1992,0,6.33,6.33,6.33,500,2.61
19-May-1992,NaN,NaN,NaN,6.33,0,2.61
20-May-1992,0,6.45,6.45,6.45,100,2.66
21-May-1992,0,5.95,5.95,5.95,100,2.45
22-May-1992,0,6.45,6.07,6.07,1401,2.5
26-May-1992,0,6.14,6.07,6.07,4899,2.52
27-May-1992,0,6.58,6.26,6.58,14000,2.74
28-May-1992,0,6.83,6.2,6.2,8000,2.58
29-May-1992,0,6.2,6.2,6.2,800,2.58
01-Jun-1992,0,6.83,6.39,6.83,500,2.84
02-Jun-1992,0,7.08,6.2,6.7,11400,2.78
03-Jun-1992,0,6.7,6.33,6.7,8400,2.78
04-Jun-1992,0,7.21,7.08,7.08,2500,2.94
05-Jun-1992,0,6.96,6.58,6.58,3501,2.74
08-Jun-1992,0,6.96,6.83,6.83,3900,2.84
09-Jun-1992,0,7.08,6.58,7.08,500,2.94
10-Jun-1992,0,6.64,6.64,6.64,400,2.76
11-Jun-1992,0,6.96,6.83,6.96,7100,2.89
12-Jun-1992,0,7.21,7.21,7.21,900,3
15-Jun-1992,NaN,NaN,NaN,7.21,0,3
16-Jun-1992,0,7.46,7.08,7.46,10600,3.1
17-Jun-1992,0,6.83,6.83,6.83,3900,2.84
18-Jun-1992,NaN,NaN,NaN,6.83,0,2.84
19-Jun-1992,NaN,NaN,NaN,6.83,0,2.84
22-Jun-1992,0,7.59,6.83,6.83,2701,2.84
23-Jun-1992,0,6.83,6.83,6.83,100,2.84
24-Jun-1992,0,6.83,6.83,6.83,1401,2.84
25-Jun-1992,0,7.21,6.83,7.21,800,3
26-Jun-1992,0,7.34,6.83,7.34,800,3.05
29-Jun-1992,NaN,NaN,NaN,7.34,0,3.05
30-Jun-1992,NaN,NaN,NaN,7.34,0,3.05
01-Jul-1992,0,7.34,6.83,6.83,699,2.84
02-Jul-1992,NaN,NaN,NaN,6.83,0,2.84
06-Jul-1992,0,7.59,7.59,7.59,3000,3.15
07-Jul-1992,0,7.59,7.59,7.59,800,3.15
08-Jul-1992,NaN,NaN,NaN,7.59,0,3.15
09-Jul-1992,0,7.08,7.08,7.08,400,2.94
10-Jul-1992,0,7.59,7.59,7.59,100,3.15
13-Jul-1992,0,7.59,7.08,7.59,1401,3.15
14-Jul-1992,0,7.08,7.08,7.08,4099,2.94
