Date,Open,High,Low,Close,Volume,AdjClose
05-May-1999,0,6.94,6.19,6.82,2336101,6.03
06-May-1999,0,7.12,6.55,7.12,139600,6.3
07-May-1999,0,7.64,7.1,7.27,340301,6.43
10-May-1999,0,7.72,6.6,6.68,914500,5.91
11-May-1999,0,6.9,6.23,6.73,532700,5.95
12-May-1999,0,6.94,6.64,6.82,212601,6.03
13-May-1999,0,6.88,6.68,6.68,95401,5.91
14-May-1999,0,6.79,6.6,6.64,150400,5.87
17-May-1999,0,6.64,6.45,6.45,111500,5.7
18-May-1999,0,6.6,6.45,6.47,176199,5.72
19-May-1999,0,6.6,6.31,6.49,396100,5.74
20-May-1999,0,6.45,6.16,6.34,186101,5.61
21-May-1999,0,6.45,6.05,6.08,223401,5.38
24-May-1999,0,6.23,5.3,5.64,340301,4.99
25-May-1999,0,5.68,5.56,5.62,247198,4.97
26-May-1999,0,5.6,5.53,5.6,247198,4.95
27-May-1999,0,5.97,5.56,5.9,205700,5.22
28-May-1999,0,6.01,5.82,6.01,127001,5.31
01-Jun-1999,0,6.23,5.93,6.23,101199,5.51
02-Jun-1999,0,6.4,6.12,6.19,67601,5.47
03-Jun-1999,0,6.38,6.05,6.31,183401,5.58
04-Jun-1999,0,6.53,6.31,6.38,64000,5.64
07-Jun-1999,0,6.68,6.34,6.53,98698,5.77
08-Jun-1999,0,6.64,6.23,6.23,335401,5.51
09-Jun-1999,0,6.42,6.16,6.16,28299,5.45
10-Jun-1999,0,6.23,6.16,6.16,23098,5.45
11-Jun-1999,0,6.19,5.19,5.79,406100,5.12
14-Jun-1999,0,5.82,4.86,4.99,226800,4.41
15-Jun-1999,0,5.04,4.82,4.93,713499,4.36
16-Jun-1999,0,5.55,4.95,5.42,1031299,4.79
17-Jun-1999,0,5.68,5.47,5.64,55498,4.99
18-Jun-1999,0,5.64,5.49,5.51,18400,4.87
21-Jun-1999,0,5.53,5.34,5.36,71499,4.74
22-Jun-1999,0,5.42,5.27,5.34,84301,4.72
23-Jun-1999,0,5.42,5.34,5.34,7300,4.72
24-Jun-1999,0,5.34,5.34,5.34,15700,4.72
25-Jun-1999,0,5.42,5.3,5.42,21100,4.79
28-Jun-1999,0,5.42,5.27,5.32,14101,4.7
29-Jun-1999,0,5.42,5.3,5.42,53500,4.79
30-Jun-1999,0,6.19,5.27,6.19,676299,5.47
01-Jul-1999,0,6.1,5.73,5.82,68401,5.15
02-Jul-1999,0,6.08,5.71,5.88,87001,5.2
06-Jul-1999,0,6.19,5.79,6.16,82900,5.45
07-Jul-1999,0,6.19,5.64,5.9,71698,5.22
08-Jul-1999,0,6.23,5.82,5.84,119300,5.16
09-Jul-1999,0,6.01,5.75,5.9,82900,5.22
12-Jul-1999,0,6.06,5.49,5.93,180100,5.24
13-Jul-1999,0,5.9,5.53,5.71,115999,5.05
14-Jul-1999,0,5.93,5.6,5.71,24401,5.05
15-Jul-1999,0,5.75,5.56,5.71,25599,5.05
16-Jul-1999,0,5.75,5.64,5.64,19501,4.99
19-Jul-1999,0,5.66,5.17,5.25,225501,4.64
20-Jul-1999,0,5.3,4.82,5.04,375999,4.46
21-Jul-1999,0,5.16,4.78,4.86,417201,4.3
22-Jul-1999,0,5.01,4.86,4.86,67500,4.3
