Date,Open,High,Low,Close,Volume,AdjClose
10-Jan-2007,2.75,3.03,2.75,3.03,1000,3.03
11-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
12-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
16-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
17-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
18-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
19-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
22-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
23-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
24-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
25-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
26-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
29-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
30-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
31-Jan-2007,NaN,NaN,NaN,3.03,0,3.03
01-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
02-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
05-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
06-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
07-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
08-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
09-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
12-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
13-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
14-Feb-2007,NaN,NaN,NaN,3.03,0,3.03
15-Feb-2007,1.1,3,1.1,3,900,3
16-Feb-2007,NaN,NaN,NaN,3,0,3
20-Feb-2007,NaN,NaN,NaN,3,0,3
21-Feb-2007,NaN,NaN,NaN,3,0,3
22-Feb-2007,NaN,NaN,NaN,3,0,3
23-Feb-2007,NaN,NaN,NaN,3,0,3
26-Feb-2007,NaN,NaN,NaN,3,0,3
27-Feb-2007,NaN,NaN,NaN,3,0,3
28-Feb-2007,NaN,NaN,NaN,3,0,3
01-Mar-2007,NaN,NaN,NaN,3,0,3
02-Mar-2007,NaN,NaN,NaN,3,0,3
05-Mar-2007,NaN,NaN,NaN,3,0,3
06-Mar-2007,NaN,NaN,NaN,3,0,3
07-Mar-2007,NaN,NaN,NaN,3,0,3
08-Mar-2007,NaN,NaN,NaN,3,0,3
09-Mar-2007,NaN,NaN,NaN,3,0,3
12-Mar-2007,NaN,NaN,NaN,3,0,3
13-Mar-2007,NaN,NaN,NaN,3,0,3
14-Mar-2007,NaN,NaN,NaN,3,0,3
15-Mar-2007,NaN,NaN,NaN,3,0,3
16-Mar-2007,NaN,NaN,NaN,3,0,3
19-Mar-2007,NaN,NaN,NaN,3,0,3
20-Mar-2007,NaN,NaN,NaN,3,0,3
21-Mar-2007,NaN,NaN,NaN,3,0,3
22-Mar-2007,NaN,NaN,NaN,3,0,3
23-Mar-2007,3,3,3,3,1000,3
26-Mar-2007,4,4,3.5,3.5,200,3.5
27-Mar-2007,NaN,NaN,NaN,3.5,0,3.5
28-Mar-2007,4,4,3.8,3.8,6600,3.8
29-Mar-2007,NaN,NaN,NaN,3.8,0,3.8
30-Mar-2007,5,5,5,5,100,5
02-Apr-2007,5,5,5,5,300,5
03-Apr-2007,NaN,NaN,NaN,5,0,5
04-Apr-2007,NaN,NaN,NaN,5,0,5
05-Apr-2007,NaN,NaN,NaN,5,0,5
09-Apr-2007,NaN,NaN,NaN,5,0,5
10-Apr-2007,NaN,NaN,NaN,5,0,5
11-Apr-2007,NaN,NaN,NaN,5,0,5
12-Apr-2007,NaN,NaN,NaN,5,0,5
13-Apr-2007,4,4,4,4,400,4
16-Apr-2007,NaN,NaN,NaN,4,0,4
17-Apr-2007,NaN,NaN,NaN,4,0,4
18-Apr-2007,NaN,NaN,NaN,4,0,4
19-Apr-2007,NaN,NaN,NaN,4,0,4
20-Apr-2007,NaN,NaN,NaN,4,0,4
23-Apr-2007,NaN,NaN,NaN,4,0,4
24-Apr-2007,NaN,NaN,NaN,4,0,4
25-Apr-2007,3.4,3.4,3.4,3.4,2000,3.4
26-Apr-2007,NaN,NaN,NaN,3.4,0,3.4
27-Apr-2007,3.4,3.4,3.4,3.4,2400,3.4
30-Apr-2007,NaN,NaN,NaN,3.4,0,3.4
01-May-2007,NaN,NaN,NaN,3.4,0,3.4
02-May-2007,3.75,4,3.75,4,2000,4
03-May-2007,4,5,4,4.75,5600,4.75
04-May-2007,5,5,4.1,4.5,3100,4.5
07-May-2007,4.5,4.8,4,4.8,6900,4.8
08-May-2007,NaN,NaN,NaN,4.8,0,4.8
09-May-2007,NaN,NaN,NaN,4.8,0,4.8
10-May-2007,4.9,4.9,4.9,4.9,500,4.9
11-May-2007,4.9,4.9,4.9,4.9,500,4.9
14-May-2007,4.9,4.9,4.9,4.9,500,4.9
15-May-2007,NaN,NaN,NaN,4.9,0,4.9
16-May-2007,NaN,NaN,NaN,4.9,0,4.9
17-May-2007,NaN,NaN,NaN,4.9,0,4.9
18-May-2007,4.8,4.8,4.75,4.75,2000,4.75
21-May-2007,4.3,4.5,4.3,4.5,2100,4.5
22-May-2007,4.4,4.5,4.4,4.4,4000,4.4
23-May-2007,4.4,4.4,4.4,4.4,200,4.4
24-May-2007,4.2,4.4,4.1,4.4,1600,4.4
25-May-2007,4.4,4.4,4.4,4.4,1000,4.4
29-May-2007,NaN,NaN,NaN,4.4,0,4.4
30-May-2007,4.3,4.3,4.15,4.15,1000,4.15
31-May-2007,4.3,4.3,4.3,4.3,1000,4.3
01-Jun-2007,4.25,4.25,4.25,4.25,1300,4.25
04-Jun-2007,4.25,4.3,4.15,4.3,3400,4.3
05-Jun-2007,4.25,4.25,4,4,3500,4
06-Jun-2007,4.4,4.4,4.35,4.4,5300,4.4
07-Jun-2007,4.4,4.4,4,4.3,2200,4.3
08-Jun-2007,4.4,4.4,4.2,4.3,3500,4.3
11-Jun-2007,4.3,4.3,4.3,4.3,300,4.3
12-Jun-2007,4.1,4.35,4.1,4.35,1000,4.35
13-Jun-2007,NaN,NaN,NaN,4.35,0,4.35
14-Jun-2007,4.35,4.35,4.35,4.35,3300,4.35
15-Jun-2007,4.35,4.35,4.1,4.1,1400,4.1
18-Jun-2007,4,4.35,4,4.35,600,4.35
19-Jun-2007,4.35,4.35,4.35,4.35,2000,4.35
20-Jun-2007,4.5,4.5,4.3,4.5,5300,4.5
21-Jun-2007,4.6,4.6,4.55,4.55,2600,4.55
22-Jun-2007,4.6,5.5,4.55,5.5,5800,5.5
25-Jun-2007,5,5.4,5,5,4400,5
26-Jun-2007,4.3,4.65,4.2,4.3,2600,4.3
27-Jun-2007,4.4,5.25,4.4,5.2,19000,5.2
28-Jun-2007,5.1,5.25,5.1,5.25,3600,5.25
29-Jun-2007,5.25,5.25,5.25,5.25,2000,5.25
02-Jul-2007,5.4,5.4,5.35,5.4,3600,5.4
03-Jul-2007,4.95,5.5,4.95,5.5,900,5.5
05-Jul-2007,NaN,NaN,NaN,5.5,0,5.5
06-Jul-2007,5.5,5.6,5.5,5.6,4900,5.6
09-Jul-2007,5.2,5.75,4.4,5.75,10700,5.75
10-Jul-2007,5.7,6,5.6,6,4500,6
11-Jul-2007,NaN,NaN,NaN,6,0,6
12-Jul-2007,5.5,5.5,5.5,5.5,1000,5.5
13-Jul-2007,NaN,NaN,NaN,5.5,0,5.5
16-Jul-2007,5.65,5.65,5.65,5.65,500,5.65
17-Jul-2007,NaN,NaN,NaN,5.65,0,5.65
18-Jul-2007,5.5,5.5,5.5,5.5,600,5.5
19-Jul-2007,6,6,5.25,5.25,2400,5.25
20-Jul-2007,5,5,4.5,5,7200,5
23-Jul-2007,5.25,5.3,5.25,5.3,2100,5.3
24-Jul-2007,5.4,5.5,5.4,5.4,2000,5.4
25-Jul-2007,NaN,NaN,NaN,5.4,0,5.4
26-Jul-2007,NaN,NaN,NaN,5.4,0,5.4
27-Jul-2007,NaN,NaN,NaN,5.4,0,5.4
30-Jul-2007,5.1,5.1,5,5,2500,5
31-Jul-2007,5,5,5,5,700,5
01-Aug-2007,5.25,5.25,5.25,5.25,200,5.25
02-Aug-2007,NaN,NaN,NaN,5.25,0,5.25
03-Aug-2007,5.25,5.25,5.25,5.25,300,5.25
06-Aug-2007,NaN,NaN,NaN,5.25,0,5.25
07-Aug-2007,NaN,NaN,NaN,5.25,0,5.25
08-Aug-2007,5.1,5.25,5.1,5.25,1500,5.25
09-Aug-2007,4.3,5.25,4.3,5.25,200,5.25
10-Aug-2007,4.6,4.99,4.3,4.9,1900,4.9
13-Aug-2007,4.85,4.85,4.75,4.75,900,4.75
14-Aug-2007,4.95,5.25,4.95,5,13700,5
15-Aug-2007,NaN,NaN,NaN,5,0,5
16-Aug-2007,NaN,NaN,NaN,5,0,5
17-Aug-2007,5,6.5,5,5.5,16800,5.5
20-Aug-2007,5.05,5.5,5.05,5.5,1100,5.5
21-Aug-2007,5.25,5.5,5.25,5.5,3000,5.5
22-Aug-2007,NaN,NaN,NaN,5.5,0,5.5
23-Aug-2007,NaN,NaN,NaN,5.5,0,5.5
24-Aug-2007,5.3,5.3,5.3,5.3,200,5.3
27-Aug-2007,NaN,NaN,NaN,5.3,0,5.3
28-Aug-2007,NaN,NaN,NaN,5.3,0,5.3
29-Aug-2007,NaN,NaN,NaN,5.3,0,5.3
30-Aug-2007,4.7,5.2,4.7,5.2,4700,5.2
31-Aug-2007,NaN,NaN,NaN,5.2,0,5.2
04-Sep-2007,4.7,5.2,4.7,5.2,2200,5.2
05-Sep-2007,NaN,NaN,NaN,5.2,0,5.2
06-Sep-2007,NaN,NaN,NaN,5.2,0,5.2
07-Sep-2007,NaN,NaN,NaN,5.2,0,5.2
10-Sep-2007,4.5,4.5,4.5,4.5,1000,4.5
11-Sep-2007,4.8,5.2,4.6,5.2,7800,5.2
12-Sep-2007,5.2,5.2,5,5,4000,5
13-Sep-2007,5,5,5,5,400,5
14-Sep-2007,5.05,5.05,5.05,5.05,500,5.05
17-Sep-2007,NaN,NaN,NaN,5.05,0,5.05
18-Sep-2007,5,5,4.95,4.95,1000,4.95
19-Sep-2007,4.8,5.05,4.8,4.95,900,4.95
20-Sep-2007,4.8,5.05,4.8,4.95,11600,4.95
21-Sep-2007,4.95,5.05,4.27,5.02,305600,5.02
24-Sep-2007,4.85,4.95,4.7,4.95,3800,4.95
25-Sep-2007,NaN,NaN,NaN,4.95,0,4.95
26-Sep-2007,NaN,NaN,NaN,4.95,0,4.95
27-Sep-2007,4.95,4.95,4.8,4.8,4300,4.8
28-Sep-2007,4.8,4.95,4.8,4.95,11600,4.95
01-Oct-2007,5.05,5.05,4.8,5,2200,5
02-Oct-2007,5,5.2,4.5,5.2,7100,5.2
03-Oct-2007,5.1,5.1,5.05,5.1,3300,5.1
04-Oct-2007,5.15,5.6,5.13,5.25,30400,5.25
05-Oct-2007,5.25,5.25,5.1,5.12,15000,5.12
08-Oct-2007,5.12,5.13,4.75,5,6100,5
09-Oct-2007,4.8,5.05,4.4,5,9200,5
10-Oct-2007,5,5,5,5,1200,5
11-Oct-2007,NaN,NaN,NaN,5,0,5
12-Oct-2007,4.85,5,4.85,5,2500,5
15-Oct-2007,5,5,4.85,5,10000,5
16-Oct-2007,4.86,5.1,4.86,5.1,80200,5.1
17-Oct-2007,5.3,5.3,4.92,4.92,19000,4.92
18-Oct-2007,5,5,4.57,4.95,502700,4.95
19-Oct-2007,5.2,5.2,5.2,5.2,100,5.2
22-Oct-2007,5,5,5,5,1200,5
23-Oct-2007,4.95,5.2,4.95,5.2,4200,5.2
24-Oct-2007,4.9,5.2,4.9,5.2,1500,5.2
25-Oct-2007,5.05,5.15,5.05,5.15,23500,5.15
26-Oct-2007,4.9,5.38,4.9,5.25,18000,5.25
29-Oct-2007,5.25,5.5,5.25,5.5,16800,5.5
30-Oct-2007,5.6,5.79,5.5,5.6,44900,5.6
31-Oct-2007,5.6,5.6,5.4,5.53,17800,5.53
01-Nov-2007,5.4,5.6,5.4,5.5,31700,5.5
02-Nov-2007,5.4,5.6,5.4,5.6,13400,5.6
05-Nov-2007,5.6,5.75,5.51,5.7,8400,5.7
06-Nov-2007,5.75,5.85,5.4,5.75,130100,5.75
07-Nov-2007,5.75,5.75,5.4,5.45,126400,5.45
08-Nov-2007,5.1,5.55,5.05,5.5,19400,5.5
09-Nov-2007,5.3,5.48,5.3,5.48,26800,5.48
12-Nov-2007,5.4,5.5,5.4,5.5,7800,5.5
13-Nov-2007,5.49,5.5,5.17,5.5,72000,5.5
14-Nov-2007,5.45,5.45,5.25,5.4,10600,5.4
15-Nov-2007,5.3,5.4,5.2,5.4,7600,5.4
16-Nov-2007,5.4,5.4,5.4,5.4,100,5.4
19-Nov-2007,5.37,5.4,5.25,5.4,112000,5.4
20-Nov-2007,5.4,5.4,5.35,5.35,14100,5.35
21-Nov-2007,5.3,5.35,5.3,5.35,13000,5.35
23-Nov-2007,5.4,5.4,5.4,5.4,3000,5.4
26-Nov-2007,5.43,5.45,5.35,5.4,15400,5.4
27-Nov-2007,5.4,5.5,5.4,5.4,25900,5.4
28-Nov-2007,5.4,6,5.4,5.98,36100,5.98
29-Nov-2007,5.7,6.95,5.7,6.1,333100,6.1
30-Nov-2007,6.5,6.5,6,6.39,119900,6.39
03-Dec-2007,6.45,6.45,6.35,6.4,2800,6.4
04-Dec-2007,6.4,6.5,6.1,6.29,43800,6.29
05-Dec-2007,6.44,6.69,6.3,6.6,86600,6.6
06-Dec-2007,6.75,6.85,6.67,6.75,267700,6.75
07-Dec-2007,6.8,7.9,6.7,7.8,131900,7.8
10-Dec-2007,8.35,8.45,7.55,7.9,127700,7.9
11-Dec-2007,7.9,7.91,7.5,7.8,53200,7.8
12-Dec-2007,7.8,7.8,7.5,7.75,39700,7.75
13-Dec-2007,7.75,7.75,7.3,7.4,127000,7.4
14-Dec-2007,7.4,7.55,6.5,7.2,39000,7.2
17-Dec-2007,6.7,7.2,6.4,7,12100,7
18-Dec-2007,7,7,6.51,6.51,11900,6.51
19-Dec-2007,6.5,7.2,6.5,7,50500,7
20-Dec-2007,6.95,7,6.8,6.95,23500,6.95
21-Dec-2007,6.95,7,6.61,6.95,76400,6.95
24-Dec-2007,6.95,6.95,6.5,6.9,10500,6.9
26-Dec-2007,6.9,6.9,6.5,6.65,30700,6.65
27-Dec-2007,6.65,6.65,6.1,6.5,59100,6.5
28-Dec-2007,6.5,6.58,6,6.55,125900,6.55
31-Dec-2007,6.1,6.95,6.1,6.95,35300,6.95
02-Jan-2008,6.5,6.95,6.3,6.8,23400,6.8
03-Jan-2008,6.71,6.85,6.55,6.8,10200,6.8
04-Jan-2008,6.8,6.85,6.6,6.75,16500,6.75
07-Jan-2008,6.75,6.85,6.51,6.7,7300,6.7
08-Jan-2008,6.75,6.9,6.55,6.9,38500,6.9
09-Jan-2008,7,7.02,6.9,7,46100,7
10-Jan-2008,7,7.05,6.71,6.8,115400,6.8
11-Jan-2008,6.7,6.8,6.7,6.8,22500,6.8
14-Jan-2008,6.9,6.9,6.5,6.86,31700,6.86
15-Jan-2008,6.86,6.95,6.6,6.88,49700,6.88
16-Jan-2008,6.9,6.9,6.55,6.85,99800,6.85
17-Jan-2008,6.85,6.85,6.72,6.75,36900,6.75
18-Jan-2008,6.75,6.75,6.5,6.5,768000,6.5
22-Jan-2008,6.05,6.1,5.8,6.1,23800,6.1
23-Jan-2008,5.75,6.13,5.75,6.1,47700,6.1
24-Jan-2008,6.1,6.1,5.75,6.1,35200,6.1
25-Jan-2008,6.1,6.15,5.75,6.1,212600,6.1
28-Jan-2008,6.1,6.3,6.1,6.3,93500,6.3
29-Jan-2008,6.2,6.35,6,6.25,394700,6.25
30-Jan-2008,6.2,6.25,6.15,6.2,13600,6.2
31-Jan-2008,6.2,6.27,6.14,6.27,28600,6.27
01-Feb-2008,6.25,6.3,6.25,6.29,22500,6.29
04-Feb-2008,6.25,6.35,6.05,6.05,41200,6.05
05-Feb-2008,6.05,6.05,6,6,5800,6
06-Feb-2008,6,6.1,5.98,6.02,42800,6.02
07-Feb-2008,6.02,6.24,6,6.15,10900,6.15
08-Feb-2008,6.15,6.2,6.05,6.15,30100,6.15
11-Feb-2008,6.2,6.26,6.05,6.2,231000,6.2
12-Feb-2008,6.11,6.3,6,6.3,117800,6.3
13-Feb-2008,6.3,6.3,6.24,6.27,20900,6.27
14-Feb-2008,6.2,6.24,6.18,6.22,221800,6.22
15-Feb-2008,6.21,6.21,6.01,6.15,126200,6.15
19-Feb-2008,6.1,6.15,5.95,6,89000,6
20-Feb-2008,5.9,6.05,5.75,6,45700,6
21-Feb-2008,6,6.05,5.97,6,67800,6
22-Feb-2008,6.05,6.05,5.95,6,23800,6
25-Feb-2008,6,6,5.9,6,94300,6
26-Feb-2008,6,6,5.75,5.8,47400,5.8
27-Feb-2008,5.75,6.12,5.65,6.08,57800,6.08
28-Feb-2008,6.1,6.55,6.03,6.5,1158100,6.5
29-Feb-2008,6.55,6.75,6.5,6.75,196700,6.75
03-Mar-2008,6.75,7.05,6.5,6.95,93500,6.95
04-Mar-2008,7,7,6.5,6.6,43900,6.6
05-Mar-2008,6.5,6.52,6.4,6.4,112100,6.4
06-Mar-2008,6.42,6.65,6.42,6.65,68900,6.65
07-Mar-2008,6.65,6.65,6.5,6.65,17800,6.65
10-Mar-2008,6.5,6.75,6.45,6.75,43300,6.75
11-Mar-2008,6.75,7.2,6.6,7.1,103600,7.1
12-Mar-2008,7,7.2,7,7.2,39400,7.2
13-Mar-2008,7.2,7.2,6.95,7.05,47100,7.05
14-Mar-2008,7.05,7.05,6.95,7,27800,7
17-Mar-2008,7,7,6.85,7,32700,7
18-Mar-2008,7,7.25,7,7.25,30900,7.25
19-Mar-2008,7.25,7.3,7.05,7.05,107900,7.05
20-Mar-2008,7.15,7.15,6.85,7.05,16700,7.05
24-Mar-2008,7.1,7.1,7,7.05,41900,7.05
25-Mar-2008,7.05,7.05,6.95,7,62600,7
26-Mar-2008,7,7.09,6.95,7.09,389034,7.09
27-Mar-2008,7.13,7.13,7.02,7.05,134200,7.05
28-Mar-2008,7.11,7.11,6.99,7.05,206500,7.05
31-Mar-2008,7.09,7.14,7,7.09,88200,7.09
01-Apr-2008,7.05,7.15,7,7.03,203185,7.03
02-Apr-2008,7.05,7.05,7,7.04,139100,7.04
03-Apr-2008,7,7.05,6.95,7.05,145200,7.05
04-Apr-2008,7.05,7.22,7.04,7.17,192100,7.17
07-Apr-2008,7.18,7.82,7.17,7.72,530213,7.72
08-Apr-2008,7.77,8.25,7.7,8.18,660260,8.18
09-Apr-2008,8.58,9.1,8.36,9.1,833431,9.1
10-Apr-2008,9.29,9.74,8.42,8.69,757927,8.69
11-Apr-2008,8.9,9.25,8.36,9.02,428498,9.02
14-Apr-2008,9.47,10.29,9.19,9.91,1055248,9.91
15-Apr-2008,10.15,10.19,9.41,9.9,783337,9.9
16-Apr-2008,10.27,10.61,9.96,10.1,535765,10.1
17-Apr-2008,10.19,10.24,10.01,10.18,297416,10.18
18-Apr-2008,10.22,10.35,9.85,10.01,215137,10.01
21-Apr-2008,10.09,10.15,9.9,10.1,194301,10.1
22-Apr-2008,9.95,10.14,8.8,10.02,380122,10.02
23-Apr-2008,10,10.1,9.5,9.81,176191,9.81
24-Apr-2008,9.9,10.09,9.11,9.28,279649,9.28
25-Apr-2008,9.02,9.54,9,9.25,167256,9.25
28-Apr-2008,9.48,9.99,9.25,9.69,422981,9.69
29-Apr-2008,9.82,9.83,9.36,9.6,174452,9.6
30-Apr-2008,9.51,9.75,9.36,9.63,149559,9.63
01-May-2008,9.65,9.75,9.3,9.59,107855,9.59
02-May-2008,9.6,9.69,9.41,9.65,94701,9.65
05-May-2008,9.69,10.18,9.65,10.11,541993,10.11
06-May-2008,10.1,10.89,10.1,10.74,716928,10.74
07-May-2008,10.89,10.89,10.25,10.6,247744,10.6
08-May-2008,10.83,10.83,10.25,10.4,168883,10.4
09-May-2008,10.63,10.8,10.25,10.31,236004,10.31
12-May-2008,10.73,10.73,9.9,10.28,241997,10.28
13-May-2008,10.26,10.38,9.9,10.22,144524,10.22
14-May-2008,10.25,10.46,10.05,10.14,147541,10.14
15-May-2008,10.33,11,10.14,10.7,546948,10.7
16-May-2008,11,11.2,10.5,10.77,312113,10.77
19-May-2008,10.8,10.97,10.41,10.47,345813,10.47
20-May-2008,10.8,11.65,10.47,11.39,1076752,11.39
21-May-2008,11.6,11.79,11.06,11.4,710261,11.4
22-May-2008,11.59,11.84,10.38,10.63,504475,10.63
23-May-2008,10.01,10.51,8.88,10.29,467743,10.29
27-May-2008,10.49,11,9.96,10.07,226212,10.07
28-May-2008,10.25,10.46,10.12,10.2,267692,10.2
29-May-2008,10.2,10.85,10.15,10.5,345752,10.5
30-May-2008,10.4,11.75,10.4,11.6,608739,11.6
02-Jun-2008,11.5,12.05,11.02,11.43,770190,11.43
03-Jun-2008,11.5,12.65,11.32,12.65,1258673,12.65
04-Jun-2008,12.68,13.5,12.48,12.77,1329693,12.77
05-Jun-2008,13.24,13.76,12.4,13.55,1186481,13.55
06-Jun-2008,14.85,15.1,14.1,14.18,2089625,14.18
09-Jun-2008,14.9,15.11,14.11,14.44,1108730,14.44
10-Jun-2008,14.82,14.9,14,14.2,599406,14.2
11-Jun-2008,14.25,14.94,14.22,14.37,428562,14.37
12-Jun-2008,14.85,14.85,13.85,14,463187,14
13-Jun-2008,13.91,13.91,12.7,13.69,907894,13.69
16-Jun-2008,13.8,13.84,13,13.34,456985,13.34
17-Jun-2008,13.71,14.49,13.71,14.14,947895,14.14
18-Jun-2008,14.65,15.98,14.65,15.84,1806783,15.84
19-Jun-2008,16.07,16.4,14.5,14.9,1196396,14.9
20-Jun-2008,15.37,15.55,14.9,15.55,736119,15.55
23-Jun-2008,15.78,16.13,15.56,15.92,654600,15.92
24-Jun-2008,16.38,16.38,15.03,15.18,536418,15.18
25-Jun-2008,15.83,15.83,13.52,14.15,763461,14.15
26-Jun-2008,14.5,14.84,14,14.35,410988,14.35
27-Jun-2008,13.76,14.3,13.26,14.07,1939530,14.07
30-Jun-2008,14.07,14.24,13.25,13.28,533541,13.28
01-Jul-2008,13.01,13.5,12.5,13.39,657614,13.39
02-Jul-2008,13.89,14,13.55,13.71,530529,13.71
03-Jul-2008,13.24,13.57,12.71,12.79,418898,12.79
07-Jul-2008,12.59,12.79,11.4,12.1,661977,12.1
08-Jul-2008,11.77,12.5,10.12,12.19,994371,12.19
09-Jul-2008,12.11,12.84,11.69,11.69,322229,11.69
10-Jul-2008,11.36,13,11,12.47,574056,12.47
11-Jul-2008,12.55,13.5,12.55,13,607143,13
14-Jul-2008,13.1,13.25,12.58,12.89,256054,12.89
15-Jul-2008,12.76,13.06,12.26,12.91,247149,12.91
16-Jul-2008,12.67,12.91,11.91,12.22,352068,12.22
17-Jul-2008,11.9,12.05,10.7,11.18,695964,11.18
18-Jul-2008,11.2,11.45,10.65,11.11,406750,11.11
21-Jul-2008,12.63,13,11.6,11.87,846686,11.87
22-Jul-2008,11.97,11.97,10.8,11.02,555043,11.02
23-Jul-2008,10.56,10.98,10.2,10.61,383603,10.61
24-Jul-2008,10.38,10.7,9.8,10.1,410358,10.1
25-Jul-2008,9.95,10.32,9.7,9.82,349785,9.82
28-Jul-2008,9.5,9.58,8.51,9.49,807201,9.49
29-Jul-2008,9.69,9.74,9.18,9.39,279156,9.39
30-Jul-2008,9.23,9.6,8.72,9.51,372690,9.51
31-Jul-2008,9.5,9.68,9.2,9.28,161764,9.28
01-Aug-2008,9.08,9.38,9,9.08,165311,9.08
04-Aug-2008,9.05,9.1,7.87,7.89,475744,7.89
05-Aug-2008,7.83,7.91,6.62,7.22,1022989,7.22
06-Aug-2008,7.3,7.59,6.96,7.13,516466,7.13
07-Aug-2008,7.44,7.98,7.15,7.41,508483,7.41
08-Aug-2008,7.2,7.27,6.9,7.2,344469,7.2
11-Aug-2008,6.88,7.21,6.71,7.04,389224,7.04
12-Aug-2008,6.98,7.24,6.7,7.16,344527,7.16
13-Aug-2008,7.49,8.28,7.3,8.1,719130,8.1
14-Aug-2008,8.1,8.65,7.8,8.37,665212,8.37
15-Aug-2008,8.3,8.55,7.69,7.8,315174,7.8
18-Aug-2008,7.9,8.27,7.21,7.34,347044,7.34
19-Aug-2008,7.3,7.78,6.92,7.39,311832,7.39
20-Aug-2008,7.74,7.75,7.2,7.72,270298,7.72
