Date,Open,High,Low,Close,Volume,AdjClose
24-May-2002,8.45,8.45,8.37,8.45,63600,8.1
28-May-2002,8.5,8.5,8.49,8.49,93800,8.14
29-May-2002,8.5,8.5,8.35,8.35,120800,8.01
30-May-2002,8.35,8.35,8,8,147500,7.67
31-May-2002,8,8,6.15,6.15,1260600,5.9
03-Jun-2002,6.3,7.07,6.3,7,1118900,6.71
04-Jun-2002,7,7.13,6.5,6.85,888000,6.57
05-Jun-2002,6.75,6.9,6.61,6.8,851500,6.52
06-Jun-2002,6.8,6.84,6.05,6.09,662300,5.84
07-Jun-2002,6.1,6.1,5.72,5.74,554600,5.5
10-Jun-2002,5.7,5.7,5.15,5.31,1411900,5.09
11-Jun-2002,5.31,5.5,5.15,5.37,817700,5.15
12-Jun-2002,5.3,5.3,4.82,5,565400,4.79
13-Jun-2002,5,5.14,5,5.1,802800,4.89
14-Jun-2002,5.04,5.15,5,5.15,574600,4.94
17-Jun-2002,5.15,5.66,5.1,5.65,487300,5.42
18-Jun-2002,5.65,6,5.65,5.85,1232700,5.61
19-Jun-2002,5.82,5.88,5.76,5.85,466300,5.61
20-Jun-2002,5.85,5.9,5.65,5.81,229500,5.57
21-Jun-2002,5.8,5.9,5.8,5.83,204700,5.59
24-Jun-2002,5.81,5.82,5.73,5.82,172000,5.58
25-Jun-2002,5.82,5.9,5.82,5.85,182700,5.61
26-Jun-2002,5.8,5.8,5.47,5.75,174500,5.51
27-Jun-2002,5.8,5.81,5.6,5.65,302400,5.42
28-Jun-2002,5.65,5.72,5.25,5.25,319500,5.03
01-Jul-2002,5.35,5.82,5.35,5.7,102000,5.46
02-Jul-2002,5.7,6,5.47,5.77,171400,5.53
03-Jul-2002,5.7,5.8,5.66,5.76,108700,5.52
05-Jul-2002,5.7,5.74,5.65,5.71,47700,5.47
08-Jul-2002,5.68,5.81,5.65,5.76,141800,5.52
09-Jul-2002,5.75,5.88,5.75,5.8,132400,5.56
10-Jul-2002,5.82,5.88,5.77,5.8,115700,5.56
11-Jul-2002,5.8,5.81,5.5,5.51,171300,5.28
12-Jul-2002,5.51,5.6,5.5,5.58,173000,5.35
15-Jul-2002,5.53,5.66,5.51,5.55,52700,5.32
16-Jul-2002,5.55,5.7,5.55,5.62,41100,5.39
17-Jul-2002,5.62,5.75,5.62,5.7,131200,5.46
18-Jul-2002,5.7,5.7,5.51,5.51,56800,5.28
19-Jul-2002,5.47,5.47,5.31,5.38,88400,5.16
22-Jul-2002,5.3,5.3,5.06,5.18,63100,4.97
23-Jul-2002,5.2,5.4,5.2,5.4,51600,5.18
24-Jul-2002,5.3,5.3,5,5.15,96500,4.94
25-Jul-2002,5.1,5.19,5.01,5.14,72600,4.93
26-Jul-2002,5.14,5.14,5,5.06,47600,4.85
29-Jul-2002,5.1,5.29,5.1,5.25,53100,5.03
30-Jul-2002,5.35,5.75,5.31,5.5,79100,5.27
31-Jul-2002,5.5,5.59,5.05,5.59,137600,5.36
01-Aug-2002,5.59,5.9,5.59,5.61,85800,5.38
02-Aug-2002,5.61,5.62,5.39,5.48,47300,5.25
05-Aug-2002,5.4,5.4,5.21,5.21,68900,4.99
06-Aug-2002,5.12,5.42,5.07,5.42,30800,5.2
07-Aug-2002,5.35,5.37,5.05,5.1,25900,4.89
08-Aug-2002,5.1,5.15,5.06,5.12,15600,4.91
09-Aug-2002,5.12,5.13,4.9,4.9,52500,4.7
12-Aug-2002,4.95,5,4.81,4.95,96700,4.75
13-Aug-2002,4.85,4.92,4.4,4.5,86900,4.31
14-Aug-2002,4.4,4.4,4.01,4.24,110000,4.06
15-Aug-2002,4.23,4.25,4.1,4.25,22200,4.07
16-Aug-2002,4.25,4.35,4.21,4.25,18200,4.07
19-Aug-2002,4.25,4.33,4,4.33,57500,4.15
20-Aug-2002,4.3,4.3,4.15,4.29,72400,4.11
21-Aug-2002,4.25,4.32,4.16,4.26,10700,4.08
22-Aug-2002,4.25,4.25,4,4.03,81700,3.86
23-Aug-2002,4.04,4.16,4,4.1,62900,3.93
