Date,Open,High,Low,Close,Volume,AdjClose
31-Jul-2003,19.15,19.25,16.75,17.69,9153748,17.69
01-Aug-2003,17.94,18,16.06,17.25,1564420,17.25
04-Aug-2003,17.2,17.2,16.5,16.74,595090,16.74
05-Aug-2003,16.6,16.84,16.26,16.5,535005,16.5
06-Aug-2003,16.54,16.88,16.5,16.77,345349,16.77
07-Aug-2003,16.93,17.15,16.5,17,402617,17
08-Aug-2003,17.04,17.51,17,17.48,378001,17.48
11-Aug-2003,17.51,17.88,17,17.25,349551,17.25
12-Aug-2003,17.29,17.64,16.81,17.64,359433,17.64
13-Aug-2003,17.67,18.3,17.4,18.07,211440,18.07
14-Aug-2003,18.39,18.4,17.17,17.34,169295,17.34
15-Aug-2003,17.31,17.45,17.14,17.45,136250,17.45
18-Aug-2003,17.4,17.5,16.97,17.1,317938,17.1
19-Aug-2003,17.1,17.28,16.81,17.19,122749,17.19
20-Aug-2003,17.2,17.34,17,17.1,145800,17.1
21-Aug-2003,16.99,17.25,16.76,17.05,277120,17.05
22-Aug-2003,17.08,17.28,16.81,16.95,121535,16.95
25-Aug-2003,17.1,17.14,16.85,17.1,169800,17.1
26-Aug-2003,17.05,17.45,16.95,17.45,137185,17.45
27-Aug-2003,17.47,17.87,17.3,17.87,140876,17.87
28-Aug-2003,17.76,18.75,17.76,18.75,257341,18.75
29-Aug-2003,18.79,19.7,18.2,19.5,556819,19.5
02-Sep-2003,19.35,19.85,19,19.18,434315,19.18
03-Sep-2003,19.41,19.88,19,19.57,253507,19.57
04-Sep-2003,20.09,20.3,19.42,20.23,483375,20.23
05-Sep-2003,20.1,20.95,19.93,20.5,551225,20.5
08-Sep-2003,20.51,20.98,20.27,20.75,274508,20.75
09-Sep-2003,20.89,20.89,19.94,20.3,472135,20.3
10-Sep-2003,19.65,19.75,17.81,18.13,1161900,18.13
11-Sep-2003,18.14,18.37,17.78,18.02,327627,18.02
12-Sep-2003,17.69,18.13,17,17.76,737930,17.76
15-Sep-2003,17.85,18.18,17.25,17.84,193467,17.84
16-Sep-2003,17.87,18.11,17.52,17.83,165595,17.83
17-Sep-2003,17.83,17.93,17.42,17.79,156061,17.79
18-Sep-2003,17.8,17.8,17.39,17.52,192566,17.52
19-Sep-2003,17.35,17.65,17.15,17.2,210150,17.2
22-Sep-2003,17.17,17.45,16.88,17,198860,17
23-Sep-2003,17.19,17.39,16.89,17.33,162095,17.33
